# col1     col2  col3 col4       col5    col6    col7    col8    col9    col10   col11   col12   col13   col14   col15  
  nov2008  0010  1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  nov2008  0010o 1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  nov2008  0011  1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  nov2008  0011o 1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  nov2008  0012  1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  nov2008  0012o 1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  nov2008  0013  1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  nov2008  0013o 1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  nov2008  0025  1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  nov2008  0025o 1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  aug2004a 0077  1 2004-08-07 24.45   23.85   21.31   24.45   23.85   21.31   0.0     0.0     0.0     0.6     3.14   
  aug2004a 0077o 1 2004-08-07 24.45   23.85   21.31   24.45   23.85   21.31   0.0     0.0     0.0     0.6     3.14   
  aug2004a 0082  1 2004-08-07 24.45   23.85   21.31   24.45   23.85   21.31   0.0     0.0     0.0     0.6     3.14   
  aug2004a 0082o 1 2004-08-07 24.45   23.85   21.31   24.45   23.85   21.31   0.0     0.0     0.0     0.6     3.14   
  aug2004a 0083  1 2004-08-07 24.45   23.85   21.31   24.45   23.85   21.31   0.0     0.0     0.0     0.6     3.14   
  aug2004a 0083o 1 2004-08-07 24.45   23.85   21.31   24.45   23.85   21.31   0.0     0.0     0.0     0.6     3.14   
  aug2004a 0084  1 2004-08-07 24.45   23.85   21.31   24.45   23.85   21.31   0.0     0.0     0.0     0.6     3.14   
  aug2004a 0084o 1 2004-08-07 24.45   23.85   21.31   24.45   23.85   21.31   0.0     0.0     0.0     0.6     3.14   
  oct2009  0086  1 2009-11-02 24.54   23.89   21.4    24.54   23.89   21.4    0.0     0.0     0.0     0.65    3.14   
  oct2009  0086o 1 2009-11-02 24.54   23.89   21.4    24.54   23.89   21.4    0.0     0.0     0.0     0.65    3.14   
  aug2004a 0124  1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0124o 1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0125  1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0125o 1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0126  1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0126o 1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0127  1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0127o 1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0128  1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0128o 1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0130  1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0130o 1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0131  1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0131o 1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0135  1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0135o 1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0137  1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004a 0137o 1 2004-08-10 24.46   23.84   21.32   24.46   23.84   21.32   0.0     0.0     0.0     0.62    3.14   
  aug2004b 0217  1 2004-08-23 24.47   23.85   21.33   24.47   23.85   21.33   0.0     0.0     0.0     0.62    3.14   
  aug2004b 0217o 1 2004-08-23 24.47   23.85   21.33   24.47   23.85   21.33   0.0     0.0     0.0     0.62    3.14   
  aug2004b 0218  1 2004-08-23 24.47   23.85   21.33   24.47   23.85   21.33   0.0     0.0     0.0     0.62    3.14   
  aug2004b 0218o 1 2004-08-23 24.47   23.85   21.33   24.47   23.85   21.33   0.0     0.0     0.0     0.62    3.14   
  aug2004b 0219  1 2004-08-23 24.47   23.85   21.33   24.47   23.85   21.33   0.0     0.0     0.0     0.62    3.14   
  aug2004b 0219o 1 2004-08-23 24.47   23.85   21.33   24.47   23.85   21.33   0.0     0.0     0.0     0.62    3.14   
  aug2004b 0220  1 2004-08-23 24.47   23.85   21.33   24.47   23.85   21.33   0.0     0.0     0.0     0.62    3.14   
  aug2004b 0220o 1 2004-08-23 24.47   23.85   21.33   24.47   23.85   21.33   0.0     0.0     0.0     0.62    3.14   
