mercat,field,dir,run_r,run_i,run_ha,time,n_stars_r,n_stars_i,n_stars_ha,n_stars,n_bright_r,n_bright_i,n_bright_ha,n_stars_faint,r90p,zpr,zpi,zph,e_zpr,e_zpi,e_zpha,fluxr_5sig,fluxi_5sig,fluxha_5sig,exp_r,exp_i,exp_ha,ext_r,ext_i,ext_ha,air_r,air_i,air_ha
newmerges/iphas_aug2003/intphas_0001_mercat.fits,0001,iphas_aug2003,360907,360908,360906,2003-08-15T05:17:28.8,17313,22101,17714,13231,1463,1274,1720,3538,20.421,24.47,23.87,21.33,0.01,0.03,0.05,279.328,250.826,253.972,10.08,10.09,120.02,,0.05,0.09,1.238,1.239,1.236
newmerges/iphas_aug2003/intphas_0001o_mercat.fits,0001o,iphas_aug2003,360910,360911,360909,2003-08-15T05:22:29.8,18275,23358,19879,14015,1422,1233,1700,4062,20.589,24.47,23.87,21.33,0.01,0.03,0.05,272.004,238.088,244.018,10.08,9.54,120.05,,0.05,0.09,1.245,1.246,1.242
newmerges/iphas_aug2003/intphas_0002_mercat.fits,0002,iphas_aug2003,360913,360914,360912,2003-08-15T05:27:29.5,12431,15990,13132,9193,1003,887,1222,2407,20.426,24.47,23.87,21.33,0.01,0.03,0.05,270.9,244.538,257.673,9.59,9.52,120.03,,0.05,0.09,1.225,1.226,1.222
newmerges/iphas_aug2003/intphas_0002o_mercat.fits,0002o,iphas_aug2003,360916,360917,360915,2003-08-15T05:32:28.6,13328,16045,13077,9216,985,829,1211,2531,20.447,24.47,23.87,21.33,0.01,0.03,0.05,289.648,258.429,256.43,10.08,10.08,120.0,,0.05,0.09,1.232,1.233,1.229
newmerges/iphas_aug2003/intphas_0003_mercat.fits,0003,iphas_aug2003,360919,360920,360918,2003-08-15T05:37:24.2,3362,6401,3124,2115,213,281,265,665,20.341,24.47,23.87,21.33,0.01,0.03,0.05,315.858,286.99,307.425,9.52,10.09,120.009,,0.05,0.09,1.349,1.351,1.347
newmerges/iphas_aug2003/intphas_0003o_mercat.fits,0003o,iphas_aug2003,360922,360923,360921,2003-08-15T05:42:03.8,3333,6641,3096,2080,220,282,252,631,20.378,24.47,23.87,21.33,0.01,0.03,0.05,318.521,310.415,325.41,10.079,9.51,120.0,,0.05,0.09,1.356,1.357,1.353
newmerges/iphas_aug2003/intphas_0004_mercat.fits,0004,iphas_aug2003,360925,360926,360924,2003-08-15T05:46:53.8,15779,19054,15740,11265,1312,1118,1500,2412,20.103,24.47,23.87,21.33,0.01,0.03,0.05,384.086,388.03,336.433,10.09,10.08,119.48,,0.05,0.09,1.289,1.291,1.286
newmerges/iphas_aug2003/intphas_0320_mercat.fits,0320,iphas_aug2003,360177,360178,360176,2003-08-12T05:01:01.3,5444,5658,6456,3963,923,848,1037,0,18.295,24.38,23.72,21.24,0.03,0.04,0.09,970.489,1204.84,699.978,10.03,10.08,119.97,,0.05,0.09,1.224,1.224,1.223
newmerges/iphas_aug2003/intphas_0320o_mercat.fits,0320o,iphas_aug2003,360180,360181,360179,2003-08-12T05:05:41.7,6124,6401,6233,4453,981,945,1086,4,18.479,24.38,23.72,21.24,0.03,0.04,0.09,789.904,961.02,729.022,10.07,10.09,120.04,,0.05,0.09,1.225,1.226,1.225
newmerges/iphas_aug2003/intphas_0321_mercat.fits,0321,iphas_aug2003,360183,360184,360182,2003-08-12T05:10:24.2,1709,4219,2301,1388,277,424,375,0,18.454,24.38,23.72,21.24,0.03,0.04,0.09,1289.63,765.434,805.424,10.09,9.53,119.48,,0.05,0.09,1.26,1.26,1.26
newmerges/iphas_aug2003/intphas_4084o_mercat.fits,4084o,iphas_aug2003,360298,360299,360297,2003-08-12T22:32:54.7,553,1500,852,418,89,192,174,0,17.971,24.46,23.85,21.32,0.05,0.05,0.05,31035300.0,1535.82,24566200.0,10.07,10.04,120.04,,0.05,0.09,1.136,1.136,1.135
