field,dir,n_matched,n_outliers_5p,n_outliers_10p,n_outliers_20p,f_outliers_5p,f_outliers_10p,f_outliers_20p,n_5p_r,n_5p_i,n_5p_h,n_10p_r,n_10p_i,n_10p_h,n_20p_r,n_20p_i,n_20p_h,med_dr,med_di,med_dh,std_dr,std_di,std_dh,file1,file2
0001,iphas_aug2003,2123,428,17,2,20.1601507301,0.800753650495,0.0942063118229,123,206,200,4,6,12,0,1,2,-0.000167846679688,0.0541362762451,2.76565551758e-05,0.0257759649545,0.0277582995988,0.0314767475098,newmerges/iphas_aug2003/intphas_0001_mercat.fits,newmerges/iphas_aug2003/intphas_0001o_mercat.fits
0001,iphas_jul2007,750,41,1,0,5.46666666667,0.133333333333,0.0,7,11,29,0,1,0,0,0,0,-0.00555896759033,-0.00427961349487,-0.0130548477173,0.0171637874368,0.0179052069706,0.0229663117514,newmerges/iphas_jul2007/intphas_0001_mercat.fits,newmerges/iphas_jul2007/intphas_0001o_mercat.fits
0001,iphas_oct2006,1691,351,18,0,20.7569485512,1.06445890006,0.0,152,101,164,5,3,10,0,0,0,0.0110921859741,0.0741348266602,-0.00731468200684,0.030534066662,0.0250170161394,0.0314992387166,newmerges/iphas_oct2006/intphas_0001_mercat.fits,newmerges/iphas_oct2006/intphas_0001o_mercat.fits
0002,iphas_aug2003,942,136,3,0,14.4373673036,0.31847133758,0.0,43,46,62,0,1,2,0,0,0,-0.00547790527344,-0.071807384491,-0.0045690536499,0.0261187144572,0.0228783780291,0.0293025859604,newmerges/iphas_aug2003/intphas_0002_mercat.fits,newmerges/iphas_aug2003/intphas_0002o_mercat.fits
0002,iphas_jul2007,488,23,1,1,4.7131147541,0.204918032787,0.204918032787,1,8,14,0,0,1,0,0,1,-0.00599718093872,-0.00811386108398,-0.0079288482666,0.016019757259,0.0173825297857,0.0238897870293,newmerges/iphas_jul2007/intphas_0002_mercat.fits,newmerges/iphas_jul2007/intphas_0002o_mercat.fits
0002,iphas_oct2006,1021,201,17,0,19.6865817826,1.66503428012,0.0,35,116,100,0,7,10,0,0,0,-0.00568962097168,0.0572957992554,-0.0148124694824,0.0231132204759,0.0322638869451,0.0329427211478,newmerges/iphas_oct2006/intphas_0002_mercat.fits,newmerges/iphas_oct2006/intphas_0002o_mercat.fits
0003,iphas_aug2003,202,59,4,0,29.2079207921,1.9801980198,0.0,25,21,28,2,0,2,0,0,0,-0.0614085197449,0.0517091751099,-0.00632047653198,0.0315785171838,0.0285748974882,0.0342460086009,newmerges/iphas_aug2003/intphas_0003_mercat.fits,newmerges/iphas_aug2003/intphas_0003o_mercat.fits
0003,iphas_jul2007,120,11,1,0,9.16666666667,0.833333333333,0.0,2,2,9,0,0,1,0,0,0,0.00419235229492,0.0485711097717,0.000803470611572,0.019808894688,0.0143939288051,0.0269022897571,newmerges/iphas_jul2007/intphas_0003_mercat.fits,newmerges/iphas_jul2007/intphas_0003o_mercat.fits
0003,iphas_oct2006,152,24,2,0,15.7894736842,1.31578947368,0.0,7,4,15,0,0,2,0,0,0,0.0168361663818,4.91142272949e-05,0.0087513923645,0.0265905076844,0.0200898090158,0.0329651096296,newmerges/iphas_oct2006/intphas_0003_mercat.fits,newmerges/iphas_oct2006/intphas_0003o_mercat.fits
0004,iphas_aug2003,152,24,2,0,15.7894736842,1.31578947368,0.0,7,4,15,0,0,2,0,0,0,0.0168361663818,4.91142272949e-05,0.0087513923645,0.0265905076844,0.0200898090158,0.0329651096296,newmerges/iphas_oct2006/intphas_0003_mercat.fits,newmerges/iphas_oct2006/intphas_0003o_mercat.fits
