night,run,field,filter,seeing,ellipt,sky,sources
20120918,r936325,SA110-246,He1,1.39,0.130,37.0,30
20120918,r936326,SA110-246,r,1.01,0.093,40.8,41
20120918,r936327,SA110-246,U,1.52,0.081,32.1,15
20120918,r936328,SA110-246,g,1.29,0.038,32.5,20
20120918,r936329,SA112-250,He1,1.48,0.126,37.4,50
20120918,r936330,SA112-250,r,1.29,0.084,32.4,50
20120918,r936331,SA112-250,U,1.42,0.071,31.8,11
20120918,r936332,SA112-250,g,1.33,0.074,29.1,39
20120918,r936333,ST_PG1657,He1,1.48,0.069,55.2,45
20120918,r936334,ST_PG1657,r,0.93,0.058,72.5,184
20120918,r936335,ST_PG1657,U,1.65,0.071,43.5,25
20120918,r936336,ST_PG1657,g,1.26,0.043,50.6,106
20120918,r936337,SA110-246,Ha,1.08,0.069,39.1,44
20120918,r936338,SA110-246,r,1.17,0.071,48.0,33
20120918,r936339,SA110-246,i,1.48,0.045,60.6,48
20120918,r936340,SA112-250,Ha,1.69,0.067,41.6,67
20120918,r936341,SA112-250,r,1.64,0.063,77.6,132
20120918,r936342,SA112-250,i,1.38,0.055,58.6,79
20120918,r936343,ST_PG1657,Ha,1.70,0.132,44.6,49
20120918,r936344,ST_PG1657,r,1.71,0.021,84.1,80
20120918,r936345,ST_PG1657,i,1.18,0.063,62.5,53
20120918,r936346,intphas_4371,Ha,1.27,0.124,64.5,157
20120918,r936347,intphas_4371,r,1.32,0.102,116.9,396
20120918,r936348,intphas_4371,i,1.23,0.095,120.4,609
20120918,r936349,intphas_4371o,Ha,1.66,0.083,49.9,122
20120918,r936350,intphas_4371o,r,1.19,0.118,135.6,489
20120918,r936351,intphas_4371o,i,1.21,0.131,148.0,635
20120918,r936352,intphas_4121o,Ha,1.78,0.239,65.2,127
20120918,r936353,intphas_4121o,r,1.19,0.106,144.2,449
20120918,r936354,intphas_4121o,i,1.03,0.074,145.2,776
20120918,r936355,intphas_4181,Ha,1.64,0.177,69.6,97
20120918,r936356,intphas_4181,r,1.23,0.060,150.9,405
20120918,r936357,intphas_4181,i,1.15,0.110,131.2,645
20120918,r936358,intphas_4121o,Ha,1.86,0.189,67.5,101
20120918,r936359,intphas_4121o,r,1.47,0.076,151.2,273
20120918,r936360,intphas_4121o,i,1.32,0.083,152.7,490
20120918,r936361,intphas_4181o,Ha,1.63,0.106,69.8,124
20120918,r936362,intphas_4181o,r,1.08,0.046,110.0,463
20120918,r936363,intphas_4181o,i,0.89,0.061,122.1,832
20120918,r936364,intphas_4514,Ha,1.47,0.128,44.8,257
20120918,r936365,intphas_4514,r,1.14,0.157,111.7,1074
20120918,r936366,intphas_4514,i,1.13,0.157,75.8,1469
20120918,r936367,intphas_4600,Ha,1.30,0.163,55.8,314
20120918,r936368,intphas_4600,r,1.41,0.090,106.6,660
20120918,r936369,intphas_4600,i,1.23,0.098,121.2,920
20120918,r936370,intphas_4600o,Ha,1.52,0.096,59.6,184
20120918,r936371,intphas_4600o,r,1.20,0.114,113.5,933
20120918,r936372,intphas_4600o,i,1.25,0.099,118.0,891
20120918,r936373,intphas_4670,Ha,1.94,0.285,62.8,467
20120918,r936374,intphas_4670,r,1.40,0.143,123.3,1789
20120918,r936375,intphas_4670,i,0.98,0.123,125.1,2665
20120918,r936376,intphas_4670o,Ha,1.33,0.102,51.5,588
20120918,r936377,intphas_4670o,r,1.57,0.150,122.3,1390
20120918,r936378,intphas_4670o,i,1.45,0.133,122.2,1346
20120918,r936379,intphas_4721,Ha,1.75,0.201,55.3,195
20120918,r936380,intphas_4721,r,1.47,0.148,96.1,592
20120918,r936381,intphas_4721,i,1.15,0.142,94.6,946
20120918,r936382,intphas_4721o,Ha,1.31,0.134,51.9,214
20120918,r936383,intphas_4721o,r,1.04,0.102,66.7,810
20120918,r936384,intphas_4721o,i,0.95,0.126,107.9,1162
20120918,r936385,intphas_4777,Ha,1.64,0.192,61.8,147
20120918,r936386,intphas_4777,r,1.02,0.106,113.2,613
20120918,r936387,intphas_4777,i,0.97,0.138,124.8,1014
20120918,r936388,intphas_4829,Ha,2.22,0.191,66.3,116
20120918,r936389,intphas_4829,r,1.30,0.172,119.8,422
20120918,r936390,intphas_4829,i,1.01,0.106,116.6,811
20120918,r936391,intphas_4829o,Ha,1.23,0.131,61.0,153
20120918,r936392,intphas_4829o,r,1.16,0.067,136.1,426
20120918,r936393,intphas_4829o,i,1.07,0.110,127.0,706
20120918,r936394,intphas_4840,Ha,1.60,0.239,64.6,145
20120918,r936395,intphas_4840,r,1.16,0.148,115.6,609
20120918,r936396,intphas_4840,i,1.06,0.171,126.5,813
20120918,r936397,intphas_4840o,Ha,1.36,0.176,54.2,143
20120918,r936398,intphas_4840o,r,1.28,0.108,109.8,369
20120918,r936399,intphas_4840o,i,1.39,0.076,123.9,343
20120918,r936400,intphas_4845,Ha,1.30,0.055,67.4,157
20120918,r936401,intphas_4845,r,1.45,0.068,129.6,380
20120918,r936402,intphas_4845,i,1.38,0.150,128.1,541
20120918,r936403,intphas_4845o,Ha,1.58,0.137,62.7,141
20120918,r936404,intphas_4845o,r,0.95,0.077,115.9,694
20120918,r936405,intphas_4845o,i,1.00,0.072,129.4,723
20120918,r936406,SA114-548,Ha,1.36,0.101,37.5,31
20120918,r936407,SA114-548,r,1.28,0.095,57.3,52
20120918,r936408,SA114-548,i,1.25,0.099,46.9,21
20120918,r936409,SA114-548,He1,1.40,0.163,32.4,10
20120918,r936410,SA114-548,r,1.23,0.128,33.3,16
20120918,r936411,SA114-548,U,1.52,0.159,54.6,10
20120918,r936412,SA114-548,g,1.49,0.105,33.4,15
20120918,r936413,uvex_7282,He1,1.20,0.121,66.6,85
20120918,r936414,uvex_7282,r,1.18,0.157,100.6,322
20120918,r936415,uvex_7282,U,1.54,0.137,63.5,40
20120918,r936416,uvex_7282,g,1.19,0.160,65.7,165
20120918,r936417,uvex_7282o,He1,1.20,0.124,58.6,89
20120918,r936418,uvex_7282o,r,1.27,0.168,71.8,306
20120918,r936419,uvex_7282o,U,1.57,0.114,55.0,44
20120918,r936420,uvex_7282o,g,1.30,0.122,68.1,139
20120918,r936421,uvex_7467,He1,1.16,0.126,56.9,187
20120918,r936422,uvex_7467,r,1.16,0.167,97.1,768
20120918,r936423,uvex_7467,U,1.72,0.112,59.7,61
20120918,r936424,uvex_7467,g,1.26,0.123,60.7,364
20120918,r936425,uvex_7467o,He1,1.20,0.167,53.8,161
20120918,r936426,uvex_7467o,r,1.29,0.152,112.7,637
20120918,r936427,uvex_7467o,U,1.58,0.142,59.3,54
20120918,r936428,uvex_7467o,g,1.23,0.125,72.5,386
20120918,r936429,uvex_7490,He1,1.20,0.114,59.8,161
20120918,r936430,uvex_7490,r,1.25,0.155,106.1,598
20120918,r936431,uvex_7490,U,1.66,0.125,59.6,48
20120918,r936432,uvex_7490,g,1.23,0.105,68.6,301
20120918,r936433,uvex_7490o,He1,1.25,0.112,57.5,141
20120918,r936434,uvex_7490o,r,1.20,0.136,26.2,641
20120918,r936435,uvex_7490o,U,1.51,0.127,57.0,62
20120918,r936436,uvex_7490o,g,1.44,0.103,65.1,241
20120918,r936437,uvex_7495,He1,1.16,0.107,53.4,203
20120918,r936438,uvex_7495,r,1.23,0.141,91.9,766
20120918,r936439,uvex_7495,U,1.51,0.128,53.7,80
20120918,r936440,uvex_7495,g,1.18,0.144,67.9,431
20120918,r936441,uvex_7495o,He1,1.13,0.173,48.6,203
20120918,r936442,uvex_7495o,r,1.16,0.169,74.7,802
20120918,r936443,uvex_7495o,U,1.54,0.137,57.6,96
20120918,r936444,uvex_7495o,g,1.21,0.142,59.5,391
20120918,r936445,Feige110,He1,1.48,0.055,34.1,21
20120918,r936446,Feige110,r,1.16,0.066,30.2,16
20120918,r936447,Feige110,U,1.62,0.074,31.3,6
20120918,r936448,Feige110,g,1.52,0.051,30.0,10
20120918,r936449,uvex_0072o,He1,1.18,0.128,55.5,297
20120918,r936450,uvex_0072o,r,1.18,0.151,100.9,1130
20120918,r936451,uvex_0072o,U,1.63,0.126,56.4,134
20120918,r936452,uvex_0072o,g,1.31,0.168,69.8,621
20120918,r936453,uvex_0074o,He1,1.13,0.113,54.9,186
20120918,r936454,uvex_0074o,r,1.21,0.145,25.0,742
20120918,r936455,uvex_0074o,U,1.69,0.126,57.4,78
20120918,r936456,uvex_0074o,g,1.25,0.153,25.0,395
20120918,r936457,uvex_7572,He1,1.13,0.116,56.9,343
20120918,r936458,uvex_7572,r,1.18,0.130,94.6,1237
20120918,r936459,uvex_7572,U,1.57,0.088,61.9,160
20120918,r936460,uvex_7572,g,1.24,0.102,61.3,743
20120918,r936461,uvex_7572o,He1,1.32,0.112,55.2,261
20120918,r936462,uvex_7572o,r,1.15,0.128,64.7,1258
20120918,r936463,uvex_7572o,U,1.55,0.090,54.4,164
20120918,r936464,uvex_7572o,g,1.22,0.120,66.2,739
20120918,r936465,uvex_7577,He1,1.08,0.091,46.1,193
20120918,r936466,uvex_7577,r,1.17,0.150,93.8,836
20120918,r936467,uvex_7577,U,1.76,0.153,46.8,60
20120918,r936468,uvex_7577,g,1.26,0.109,63.9,377
20120918,r936469,uvex_7577o,He1,1.27,0.124,52.8,182
20120918,r936470,uvex_7577o,r,1.15,0.153,87.1,770
20120918,r936471,uvex_7577o,U,1.63,0.097,50.2,76
20120918,r936472,uvex_7577o,g,1.14,0.125,63.5,449
20120918,r936473,uvex_7605,He1,1.19,0.154,53.6,323
20120918,r936474,uvex_7605,r,1.41,0.170,46.6,1165
20120918,r936475,uvex_7605,U,1.59,0.093,59.5,143
20120918,r936476,uvex_7605,g,1.25,0.117,59.7,833
20120918,r936477,uvex_7605o,He1,1.29,0.132,52.3,305
20120918,r936478,uvex_7605o,r,1.24,0.127,110.2,1320
20120918,r936479,uvex_7605o,U,1.49,0.085,56.3,146
20120918,r936480,uvex_7605o,g,1.38,0.081,62.7,672
20120918,r936481,uvex_7608,He1,1.16,0.099,47.5,302
20120918,r936482,uvex_7608,r,1.18,0.104,90.3,1213
20120918,r936483,uvex_7608,U,1.66,0.069,49.6,122
20120918,r936484,uvex_7608,g,1.23,0.104,60.9,722
20120918,r936485,uvex_7608o,He1,1.23,0.113,51.8,275
20120918,r936486,uvex_7608o,r,1.15,0.105,85.4,1297
20120918,r936487,uvex_7608o,U,1.56,0.064,53.8,134
20120918,r936488,uvex_7608o,g,1.31,0.112,65.4,719
20120918,r936489,uvex_0466o,He1,1.29,0.129,50.2,170
20120918,r936490,uvex_0466o,r,1.27,0.126,77.4,689
20120918,r936491,uvex_0466o,U,1.69,0.101,55.7,73
20120918,r936492,uvex_0466o,g,1.32,0.121,58.6,432
20120918,r936493,uvex_0601o,He1,1.26,0.109,48.5,243
20120918,r936494,uvex_0601o,r,1.27,0.155,81.9,926
20120918,r936495,uvex_0601o,U,1.79,0.117,55.5,124
20120918,r936496,uvex_0601o,g,1.38,0.120,65.3,550
20120918,r936497,uvex_0639o,He1,1.26,0.124,45.5,186
