INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2003 10 19 08:05

TELESCOPE             INT
DATE                  20031018
OBSERVER/S            Witham
PROGRAMME             C6/P14  (IPHAS)
PROPOSAL REF          C6/P14
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Mislis

TEL STATION / FOCUS   Prime  / 43.95
INSTRUMENT/S          WFC

SUNSET (UT)           18:47
EVENING TWILIGHT (UT) 19:59
MORNING TWILIGHT (UT) 05:56
SUNRISE (UT)          07:07
%ILLUM. LUNAR DISK    45
DARK TIME (HRS)       09:57
TWILIGHT TIME (HRS)   02:23
MOONRISE (UT)         00:34
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   9.8   58    19.2  21.0  254   769.5    9.8  12.9    11.5   58    44 
20:00   8.5   62    16.4  19.2  252   769.7    8.5  11.8    11.6   62    46 
21:00   8.9   52    21.9  25.3  232   770.2    8.9  10.8    11.4   52    42 
22:00   9.3   36    20.6  21.8  243   770.5    9.3  10.8    11.4   36    29 
23:00   9.5   27    18.3  19.0  242   770.9    9.5  10.9    11.4   27    21 
00:00   9.2   38    15.8  16.7  247   770.9    9.2  10.9    11.5   38    27 
01:00  10.0   18    23.4  26.0  218   770.5   10.0  11.1    11.5   18    16 
02:00  10.2   19    21.7  27.5  232   770.3   10.2  11.3    11.6   19    15 
03:00  10.2   26    23.5  28.5  215   770.0   10.2  11.3    11.6   26    21 
04:00  10.3   24    30.5  32.4  216   769.8   10.3  11.4    11.7   24    18 
05:00  10.3   22    27.9  28.9  200   769.5   10.3  11.3    11.7   22    18 
06:00  10.1   21    24.6  29.6  222   769.5   10.1  11.3    11.6   21    17 
07:00  10.1   17    22.9  24.8  224   769.7   10.1  11.2    11.5   17    14 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clear skies all night and good seeing.

COMMENTS (causes of time lost, setup information eg CCD windows):
A Good night, no time lost.



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
