INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2003 10 23 05:53

TELESCOPE             INT
DATE                  20031022
OBSERVER/S            Harding/Morrison
PROGRAMME             Spag: Search for distant halo giants
PROPOSAL REF          N06
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    skillen

TEL STATION / FOCUS   Prime  / 
INSTRUMENT/S          WFC

SUNSET (UT)           18:43
EVENING TWILIGHT (UT) 19:55
MORNING TWILIGHT (UT) 05:58
SUNRISE (UT)          07:10
%ILLUM. LUNAR DISK    9
DARK TIME (HRS)       10:03
TWILIGHT TIME (HRS)   02:24
MOONRISE (UT)         04:45
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   2.5  100    19.7  23.4   20   765.0    2.5  10.3    11.3  100    64 
20:00   1.2  100    23.4  25.1  319   764.9    1.2   9.8    11.3  100    60 
21:00   1.8  100    27.5  29.9  346   765.5    1.8   8.5    11.1  100    70 
22:00   1.8  100    30.9  37.5  333   765.8    1.8   9.1    11.0  100    66 
23:00   1.7  100    38.8  46.0    2   766.1    1.7   9.8    11.0  100    63 
00:00   2.2  100    20.4  24.0  340   766.4    2.2   9.1    11.0  100    68 
01:00   3.2  100    27.0  31.7  355   766.1    3.2   9.9    11.0  100    67 
02:00   2.9  100    37.8  40.8  346   765.8    2.9  10.1    11.1  100    67 
03:00   3.2  100    36.4  42.1  348   765.5    3.2  10.0    11.3  100    67 
04:00   3.0  100    39.4  43.5    1   765.6    3.0   9.9    11.3  100    68 
05:00   3.2  100    57.6  69.0  332   765.1    3.2  10.0    11.3  100    68 

TIME LOST weather           10:30
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clouds fog 100% humidity all night

COMMENTS (causes of time lost, setup information eg CCD windows):
never opened



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 370820 Bias frame       13:00:00.00 +60:00:00.0 A        12:56 1.182  WFC    0.0  180  51                               
 370821 Dome flat OIII    0:00:00.00 +00:00:00.0 A        16:31 1.697  WFC   20.1  180  [OIII]5007                       
 370822 Dome flat OIII    0:00:00.00 +00:00:00.0 A        16:32 1.697  WFC   20.1  180  [OIII]5007                       
 370823 Dome flat OIII    0:00:00.00 +00:00:00.0 A        16:33 1.697  WFC   20.1  180  [OIII]5007                       
 370824 Dome flat OIII    0:00:00.00 +00:00:00.0 A        16:34 1.697  WFC   20.1  180  [OIII]5007                       
 370825 Dome flat OIII    0:00:00.00 +00:00:00.0 A        16:35 1.697  WFC   20.1  180  [OIII]5007                       
 370826 Dome flat Halpha  0:00:00.00 +00:00:00.0 A        17:12 1.697  WFC   10.1  180  Halpha                           
 370827 Dome flat Halpha  0:00:00.00 +00:00:00.0 A        17:13 1.697  WFC   10.1  180  Halpha                           
 370828 Dome flat Halpha  0:00:00.00 +00:00:00.0 A        17:14 1.697  WFC   10.1  180  Halpha                           
 370829 Dome flat Halpha  0:00:00.00 +00:00:00.0 A        17:15 1.697  WFC    9.6  180  Halpha                           
 370830 Dome flat Halpha  0:00:00.00 +00:00:00.0 A        17:16 1.697  WFC   10.1  180  Halpha                           
 370831 Dome Flat r'      0:00:00.00 +00:00:00.0 A        19:19 1.697  WFC   10.1  180  r                                
 370832 Dome Flat r'      0:00:00.00 +00:00:00.0 A        19:20 1.697  WFC    9.5  180  r                                
 370833 Dome Flat r'      0:00:00.00 +00:00:00.0 A        19:21 1.697  WFC   10.1  180  r                                
 370834 Dome Flat r'      0:00:00.00 +00:00:00.0 A        19:22 1.697  WFC   10.1  180  r                                
 370835 Dome Flat r'      0:00:00.00 +00:00:00.0 A        19:22 1.697  WFC   10.1  180  r                                
 370836 Dome flat V       0:00:00.00 +00:00:00.0 A        19:32 1.697  WFC   10.1  180  V                                
 370837 Dome flat V       0:00:00.00 +00:00:00.0 A        19:33 1.697  WFC   10.0  180  V                                
 370838 Dome flat V       0:00:00.00 +00:00:00.0 A        19:34 1.697  WFC   10.1  180  V                                
 370839 Dome flat V       0:00:00.00 +00:00:00.0 A        19:35 1.697  WFC   10.1  180  V                                
 370840 Dome flat V       0:00:00.00 +00:00:00.0 A        19:36 1.697  WFC   10.1  180  V                                
