INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2004 07 02 06:41

TELESCOPE             INT
DATE                  20040701
OBSERVER/S            P.Guterman
PROGRAMME             CoRoT
PROPOSAL REF          CAT 
TELESCOPE OPERATOR    no one
SUPPORT ASTRONOMER    Antonio Garcia

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:22
EVENING TWILIGHT (UT) 21:48
MORNING TWILIGHT (UT) 04:43
SUNRISE (UT)          06:09
%ILLUM. LUNAR DISK      1
DARK TIME (HRS)       06:55
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          06:04

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  20.0   21     3.5   4.2  136   777.3   20.0  22.5    20.6   21    20 
22:00  19.7   18     6.5   6.8   48   777.7   19.7  21.1    20.8   18    17 
23:00  19.7   18    14.3  15.9   21   778.2   19.7  20.9    20.7   18    17 
00:00  19.9   17    18.1  19.3   45   778.5   19.9  20.8    20.7   17    17 
01:00  19.6   17    17.1  20.2   10   778.2   19.6  20.4    20.8   17    17 
02:00  19.4   17    13.6  14.6    2   777.9   19.4  20.2    20.6   17    17 
03:00  19.4   17    15.5  17.3    2   777.4   19.4  19.9    20.6   17    17 
04:00  19.6   16    18.3  19.0   11   777.1   19.6  19.9    20.6   16    16 
05:00  19.4   16    20.8  21.5   30   776.5   19.4  19.6    20.4   16    17 
06:00  19.6   14    19.6  20.0   23   776.5   19.6  19.7    20.4   14    15 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
not photometric. sahara dust brume  + full moon

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 405778 Bias frame                                        14:26        WFC    0.0       B                                
 405779 Bias             15:01:59.99 +29:55:00.0 J2000.00 20:16 1.044  WFC    0.0  180  B                                
 405780 Bias             15:01:59.99 +29:54:59.9 J2000.00 20:16 1.044  WFC    0.0  180  B                                
 405781 Bias              0:00:00.00 +00:00:00.0 J2000.00 20:17 1.043  WFC    0.0  180  B                                
 405782 Bias              0:00:00.00 +00:00:00.0 J2000.00 20:17 1.042  WFC    0.0  180  B                                
 405783 Bias              0:00:00.00 +00:00:00.0 J2000.00 20:18 1.041  WFC    0.0  180  B                                
 405784 Bias              0:00:00.00 +00:00:00.0 J2000.00 20:19 1.041  WFC    0.0  180  B                                
 405785 Flat field       15:01:59.99 +29:54:59.9 J2000.00 20:38 1.022  WFC    3.1  180  B                                jumping focus during flats
 405786 Flat field       15:01:59.99 +29:55:00.0 J2000.00 20:39 1.021  WFC    2.6  180  B                                
 405787 Flat field       15:02:02.30 +29:55:40.0 J2000.00 20:41 1.020  WFC    5.1  180  B                                
 405788 Flat field       15:02:02.30 +29:55:29.9 J2000.00 20:42 1.019  WFC    4.1  180  V                                
 405789 Flat field       15:02:02.30 +29:55:40.0 J2000.00 20:43 1.018  WFC    7.6  180  V                                
 405790 Flat field       15:02:03.07 +29:55:39.9 J2000.00 20:44 1.017  WFC   10.1  180  V                                
 405791 Flat field       15:02:02.30 +29:55:30.0 J2000.00 20:45 1.016  WFC   10.1  180  r                                
 405792 Flat field       15:02:02.30 +29:55:40.0 J2000.00 20:46 1.015  WFC   16.1  180  r                                
 405793 Flat field       15:02:02.30 +29:55:29.9 J2000.00 20:48 1.015  WFC   22.1  180  i                                
 405794 Flat field       15:02:02.30 +29:55:49.9 J2000.00 20:49 1.014  WFC   30.1  180  i                                
 405795 Flat field       15:02:03.84 +29:55:49.9 J2000.00 20:51 1.013  WFC   50.1  180  r                                
 405796 Focus run        15:38:36.89 -00:01:04.8 J2000.00 21:39 1.151  WFC   12.1  180  V                                bad stars
 405797 Focus run        18:34:09.00 +01:17:14.9 J2000.00 21:56 1.656  WFC   10.1  180  r                                bad stars
 405798 Focus run        18:42:57.40 +00:08:43.0 J2000.00 22:21 1.564  WFC   15.1  180  r                                bad stars
 405799 Focus run        18:42:57.40 +00:08:42.9 J2000.00 22:30 1.511  WFC    9.6  180  i                                
 405800 181555_8a        19:26:59.98 -01:53:06.0 J2000.00 22:41 1.778  WFC   40.1  180  B                                backgnd 5k
 405801 181555_8a        19:27:00.00 -01:53:06.0 J2000.00 22:43 1.767  WFC   15.5  180  V                                
 405802 181555_8a        19:26:59.99 -01:53:05.9 J2000.00 22:44 1.759  WFC   10.1  180  r                                
 405803 181555_8a        19:26:59.99 -01:53:05.9 J2000.00 22:45 1.751  WFC   10.1  180  i                                
 405804 181555_9a        19:28:59.98 -01:53:06.1 J2000.00 23:17 1.534  WFC   40.1  180  B                                
 405805 181555_9a        19:29:00.00 -01:53:06.0 J2000.00 23:18 1.527  WFC   16.1  180  V                                
 405806 181555_9a        19:28:59.99 -01:53:06.0 J2000.00 23:19 1.521  WFC    9.5  180  r                                
 405807 181555_9a        19:29:00.00 -01:53:06.0 J2000.00 23:20 1.516  WFC   10.1  180  i                                
 405808 181555_1a        19:25:00.00 -02:23:06.1 J2000.00 23:23 1.488  WFC   40.1  180  B                                
 405809 181555_1a        19:24:59.99 -02:23:05.9 J2000.00 23:24 1.482  WFC   16.1  180  V                                
 405810 181555_1a        19:24:59.99 -02:23:05.9 J2000.00 23:25 1.477  WFC   10.1  180  r                                
 405811 181555_1a        19:25:00.00 -02:23:06.0 J2000.00 23:26 1.473  WFC    9.5  180  i                                
 405812 181555_2a        19:27:00.00 -02:23:06.0 J2000.00 23:27 1.477  WFC   40.1  180  B                                
 405813 181555_2a        19:26:59.99 -02:23:06.0 J2000.00 23:29 1.471  WFC   16.1  180  V                                
 405814 181555_2a        19:26:59.99 -02:23:05.9 J2000.00 23:29 1.466  WFC   10.1  180  r                                
 405815 181555_2a        19:27:00.00 -02:23:05.9 J2000.00 23:30 1.462  WFC   10.1  180  i                                
 405816 181555_3a        19:29:00.00 -02:23:06.0 J2000.00 23:31 1.466  WFC   40.1  180  B                                
 405817 181555_3a        19:29:00.00 -02:23:05.9 J2000.00 23:33 1.460  WFC   16.1  180  V                                
 405818 181555_3a        19:29:00.00 -02:23:06.0 J2000.00 23:34 1.456  WFC   10.1  180  r                                
 405819 181555_3a        19:29:00.00 -02:23:06.0 J2000.00 23:35 1.452  WFC   10.1  180  i                                
 405820 181555_4a        19:30:59.99 -02:23:05.9 J2000.00 23:35 1.456  WFC   40.1  180  B                                
 405821 181555_4a        19:31:00.00 -02:23:06.0 J2000.00 23:37 1.450  WFC   16.1  180  V                                
 405822 181555_4a        19:31:00.00 -02:23:05.9 J2000.00 23:38 1.446  WFC   10.1  180  r                                
 405823 181555_4a        19:31:00.00 -02:23:06.0 J2000.00 23:39 1.442  WFC   10.1  180  i                                
 405824 110-365          18:42:57.39 +00:07:23.0 J2000.00 23:41 1.236  WFC   19.5  180  B                                
 405825 110-365          18:42:57.39 +00:07:22.9 J2000.00 23:42 1.233  WFC    7.1  180  V                                
 405826 110-365          18:42:57.40 +00:07:23.0 J2000.00 23:43 1.232  WFC    4.5  180  r                                
 405827 110-365          18:42:57.40 +00:07:22.9 J2000.00 23:44 1.230  WFC    5.1  180  i                                
 405828 170580_5a        18:30:08.99 +01:15:55.2 J2000.00 23:46 1.187  WFC   39.5  180  B                                
 405829 170580_5a        18:30:09.00 +01:15:55.0 J2000.00 23:47 1.185  WFC   16.1  180  V                                
 405830 170580_5a        18:30:08.99 +01:15:54.9 J2000.00 23:48 1.184  WFC   10.1  180  r                                
 405831 170580_5a        18:30:08.99 +01:15:55.0 J2000.00 23:49 1.182  WFC   10.1  180  i                                
 405832 170580_12a       18:28:08.99 +01:45:55.1 J2000.00 23:51 1.171  WFC   40.1  180  B                                
