INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2004 08 02 07:40

TELESCOPE             INT
DATE                  20040801
OBSERVER/S            Janet Drew
PROGRAMME             IPHAS
PROPOSAL REF          P8
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    n/a

TEL STATION / FOCUS   Prime  / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:11
EVENING TWILIGHT (UT) 21:31
MORNING TWILIGHT (UT) 05:06
SUNRISE (UT)          06:26
%ILLUM. LUNAR DISK    98
DARK TIME (HRS)       07:35
TWILIGHT TIME (HRS)   02:40
MOONRISE (UT)         20:57
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00   9.4   79    29.2  32.7  277   772.0   n.a.  n.a.    n.a.  n.a.   n.a.
22:00   9.3   80    25.7  29.0  268   772.3   n.a.  n.a.    n.a.  n.a.   n.a.
23:00   9.5   83    28.9  31.9  254   772.7   n.a.  n.a.    n.a.  n.a.   n.a.
00:00   9.7   75    22.1  24.2  240   772.9   n.a.  n.a.    n.a.  n.a.   n.a.
01:00  11.4   22    25.7  26.1  277   772.7   n.a.  n.a.    n.a.  n.a.   n.a.
02:00  11.4   20    27.2  27.6  275   772.5   n.a.  n.a.    n.a.  n.a.   n.a.
03:00  11.7   19    25.2  27.4  275   772.1   n.a.  n.a.    n.a.  n.a.   n.a.
04:00  12.0   13    25.6  26.7  272   771.9   n.a.  n.a.    n.a.  n.a.   n.a.
05:00  12.0    9    25.2  25.9  279   771.9   n.a.  n.a.    n.a.  n.a.   n.a.
06:00  12.2   12    23.2  24.2  272   772.1   n.a.  n.a.    n.a.  n.a.   n.a.

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clear throughout - humid at start with 1.5 arcsec seeing; settled down after midnight to dry conditions with <1 arcsec seeing

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 412329 Flat field       16:24:33.00 +55:43:59.0 J2000.00 20:17 1.129  WFC    3.4  180  Halpha                           
 412330 Flat field       16:24:34.18 +55:44:09.0 J2000.00 20:20 1.128  WFC    4.3  180  Halpha                           
 412331 Flat field       16:24:31.81 +55:44:09.0 J2000.00 20:21 1.128  WFC   12.5  180  Halpha                           
 412332 Flat field       16:24:34.18 +55:43:48.9 J2000.00 20:22 1.127  WFC   43.9  180  Halpha                           don't use - redone as 412334
 412333 Flat field       16:24:31.82 +55:43:49.0 J2000.00 20:24 1.127  WFC   11.7  180  Halpha                           
 412334 Flat field       16:24:34.18 +55:43:49.0 J2000.00 20:25 1.126  WFC   16.8  180  Halpha                           
 412335 Flat field       16:24:32.99 +55:43:58.9 J2000.00 20:26 1.126  WFC    3.4  180  i                                
 412336 Flat field       16:24:34.18 +55:44:08.9 J2000.00 20:27 1.126  WFC    3.7  180  i                                
 412337 Flat field       16:24:31.81 +55:44:08.9 J2000.00 20:28 1.125  WFC    4.1  180  i                                
 412338 Flat field       16:24:34.18 +55:43:48.9 J2000.00 20:29 1.125  WFC    5.4  180  i                                
 412339 Flat field       16:24:31.81 +55:43:49.0 J2000.00 20:31 1.124  WFC    6.1  180  i                                
 412340 Flat field       16:24:33.00 +55:43:59.0 J2000.00 20:32 1.124  WFC    9.2  180  r                                
 412341 Flat field       16:24:34.18 +55:44:08.9 J2000.00 20:33 1.124  WFC   12.2  180  r                                
 412342 Flat field       16:24:31.81 +55:44:08.9 J2000.00 20:34 1.124  WFC   17.2  180  r                                
 412343 Flat field       16:24:34.18 +55:43:49.0 J2000.00 20:36 1.123  WFC   22.3  180  r                                
 412344 Flat field       16:24:31.81 +55:43:49.0 J2000.00 20:37 1.123  WFC   32.4  180  r                                
 412345 Focus run        15:51:59.76 +32:58:44.1 J2000.00 21:28 1.035  WFC    5.1  180  r                                
 412346 BD+332642 r      15:51:59.76 +32:56:54.2 J2000.00 21:33 1.041  WFC    5.1  180  r                                
 412347 BD+332642 i      15:51:59.75 +32:56:54.2 J2000.00 21:34 1.042  WFC    5.0  180  i                                
 412348 BD+332642 Ha     15:51:59.76 +32:56:54.2 J2000.00 21:35 1.044  WFC   39.5  180  Halpha                           
 412349 SA110-246 Ha     18:41:50.80 +00:05:08.9 J2000.00 21:39 1.235  WFC   30.1  180  Halpha                           
 412350 SA110-246 i      18:41:50.80 +00:05:09.0 J2000.00 21:40 1.232  WFC    5.1  180  i                                
 412351 SA110-246 r      18:41:50.79 +00:05:08.9 J2000.00 21:42 1.229  WFC    5.1  180  r                                
 412352 intphas_4697 Ha  19:15:12.55 +03:48:00.1 J2000.00 21:44 1.259  WFC  120.0  180  Halpha                           
 412353 intphas_4697 r   19:15:12.54 +03:48:00.0 J2000.00 21:47 1.254  WFC   30.1  180  r                                
 412354 intphas_4697 i   19:15:12.55 +03:48:00.0 J2000.00 21:48 1.251  WFC   10.1  180  i                                
 412355 intphas_4697o Ha 19:15:32.59 +03:53:00.0 J2000.00 21:49 1.245  WFC  120.0  180  Halpha                           
 412356 intphas_4697o r  19:15:32.60 +03:52:59.9 J2000.00 21:52 1.240  WFC   29.5  180  r                                
 412357 intphas_4697o i  19:15:32.59 +03:53:00.0 J2000.00 21:53 1.237  WFC    9.5  180  i                                
 412358 intphas_4699 Ha  19:15:12.66 +09:40:00.0 J2000.00 21:54 1.175  WFC  120.0  180  Halpha                           
 412359 intphas_4699 r   19:15:12.65 +09:39:59.9 J2000.00 21:57 1.170  WFC   30.1  180  r                                
