INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 02 04 08:00

TELESCOPE             INT
DATE                  20050203
OBSERVER/S            A. Perez-Garrido, G. Bihain, V. Bejar
PROGRAMME             Search of Brown Dwarf in Praesepe open cluster.
PROPOSAL REF          C8
TELESCOPE OPERATOR    --
SUPPORT ASTRONOMER    Sergio Simon

TEL STATION / FOCUS   Prime  / 44.05
INSTRUMENT/S          WFC

SUNSET (UT)           18:59
EVENING TWILIGHT (UT) 20:13
MORNING TWILIGHT (UT) 06:38
SUNRISE (UT)          07:51
%ILLUM. LUNAR DISK    32
DARK TIME (HRS)       10:25
TWILIGHT TIME (HRS)   02:27
MOONRISE (UT)         03:33
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00  -2.4  100     0.0   0.0   47   769.7   -2.4   3.5     4.2  100    82 
20:00  -2.7  100     0.0   0.0   24   769.8   -2.7   3.3     4.1  100    81 
21:00  -2.8  100     0.0   0.0   30   770.3   -2.8   3.4     4.2  100    82 
22:00  -3.8   99     0.0   0.0  343   770.5   -3.8   4.1     4.2   99    79 
23:00  -2.5   99     0.0   0.0    8   770.3   -2.5   5.0     4.3   99    72 
00:00  -4.7   99     0.0   0.0   29   770.3   -4.7   4.6     4.4   99    72 
01:00  -6.9   95     0.0   0.0   10   769.9   -6.9   4.5     4.3   95    55 
02:00  -6.9   92     0.0   0.0   25   769.5   -6.9   3.1     4.3   92    28 
03:00  -6.5   93     0.0   0.0   21   769.4   -6.5   1.2     3.9   93    24 
04:00  -6.5   87     0.0   0.0   14   769.2   -6.5   0.2     3.3   87    23 
05:00  -4.2   61     0.3   0.4   28   769.0   -4.2  -0.4     2.7   61    26 
06:00  -1.9   38     0.4   0.5   13   769.1   -1.9  -0.7     2.1   38    19 
07:00   0.2   17     0.2   0.3   33   769.2    0.2   1.1     2.7   17    16 

TIME LOST weather           06:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
High humidity during the first part of the night

COMMENTS (causes of time lost, setup information eg CCD windows):
Time lost due to ice.



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 441186 FRED              0:00:00.00 +00:00:00.0 2005.092 14:05 4.540  WFC   14.5  180  i                                
 441187 Bias frame        0:00:00.00 +00:00:00.0 2005.092 14:09 4.540  WFC    0.0  180  i                                
 441188 Focus run         8:38:30.29 +19:15:03.9 2000.00  02:08 1.060  WFC   10.1  180  I                                
 441189 Prae WFC05_3      8:38:30.30 +19:15:03.9 2000.00  02:18 1.085  WFC  599.7  180  I                                
 441190 Prae WFC05_3      8:38:30.29 +19:15:04.1 2000.00  02:32 1.109  WFC  599.8  180  I                                
 441191 Prae WFC05_3      8:38:30.30 +19:15:03.9 2000.00  02:44 1.135  WFC  599.7  180  I                                
 441192 Prae WFC05_3      8:38:30.29 +19:15:03.7 2000.00  02:56 1.164  WFC  599.8  180  I                                
 441193 SN2005aa          9:08:04.19 +27:14:59.3 2000.00  03:09 1.096  WFC  300.0  180  I                                
 441194 Prae WFC05_4      8:38:02.99 +20:23:04.1 2000.00  03:17 1.205  WFC   60.1  180  I                                
 441195 Prae WFC05_4      8:38:03.00 +20:23:04.1 2000.00  03:19 1.213  WFC  119.5  180  I                                Retimed to 120s
 441196 Prae WFC05_4      8:38:03.00 +20:23:03.8 2000.00  03:23 1.241  WFC  599.9  180  I                                
 441197 Prae WFC05_4      8:38:02.99 +20:23:03.9 2000.00  03:35 1.286  WFC  599.7  180  I                                
 441198 Prae WFC05_4      8:38:02.99 +20:23:04.0 2000.00  03:47 1.336  WFC  599.7  180  I                                
 441199 Prae WFC05_4      8:38:02.99 +20:23:04.0 2000.00  03:59 1.393  WFC  599.7  180  I                                
 441200 Prae WFC05_4      8:38:02.99 +20:23:04.0 2000.00  04:10 1.458  WFC  599.8  180  I                                
 441202 Prae WFC05_4      8:38:02.99 +20:23:04.2 2000.00  04:24 1.578  WFC  565.6  180  I                                autoguider did not work
 441203 Prae WFC05_4      8:38:03.00 +20:23:03.9 2000.00  04:34 1.586  WFC   26.5  180  I                                
 441205 Prae WFC05_4      8:38:03.00 +20:23:03.9 2000.00  04:37 1.641  WFC  599.7  180  I                                
 441206 Prae WFC05_4      8:38:03.00 +20:23:03.8 2000.00  04:51 1.771  WFC  599.6  180  I                                
 441207 Prae WFC05_4      8:38:03.00 +20:23:04.0 2000.00  05:04 1.902  WFC  599.8  180  I                                
 441208 Prae WFC05_4      8:38:03.00 +20:23:03.7 2000.00  05:17 2.071  WFC  599.8  180  I                                
 441209 Prae WFC05_4      8:38:03.00 +20:23:04.0 2000.00  05:29 2.262  WFC  599.2  180  I                                
 441210 Prae WFC05_4      8:38:03.00 +20:23:03.6 2000.00  05:41 2.493  WFC  599.2  180  I                                
 441211 SN2005aa          9:08:04.20 +27:14:59.3 2000.00  05:53 1.939  WFC   19.5  180  I                                
