INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 02 10 08:30

TELESCOPE             INT
DATE                  20050205
OBSERVER/S            A. Perez-Garrido, G. Bihain, V. Bejar
PROGRAMME             Search of Brown Dwarf in Praesepe open cluster.
PROPOSAL REF          C8
TELESCOPE OPERATOR    --
SUPPORT ASTRONOMER    alegria

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           19:01
EVENING TWILIGHT (UT) 20:14
MORNING TWILIGHT (UT) 06:37
SUNRISE (UT)          07:50
%ILLUM. LUNAR DISK    13
DARK TIME (HRS)       10:23
TWILIGHT TIME (HRS)   02:26
MOONRISE (UT)         05:49
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  -4.9   72     0.0   0.0    4   768.6   -4.9   1.6     4.2   72    24 
21:00  -4.2   73     0.0   0.0   36   768.9   -4.2   3.4     4.2   73    60 
22:00  -3.8   92     0.0   0.0   29   769.1   -3.8   2.2     3.8   92    53 
23:00  -4.0   66     0.0   0.0   14   769.2   -4.0   2.7     4.1   66    63 
00:00  -3.3   52     0.0   0.0    9   769.2   -3.3   1.8     3.8   52    23 
01:00  -3.4   95     0.0   0.0   31   768.7   -3.4   1.9     4.0   95    73 
02:00  -3.3   82     0.0   0.0  360   768.3   -3.3   2.7     4.0   82    72 
03:00  -4.1   96     0.0   0.0  340   767.7   -4.1   1.7     4.1   96    80 
04:00  -2.3   40     0.0   0.0  339   767.2   -2.3   1.6     4.0   40    58 
05:00  -3.0   53     0.0   0.0  356   767.0   -3.0   1.0     4.0   53    64 
06:00  -4.1   98     0.0   0.0    3   766.9   -4.1   0.9     4.0   98    77 
07:00  -3.7   98    15.6  19.2  348   767.1   -3.7   0.9     4.0   98    84 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):


COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 441300 Bias frame       22:59:59.99 +65:00:00.0 2000.00  14:38 1.244  WFC    0.0  180  z                                
 441301 Bias frame        0:00:00.00 +00:00:00.0 2000.00  16:24 4.699  WFC    0.0  180  Halpha                           
 441302 Bias frame        0:00:00.00 +00:00:00.0 2000.00  16:25 4.699  WFC    0.0  180  Halpha                           
 441303 Bias frame        0:00:00.00 +00:00:00.0 2000.00  16:25 4.699  WFC    0.0  180  Halpha                           
 441304 Bias frame        0:00:00.00 +00:00:00.0 2000.00  16:26 4.699  WFC    0.0  180  Halpha                           
 441305 Bias frame        0:00:00.00 +00:00:00.0 2000.00  16:26 4.699  WFC    0.0  180  Halpha                           
 441306 Bias frame        0:00:00.00 +00:00:00.0 2000.00  16:27 4.699  WFC    0.0  180  Halpha                           
 441307 Bias frame        0:00:00.00 +00:00:00.0 2000.00  16:27 4.699  WFC    0.0  180  Halpha                           
 441308 Bias frame        0:00:00.00 +00:00:00.0 2000.00  16:28 4.699  WFC    0.0  180  Halpha                           
 441309 Bias frame        0:00:00.00 +00:00:00.0 2000.00  16:29 4.699  WFC    0.0  180  Halpha                           
 441310 Bias frame        0:00:00.00 +00:00:00.0 2000.00  16:29 4.699  WFC    0.0  180  Halpha                           
 441311 Bias frame        0:00:00.00 +00:00:00.0 2000.00  16:30 4.699  WFC    0.0  180  Halpha                           
 441312 Bias frame        0:00:00.00 +00:00:00.0 2000.00  16:30 4.699  WFC    0.0  180  Halpha                           
 441313 Bias frame        0:00:00.00 +00:00:00.0 2000.00  16:31 4.699  WFC    0.0  180  Halpha                           
 441314 Bias frame        0:00:00.00 +00:00:00.0 2000.00  16:32 4.699  WFC    0.0  180  Halpha                           
 441315 Bias frame        0:00:00.00 +00:00:00.0 2000.00  16:32 4.699  WFC    0.0  180  Halpha                           
 441316 Flat field        2:50:04.00 -19:33:48.9 2000.00  18:55 1.502  WFC    1.7  180  U                                
 441317 Flat field        2:50:03.99 -19:33:49.0 2000.00  19:00 1.502  WFC    1.2  180  U                                
 441318 Flat field        2:50:03.99 -19:33:48.9 2000.00  19:04 1.502  WFC    7.6  180  U                                
 441319 Flat field        2:50:04.00 -19:33:48.9 2000.00  19:05 1.503  WFC    6.0  180  U                                
 441320 Flat field        2:50:04.00 -19:33:49.0 2000.00  19:09 1.504  WFC    3.4  180  Halpha                           
 441321 Flat field        2:50:04.00 -19:33:48.9 2000.00  19:12 1.505  WFC    3.4  180  U                                
 441322 Flat field        2:50:03.99 -19:33:49.0 2000.00  19:13 1.506  WFC    3.4  180  U                                
 441323 Flat field        2:50:04.00 -19:33:48.9 2000.00  19:15 1.507  WFC    4.9  180  U                                
 441324 Flat field        2:50:03.99 -19:33:48.9 2000.00  19:16 1.508  WFC    6.8  180  U                                
 441325 Flat field        2:50:03.99 -19:33:49.0 2000.00  19:18 1.509  WFC    9.4  180  U                                
 441326 Flat field        2:50:03.99 -19:33:49.0 2000.00  19:19 1.510  WFC   17.8  180  U                                
 441327 Flat field        2:50:04.00 -19:33:48.8 2000.00  19:20 1.511  WFC    4.4  180  B                                
 441328 Flat field        2:50:03.99 -19:33:48.9 2000.00  19:22 1.512  WFC    5.7  180  B                                
 441329 Flat field        2:50:03.99 -19:33:49.0 2000.00  19:23 1.514  WFC    6.2  180  B                                
 441330 Flat field        2:50:03.99 -19:33:49.0 2000.00  19:25 1.515  WFC   11.2  180  B                                
 441331 Flat field        2:50:04.00 -19:33:49.0 2000.00  19:26 1.517  WFC   20.8  180  V                                
 441332 Flat field        2:50:04.70 -19:33:39.0 2000.00  19:28 1.519  WFC   30.8  180  V                                
 441333 Flat field        2:50:04.70 -19:33:38.9 2000.00  19:29 1.521  WFC   43.2  180  V                                
 441334 Flat field        2:50:04.70 -19:33:38.9 2000.00  19:31 1.523  WFC   64.7  180  V                                
 441335 Flat field        2:50:04.70 -19:33:28.9 2000.00  19:33 1.526  WFC  120.0  180  V                                
 441336 Focus run         2:33:41.30 +05:18:45.0 2000.00  19:52 1.138  WFC   10.0  180  V                                
 441337 PG0231+051        2:33:41.30 +05:18:44.9 2000.00  19:57 1.150  WFC   30.1  180  U                                
 441338 M33_A             1:32:31.99 +30:41:15.9 2000.00  21:07 1.410  WFC  119.6  180  V                                
 441339 M33_A             1:32:32.00 +30:41:16.0 2000.00  21:11 1.433  WFC  180.0  180  U                                
 441340 M33_A             1:32:32.00 +30:41:16.1 2000.00  21:15 1.453  WFC  150.0  180  B                                
 441341 M33B              1:32:37.00 +30:16:29.9 2000.00  21:19 1.478  WFC  150.0  180  B                                
 441342 M33B              1:32:36.99 +30:16:29.7 2000.00  21:22 1.502  WFC  180.0  180  U                                
 441344 NGC1893           5:22:29.28 +33:30:51.0 2000.00  23:35 1.128  WFC  180.0  180  Halpha                           
 441345 NGC1893           5:22:29.29 +33:30:50.8 2000.00  23:44 1.145  WFC   60.1  180  U                                
 441346 NGC1893           5:22:29.29 +33:30:50.7 2000.00  23:46 1.151  WFC   30.0  180  B                                
 441347 NGC1893           5:22:29.29 +33:30:50.7 2000.00  23:48 1.154  WFC   30.1  180  V                                
 441348 NGC1893           5:22:29.27 +33:30:50.9 2000.00  23:51 1.162  WFC   30.1  180  R                                
 441349 NGC1893           5:22:31.69 +33:31:21.3 2000.00  23:56 1.177  WFC  179.9  180  Halpha                           
 441350 NGC1893           5:22:31.68 +33:31:20.7 2000.00  00:00 1.185  WFC   60.1  180  U                                
 441351 NGC1893           5:22:31.69 +33:31:20.7 2000.00  00:01 1.190  WFC   30.1  180  B                                
 441352 NGC1893           5:22:31.69 +33:31:20.9 2000.00  00:03 1.194  WFC   30.1  180  V                                
 441353 NGC1893           5:22:31.68 +33:31:20.8 2000.00  00:04 1.197  WFC   30.1  180  R                                
 441354 NGC1893           0:00:00.00 +00:00:00.0 2000.00  10:59 4.243  WFC    2.1  180  R                                
 441356 NGC1893           0:00:00.00 +00:00:00.0 2000.00  11:03 4.243  WFC    2.1  180  R                                
 441357 NGC1893           0:00:00.00 +00:00:00.0 2000.00  11:04 4.243  WFC    1.5  180  R                                
 441358 NGC1893           0:00:00.00 +00:00:00.0 2000.00  11:05 4.243  WFC    0.8  180  R                                
 441359 NGC1893           0:00:00.00 +00:00:00.0 2000.00  11:05 4.243  WFC    2.1  180  R                                
 441361 NGC1893           0:00:00.00 +00:00:00.0 2000.00  11:43 4.243  WFC    2.0  180  Halpha                           
 441362 NGC1893           0:00:00.00 +00:00:00.0 2000.00  11:44 4.243  WFC    5.1  180  Halpha                           
 441363 Bias              0:00:00.00 +00:00:00.0 2000.00  11:51 4.243  WFC    0.0  180  U                                
