INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 03 15 07:15

TELESCOPE             INT
DATE                  20050314
OBSERVER/S            James
PROGRAMME             WIDE FIELD SURVEY OF VIRGO CLUSTER
PROPOSAL REF          P6
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 44.15
INSTRUMENT/S          WFC

SUNSET (UT)           19:26
EVENING TWILIGHT (UT) 20:37
MORNING TWILIGHT (UT) 06:03
SUNRISE (UT)          07:14
%ILLUM. LUNAR DISK    24
DARK TIME (HRS)       09:26
TWILIGHT TIME (HRS)   02:22
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          23:53

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   4.8   11    22.3  27.2  323   766.7    4.8   6.6     3.8   11    15 
21:00   4.8   10    25.9  28.6  328   767.1    4.8  -1.9     8.8   10     6 
22:00   5.6   10    25.8  28.1  299   767.7    5.6   7.1     6.1   10     8 
23:00   5.8    9    28.4  30.9  315   768.0    5.8   6.8     8.6    9    19 
00:00   6.7    4    22.4  24.2  303   768.2    6.7  -6.3     8.5    4     3 
01:00   7.4    3    21.5  23.6  292   767.9    7.4   7.2     8.4    3     0 
02:00   7.5    4    20.3  21.4  275   767.9    7.5   7.8     3.3    4    11 
03:00   7.5    6    22.7  23.4  291   767.5    7.5   8.0     3.3    6     4 
04:00   7.2   31    15.7  16.3  301   767.4    7.2   7.9     8.4   31    14 
05:00   7.3   27    13.3  13.8  283   767.5    7.3   3.0     8.5   27    22 
06:00   8.3   18     1.8   2.1  269   767.8    8.3   2.6     8.6   18    20 
07:00   7.7   29     4.2   4.6  246   768.2    7.7   8.2     3.4   29    31 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):


COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 442508 Bias              0:00:00.00 +05:43:46.4 1858.879 13:47 0.000  WFC    0.0    0  V                                
 442509 Bias              0:00:00.00 +25:00:00.0 2000.00  14:06 1.007  WFC    0.0  180  i                                
 442510 Flat field        5:54:47.99 +02:34:59.9 2000.00  19:41 1.114  WFC    3.3  180  B                                
 442511 Flat field        5:54:48.00 +02:34:59.9 2000.00  19:42 1.114  WFC    3.9  180  B                                
 442512 Flat field        5:54:48.66 +02:35:10.0 2000.00  19:43 1.115  WFC    6.3  180  B                                
 442513 Flat field        5:54:49.33 +02:35:19.9 2000.00  19:45 1.115  WFC    6.0  180  B                                
 442514 Flat field        5:54:48.33 +02:35:15.0 2000.00  19:46 1.115  WFC    8.1  180  B                                
 442515 Flat field        5:54:47.33 +02:35:10.0 2000.00  19:47 1.115  WFC   11.3  180  B                                
 442516 Flat field        5:54:46.66 +02:35:19.9 2000.00  19:48 1.116  WFC   15.9  180  B                                
 442517 Flat field        5:54:47.66 +02:34:50.0 2000.00  19:49 1.116  WFC   23.3  180  B                                
 442518 Flat field        5:54:47.00 +02:35:14.9 2000.00  19:51 1.116  WFC   29.0  180  B                                
 442519 Flat field        5:54:49.00 +02:35:15.0 2000.00  19:53 1.117  WFC   50.8  180  B                                
 442520 Focus run         8:52:34.00 -00:39:49.9 2000.00  20:23 1.370  WFC   10.1  180  B                                
 442521 98-185            6:52:01.79 -00:27:22.0 2000.00  20:36 1.146  WFC   10.1  180  B                                
 442522 98-978            6:51:33.70 -00:11:30.0 2000.00  20:38 1.143  WFC   10.1  180  B                                
 442523 98-724            6:52:37.19 -00:19:20.9 2000.00  20:40 1.144  WFC   20.1  180  B                                
 442524 V134             12:36:55.49 +07:30:00.2 2000.00  21:49 2.375  WFC  749.6  180  B                                
 442525 V135             12:39:00.59 +07:29:59.9 2000.00  22:03 2.160  WFC  749.6  180  B                                
 442526 V136             12:41:05.70 +07:30:00.1 2000.00  22:19 1.967  WFC  749.1  180  B                                started when tracking not guiding
 442527 V137             12:43:10.79 +07:30:00.1 2000.00  22:36 1.798  WFC  749.6  180  B                                
 442528 V136             12:41:05.70 +07:29:59.8 2000.00  22:56 1.605  WFC  749.2  180  B                                
 442529 V138             12:45:15.80 +07:30:00.0 2000.00  23:13 1.516  WFC  749.6  180  B                                
 442530 V139             12:47:20.90 +07:30:00.2 2000.00  23:28 1.440  WFC  749.7  180  B                                
