INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 03 18 07:36

TELESCOPE             INT
DATE                  20050317
OBSERVER/S            James
PROGRAMME             WIDE FIELD SURVEY OF VIRGO CLUSTER
PROPOSAL REF          P6
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.99
INSTRUMENT/S          WFC

SUNSET (UT)           19:28
EVENING TWILIGHT (UT) 20:39
MORNING TWILIGHT (UT) 05:59
SUNRISE (UT)          07:11
%ILLUM. LUNAR DISK    52
DARK TIME (HRS)       09:20
TWILIGHT TIME (HRS)   02:23
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          02:51

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   8.8   21    24.1  25.4  154   770.7    8.8  10.2    11.9   21    17 
21:00   8.9   20    22.2  24.7  154   771.2    8.9  10.0    11.6   20    20 
22:00   9.4   26    21.5  24.5  181   771.7    9.4  10.5    11.7   26    23 
23:00   9.1   26    25.3  26.7  172   771.3    9.1  10.2    11.6   26    23 
00:00   8.8   23    18.5  21.5  155   770.7    8.8  10.0    11.5   23    21 
01:00   8.4   22    21.3  25.4  135   770.0    8.4   9.7    11.4   22    18 
02:00   8.2   26    21.1  29.0  145   770.1    8.2   9.4    11.0   26    20 
03:00   7.9   18    19.6  22.3  139   770.0    7.9   9.2    10.9   18    17 
04:00   7.6   15    20.1  26.1  151   769.3    7.6   8.9    10.7   15    10 
05:00   7.7   20    19.8  22.3  151   769.7    7.7   9.1    10.5   20    19 
06:00   8.0   25    21.3  26.5  140   768.1    8.0   9.3    10.4   25    21 
07:00   8.5   15    16.5  19.5  143   768.7    8.5   9.7    10.7   15     9 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Cirrus, seeing 1.3 to 3 arcsec

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 442727 Bias             23:59:59.99 +19:59:59.9 2005.207 13:59 1.019  WFC    0.0  180  V                                
 442728 Bias              0:00:00.00 +00:00:00.0 2005.207 19:08 1.000  WFC    0.0  180  B                                
 442729 Bias              0:00:00.00 +00:00:00.0 2005.207 19:13 1.000  WFC    0.0  180  B                                
 442730 Bias              0:00:00.00 +00:00:00.0 2005.207 19:13 1.000  WFC    0.0  180  B                                
 442731 Bias              0:00:00.00 +00:00:00.0 2005.207 19:14 1.000  WFC    0.0  180  B                                
 442732 Bias              0:00:00.00 +00:00:00.0 2005.207 19:15 1.000  WFC    0.0  180  B                                
 442733 Flat field        5:54:47.99 +02:34:59.9 2000.00  19:35 1.115  WFC    7.3  180  Halpha                           
 442734 Flat field        5:54:48.66 +02:35:09.9 2000.00  19:37 1.116  WFC    9.2  180  Halpha                           
 442735 Flat field        5:54:48.66 +02:34:49.8 2000.00  19:39 1.116  WFC   13.8  180  Halpha                           
 442736 Flat field        5:54:48.67 +02:34:49.9 2000.00  19:45 1.119  WFC    7.1  180  B                                
 442737 Flat field        5:54:48.67 +02:35:10.1 2000.00  19:47 1.119  WFC    8.3  180  B                                
 442738 Flat field        5:54:47.33 +02:35:09.8 2000.00  19:49 1.120  WFC   12.5  180  B                                
 442739 Flat field        5:54:47.33 +02:35:10.0 2000.00  19:51 1.121  WFC   27.8  180  R                                
 442740 Flat field        5:54:48.66 +02:35:10.0 2000.00  19:53 1.123  WFC   44.1  180  R                                
 442741 Flat field        5:54:48.66 +02:34:49.9 2000.00  19:54 1.124  WFC   71.6  180  R                                
 442742 Focus run         5:57:37.30 +00:13:43.8 2000.00  20:06 1.153  WFC   10.1  180  B                                
 442743 96-83 B           4:52:58.80 -00:14:41.0 2000.00  20:15 1.298  WFC   20.1  180  B                                
 442744 96-83 B           4:52:58.80 -00:14:41.0 2000.00  20:18 1.307  WFC   10.1  180  B                                
 442745 96-83 R           4:52:58.80 -00:14:40.9 2000.00  20:21 1.315  WFC    4.6  180  R                                
 442746 96-83 Ha          4:52:58.80 -00:14:41.0 2000.00  20:23 1.323  WFC   30.1  180  Halpha                           
 442747 97-284 Ha         5:58:25.10 +00:05:14.0 2000.00  20:27 1.179  WFC   30.1  180  Halpha                           
 442748 97-284 Ha         5:58:25.10 +00:05:14.0 2000.00  20:29 1.182  WFC   20.0  180  Halpha                           
 442749 97-284 B          5:58:25.09 +00:05:14.0 2000.00  20:31 1.185  WFC    9.5  180  B                                
 442751 97-284 R          5:58:25.10 +00:05:13.9 2000.00  20:33 1.188  WFC    4.5  180  R                                
 442752 97-284 R          5:58:25.10 +00:05:13.9 2000.00  20:35 1.190  WFC    2.1  180  R                                
 442753 97-284 R          5:58:25.10 +00:05:14.0 2000.00  20:36 1.192  WFC    1.1  180  R                                
 442754 PG0918+029 R      9:21:28.29 +02:46:03.9 2000.00  20:41 1.310  WFC    5.1  180  R                                
 442755 PG0918+029 B      9:21:28.30 +02:46:03.9 2000.00  20:45 1.296  WFC    9.6  180  B                                
 442756 PG0918+029 Ha     9:21:28.29 +02:46:04.0 2000.00  20:48 1.288  WFC   30.1  180  Halpha                           
 442757 NGC2146 Ha        6:18:37.70 +78:21:24.9 2000.00  20:58 1.567  WFC 1198.9  180  Halpha                           
 442758 NGC2146 R         6:18:37.70 +78:21:25.0 2000.00  21:23 1.579  WFC  299.9  180  R                                
 442759 V153             12:34:50.69 +07:50:00.0 2000.00  21:41 2.182  WFC 1199.5  180  Halpha                           
 442760 V155             12:39:01.00 +07:49:59.9 2000.00  22:07 1.890  WFC 1199.4  180  Halpha                           
 442761 V156             12:41:06.20 +07:49:59.9 2000.00  22:38 1.616  WFC 1199.4  180  Halpha                           
 442762 V157             12:43:11.40 +07:49:59.9 2000.00  23:02 1.469  WFC 1199.4  180  Halpha                           
 442763 V158             12:45:16.49 +07:50:00.0 2000.00  23:27 1.356  WFC 1199.3  180  Halpha                           
 442764 V159             12:47:21.69 +07:50:00.0 2000.00  23:50 1.272  WFC 1199.4  180  Halpha                           
 442765 V159             12:47:21.69 +07:49:59.9 2000.00  00:12 1.227  WFC  300.0  180  R                                
 442766 V158             12:45:16.50 +07:49:59.8 2000.00  00:19 1.201  WFC  299.9  180  R                                
 442767 V157             12:43:11.39 +07:49:59.8 2000.00  00:26 1.180  WFC  299.4  180  R                                
 442768 V156             12:41:06.19 +07:50:00.0 2000.00  00:33 1.160  WFC  300.0  180  R                                
 442769 V155             12:39:00.99 +07:50:00.0 2000.00  00:40 1.142  WFC  299.9  180  R                                
 442770 V153             12:34:50.70 +07:50:00.0 2000.00  00:48 1.124  WFC  300.0  180  R                                
 442771 pg1047+003 R     10:50:02.90 -00:00:38.0 2000.00  00:54 1.155  WFC    2.5  180  R                                
 442772 pg1047+003 Ha    10:50:02.89 -00:00:37.9 2000.00  00:57 1.157  WFC   20.1  180  Halpha                           
 442773 pg1047+003 B     10:50:02.90 -00:00:37.9 2000.00  00:59 1.158  WFC    4.0  180  B                                
 442774 V152             12:32:45.50 +07:50:00.0 2000.00  01:02 1.102  WFC  299.9  180  R                                
 442775 V151             12:30:40.40 +07:50:00.2 2000.00  01:09 1.092  WFC  299.9  180  R                                
 442776 V150             12:28:35.20 +07:50:00.2 2000.00  01:19 1.083  WFC  299.9  180  R                                
 442777 V149             12:26:30.00 +07:49:59.9 2000.00  01:27 1.077  WFC  299.4  180  R                                
 442778 V148             12:24:24.90 +07:49:59.9 2000.00  01:34 1.073  WFC  299.9  180  R                                
 442779 V147             12:22:19.69 +07:49:59.9 2000.00  01:41 1.071  WFC  299.9  180  R                                
 442780 V146             12:20:14.49 +07:50:00.5 2000.00  01:48 1.071  WFC  299.9  180  R                                
 442781 V145             12:18:09.40 +07:49:59.9 2000.00  01:55 1.072  WFC  299.9  180  R                                
 442782 V144             12:16:04.19 +07:49:59.8 2000.00  02:03 1.075  WFC  299.9  180  R                                
 442783 V143             12:13:59.00 +07:50:00.1 2000.00  02:10 1.079  WFC  299.9  180  R                                
 442784 V142             12:11:53.89 +07:49:59.9 2000.00  02:17 1.086  WFC  299.4  180  R                                
 442785 V141             12:09:48.69 +07:49:59.9 2000.00  02:29 1.098  WFC  299.9  180  R                                
 442786 pg1323-085 R     13:25:39.40 -08:49:20.3 2000.00  02:36 1.266  WFC    4.1  180  R                                
 442787 pg1323-085 Ha    13:25:39.39 -08:49:19.9 2000.00  02:38 1.265  WFC   40.1  180  Halpha                           
 442788 pg1323-085 B     13:25:39.39 -08:49:19.9 2000.00  02:40 1.264  WFC   10.1  180  B                                
 442789 V212             12:32:45.99 +08:49:59.9 2000.00  02:45 1.088  WFC  749.6  180  B                                
 442791 V214             12:36:56.89 +08:49:59.9 2000.00  03:03 1.103  WFC  749.7  180  B                                
 442792 V215             12:39:02.39 +08:49:59.8 2000.00  03:19 1.123  WFC  749.1  180  B                                
 442793 V216             12:41:07.89 +08:50:00.0 2000.00  03:35 1.148  WFC  749.7  180  B                                
 442794 pg1323-085 B     13:25:39.40 -08:49:19.8 2000.00  03:49 1.303  WFC   10.1  180  B                                
 442795 V217             12:43:13.40 +08:50:00.1 2000.00  03:53 1.181  WFC  749.7  180  B                                
 442796 V218             12:45:18.90 +08:50:00.0 2000.00  04:10 1.221  WFC  749.6  180  B                                
 442797 V219             12:47:24.39 +08:50:00.1 2000.00  04:26 1.267  WFC  749.5  180  B                                
 442798 V220             12:49:29.90 +08:49:59.9 2000.00  04:43 1.323  WFC  749.7  180  B                                
 442799 V213             12:34:51.40 +08:49:59.9 2000.00  04:59 1.471  WFC  749.6  180  B                                
 442800 pg1323-085 B     13:25:39.39 -08:49:19.9 2000.00  05:15 1.579  WFC   19.5  180  B                                
