INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 04 03 06:59

TELESCOPE             INT
DATE                  20050402
OBSERVER/S            K Kovac
PROGRAMME             A search for the lowest mass galaxies
PROPOSAL REF          I05An006
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 44.06
INSTRUMENT/S          WFC

SUNSET (UT)           19:37
EVENING TWILIGHT (UT) 20:50
MORNING TWILIGHT (UT) 05:39
SUNRISE (UT)          06:52
%ILLUM. LUNAR DISK    39
DARK TIME (HRS)       08:49
TWILIGHT TIME (HRS)   02:26
MOONRISE (UT)         03:24
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   9.4    8    10.6  11.6  282   770.1    9.4  13.0    10.9    8     9 
21:00  10.2   10     7.8   8.6  298   770.4   10.2  11.1    11.2   10     7 
22:00  10.7    9    10.7  10.9  284   771.1   10.7  11.2    11.1    9     6 
23:00  10.8    8    12.5  12.7  286   771.6   10.8  11.0    11.1    8     5 
00:00  11.6    6     4.7   4.8  239   771.5   11.6  11.5    11.0    6     3 
01:00  11.7   16     8.8   9.4  243   771.2   11.7  11.5    11.0   16    13 
02:00  11.2    9    13.2  13.5  252   770.8   11.2  11.0    10.9    9     6 
03:00  10.7   11     8.8   9.1  220   770.5   10.7  11.1    11.0   11     7 
04:00  11.2    9     6.3   6.7  219   770.0   11.2  11.3    11.0    9     6 
05:00  11.2   11    12.4  12.5  250   769.8   11.2  11.8    11.1   11     7 
06:00  11.3   15     5.4   5.7  188   769.9   11.3  11.7    10.9   15    11 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
photometric; seeing between 1.0 - 1. 2 arcsec

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 444526 Bias              0:00:00.00 +00:00:00.0 2005.251 18:50 1.000  WFC    0.0  180  i                                
 444527 Bias              0:00:00.00 +00:00:00.0 2005.251 18:50 1.000  WFC    0.0  180  i                                
 444528 Bias              0:00:00.00 +00:00:00.0 2005.251 18:51 1.000  WFC    0.0  180  i                                
 444529 Bias              0:00:00.00 +00:00:00.0 2005.251 18:52 1.000  WFC    0.0  180  i                                
 444530 Bias              0:00:00.00 +00:00:00.0 2005.251 18:52 1.000  WFC    0.0  180  i                                
 444531 Flat field        9:13:49.00 +46:13:57.9 2000.00  19:43 1.140  WFC    3.5  180  Halpha                           
 444532 Flat field        9:13:49.96 +46:14:07.9 2000.00  19:45 1.138  WFC    4.0  180  Halpha                           
 444533 Flat field        9:13:48.04 +46:13:48.0 2000.00  19:46 1.136  WFC    5.3  180  Halpha                           
 444534 Flat field        9:13:48.99 +46:13:58.0 2000.00  19:52 1.126  WFC    3.5  180  R                                
 444535 Flat field        9:13:49.96 +46:14:08.0 2000.00  19:54 1.124  WFC    4.1  180  R                                
 444536 Flat field        9:13:48.03 +46:13:47.9 2000.00  19:55 1.122  WFC    5.6  180  R                                
 444537 Flat field        9:13:49.00 +46:13:57.9 2000.00  19:56 1.120  WFC    6.3  180  B                                
 444538 Flat field        9:13:49.97 +46:14:08.0 2000.00  19:58 1.118  WFC   11.0  180  B                                
 444539 Flat field        9:13:49.96 +46:14:07.9 2000.00  19:59 1.116  WFC   17.1  180  B                                
 444540 Flat field        9:13:48.03 +46:13:48.0 2000.00  20:00 1.114  WFC   23.9  180  B                                
 444541 Focus run         9:56:26.95 -00:23:09.5 2000.00  20:24 1.323  WFC   10.1  180  R                                
 444542 KVC51 R 60 60    12:49:36.32 +44:22:36.5 2000.00  20:41 1.728  WFC  599.2  180  R                                
 444543 KVC51 B 60 60    12:49:36.32 +44:22:36.5 2000.00  20:52 1.651  WFC  599.2  180  B                                
 444544 KVC51 B 0 0      12:49:30.71 +44:21:36.5 2000.00  21:05 1.567  WFC  599.7  180  B                                
 444545 KVC51 R 0 0      12:49:30.71 +44:21:36.6 2000.00  21:16 1.507  WFC  599.7  180  R                                
 444546 KVC51 R -120 -60 12:49:19.54 +44:20:36.5 2000.00  21:29 1.444  WFC  599.2  180  R                                
 444547 KVC51 B 0 0      12:49:19.54 +44:20:36.5 2000.00  21:40 1.395  WFC  599.7  180  B                                
 444548 KVC41 B 0 0      12:35:00.42 +40:52:17.8 2000.00  21:52 1.297  WFC  299.4  180  B                                
 444549 KVC41 B 0 0      12:35:00.42 +40:52:18.1 2000.00  21:58 1.277  WFC  299.9  180  B                                
 444550 KVC41 B 0 0      12:35:00.42 +40:52:18.0 2000.00  22:05 1.259  WFC  150.0  180  R                                
 444551 KVC41 R 0 0      12:35:00.42 +40:52:18.0 2000.00  22:08 1.249  WFC  150.0  180  R                                
 444552 KVC41 R 0 0      12:35:00.41 +40:52:18.0 2000.00  22:11 1.239  WFC  150.0  180  R                                
 444553 KVC41 R 0 0      12:35:00.41 +40:52:18.0 2000.00  22:14 1.230  WFC  150.0  180  R                                
 444554 KVC41 R 0 -60    12:35:00.41 +40:51:18.0 2000.00  22:19 1.217  WFC  150.1  180  R                                
 444555 KVC41 R 0 -60    12:35:00.42 +40:51:18.0 2000.00  22:23 1.207  WFC  150.0  180  R                                
 444556 KVC41 R 0 -60    12:35:00.42 +40:51:18.0 2000.00  22:26 1.199  WFC  149.5  180  R                                
 444557 KVC41 R 0 -60    12:35:00.42 +40:51:18.0 2000.00  22:29 1.191  WFC  149.9  180  R                                
 444558 KVC41 B 0 -60    12:35:00.41 +40:51:18.0 2000.00  22:32 1.182  WFC  149.5  180  B                                
 444559 KVC41 B 0 -60    12:35:00.42 +40:51:18.0 2000.00  22:35 1.175  WFC  150.0  180  B                                
 444560 KVC41 B 0 -60    12:35:00.42 +40:51:18.0 2000.00  22:38 1.168  WFC  149.5  180  B                                
 444561 KVC41 B 0 -60    12:35:00.41 +40:51:18.0 2000.00  22:42 1.161  WFC  150.0  180  B                                
 444562 KVC41 B 60 -60   12:35:05.70 +40:51:18.0 2000.00  22:46 1.151  WFC  150.0  180  B                                
 444563 KVC41 B 60 -60   12:35:05.71 +40:51:18.0 2000.00  22:49 1.145  WFC  148.9  180  B                                
 444564 KVC41 B 60 -60   12:35:05.70 +40:51:18.0 2000.00  22:52 1.139  WFC  150.0  180  B                                
 444565 KVC41 B 60 -60   12:35:05.70 +40:51:18.0 2000.00  22:55 1.133  WFC  150.0  180  B                                
 444566 KVC41 R 60 -60   12:35:05.71 +40:51:18.0 2000.00  22:59 1.126  WFC  150.0  180  R                                
 444567 KVC41 R 60 -60   12:35:05.70 +40:51:18.0 2000.00  23:02 1.121  WFC  149.5  180  R                                
 444568 KVC41 R 60 -60   12:35:05.71 +40:51:18.0 2000.00  23:05 1.115  WFC  150.0  180  R                                
 444569 KVC41 R 60 -60   12:35:05.71 +40:51:18.0 2000.00  23:08 1.110  WFC  149.4  180  R                                
 444570 sa101 R 2         9:56:26.96 -00:23:09.6 2000.00  23:13 1.173  WFC    2.1  180  R                                
 444571 sa101 R 5         9:56:26.96 -00:23:09.5 2000.00  23:14 1.174  WFC    5.1  180  R                                
