INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 05 21 06:59

TELESCOPE             INT
DATE                  20050520
OBSERVER/S            Dillon/Gaensicke
PROGRAMME             Towards a global understanding of compact binary evolution
PROPOSAL REF          ITP7
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 44.0
INSTRUMENT/S          WFC

SUNSET (UT)           20:06
EVENING TWILIGHT (UT) 21:28
MORNING TWILIGHT (UT) 04:47
SUNRISE (UT)          06:10
%ILLUM. LUNAR DISK    90
DARK TIME (HRS)       07:19
TWILIGHT TIME (HRS)   02:45
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          04:35

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  14.3   13     0.0   0.0  179   772.2   14.3  16.6    15.5   13     8 
22:00  13.7   11     0.0   0.1  156   772.8   13.7  15.4    15.4   11     6 
23:00  13.3    8     0.0   0.0  355   773.2   13.3  15.0    15.2    8     6 
00:00  13.6    9     0.0   0.0  355   773.4   13.6  14.8    15.1    9     4 
01:00  14.1   16     0.7   0.8   54   773.4   14.1  14.6    15.0   16    13 
02:00  13.8   19     2.2   2.2  137   772.7   13.8  14.2    15.0   19    19 
03:00  13.5   10     1.8   1.8  138   772.4   13.5  14.3    14.9   10     8 
04:00  13.2    8     4.2   4.3  155   771.8   13.2  13.9    15.0    8     4 
05:00  12.9    9     3.8   4.2  156   771.5   12.9  13.5    14.9    9     5 
06:00  13.7    5     3.7   3.8  158   771.5   13.7  13.3    14.7    5     2 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
subarcsec seeing throughout, medium thick cirrus at the beginning, getting better in the secon half of the night.

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 450472 Bias frame        3:45:11.99 +45:34:45.0 2000.00  13:47 1.057  WFC    0.0  180  i                                
 450473 Bias              0:00:00.00 +00:00:00.0 2000.00  19:40 1.000  WFC    0.0  180  CLEAR                            
 450474 Bias              0:00:00.00 +00:00:00.0 2000.00  19:40 1.000  WFC    0.0  180  CLEAR                            
 450475 Bias              0:00:00.00 +00:00:00.0 2000.00  19:41 1.000  WFC    0.0  180  CLEAR                            
 450476 Bias              0:00:00.00 +00:00:00.0 2000.00  19:41 1.000  WFC    0.0  180  CLEAR                            
 450477 Bias              0:00:00.00 +00:00:00.0 2000.00  19:42 1.000  WFC    0.0  180  CLEAR                            
 450478 Bias              0:00:00.00 +00:00:00.0 2000.00  19:43 1.000  WFC    0.0  180  CLEAR                            
 450479 Bias              0:00:00.00 +00:00:00.0 2000.00  19:43 1.000  WFC    0.0  180  CLEAR                            
 450480 Bias              0:00:00.00 +00:00:00.0 2000.00  19:44 1.000  WFC    0.0  180  CLEAR                            
 450481 Bias              0:00:00.00 +00:00:00.0 2000.00  19:44 1.000  WFC    0.0  180  CLEAR                            
 450482 Bias              0:00:00.00 +00:00:00.0 2000.00  19:45 1.000  WFC    0.0  180  CLEAR                            
 450483 Bias              0:00:00.00 +00:00:00.0 2000.00  19:46 1.000  WFC    0.0  180  CLEAR                            
 450484 Bias              0:00:00.00 +00:00:00.0 2000.00  19:46 1.000  WFC    0.0  180  CLEAR                            
 450485 Bias              0:00:00.00 +00:00:00.0 2000.00  19:47 1.000  WFC    0.0  180  CLEAR                            
 450486 Bias              0:00:00.00 +00:00:00.0 2000.00  19:47 1.000  WFC    0.0  180  CLEAR                            
 450487 Bias              0:00:00.00 +00:00:00.0 2000.00  19:48 1.000  WFC    0.0  180  CLEAR                            
 450488 Flat field       13:47:42.00 +05:37:35.9 2000.00  20:25 1.394  WFC    3.1  180  g                                
 450489 Flat field       13:47:42.00 +05:37:46.0 2000.00  20:27 1.385  WFC    4.6  180  g                                
 450490 Flat field       13:47:41.33 +05:37:46.0 2000.00  20:28 1.379  WFC    7.1  180  g                                
 450491 Flat field       13:47:41.32 +05:37:35.9 2000.00  20:30 1.374  WFC   11.1  180  g                                
 450492 Flat field       13:47:41.33 +05:37:45.8 2000.00  20:31 1.368  WFC   17.1  180  g                                
 450493 Flat field       13:47:42.00 +05:37:26.0 2000.00  20:32 1.360  WFC   26.1  180  g                                
 450494 Flat field       13:47:42.66 +05:37:26.0 2000.00  20:35 1.351  WFC   26.1  180  g                                
 450495 Flat field       13:47:42.67 +05:37:36.0 2000.00  20:36 1.344  WFC   32.1  180  g                                
 450496 Flat field       13:47:42.66 +05:37:46.0 2000.00  20:38 1.337  WFC   42.1  180  g                                
 450497 Focus run        12:44:26.29 +61:35:15.0 2000.00  20:56 1.217  WFC   29.6  180  g                                
 450499 1244+6135        12:44:26.30 +61:35:15.0 2000.00  21:02 1.209  WFC   40.1  180  g                                
 450500 1244+6135        12:44:26.30 +61:35:15.0 2000.00  21:03 1.208  WFC   39.6  180  g                                
 450501 1244+6135        12:44:26.29 +61:35:14.9 2000.00  21:04 1.207  WFC   40.1  180  g                                
 450502 1244+6135        12:44:26.30 +61:35:15.0 2000.00  21:06 1.207  WFC   40.1  180  g                                
 450503 1244+6135        12:44:26.30 +61:35:14.9 2000.00  21:07 1.206  WFC   40.1  180  g                                
 450504 1244+6135        12:44:26.29 +61:35:15.0 2000.00  21:08 1.205  WFC   40.0  180  g                                
 450505 1244+6135        12:44:26.30 +61:35:15.0 2000.00  21:09 1.204  WFC   40.1  180  g                                
 450507 1244+6135        12:44:26.29 +61:35:14.9 2000.00  21:19 1.199  WFC   40.1  180  g                                
 450509 1244+6135        12:44:26.30 +61:35:14.9 2000.00  21:22 1.198  WFC   40.1  180  g                                
 450510 1244+6135        12:44:26.30 +61:35:15.0 2000.00  21:24 1.197  WFC   40.1  180  g                                
 450511 1244+6135        12:44:26.30 +61:35:14.9 2000.00  21:25 1.196  WFC   40.0  180  g                                
 450512 1244+6135        12:44:26.30 +61:35:14.9 2000.00  21:26 1.196  WFC   40.1  180  g                                
