INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 05 23 06:55

TELESCOPE             INT
DATE                  20050522
OBSERVER/S            Dillon/Gaensicke
PROGRAMME             Towards a global understanding of compact binary evolution
PROPOSAL REF          ITP7
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:07
EVENING TWILIGHT (UT) 21:30
MORNING TWILIGHT (UT) 04:46
SUNRISE (UT)          06:09
%ILLUM. LUNAR DISK    99
DARK TIME (HRS)       07:16
TWILIGHT TIME (HRS)   02:46
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          05:50

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  10.9   10     8.4   9.6   54   770.8   10.9  15.1    15.7   10     4 
22:00  10.9   10     7.3   7.9   58   771.2   10.9  12.7    15.3   10     5 
23:00  11.3    8     5.3   8.1  355   771.5   11.3  13.1    15.2    8     3 
00:00  11.9    9     9.3  11.3   51   771.8   11.9  13.3    15.1    9     4 
01:00  11.4   18     4.5   5.9  134   771.6   11.4  12.7    14.8   18    14 
02:00  11.1   18     9.1  12.4   97   771.3   11.1  12.3    14.5   18    13 
03:00  11.1   15     8.3  10.3   47   771.1   11.1  11.9    14.3   15    10 
04:00  11.1   16    10.4  10.7   30   770.6   11.1  11.7    14.2   16    11 
05:00  11.0   13     5.2   5.5   54   770.4   11.0  11.7    14.2   13     8 
06:00  11.2   11     3.0   3.3    1   770.5   11.2  11.7    13.7   11     7 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Seeing fluctuated dramatically until 02:00, and then improved dramatically remaining <1".0 till the end of the night

COMMENTS (causes of time lost, setup information eg CCD windows):
corrupted entry in catalogue resulted in target object not being located in required CCD. Catalogue was erased and targets were added as required during the course of the night.



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 451232 Bias frame        3:00:00.00 +33:59:59.9 2005.387 14:26 1.147  WFC    0.0  180  Unknown                          
 451233 Bias frame        3:00:00.00 +34:00:00.0 2005.387 14:28 1.152  WFC    0.0  180  Unknown                          
 451234 Bias frame        3:00:00.00 +33:59:59.9 2005.387 14:29 1.155  WFC    0.0  180  CLEAR                            
 451235 TEST              0:00:00.00 +00:00:00.0 2005.387 14:34 4.290  WFC    2.0  180  Unknown                          
 451236 Bias              0:00:00.00 +00:00:00.0 2005.388 19:14 1.000  WFC    0.0  180  g                                
 451237 Bias              0:00:00.00 +00:00:00.0 2005.388 19:15 1.000  WFC    0.0  180  g                                
 451238 Bias              0:00:00.00 +00:00:00.0 2005.388 19:15 1.000  WFC    0.0  180  g                                
 451239 Bias              0:00:00.00 +00:00:00.0 2005.388 19:16 1.000  WFC    0.0  180  g                                
 451240 Bias              0:00:00.00 +00:00:00.0 2005.388 19:16 1.000  WFC    0.0  180  g                                
 451241 Bias              0:00:00.00 +00:00:00.0 2005.388 19:17 1.000  WFC    0.0  180  g                                
 451242 Bias              0:00:00.00 +00:00:00.0 2005.388 19:18 1.000  WFC    0.0  180  g                                
 451243 Bias              0:00:00.00 +00:00:00.0 2005.388 19:18 1.000  WFC    0.0  180  g                                
 451244 Bias              0:00:00.00 +00:00:00.0 2005.388 19:19 1.000  WFC    0.0  180  g                                
 451245 Bias              0:00:00.00 +00:00:00.0 2005.388 19:19 1.000  WFC    0.0  180  g                                
 451246 Bias              0:00:00.00 +00:00:00.0 2005.388 19:20 1.000  WFC    0.0  180  g                                
 451247 Bias              0:00:00.00 +00:00:00.0 2005.388 19:21 1.000  WFC    0.0  180  g                                
 451248 Bias              0:00:00.00 +00:00:00.0 2005.388 19:21 1.000  WFC    0.0  180  g                                
 451249 Bias              0:00:00.00 +00:00:00.0 2005.388 19:22 1.000  WFC    0.0  180  g                                
 451250 Bias              0:00:00.00 +00:00:00.0 2005.388 19:22 1.000  WFC    0.0  180  g                                
 451251 Flat field       13:47:42.00 +05:37:36.0 2000.00  20:25 1.361  WFC    5.1  180  g                                
 451252 Flat field       13:47:42.00 +05:37:46.0 2000.00  20:27 1.351  WFC    7.6  180  g                                
 451253 Flat field       13:47:42.00 +05:37:36.0 2000.00  20:30 1.339  WFC    5.1  180  g                                
 451254 Flat field       13:47:41.99 +05:37:46.1 2000.00  20:32 1.329  WFC    5.1  180  g                                
 451255 Flat field       13:47:42.00 +05:37:36.3 2000.00  20:33 1.325  WFC    3.1  180  g                                
 451256 Flat field       13:47:41.99 +05:37:45.8 2000.00  20:35 1.320  WFC    7.1  180  g                                
 451257 Flat field       13:47:41.33 +05:37:45.9 2000.00  20:36 1.314  WFC   19.5  180  g                                
 451258 Flat field       13:47:41.32 +05:37:35.9 2000.00  20:38 1.305  WFC   30.1  180  g                                
 451259 Flat field       13:47:41.33 +05:37:25.9 2000.00  20:40 1.298  WFC   47.6  180  g                                
 451260 Flat field       13:47:42.00 +05:37:25.9 2000.00  20:42 1.290  WFC   65.5  180  g                                
 451261 Flat field       13:47:42.66 +05:37:26.0 2000.00  20:44 1.282  WFC   99.0  180  g                                
 451262 Flat field       13:47:42.67 +05:37:35.8 2000.00  20:47 1.272  WFC  133.1  180  g                                
 451263 Focus run        12:02:20.95 +00:33:45.1 2000.00  21:05 1.135  WFC   30.1  180  g                                
 451265 Focus run                                                      WFC              g                                
 451266 1244+6135        12:44:26.30 +61:35:15.0 2000.00  21:30 1.192  WFC   40.1  180  g                                
 451267 1429+4145        14:29:55.99 +41:45:17.0 2000.00  21:39 1.126  WFC   40.1  180  g                                
 451268 1429+4145        14:29:56.00 +41:45:16.9 2000.00  21:44 1.118  WFC   60.0  180  g                                
 451269 Focus run        14:29:55.99 +41:45:16.9 2000.00  21:55 1.106  WFC   29.6  180  g                                
 451271 1429+4145        14:29:56.00 +41:45:16.9 2000.00  22:10 1.079  WFC   59.5  180  g                                
 451272 1429+4145        14:29:56.00 +41:45:16.9 2000.00  22:13 1.075  WFC   59.5  180  g                                
 451273 1429+4145        14:29:55.99 +41:45:17.0 2000.00  22:15 1.073  WFC   59.5  180  g                                
 451275 1429+4145        14:29:55.99 +41:45:16.9 2000.00  22:19 1.069  WFC   39.5  180  g                                
 451276 1429+4145        14:29:55.99 +41:45:17.0 2000.00  22:20 1.067  WFC   39.5  180  g                                
 451277 1429+4145        14:29:56.00 +41:45:17.0 2000.00  22:21 1.066  WFC   40.1  180  g                                
 451278 1429+4145        14:29:56.00 +41:45:16.9 2000.00  22:23 1.065  WFC   40.1  180  g                                
 451279 1429+4145        14:29:55.99 +41:45:16.9 2000.00  22:24 1.063  WFC   40.1  180  g                                
 451280 1429+4145        14:29:55.99 +41:45:16.9 2000.00  22:25 1.062  WFC   40.1  180  g                                
 451281 1429+4145        14:29:56.00 +41:45:17.0 2000.00  22:26 1.061  WFC   40.1  180  g                                
 451282 1429+4145        14:29:56.00 +41:45:16.9 2000.00  22:28 1.059  WFC   40.1  180  g                                
 451283 1429+4145        14:29:56.00 +41:45:17.0 2000.00  22:29 1.058  WFC   40.1  180  g                                
 451284 1429+4145        14:29:56.00 +41:45:16.9 2000.00  22:30 1.057  WFC   40.1  180  g                                
 451285 1429+4145        14:29:55.99 +41:45:17.0 2000.00  22:32 1.056  WFC   40.1  180  g                                
 451286 1429+4145        14:29:56.00 +41:45:17.0 2000.00  22:33 1.055  WFC   40.1  180  g                                
 451287 1429+4145        14:29:55.99 +41:45:16.9 2000.00  22:34 1.054  WFC   40.1  180  g                                
 451288 1429+4145        14:29:55.99 +41:45:17.0 2000.00  22:35 1.052  WFC   40.1  180  g                                
 451289 1429+4145        14:29:55.99 +41:45:16.9 2000.00  22:37 1.051  WFC   40.1  180  g                                
 451290 1429+4145        14:29:56.00 +41:45:16.9 2000.00  22:38 1.050  WFC   40.1  180  g                                
 451291 1429+4145        14:29:56.00 +41:45:17.0 2000.00  22:39 1.049  WFC   40.1  180  g                                
 451292 1429+4145        14:29:55.99 +41:45:17.0 2000.00  22:41 1.048  WFC   40.1  180  g                                
 451293 1429+4145        14:29:55.99 +41:45:17.0 2000.00  22:42 1.047  WFC   40.1  180  g                                
