INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 06 01 06:45

TELESCOPE             INT
DATE                  20050531
OBSERVER/S            Pasi Hakala
PROGRAMME             Rapid Temporal Survey (RATS)
PROPOSAL REF          000
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    s simon

TEL STATION / FOCUS   Prime  / 43.75
INSTRUMENT/S          WFC

SUNSET (UT)           20:12
EVENING TWILIGHT (UT) 21:37
MORNING TWILIGHT (UT) 04:41
SUNRISE (UT)          06:06
%ILLUM. LUNAR DISK    34
DARK TIME (HRS)       07:04
TWILIGHT TIME (HRS)   02:50
MOONRISE (UT)         02:37
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00   9.9   26     9.0  11.6   66   770.7    9.9  13.9    14.1   26    16 
22:00  10.2   24    18.8  20.1    9   770.8   10.2  12.5    13.9   24    18 
23:00  10.6   22    15.1  15.5   19   771.5   10.6  11.9    13.5   22    19 
00:00  10.6   22    13.8  14.6   21   771.6   10.6  11.8    13.5   22    19 
01:00  12.5   15    10.2  10.3   26   771.5   12.5  12.2    13.5   15    14 
02:00  12.6   16     9.2   9.3   21   771.1   12.6  13.2    13.3   16    11 
03:00  12.4   16     9.1   9.3   13   770.5   12.4  13.3    13.4   16    11 
04:00  12.3   16    11.8  12.0   21   770.0   12.3  12.5    13.4   16    12 
05:00  12.6   15     8.3   8.6   20   769.6   12.6  12.2    13.2   15    13 
06:00  12.6   15     1.8   2.3   23   769.7   12.6  12.1    13.1   15    11 

TIME LOST weather           00:00
TIME LOST Technical         00:20
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
occasional thin cirrus, seeing 1.0-1.2"

COMMENTS (causes of time lost, setup information eg CCD windows):
There were some problems to achieve tracking after pointing to new targets. Had to do a 10" step east using handset after pointing to engage tracking
Thanks to the tech support for pointing this to me. 


 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 452900 Bias              0:00:00.00 +00:00:00.0 2005.412 14:47 1.539  WFC    0.0  180  [OIII]5007                       
 452901 Flat field        0:00:00.00 +00:00:00.0 2005.412 14:50 1.539  WFC    5.1  180  [OIII]5007                       
 452902 Bias frame        0:00:00.00 +00:00:00.0 2005.413 20:01 1.000  WFC    0.0  180  B                                
 452903 Bias frame        0:00:00.00 +00:00:00.0 2005.413 20:01 1.000  WFC    0.0  180  B                                
 452904 Bias frame        0:00:00.00 +00:00:00.0 2005.413 20:02 1.000  WFC    0.0  180  B                                
 452905 Bias frame        0:00:00.00 +00:00:00.0 2005.413 20:02 1.000  WFC    0.0  180  B                                
 452906 Bias frame        0:00:00.00 +00:00:00.0 2005.413 20:03 1.000  WFC    0.0  180  B                                
 452907 Bias frame        0:00:00.00 +00:00:00.0 2005.413 20:04 1.000  WFC    0.0  180  B                                
 452908 Bias frame        0:00:00.00 +00:00:00.0 2005.413 20:04 1.000  WFC    0.0  180  B                                
 452909 Bias frame        0:00:00.00 +00:00:00.0 2005.413 20:05 1.000  WFC    0.0  180  B                                
 452910 Bias frame        0:00:00.00 +00:00:00.0 2005.413 20:05 1.000  WFC    0.0  180  B                                
 452911 Bias frame        0:00:00.00 +00:00:00.0 2005.413 20:06 1.000  WFC    0.0  180  B                                
 452912 Bias frame        0:00:00.00 +00:00:00.0 2005.413 20:07 1.000  WFC    0.0  180  B                                
 452913 Bias frame        0:00:00.00 +00:00:00.0 2005.413 20:07 1.000  WFC    0.0  180  B                                
 452914 Bias frame        0:00:00.00 +00:00:00.0 2005.413 20:08 1.000  WFC    0.0  180  B                                
 452915 Bias frame        0:00:00.00 +00:00:00.0 2005.413 20:09 1.000  WFC    0.0  180  B                                
 452916 Focus run        12:42:15.82 -00:24:47.4 2000.00  21:24 1.145  WFC   10.1  180  i                                
 452918 Focus run        12:42:16.50 -00:24:47.3 2000.00  21:36 1.149  WFC   10.1  180  CLEAR                            
 452919 104-440          12:42:17.16 -00:24:46.9 2000.00  21:39 1.151  WFC   15.1  180  B                                
 452920 104-440          12:42:17.16 -00:24:47.1 2000.00  21:40 1.152  WFC   15.1  180  V                                
 452921 104-440          12:42:17.16 -00:24:47.1 2000.00  21:42 1.153  WFC   15.1  180  i                                
 452922 F_1200_0000      12:00:00.86 +00:00:00.1 2000.00  21:47 1.202  WFC   29.6  180  CLEAR                            
 452923 F_1400_2330_2    13:58:40.12 +23:34:19.1 2000.00  21:51 1.017  WFC  119.5  180  B                                
 452924 F_1400_2330_2    13:58:40.12 +23:34:18.9 2000.00  21:54 1.015  WFC   90.0  180  V                                
 452925 F_1400_2330_2    13:58:40.12 +23:34:19.0 2000.00  21:58 1.012  WFC   89.5  180  i                                
 452926 F_1400_2330_2    13:58:40.12 +23:34:19.0 2000.00  22:01 1.012  WFC   30.1  180  CLEAR                            
 452927 F_1400_2330_2    13:58:40.12 +23:34:19.0 2000.00  22:02 1.011  WFC   30.1  180  CLEAR                            
 452928 F_1400_2330_2    13:58:40.12 +23:34:19.0 2000.00  22:03 1.011  WFC   30.1  180  CLEAR                            
 452929 F_1400_2330_2    13:58:40.12 +23:34:19.0 2000.00  22:04 1.010  WFC   30.1  180  CLEAR                            
 452930 F_1400_2330_2    13:58:40.12 +23:34:19.0 2000.00  22:05 1.010  WFC   30.1  180  CLEAR                            
 452931 F_1400_2330_2    13:58:40.12 +23:34:19.0 2000.00  22:06 1.009  WFC   29.6  180  CLEAR                            
 452932 F_1400_2330_2    13:58:40.12 +23:34:18.9 2000.00  22:08 1.009  WFC   30.0  180  CLEAR                            
 452933 F_1400_2330_2    13:58:40.13 +23:34:19.0 2000.00  22:09 1.008  WFC   30.1  180  CLEAR                            
 452934 F_1400_2330_2    13:58:40.13 +23:34:18.9 2000.00  22:10 1.008  WFC   29.6  180  CLEAR                            
 452935 F_1400_2330_2    13:58:40.12 +23:34:18.6 2000.00  22:11 1.007  WFC   30.1  180  CLEAR                            
 452936 F_1400_2330_2    13:58:40.12 +23:34:19.0 2000.00  22:12 1.007  WFC   30.1  180  CLEAR                            
 452937 F_1400_2330_2    13:58:40.12 +23:34:19.0 2000.00  22:13 1.007  WFC   29.6  180  CLEAR                            
 452938 F_1400_2330_2    13:58:40.12 +23:34:19.0 2000.00  22:14 1.006  WFC   30.1  180  CLEAR                            
 452939 F_1400_2330_2    13:58:40.13 +23:34:18.9 2000.00  22:15 1.006  WFC   29.5  180  CLEAR                            
 452940 F_1400_2330_2    13:58:40.12 +23:34:19.0 2000.00  22:16 1.006  WFC   30.0  180  CLEAR                            
 452941 F_1400_2330_2    13:58:40.12 +23:34:19.0 2000.00  22:18 1.006  WFC   30.1  180  CLEAR                            
 452942 F_1400_2330_2    13:58:40.13 +23:34:18.9 2000.00  22:19 1.005  WFC   30.1  180  CLEAR                            
 452943 F_1400_2330_2    13:58:40.12 +23:34:18.9 2000.00  22:20 1.005  WFC   30.1  180  CLEAR                            
 452944 F_1400_2330_2    13:58:40.12 +23:34:18.9 2000.00  22:21 1.005  WFC   30.1  180  CLEAR                            
 452945 F_1400_2330_2    13:58:40.12 +23:34:19.0 2000.00  22:22 1.005  WFC   30.1  180  CLEAR                            
 452946 F_1400_2330_2    13:58:40.12 +23:34:19.0 2000.00  22:23 1.005  WFC   30.1  180  CLEAR                            
 452947 F_1400_2330_2    13:58:40.12 +23:34:18.8 2000.00  22:24 1.005  WFC   29.6  180  CLEAR                            
 452948 F_1400_2330_2    13:58:40.12 +23:34:19.0 2000.00  22:25 1.004  WFC   30.1  180  CLEAR                            
