INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 06 29 06:56

TELESCOPE             INT
DATE                  20050628
OBSERVER/S            Deeg/Almenara
PROGRAMME             COROT sample field observations
PROPOSAL REF          INT/05A/C11
TELESCOPE OPERATOR    --
SUPPORT ASTRONOMER    Sergio

TEL STATION / FOCUS   Prime  / 43.75
INSTRUMENT/S          WFC

SUNSET (UT)           20:22
EVENING TWILIGHT (UT) 21:48
MORNING TWILIGHT (UT) 04:42
SUNRISE (UT)          06:08
%ILLUM. LUNAR DISK    47
DARK TIME (HRS)       06:54
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         01:10
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  14.4   11    11.1  12.2  271   773.3   14.4  16.1    16.7   11     6 
22:00  12.7    7    20.0  22.9  313   773.1   12.7  15.1    16.1    7     4 
23:00  11.4    4    23.1  24.8  315   773.4   11.4  13.4    16.2    4     2 
00:00  10.8    6    32.9  34.6  327   773.4   10.8  12.5    16.0    6     2 
01:00  10.7   15    21.0  24.5   11   773.6   10.7  12.5    15.8   15     7 
02:00  10.6   27    16.5  17.5  347   773.4   10.6  12.1    15.5   27    21 
03:00  11.6   22    21.4  22.2  339   773.1   11.6  12.7    15.4   22    14 
04:00  12.2   24    18.9  19.7  348   772.7   12.2  12.9    14.6   24    16 
05:00  12.2   24    17.6  18.6  331   772.5   12.2  12.5    14.4   24    20 
06:00  12.6   21    11.5  11.7  346   772.6   12.6  12.7    14.1   21    19 

TIME LOST weather           00:00
TIME LOST Technical         00:45
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Clear.

COMMENTS (causes of time lost, setup information eg CCD windows):
filter wheel error, see fault 16836. 



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 457241 Bias              5:59:59.99 +19:59:59.9 2005.489 13:13 1.019  WFC    0.0  180  i                                
 457242 Flat field       12:28:42.99 -06:55:03.8 2000.00  20:38 1.331  WFC    2.9  180  B                                
 457243 Flat field       12:28:43.00 -06:54:44.0 2000.00  20:40 1.334  WFC    3.2  180  B                                
 457244 Flat field       12:28:44.34 -06:54:43.9 2000.00  20:41 1.337  WFC    3.6  180  B                                
 457245 Flat field       12:28:42.99 -06:55:03.9 2000.00  20:42 1.340  WFC    5.4  180  V                                
 457246 Flat field       12:28:43.00 -06:54:43.9 2000.00  20:43 1.343  WFC    5.2  180  V                                
 457247 Flat field       12:28:44.34 -06:54:44.0 2000.00  20:44 1.346  WFC   12.1  180  V                                
 457248 Flat field       12:28:44.34 -06:55:04.0 2000.00  20:45 1.349  WFC    9.4  180  V                                
 457249 Flat field       12:28:43.67 -06:54:54.0 2000.00  20:46 1.353  WFC   13.3  180  V                                
 457250 Flat field       12:28:43.00 -06:55:04.0 2000.00  20:48 1.356  WFC   13.9  180  r                                
 457252 Flat field       12:28:43.00 -06:54:43.9 2000.00  20:50 1.363  WFC   22.3  180  r                                
 457253 Flat field       12:28:44.34 -06:54:44.0 2000.00  20:51 1.367  WFC   29.6  180  r                                
 457254 Flat field       12:28:42.99 -06:55:04.0 2000.00  20:53 1.372  WFC   31.4  180  i                                
 457255 Flat field       12:28:43.00 -06:54:44.0 2000.00  20:54 1.376  WFC   40.0  180  i                                
 457256 Flat field       12:28:44.34 -06:54:43.9 2000.00  20:56 1.381  WFC   52.2  180  i                                
 457257 Focus run        14:40:07.00 +00:01:45.0 2000.00  21:22 1.140  WFC   10.1  180  r                                
 457258 Focus run        14:40:06.99 +00:01:45.0 2000.00  21:32 1.141  WFC   10.1  180  r                                
 457259 Focus run        14:40:07.00 +00:01:44.9 2000.00  21:42 1.143  WFC   10.1  180  r                                best focus 43.75
 457261 170580_5b        18:30:10.99 +01:27:54.7 2000.00  21:54 1.725  WFC   40.1  180  B                                focus 43.8
 457262 170580_5b        18:30:11.00 +01:27:55.0 2000.00  21:55 1.715  WFC   16.1  180  V                                
 457264 170580_5B        18:30:11.00 +01:27:55.0 2000.00  21:58 1.694  WFC   10.0  180  r                                filter wheel error
