INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 08 11 06:50

TELESCOPE             INT
DATE                  20050810
OBSERVER/S            RAS
PROGRAMME             C122
PROPOSAL REF          Hot Neptunes
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.74
INSTRUMENT/S          WFC

SUNSET (UT)           20:04
EVENING TWILIGHT (UT) 21:22
MORNING TWILIGHT (UT) 05:13
SUNRISE (UT)          06:31
%ILLUM. LUNAR DISK    29
DARK TIME (HRS)       07:51
TWILIGHT TIME (HRS)   02:36
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          23:02

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  16.1    9    15.0  16.9  223   772.1   16.1  18.0    18.8    9     5 
22:00  17.2    6    19.8  21.8  214   772.2   17.2  18.1    18.7    6     2 
23:00  17.3    7    10.2  12.2  161   772.7   17.3  18.2    18.5    7     3 
00:00  16.9    8    20.2  23.1  193   772.7   16.9  18.2    18.5    8     3 
01:00  16.6   12    11.1  14.8  219   772.4   16.6  17.8    18.5   12     7 
02:00  16.2   14    15.7  20.4  209   772.0   16.2  17.4    18.4   14     9 
03:00  12.7   19    19.5  24.1  161   771.5   12.7  14.8    17.5   19    14 
04:00  12.5   21    14.6  17.4  162   771.0   12.5  14.4    16.4   21    16 
05:00  12.9   19    14.7  18.1  176   771.1   12.9  14.4    16.1   19    15 
06:00  12.9   19    14.5  20.4  164   770.9   12.9  14.4    16.0   19    15 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Seeing moderately good until 0:30 UT, then 2"

COMMENTS (causes of time lost, setup information eg CCD windows):
Everything OK



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 466585 Bias frame        0:00:00.00 +00:00:00.0 2005.606 13:10 2.011  WFC    0.0  180  R                                Con radio time check:
 466586 Bias             16:50:43.99 -15:22:47.9 2000.00  20:08 1.414  WFC    0.0  180  r                                El UT de las cabeceras esta retrasado 1 s
 466587 Bias             16:50:44.00 -15:22:47.9 2000.00  20:08 1.413  WFC    0.0  180  r                                
 466588 Bias             16:50:43.99 -15:22:48.0 2000.00  20:09 1.412  WFC    0.0  180  r                                
 466589 Bias             16:50:44.00 -15:22:48.0 2000.00  20:10 1.412  WFC    0.0  180  r                                
 466590 Bias             16:50:43.99 -15:22:47.9 2000.00  20:10 1.411  WFC    0.0  180  r                                
 466591 Bias             16:50:44.00 -15:22:47.9 2000.00  20:11 1.410  WFC    0.0  180  r                                
 466592 Bias             16:50:43.99 -15:22:48.0 2000.00  20:11 1.410  WFC    0.0  180  r                                
 466593 Bias             16:50:44.00 -15:22:47.9 2000.00  20:12 1.409  WFC    0.0  180  r                                
 466594 Bias             16:50:44.00 -15:22:48.0 2000.00  20:13 1.408  WFC    0.0  180  r                                
 466595 Bias             16:50:44.00 -15:22:48.0 2000.00  20:13 1.408  WFC    0.0  180  r                                
 466596 Flat r 3s        16:50:44.00 -15:22:47.9 2000.00  20:21 1.401  WFC    3.1  180  r                                
 466597 Flat r 4s        16:50:44.69 -15:22:38.0 2000.00  20:22 1.400  WFC    4.1  180  r                                
 466598 Flat r 6s        16:50:43.30 -15:22:38.0 2000.00  20:23 1.399  WFC    6.1  180  r                                
 466599 Flat r 8s        16:50:43.30 -15:22:48.0 2000.00  20:25 1.399  WFC    8.1  180  r                                
 466600 Flat r 10s       16:50:45.38 -15:22:48.0 2000.00  20:26 1.398  WFC    9.5  180  r                                
 466601 Flat r 14s       16:50:45.38 -15:22:47.9 2000.00  20:27 1.397  WFC   13.5  180  r                                
 466602 Flat r 19s       16:50:43.30 -15:22:57.9 2000.00  20:29 1.396  WFC   19.1  180  r                                
 466603 Flat r 26s       16:50:43.31 -15:22:58.0 2000.00  20:30 1.395  WFC   26.1  180  r                                
 466604 Focus run        19:42:00.00 +48:00:00.0 2000.00  20:48 1.262  WFC    4.6  180  r                                
 466605 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:00 1.227  WFC   79.5  180  r                                
 466606 KEPLER           19:42:00.00 +48:00:00.1 2000.00  21:03 1.218  WFC   79.5  180  r                                
 466607 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:05 1.214  WFC   80.1  180  r                                
 466608 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:07 1.209  WFC   79.5  180  r                                
 466609 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:09 1.205  WFC   80.0  180  r                                
 466610 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:11 1.201  WFC   80.0  180  r                                
 466611 KEPLER           19:41:59.99 +47:59:59.9 2000.00  21:13 1.197  WFC   80.1  180  r                                
 466612 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:15 1.193  WFC   80.0  180  r                                
 466613 KEPLER           19:41:59.99 +47:59:59.9 2000.00  21:17 1.189  WFC   80.0  180  r                                
 466614 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:19 1.185  WFC   80.0  180  r                                
 466615 KEPLER           19:41:59.99 +47:59:59.9 2000.00  21:21 1.181  WFC   79.5  180  r                                
 466616 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:23 1.177  WFC   80.0  180  r                                
 466617 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:25 1.173  WFC   80.0  180  r                                
 466618 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:27 1.169  WFC   80.0  180  r                                
 466619 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:29 1.166  WFC   79.5  180  r                                
 466620 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:30 1.162  WFC   80.0  180  r                                
 466621 KEPLER           19:41:59.99 +47:59:59.9 2000.00  21:32 1.159  WFC   79.5  180  r                                
 466622 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:34 1.156  WFC   80.0  180  r                                
 466623 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:36 1.152  WFC   80.0  180  r                                
 466624 KEPLER           19:41:59.99 +47:59:59.9 2000.00  21:38 1.149  WFC   80.0  180  r                                
 466625 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:40 1.146  WFC   80.0  180  r                                
 466626 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:42 1.143  WFC   80.0  180  r                                
 466627 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:44 1.140  WFC   80.0  180  r                                
 466628 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:46 1.137  WFC   80.0  180  r                                
 466629 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:48 1.134  WFC   79.5  180  r                                
 466630 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:50 1.131  WFC   80.1  180  r                                
 466631 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:52 1.128  WFC   80.0  180  r                                
 466632 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:54 1.125  WFC   80.0  180  r                                
 466633 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:56 1.123  WFC   80.0  180  r                                
