INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 10 03 07:51

TELESCOPE             INT
DATE                  20051002
OBSERVER/S            Rosenberg, Castro
PROGRAMME             OB associations in M33
PROPOSAL REF          C78
TELESCOPE OPERATOR    observer
SUPPORT ASTRONOMER    observer

TEL STATION / FOCUS   Prime  / 43.55
INSTRUMENT/S          WFC

SUNSET (UT)           19:04
EVENING TWILIGHT (UT) 20:15
MORNING TWILIGHT (UT) 05:47
SUNRISE (UT)          06:58
%ILLUM. LUNAR DISK    0
DARK TIME (HRS)       09:32
TWILIGHT TIME (HRS)   02:22
MOONRISE (UT)         06:55
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  11.0   15     6.4   8.9  316   772.6   11.0  13.7    16.4   15    11 
21:00  11.0   11     8.6  10.2  245   772.7   11.0  12.8    15.9   11     6 
22:00  11.5    8    12.9  14.3  306   773.0   11.5  12.5    15.6    8     5 
23:00  10.8   12    16.3  17.0  322   773.2   10.8  12.2    14.5   12     8 
00:00  10.9    8    19.5  19.9  324   772.9   10.9  12.5    15.1    8     6 
01:00  10.4    9    15.3  15.9  322   772.6   10.4  12.1    14.8    9     6 
02:00   9.9    9    16.6  17.1  329   772.2    9.9  11.6    14.7    9     8 
03:00  10.0   11    16.3  17.3  342   771.8   10.0  11.5    14.8   11     7 
04:00  10.0   12    18.9  19.5  323   771.6   10.0  10.7    14.2   12     9 
05:00  10.0   12    22.0  23.1  316   771.1   10.0  10.8    12.8   12    10 
06:00   9.8   11    23.8  24.7  317   770.8    9.8  11.0    14.0   11     7 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Good (Photometric?)

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 472703 TEST             11:00:00.00 +29:59:59.9 2005.752 12:36 1.038  WFC    2.0  180  i                                
 472704 Bias frame       11:00:00.00 +30:00:00.0 2005.752 12:37 1.039  WFC    0.0  180  i                                
 472705 Flat test         0:00:00.00 +00:00:00.0 2005.752 18:59 1.000  WFC    1.0  180  [OIII]5007                       
 472706 Flat test         0:00:00.00 +00:00:00.0 2005.752 19:02 1.000  WFC    1.6  180  [OIII]5007                       
 472707 Flat test         0:00:00.00 +00:00:00.0 2005.752 19:05 1.000  WFC    2.1  180  [OIII]5007                       
 472708 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:06 1.000  WFC    3.3  180  [OIII]5007                       
 472709 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:09 1.000  WFC    3.5  180  [OIII]5007                       
 472710 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:10 1.000  WFC    3.5  180  [OIII]5007                       
 472711 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:11 1.000  WFC    5.2  180  [OIII]5007                       
 472712 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:13 1.000  WFC    6.1  180  Halpha                           
 472713 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:14 1.000  WFC   10.2  180  Halpha                           
 472714 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:15 1.000  WFC   25.5  180  Halpha                           
 472715 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:17 1.000  WFC   10.8  180  U                                
 472716 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:18 1.000  WFC   14.9  180  U                                
 472717 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:19 1.000  WFC   21.6  180  U                                
 472718 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:21 1.000  WFC    6.6  180  B                                
 472719 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:23 1.000  WFC   10.4  180  B                                
 472720 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:24 1.000  WFC   14.5  180  B                                
 472721 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:25 1.000  WFC   26.2  180  V                                
 472722 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:27 1.000  WFC   43.6  180  V                                
 472723 Flat field        0:00:00.00 +00:00:00.0 2005.752 19:29 1.000  WFC   52.1  180  i                                
 472724 Bias frame        0:00:00.00 +00:00:00.0 2005.752 19:31 1.000  WFC    0.0  180  i                                
 472725 Bias frame        0:00:00.00 +00:00:00.0 2005.752 19:31 1.000  WFC    0.0  180  i                                
 472726 Bias frame        0:00:00.00 +00:00:00.0 2005.752 19:32 1.000  WFC    0.0  180  i                                
 472727 Bias frame        0:00:00.00 +00:00:00.0 2005.752 19:32 1.000  WFC    0.0  180  i                                
 472728 Bias frame        0:00:00.00 +00:00:00.0 2005.752 19:33 1.000  WFC    0.0  180  i                                
 472729 Bias frame        0:00:00.00 +00:00:00.0 2005.752 19:34 1.000  WFC    0.0  180  i                                
 472730 Bias frame        0:00:00.00 +00:00:00.0 2005.752 19:34 1.000  WFC    0.0  180  i                                
 472731 Bias frame        0:00:00.00 +00:00:00.0 2005.752 19:35 1.000  WFC    0.0  180  i                                
 472732 Bias frame        0:00:00.00 +00:00:00.0 2005.752 19:35 1.000  WFC    0.0  180  i                                
 472733 Bias frame        0:00:00.00 +00:00:00.0 2005.752 19:36 1.000  WFC    0.0  180  i                                
 472734 BE42             19:05:06.00 +01:52:59.9 2000.00  19:51 1.127  WFC  179.5  180  V                                
 472735 Focus run        19:05:06.00 +01:52:59.9 2000.00  20:02 1.131  WFC   10.1  180  V                                
 472736 BE42             19:05:05.99 +01:53:00.0 2000.00  20:08 1.139  WFC  299.9  180  B                                
 472737 BE42             19:05:05.99 +01:53:00.0 2000.00  20:14 1.144  WFC  299.4  180  B                                
 472738 BE42             19:05:06.00 +01:53:00.0 2000.00  20:19 1.150  WFC  299.9  180  B                                
 472739 BE42             19:05:05.99 +01:52:59.8 2000.00  20:25 1.161  WFC  599.7  180  V                                
 472740 BE42             19:05:05.99 +01:53:00.0 2000.00  20:36 1.177  WFC  599.7  180  V                                
 472741 BE42             19:05:06.00 +01:52:59.9 2000.00  20:47 1.196  WFC  599.7  180  V                                
 472742 BE42             19:05:05.99 +01:53:00.0 2000.00  20:58 1.225  WFC  899.6  180  i                                
 472743 BE42             19:05:06.00 +01:52:59.9 2000.00  21:13 1.266  WFC  899.6  180  i                                
 472744 BE42             19:05:06.00 +01:52:59.9 2000.00  21:29 1.315  WFC  899.6  180  i                                
 472745 BE42             19:05:06.00 +01:53:00.0 2000.00  21:55 1.390  WFC   30.1  180  B                                
 472746 BE42             19:05:05.99 +01:52:59.9 2000.00  21:57 1.395  WFC   30.1  180  B                                
 472747 BE42             19:05:06.00 +01:52:59.8 2000.00  21:58 1.401  WFC   19.5  180  V                                
 472748 BE42             19:05:05.99 +01:52:59.9 2000.00  21:59 1.406  WFC   19.6  180  V                                
 472749 BE42             19:05:05.99 +01:52:59.9 2000.00  22:00 1.412  WFC   10.1  180  V                                
 472750 BE42             19:05:06.00 +01:53:00.1 2000.00  22:01 1.417  WFC   19.5  180  i                                
 472751 BE42             19:05:06.00 +01:53:00.0 2000.00  22:02 1.422  WFC   20.1  180  i                                
 472752 NGC7142          21:45:09.00 +65:46:30.0 2000.00  22:06 1.252  WFC   20.1  180  i                                
 472753 NGC7142          21:45:09.00 +65:46:29.9 2000.00  22:07 1.252  WFC   20.1  180  i                                
 472754 NGC7142          21:45:09.00 +65:46:30.0 2000.00  22:09 1.252  WFC    3.1  180  i                                
 472755 NGC7142          21:45:09.00 +65:46:29.9 2000.00  22:10 1.252  WFC    3.1  180  V                                
 472756 NGC7142          21:45:08.99 +65:46:29.9 2000.00  22:11 1.252  WFC   15.1  180  V                                
 472757 NGC7142          21:45:09.00 +65:46:30.0 2000.00  22:12 1.252  WFC   15.1  180  V                                
 472758 NGC7142          21:45:09.00 +65:46:30.0 2000.00  22:13 1.252  WFC   15.1  180  B                                
 472759 NGC7142          21:45:08.99 +65:46:30.0 2000.00  22:13 1.252  WFC   15.1  180  B                                
 472760 NGC7142          21:45:09.00 +65:46:30.0 2000.00  22:14 1.252  WFC    2.5  180  B                                
 472761 NGC7142          21:45:09.00 +65:46:30.0 2000.00  22:15 1.253  WFC  299.9  180  B                                
 472762 NGC7142          21:45:09.00 +65:46:30.0 2000.00  22:21 1.253  WFC  299.9  180  B                                
 472763 NGC7142          21:45:09.00 +65:46:29.9 2000.00  22:26 1.254  WFC  299.9  180  B                                
 472764 NGC7142          21:45:09.00 +65:46:30.0 2000.00  22:34 1.257  WFC  599.8  180  V                                
 472765 NGC7142          21:45:09.00 +65:46:29.9 2000.00  22:45 1.261  WFC  599.2  180  V                                
 472766 NGC7142          21:45:08.99 +65:46:29.9 2000.00  22:55 1.266  WFC  599.6  180  V                                
 472767 NGC7142          21:45:08.99 +65:46:29.9 2000.00  23:06 1.275  WFC  899.6  180  i                                
 472768 NGC7142          21:45:08.99 +65:46:30.0 2000.00  23:22 1.288  WFC  899.6  180  i                                
 472769 NGC7142          21:45:09.00 +65:46:29.9 2000.00  23:38 1.303  WFC  899.4  180  i                                
 472770 92-248            0:54:30.69 +00:40:16.9 2000.00  00:04 1.195  WFC    5.1  180  V                                
 472771 92-248            0:54:30.70 +00:40:17.0 2000.00  00:09 1.185  WFC   30.1  180  V                                
 472772 92-248            0:54:30.69 +00:40:17.0 2000.00  00:13 1.180  WFC   10.1  180  V                                
 472773 92-248            0:54:30.70 +00:40:16.9 2000.00  00:15 1.176  WFC   10.1  180  i                                
 472774 92-248            0:54:30.70 +00:40:16.9 2000.00  00:17 1.174  WFC   10.1  180  B                                
 472775 92-248            0:54:30.69 +00:40:17.0 2000.00  00:18 1.172  WFC   10.1  180  U                                
 472776 92-248            0:54:30.70 +00:40:16.9 2000.00  00:20 1.170  WFC   30.1  180  U                                
 472777 92-248            0:54:30.69 +00:40:16.9 2000.00  00:23 1.166  WFC   60.1  180  U                                
 472778 92-248            0:54:30.70 +00:40:17.0 2000.00  00:24 1.164  WFC   60.1  180  U                                
 472779 92-248            0:54:30.70 +00:40:16.9 2000.00  00:26 1.162  WFC   60.0  180  U                                
 472780 92-248            0:54:30.70 +00:40:16.9 2000.00  00:29 1.159  WFC   20.1  180  B                                
 472781 92-248            0:54:30.70 +00:40:17.0 2000.00  00:30 1.158  WFC   20.1  180  B                                
 472782 92-248            0:54:30.70 +00:40:17.0 2000.00  00:31 1.157  WFC   20.1  180  B                                
 472783 92-248            0:54:30.69 +00:40:16.9 2000.00  00:32 1.156  WFC    9.6  180  V                                
 472784 92-248            0:54:30.69 +00:40:17.0 2000.00  00:33 1.155  WFC   10.1  180  V                                
 472785 92-248            0:54:30.70 +00:40:17.0 2000.00  00:34 1.154  WFC    9.6  180  V                                
