INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 10 13 07:53

TELESCOPE             INT
DATE                  20051012
OBSERVER/S            Q Parker & L Sabin
PROGRAMME             IPHAS
PROPOSAL REF          C22          
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 
INSTRUMENT/S          WFC

SUNSET (UT)           18:53
EVENING TWILIGHT (UT) 20:04
MORNING TWILIGHT (UT) 05:53
SUNRISE (UT)          07:04
%ILLUM. LUNAR DISK    74
DARK TIME (HRS)       09:49
TWILIGHT TIME (HRS)   02:22
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          02:47

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00  10.0   27    10.5  11.4  246   773.2   10.0  14.1    13.5   27    27 
20:00   8.1   35    13.3  13.8  274   773.3    8.1  14.1    13.4   35    24 
21:00   9.5   22     4.2   4.8  203   773.7    9.5  13.9    13.5   22    21 
22:00   9.3   20    15.1  15.9  279   774.0    9.3  14.0    13.5   20    21 
23:00   9.5   21    13.1  13.6  283   774.3    9.5  13.4    13.5   21    21 
00:00   9.6   21     8.5   9.7  274   774.3    9.6  13.0    13.7   21    22 
01:00  10.0   21     9.1   9.5  268   774.2   10.0  12.9    13.5   21    24 
02:00   9.5   25    12.0  12.3  267   774.0    9.5  12.9    13.6   25    28 
03:00  10.0   19     9.3   9.4  270   773.7   10.0  11.2    13.2   19    16 
04:00  10.1   15     8.0   8.3  255   773.5   10.1  11.2    13.2   15    10 
05:00  10.3   15     7.9   8.2  257   773.3   10.3  11.3    13.0   15    10 
06:00  10.8   14     8.8   9.1  269   773.2   10.8  11.3    12.8   14     8 
07:00  10.1   18    10.7  11.1  266   773.2   10.1  11.3    12.6   18    19 

TIME LOST weather           06:00
TIME LOST Technical         01:30
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
80% cloud cover for first half of night gradually clearing

COMMENTS (causes of time lost, setup information eg CCD windows):
Lost ~1.5 hours due to TCS and pointing problems (fault report submitted)



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 473766 TEST             11:59:59.99 +29:59:59.9 2005.779 12:54 1.035  WFC    2.1  180  i                                
 473767 Bias frame       11:59:59.99 +30:00:00.0 2005.779 12:56 1.037  WFC    0.0  180  i                                
 473768 Bias frame        0:00:00.00 +00:00:00.0 2005.779 12:57 2.451  WFC    0.0  180  i                                
 473769 Focus run         2:30:16.61 +05:15:50.7 2000.00  02:25 1.090  WFC   10.1  180  r                                
 473770 G191B2B 60 Ha     5:05:30.60 +52:49:54.0 2000.00  03:56 1.112  WFC   60.0  180  Halpha                           
 473771 G191B2B 10 R      5:05:30.59 +52:49:54.2 2000.00  04:03 1.108  WFC   10.1  180  r                                
 473772 G191B2B 10 I      5:05:30.59 +52:49:54.1 2000.00  04:06 1.106  WFC   10.1  180  i                                
 473773 intphas_2957o Ha  5:59:08.64 +18:00:00.2 2000.00  04:13 1.085  WFC  119.5  180  Halpha                           
 473774 intphas_2957o r   5:59:08.63 +17:59:59.9 2000.00  04:16 1.082  WFC   30.1  180  r                                
 473775 intphas_2957o i   5:59:08.63 +17:59:59.9 2000.00  04:17 1.080  WFC   10.1  180  i                                
 473776 intphas_2958 Ha   5:58:53.30 +16:26:59.7 2000.00  04:18 1.084  WFC  120.1  180  Halpha                           
 473777 intphas_2958 r    5:58:53.31 +16:27:00.0 2000.00  04:21 1.081  WFC   29.5  180  r                                
 473778 intphas_2958 i    5:58:53.30 +16:26:59.9 2000.00  04:22 1.079  WFC   10.1  180  i                                
 473779 intphas_2958o Ha  5:59:14.17 +16:32:00.0 2000.00  04:23 1.077  WFC  119.5  180  Halpha                           
 473780 intphas_2958o r   5:59:14.17 +16:32:00.0 2000.00  04:26 1.074  WFC   30.1  180  r                                
 473781 intphas_2958o i   5:59:14.17 +16:32:00.0 2000.00  04:27 1.073  WFC   10.1  180  i                                
 473782 intphas_2960 Ha   5:58:59.00 +14:59:00.1 2000.00  04:28 1.077  WFC  120.1  180  Halpha                           
 473783 intphas_2960 r    5:58:59.00 +14:59:00.0 2000.00  04:30 1.075  WFC   30.1  180  r                                
 473784 intphas_2960 i    5:58:58.99 +14:59:00.0 2000.00  04:32 1.073  WFC   10.0  180  i                                
 473785 intphas_2960o Ha  5:59:19.71 +15:04:00.0 2000.00  04:32 1.071  WFC  120.0  180  Halpha                           
 473786 intphas_2960o r   5:59:19.70 +15:04:00.0 2000.00  04:35 1.069  WFC   30.1  180  r                                
 473787 intphas_2960o i   5:59:19.71 +15:03:59.9 2000.00  04:36 1.068  WFC   10.1  180  i                                
 473788 intphas_2962 Ha   5:59:18.29 +24:20:00.2 2000.00  04:37 1.035  WFC  120.0  180  Halpha                           
 473789 intphas_2962 r    5:59:18.28 +24:20:00.0 2000.00  04:40 1.033  WFC   30.1  180  r                                
 473790 intphas_2962 i    5:59:18.29 +24:19:59.7 2000.00  04:41 1.032  WFC   10.1  180  i                                
 473791 intphas_2962o Ha  5:59:40.25 +24:24:59.8 2000.00  04:42 1.031  WFC  120.0  180  Halpha                           
 473792 intphas_2962o r   5:59:40.25 +24:25:00.0 2000.00  04:45 1.029  WFC   30.1  180  r                                
 473793 intphas_2962o i   5:59:40.24 +24:24:59.8 2000.00  04:46 1.028  WFC   10.1  180  i                                
 473794 intphas_2963 Ha   5:59:19.21 +22:51:59.9 2000.00  04:47 1.029  WFC  119.5  180  Halpha                           
