INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 11 05 07:22

TELESCOPE             INT
DATE                  20051104
OBSERVER/S            Greimel
PROGRAMME             IPHAS
PROPOSAL REF          P10                 
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Greimel

TEL STATION / FOCUS   Prime  / 43.65
INSTRUMENT/S          WFC

SUNSET (UT)           18:32
EVENING TWILIGHT (UT) 19:45
MORNING TWILIGHT (UT) 06:06
SUNRISE (UT)          07:19
%ILLUM. LUNAR DISK    10
DARK TIME (HRS)       10:21
TWILIGHT TIME (HRS)   02:26
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          20:19

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   9.1   12    31.7  33.9  352   773.7    9.1   9.4    12.6   12    18 
20:00   6.5   18    26.8  37.4   21   773.7    6.5   8.6    12.2   18    13 
21:00   6.5   17    36.6  42.3   13   774.2    6.5   9.0    11.8   17    14 
22:00   5.9   18    37.6  40.4   17   774.5    5.9   8.6    11.4   18    13 
23:00   7.3   16    41.6  44.4   42   774.2    7.3   8.9    10.8   16    15 
00:00   7.7   19    37.5  40.1   27   774.0    7.7   9.0    10.8   19    15 
01:00   8.0   15    32.3  37.5   30   774.0    8.0   9.2    10.6   15    12 
02:00   9.3   10    34.9  41.5   21   773.5    9.3   9.2    10.7   10    10 
03:00   8.7   15    15.6  25.1   62   773.2    8.7   9.8    10.8   15    12 
04:00   9.4    7    28.0  34.7  357   773.2    9.4  10.2    10.9    7     8 
05:00   8.0    9    32.4  38.8   44   773.0    8.0  10.0    11.1    9     8 
06:00   8.0   10    23.8  31.6   28   772.9    8.0  10.2    10.9   10     8 
07:00   9.1    7    15.7  22.6   67   772.9    9.1  10.2    10.9    7     6 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
high cirrus, strong wind, seeing 2-7 arcsec

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 479261 Bias frame        0:00:00.00 +00:00:00.0 2005.842 13:57 4.704  WFC    0.0  180  i                                
 479262 Flat Halpha      19:21:28.99 +12:27:48.9 2000.00  18:42 1.081  WFC    4.6  180  Halpha                           
 479263 Flat Halpha      19:21:29.68 +12:27:58.9 2000.00  18:43 1.082  WFC    6.1  180  Halpha                           
 479264 Flat Halpha      19:21:30.36 +12:28:09.0 2000.00  18:45 1.084  WFC    9.1  180  Halpha                           
