INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 11 07 07:26

TELESCOPE             INT
DATE                  20051106
OBSERVER/S            Rodriguez-Gil
PROGRAMME             IPHAS
PROPOSAL REF          N1
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Cardwell

TEL STATION / FOCUS   Prime  / 43.65
INSTRUMENT/S          WFC

SUNSET (UT)           18:31
EVENING TWILIGHT (UT) 19:44
MORNING TWILIGHT (UT) 06:07
SUNRISE (UT)          07:21
%ILLUM. LUNAR DISK    27
DARK TIME (HRS)       10:23
TWILIGHT TIME (HRS)   02:27
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          22:22

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00  10.1   11     9.6   9.8  127   772.0   10.1  12.0    13.9   11    10 
20:00  11.5    7    12.4  15.6  112   772.3   11.5  12.9    13.5    7     5 
21:00  10.7    8    14.1  15.4  130   772.5   10.7  12.2    13.2    8     5 
22:00   9.9   10    13.9  16.3  137   772.8    9.9  11.5    12.8   10     7 
23:00   9.7   14     9.6  10.6  121   772.9    9.7  11.2    12.7   14     9 
00:00  10.8   11    10.3  11.6  144   772.7   10.8  11.7    12.6   11     7 
01:00   9.9   14    11.2  11.6  149   772.3    9.9  11.3    12.6   14     9 
02:00   9.5   16    13.0  14.4  144   772.1    9.5  10.9    12.2   16    11 
03:00   9.3   11    17.9  19.2  149   771.6    9.3  10.7    12.1   11     9 
04:00   7.9   18    18.0  19.1  147   771.5    7.9   9.7    11.9   18    12 
05:00   7.3   15    18.8  22.3  143   771.2    7.3   9.3    11.6   15     9 
06:00   7.3   29    16.2  19.0  146   771.3    7.3   9.2    10.7   29    22 
07:00   7.4   36    23.4  27.8  147   771.6    7.4   9.3    11.4   36    28 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Sparse thin cloud; seeing variable 0.7"-1.6"; non-photometric night; high wind

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 480127 Flat field       14:45:00.00 +19:59:59.9 2005.848 13:55 1.044  WFC    5.7  180  Halpha                           
 480128 Bias             14:45:00.00 +19:59:59.9 2005.848 14:00 1.050  WFC    0.0  180  r                                
 480129 Bias              0:00:00.00 +00:00:00.0 2005.848 15:25 4.584  WFC    0.0  180  Hbeta narro                      
 480130 Bias              0:00:00.00 +00:00:00.0 2005.848 15:26 4.584  WFC    0.0  180  Hbeta narro                      
 480131 Bias              0:00:00.00 +00:00:00.0 2005.848 15:27 4.584  WFC    0.0  180  Hbeta narro                      
 480132 Bias              0:00:00.00 +00:00:00.0 2005.848 15:27 4.584  WFC    0.0  180  Hbeta narro                      
 480133 Bias              0:00:00.00 +00:00:00.0 2005.848 15:28 4.584  WFC    0.0  180  Hbeta narro                      a bias frame
 480134 Bias              0:00:00.00 +00:00:00.0 2005.848 15:28 4.584  WFC    0.0  180  Hbeta narro                      
 480135 Bias              0:00:00.00 +00:00:00.0 2005.848 15:29 4.584  WFC    0.0  180  Hbeta narro                      
 480136 Bias              0:00:00.00 +00:00:00.0 2005.848 15:30 4.584  WFC    0.0  180  Hbeta narro                      
 480137 Bias              0:00:00.00 +00:00:00.0 2005.848 15:30 4.584  WFC    0.0  180  Hbeta narro                      
 480138 Bias              0:00:00.00 +00:00:00.0 2005.848 15:31 4.584  WFC    0.0  180  Hbeta narro                      
 480139 skyflat r 6      21:29:34.00 -08:38:29.9 2000.00  18:50 1.287  WFC    6.1  180  r                                
 480140 skyflat r 12     21:29:34.67 -08:38:20.1 2000.00  18:52 1.284  WFC   12.1  180  r                                
 480141 skyflat r 17     21:29:33.32 -08:38:40.0 2000.00  18:53 1.282  WFC   17.1  180  r                                
 480142 skyflat r 25     21:29:34.67 -08:38:40.2 2000.00  18:55 1.281  WFC   25.1  180  r                                
 480143 skyflat r 36     21:29:33.32 -08:38:19.8 2000.00  18:57 1.278  WFC   36.1  180  r                                
 480144 skyflat r 60     21:29:34.00 -08:38:30.2 2000.00  18:59 1.276  WFC   59.6  180  i                                
 480145 skyflat r 100    21:29:34.66 -08:38:20.8 2000.00  19:01 1.273  WFC  100.0  180  i                                
 480146 Focus run        21:41:48.00 +00:23:53.2 2000.00  19:32 1.139  WFC   15.1  180  r                                
 480147 intphas_0151 Ha   0:28:11.58 +64:51:00.2 2000.00  19:50 1.395  WFC  120.0  180  Halpha                           
 480148 intphas_0151 r    0:28:11.58 +64:50:59.7 2000.00  19:53 1.391  WFC   30.1  180  r                                
 480149 intphas_0151 i    0:28:11.58 +64:50:59.7 2000.00  19:54 1.389  WFC   10.1  180  i                                
 480150 intphas_0151o Ha  0:28:58.79 +64:55:59.7 2000.00  19:55 1.388  WFC  120.0  180  Halpha                           
 480151 intphas_0151o r   0:28:58.79 +64:55:59.7 2000.00  19:57 1.384  WFC   30.1  180  r                                
 480152 intphas_0151o i   0:28:58.79 +64:55:59.7 2000.00  19:59 1.382  WFC   10.1  180  i                                
 480153 intphas_0152 Ha   0:28:19.64 +65:45:59.6 2000.00  19:59 1.389  WFC  120.0  180  Halpha                           
 480154 intphas_0152 r    0:28:19.64 +65:45:59.8 2000.00  20:02 1.385  WFC   30.1  180  r                                
 480155 intphas_0152 i    0:28:19.64 +65:45:59.7 2000.00  20:03 1.383  WFC   10.1  180  i                                
 480156 intphas_0152o Ha  0:29:08.52 +65:50:59.7 2000.00  20:04 1.383  WFC  120.0  180  Halpha                           
 480157 intphas_0152o r   0:29:08.51 +65:50:59.9 2000.00  20:07 1.379  WFC   30.1  180  r                                
 480158 intphas_0152o i   0:29:08.52 +65:50:59.7 2000.00  20:08 1.377  WFC   10.1  180  i                                
