INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 12 14 08:09

TELESCOPE             INT
DATE                  20051213
OBSERVER/S            A. Cardwell
PROGRAMME             various
PROPOSAL REF          D                  
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    AC

TEL STATION / FOCUS   Prime  / 43.6
INSTRUMENT/S          WFC

SUNSET (UT)           18:23
EVENING TWILIGHT (UT) 19:40
MORNING TWILIGHT (UT) 06:32
SUNRISE (UT)          07:48
%ILLUM. LUNAR DISK    97
DARK TIME (HRS)       10:52
TWILIGHT TIME (HRS)   02:33
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          07:00

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clear all night but seeing 1.2 - 1.5 or worse all night. Consistently much worse than robodimm.

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 486974 Bias             20:14:34.00 -00:00:00.0 2000.00  14:39 1.209  WFC    0.0  180  R                                
 486975 test             20:14:33.99 +00:00:00.0 2000.00  14:45 1.197  WFC   60.1  180  Halpha                           
 486976 Bias              0:00:00.00 +00:00:00.0 2000.00  16:06 4.540  WFC    0.0  180  Halpha                           
 486977 Bias              0:00:00.00 +00:00:00.0 2000.00  16:07 4.540  WFC    0.0  180  Halpha                           
 486978 Bias              0:00:00.00 +00:00:00.0 2000.00  16:08 4.540  WFC    0.0  180  Halpha                           
 486979 Bias              0:00:00.00 +00:00:00.0 2000.00  16:08 4.540  WFC    0.0  180  Halpha                           
 486980 Bias              0:00:00.00 +00:00:00.0 2000.00  16:09 4.540  WFC    0.0  180  Halpha                           
 486981 Bias              0:00:00.00 +00:00:00.0 2000.00  16:09 4.540  WFC    0.0  180  Halpha                           
 486982 Bias              0:00:00.00 +00:00:00.0 2000.00  16:10 4.540  WFC    0.0  180  Halpha                           
 486983 Bias              0:00:00.00 +00:00:00.0 2000.00  16:11 4.540  WFC    0.0  180  Halpha                           
 486984 Bias              0:00:00.00 +00:00:00.0 2000.00  16:11 4.540  WFC    0.0  180  Halpha                           
 486985 Bias              0:00:00.00 +00:00:00.0 2000.00  16:12 4.540  WFC    0.0  180  Halpha                           
 486986 Bias              0:00:00.00 +00:00:00.0 2000.00  16:12 4.540  WFC    0.0  180  Halpha                           
 486987 Bias              0:00:00.00 +00:00:00.0 2000.00  16:13 4.540  WFC    0.0  180  Halpha                           
 486988 Bias              0:00:00.00 +00:00:00.0 2000.00  16:13 4.540  WFC    0.0  180  Halpha                           
 486989 Bias              0:00:00.00 +00:00:00.0 2000.00  16:14 4.540  WFC    0.0  180  Halpha                           
