INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 12 19 03:59

TELESCOPE             INT
DATE                  20051218
OBSERVER/S            J. Irwin & D.Bramich
PROGRAMME             Searching for planetary transits and eclipsing binaries in the ONC
PROPOSAL REF          P17          
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           18:25
EVENING TWILIGHT (UT) 19:42
MORNING TWILIGHT (UT) 06:35
SUNRISE (UT)          07:51
%ILLUM. LUNAR DISK    89
DARK TIME (HRS)       10:53
TWILIGHT TIME (HRS)   02:33
MOONRISE (UT)         20:45
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   6.3   67    13.8  16.5  190   766.7    6.3   7.8     8.6   67    61 
20:00   6.4   74    11.4  13.0  252   767.0    6.4   7.8     8.5   74    72 
21:00   6.2   76    16.0  17.8  225   767.5    6.2   7.6     8.5   76    74 
22:00   6.2   78    17.5  18.7  222   767.8    6.2   7.7     8.5   78    75 
23:00   5.9   84    19.9  20.9  238   767.7    5.9   8.3     8.5   84    74 
00:00   5.3   81    17.2  21.6  186   767.5    5.3   8.1     8.5   81    68 
01:00   5.7   84    19.3  24.3  191   767.5    5.7   7.1     8.3   84    84 
02:00   5.3   81    14.0  17.1  172   767.3    5.3   7.5     8.3   81    78 
03:00   4.4   73    11.6  13.0  156   767.1    4.4   7.5     8.3   73    66 

TIME LOST weather           05:30
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Light cloud after sunset. Heavy clouds after 01:40. 

COMMENTS (causes of time lost, setup information eg CCD windows):
Bad weather!



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 487583 Flat field       17:30:00.00 +20:00:00.0 2005.963 13:55 1.044  WFC    2.0  180  r                                
 487584 Bias             17:30:00.00 +20:00:00.0 2005.963 13:57 1.047  WFC    0.0  180  r                                
 487585 Bias              0:00:00.00 +00:00:00.0 2005.963 15:58 4.571  WFC    0.0  180  Halpha                           
 487586 Bias              0:00:00.00 +00:00:00.0 2005.963 15:59 4.571  WFC    0.0  180  Halpha                           
 487587 Bias              0:00:00.00 +00:00:00.0 2005.963 16:00 4.571  WFC    0.0  180  Halpha                           
 487588 Bias              0:00:00.00 +00:00:00.0 2005.963 16:00 4.571  WFC    0.0  180  Halpha                           
 487589 Bias              0:00:00.00 +00:00:00.0 2005.963 16:01 4.571  WFC    0.0  180  Halpha                           
 487590 Bias              0:00:00.00 +00:00:00.0 2005.963 16:01 4.571  WFC    0.0  180  Halpha                           
 487591 Bias              0:00:00.00 +00:00:00.0 2005.963 16:02 4.571  WFC    0.0  180  Halpha                           
 487592 Bias              0:00:00.00 +00:00:00.0 2005.963 16:03 4.571  WFC    0.0  180  Halpha                           
 487593 Bias              0:00:00.00 +00:00:00.0 2005.963 16:03 4.571  WFC    0.0  180  Halpha                           
 487594 Bias              0:00:00.00 +00:00:00.0 2005.963 16:04 4.571  WFC    0.0  180  Halpha                           
 487595 Flat field       23:56:39.99 +59:45:00.0 2000.00  18:27 1.181  WFC    2.5  180  Halpha                           
 487596 Flat field       23:56:43.97 +59:45:30.0 2000.00  18:28 1.181  WFC    2.7  180  Halpha                           
 487597 Flat field       23:56:36.03 +59:44:30.0 2000.00  18:30 1.180  WFC    2.1  180  Halpha                           
 487598 Flat field       23:56:47.94 +59:45:59.9 2000.00  18:31 1.180  WFC    4.2  180  Halpha                           
 487599 Flat field       23:56:32.06 +59:43:59.9 2000.00  18:32 1.179  WFC    4.4  180  Halpha                           
 487600 Flat field       23:56:40.00 +59:45:00.0 2000.00  18:34 1.178  WFC    3.2  180  B                                
 487601 Flat field       23:56:43.97 +59:45:29.9 2000.00  18:40 1.175  WFC    2.4  180  B                                
 487602 Flat field       23:56:36.03 +59:44:29.9 2000.00  18:41 1.174  WFC    2.9  180  B                                
 487603 Flat field       23:56:47.94 +59:45:59.9 2000.00  18:42 1.174  WFC    3.9  180  B                                
 487604 Flat field       23:56:32.06 +59:43:59.9 2000.00  18:44 1.173  WFC    4.1  180  B                                
 487605 Flat field       23:56:40.00 +59:45:00.0 2000.00  18:45 1.173  WFC    8.4  180  r                                
 487606 Flat field       23:56:43.97 +59:45:29.9 2000.00  18:46 1.173  WFC   11.5  180  r                                
 487607 Flat field       23:56:36.03 +59:44:29.9 2000.00  18:47 1.172  WFC   15.8  180  r                                
 487608 Flat field       23:56:47.94 +59:46:00.0 2000.00  18:48 1.172  WFC   22.3  180  r                                
 487609 Flat field       23:56:40.00 +59:45:00.0 2000.00  18:50 1.171  WFC   30.7  180  V                                
 487610 Focus run         0:54:59.99 +00:44:13.0 2000.00  19:02 1.197  WFC   10.1  180  r                                
 487611 sa92-335 V        0:55:00.00 +00:44:13.0 2000.00  19:07 1.186  WFC   10.1  180  V                                
 487612 sa92-335 i        0:55:00.00 +00:44:13.0 2000.00  19:08 1.185  WFC   10.1  180  i                                
 487613 sa92-335 r        0:54:59.99 +00:44:12.9 2000.00  19:08 1.183  WFC   10.1  180  r                                
 487614 sa92-335 B        0:55:00.00 +00:44:12.9 2000.00  19:09 1.182  WFC   15.1  180  B                                
 487615 sa92-335 Ha       0:54:59.99 +00:44:12.9 2000.00  19:10 1.180  WFC   30.1  180  Halpha                           
 487616 sa113-163 V      21:42:35.00 +00:16:46.0 2000.00  19:12 1.341  WFC   10.1  180  V                                
 487617 sa113-163 i      21:42:35.00 +00:16:46.0 2000.00  19:13 1.344  WFC   10.1  180  i                                
 487618 sa113-163 r      21:42:35.00 +00:16:45.9 2000.00  19:14 1.348  WFC   10.1  180  r                                
 487619 sa113-163 B      21:42:34.99 +00:16:46.0 2000.00  19:15 1.351  WFC   15.1  180  B                                
 487620 sa113-163 Ha     21:42:35.00 +00:16:46.0 2000.00  19:16 1.355  WFC   30.1  180  Halpha                           
 487621 g Cep            23:39:20.85 +77:37:56.1 2000.00  19:19 1.521  WFC   10.1  180  V                                
 487622 M34 V             2:42:06.00 +42:47:00.0 2000.00  19:23 1.221  WFC   60.1  180  V                                
 487623 M34 i             2:42:06.00 +42:47:00.0 2000.00  19:25 1.216  WFC   30.1  180  i                                
 487624 M34 V             2:42:06.00 +42:46:59.9 2000.00  19:26 1.211  WFC   60.0  180  V                                
