INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 12 31 08:09

TELESCOPE             INT
DATE                  20051230
OBSERVER/S            J. Fabregat, J. Remis
PROGRAMME             Search of Be star in the COROT exoplanet fields
PROPOSAL REF          N2                 
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Richard Parker

TEL STATION / FOCUS    / 43.63
INSTRUMENT/S          WFC

SUNSET (UT)           18:32
EVENING TWILIGHT (UT) 19:48
MORNING TWILIGHT (UT) 06:40
SUNRISE (UT)          07:56
%ILLUM. LUNAR DISK    0
DARK TIME (HRS)       10:52
TWILIGHT TIME (HRS)   02:32
MOONRISE (UT)         No Moon all night
MOONSET (UT)          No Moon all night

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   6.9   33     8.5   9.2  108   773.5    6.9   8.4     9.4   33    27 
20:00   7.0   31     6.7   8.5  144   774.0    7.0   8.3     9.2   31    26 
21:00   6.7   31     4.9   6.4  146   774.5    6.7   8.2     9.0   31    24 
22:00   7.7   24     6.6   7.2  120   774.7    7.7   8.5     9.0   24    20 
23:00   8.0   23    10.8  12.0  142   774.5    8.0   8.8     9.1   23    20 
00:00   8.2   22    12.7  14.8  133   774.3    8.2   8.9     9.1   22    18 
01:00   7.4   24     0.0   0.0  231   774.0    7.4   8.5     9.1   24    20 
02:00   7.1   25     0.0   0.1  170   773.7    7.1   8.5     8.9   25    21 
03:00   7.6   19     4.8   5.2  117   773.5    7.6   8.4     8.8   19    19 
04:00   6.5   32     6.3   6.5  144   773.5    6.5   7.9     8.6   32    27 
05:00   7.1   31     3.4   3.5  148   773.5    7.1   8.1     8.6   31    23 
06:00   7.5   22     6.6   7.0  140   773.4    7.5   8.2     8.6   22    18 
07:00   6.7   30     6.4   6.8  154   773.5    6.7   8.1     8.7   30    26 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Cirrus

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 488830 Bias             16:59:59.99 +30:00:00.0 2005.995 12:02 1.005  WFC    0.0  180  stromgren y                      
 488831 Flat field        2:15:00.00 -09:59:59.9 2000.00  18:29 1.602  WFC    3.1  180  stromgren u                      
 488832 Flat field        2:14:59.99 -09:59:59.9 2000.00  18:31 1.589  WFC    4.5  180  stromgren u                      
 488833 Flat field        2:15:00.00 -10:00:00.0 2000.00  18:34 1.575  WFC    5.1  180  stromgren u                      
 488834 Flat field        2:15:00.00 -09:59:59.9 2000.00  18:36 1.564  WFC    4.5  180  stromgren u                      
 488835 Flat field        2:15:00.00 -10:00:00.0 2000.00  18:37 1.557  WFC    5.0  180  stromgren u                      
 488836 Flat field        2:14:59.99 -10:00:00.0 2000.00  18:39 1.550  WFC    5.1  180  stromgren u                      
 488837 Flat field        2:15:00.00 -10:00:00.0 2000.00  18:40 1.544  WFC    5.1  180  stromgren u                      
 488838 Flat field        2:15:00.00 -10:00:00.0 2000.00  18:41 1.539  WFC    4.6  180  Halpha                           
 488839 Flat field        2:14:59.99 -10:00:00.0 2000.00  18:42 1.533  WFC    8.1  180  Halpha                           
 488840 Flat field        2:15:00.00 -10:00:00.0 2000.00  18:44 1.527  WFC   10.1  180  Halpha                           
 488841 Flat field        2:15:00.00 -09:59:59.9 2000.00  18:45 1.522  WFC   10.1  180  stromgren v                      
 488842 Flat field        2:15:00.00 -09:59:59.9 2000.00  18:46 1.517  WFC   10.1  180  stromgren v                      
 488843 Flat field        2:15:00.00 -10:00:00.0 2000.00  18:47 1.512  WFC   10.1  180  stromgren v                      
 488844 Flat field        2:15:00.00 -09:59:59.9 2000.00  18:48 1.508  WFC    5.1  180  stromgren b                      
 488845 Flat field        2:15:00.00 -09:59:59.9 2000.00  18:49 1.503  WFC    9.6  180  stromgren b                      
 488846 Flat field        2:15:00.00 -10:00:00.0 2000.00  18:50 1.500  WFC   10.1  180  stromgren b                      
 488847 Flat field        2:15:00.00 -10:00:00.0 2000.00  18:51 1.495  WFC   12.1  180  stromgren y                      
 488848 Flat field        2:14:59.99 -10:00:00.0 2000.00  18:52 1.490  WFC   20.1  180  stromgren y                      
 488849 Flat field        2:15:00.00 -10:00:00.0 2000.00  18:53 1.486  WFC    5.1  180  r                                
 488850 Flat field        2:14:59.99 -10:00:00.0 2000.00  18:54 1.481  WFC   15.0  180  r                                
 488851 Flat field        2:14:59.99 -10:00:00.0 2000.00  18:56 1.476  WFC   20.1  180  r                                
