INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 03 03 07:38

TELESCOPE             INT
DATE                  20060302
OBSERVER/S            AF+CDBS
PROGRAMME             Comet nuclei
PROPOSAL REF          P7                 
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    RP

TEL STATION / FOCUS   Prime  / 43.71
INSTRUMENT/S          WFC

SUNSET (UT)           19:19
EVENING TWILIGHT (UT) 20:30
MORNING TWILIGHT (UT) 06:17
SUNRISE (UT)          07:28
%ILLUM. LUNAR DISK    13
DARK TIME (HRS)       09:47
TWILIGHT TIME (HRS)   02:22
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          22:19

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   4.8    2     0.4   0.6    3   770.3    4.8   6.1     6.9    2     2 
21:00   4.5    1     0.4   0.7   48   770.8    4.5   5.6     6.8    1     1 
22:00   4.3    3     0.5   1.0    8   771.1    4.3   5.3     6.7    3     2 
23:00   4.0    4     1.3   2.1   39   771.3    4.0   6.1     6.7    4     2 
00:00   3.5    5     1.3   2.0    3   771.3    3.5   4.7     6.5    5     2 
01:00   4.1    2     1.0   1.3  348   771.2    4.1   5.3     5.9    2     0 
02:00   4.4    5     0.8   1.3   12   771.3    4.4   5.1     5.9    5     2 
03:00   3.8    7     1.0   1.9  350   770.7    3.8   5.2     5.7    7     5 
04:00   4.6   27     0.8   1.2   79   770.4    4.6   4.9     6.0   27    22 
05:00   4.2   20     0.8   1.2  324   770.0    4.2   4.7     6.0   20    18 
06:00   3.4   24     0.7   1.0  336   770.3    3.4   4.7     5.8   24    21 
07:00   3.2   26     0.6   1.0  253   770.4    3.2   3.8     5.9   26    24 

TIME LOST weather           00:00
TIME LOST Technical         00:30
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clear, mostly photometric, seeing < 1 arcsec at start, averaged 1.1 arcsec rest of night.

COMMENTS (causes of time lost, setup information eg CCD windows):
lost 30 mins due to TCS at start of night, fine otherwise



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 493416 Bias              0:00:00.00 +20:00:00.0 2006.166 15:00 1.019  WFC    0.0  180  Halpha                           
 493417 Bias              0:00:00.00 +00:00:00.0 2006.166 16:57 4.749  WFC    0.0  180  r                                
 493418 Bias              0:00:00.00 +00:00:00.0 2006.166 16:58 4.749  WFC    0.0  180  r                                
 493419 Bias              0:00:00.00 +00:00:00.0 2006.166 16:59 4.749  WFC    0.0  180  r                                
 493420 Bias              0:00:00.00 +00:00:00.0 2006.166 16:59 4.749  WFC    0.0  180  r                                
 493421 Bias              0:00:00.00 +00:00:00.0 2006.166 17:00 4.749  WFC    0.0  180  r                                
 493422 Bias              0:00:00.00 +00:00:00.0 2006.166 17:00 4.749  WFC    0.0  180  r                                
 493423 Bias              0:00:00.00 +00:00:00.0 2006.166 17:01 4.749  WFC    0.0  180  r                                
 493424 Bias              0:00:00.00 +00:00:00.0 2006.166 17:02 4.749  WFC    0.0  180  r                                
 493425 Bias              0:00:00.00 +00:00:00.0 2006.166 17:02 4.749  WFC    0.0  180  r                                
 493426 Bias              0:00:00.00 +00:00:00.0 2006.166 17:03 4.749  WFC    0.0  180  r                                
 493427 Bias              0:00:00.00 +00:00:00.0 2006.166 17:03 4.749  WFC    0.0  180  r                                
 493428 Bias              0:00:00.00 +00:00:00.0 2006.166 17:04 4.749  WFC    0.0  180  r                                
 493429 Bias              0:00:00.00 +00:00:00.0 2006.166 17:05 4.749  WFC    0.0  180  r                                
 493430 Bias              0:00:00.00 +00:00:00.0 2006.166 17:05 4.749  WFC    0.0  180  r                                
 493431 Bias              0:00:00.00 +00:00:00.0 2006.166 17:06 4.749  WFC    0.0  180  r                                
 493432 Bias              0:00:00.00 +00:00:00.0 2006.166 17:06 4.749  WFC    0.0  180  r                                
 493433 Bias              0:00:00.00 +00:00:00.0 2006.166 17:07 4.749  WFC    0.0  180  r                                
 493434 Bias              0:00:00.00 +00:00:00.0 2006.166 17:07 4.749  WFC    0.0  180  r                                
 493435 Bias              0:00:00.00 +00:00:00.0 2006.166 17:08 4.749  WFC    0.0  180  r                                
 493436 Bias              0:00:00.00 +00:00:00.0 2006.166 17:09 4.749  WFC    0.0  180  r                                
 493437 Flat field        5:56:00.00 +04:08:59.9 2000.00  19:25 1.137  WFC    2.8  180  Halpha                           
 493438 Flat field        5:55:59.99 +04:08:59.9 2000.00  19:27 1.135  WFC    3.5  180  Halpha                           
 493439 sktflat Halpha    5:56:00.66 +04:09:10.0 2000.00  19:28 1.134  WFC    5.1  180  Halpha                           
 493440 skyflat Halpha    5:56:00.66 +04:09:10.0 2000.00  19:29 1.132  WFC    4.5  180  Halpha                           
 493441 skyflat Halpha    5:56:00.66 +04:09:10.0 2000.00  19:31 1.130  WFC   10.1  180  Halpha                           
 493442 skyflat V         5:56:00.66 +04:09:20.0 2000.00  19:33 1.128  WFC    3.1  180  V                                
 493443 skyflat V         5:56:01.33 +04:09:20.0 2000.00  19:35 1.126  WFC    3.1  180  V                                
 493444 skyflat V         5:56:01.33 +04:09:19.8 2000.00  19:36 1.124  WFC    6.1  180  V                                
 493445 skyflat r         5:56:01.33 +04:09:20.0 2000.00  19:38 1.123  WFC    7.1  180  r                                
 493446 skyflat r         5:56:00.66 +04:09:09.9 2000.00  19:39 1.122  WFC    9.1  180  r                                
 493447 skyflat r         5:55:59.33 +04:08:50.0 2000.00  19:40 1.120  WFC   12.1  180  r                                
 493448 skyflat i         5:56:00.67 +04:09:10.0 2000.00  19:42 1.119  WFC   15.1  180  i                                
 493449 skyflat i         5:56:01.33 +04:09:20.1 2000.00  19:43 1.118  WFC   20.1  180  i                                
 493450 skyflat i         5:56:02.67 +04:09:40.0 2000.00  19:45 1.116  WFC   30.1  180  i                                
 493451 skyflat i         5:56:04.00 +04:09:59.8 2000.00  19:46 1.115  WFC   45.1  180  i                                
 493452 test r            6:51:26.99 -00:15:36.0 2000.00  20:31 1.171  WFC    3.1  180  r                                
 493453 test r            6:51:26.99 -00:15:35.9 2000.00  20:35 1.167  WFC    3.1  180  r                                
 493454 test r            6:51:26.99 -00:15:35.8 2000.00  20:38 1.164  WFC    3.1  180  r                                
 493455 Focus run         6:51:27.00 -00:15:36.0 2000.00  20:43 1.160  WFC    1.0  180  r                                
 493456 sa98-562 r        6:51:30.59 -00:18:58.9 2000.00  20:49 1.155  WFC   20.1  180  r                                
 493457 sa98-562 r        6:51:30.60 -00:18:59.0 2000.00  20:51 1.153  WFC    5.1  180  r                                
 493458 sa98-562 i        6:51:30.60 -00:18:59.0 2000.00  20:54 1.152  WFC    5.1  180  i                                
 493459 sa98-562 V        6:51:30.59 -00:18:59.0 2000.00  20:55 1.151  WFC    4.5  180  V                                
 493460 sa95-107 V        3:53:25.60 +00:02:19.9 2000.00  20:58 1.459  WFC    4.6  180  V                                
 493461 sa95-107 r        3:53:25.60 +00:02:20.0 2000.00  20:59 1.465  WFC    5.1  180  r                                
 493462 sa95-107 V        3:53:25.59 +00:01:20.0 2000.00  21:02 1.482  WFC   10.1  180  r                                r band exposure
 493463 sa95-107 V        3:53:25.59 +00:01:19.9 2000.00  21:03 1.490  WFC   10.1  180  V                                
 493464 sa95-107 i        3:53:25.60 +00:01:20.0 2000.00  21:05 1.497  WFC   10.1  180  i                                
 493465 sa101-429 i       9:57:31.79 -00:18:16.9 2000.00  21:08 1.772  WFC    9.6  180  i                                
 493466 sa101-429 r       9:57:31.79 -00:18:17.0 2000.00  21:09 1.762  WFC    9.6  180  r                                
 493467 sa101-429 V       9:57:31.80 -00:18:16.9 2000.00  21:10 1.752  WFC    9.5  180  V                                
 493468 56P r             7:27:39.99 +29:02:05.0 2000.00  21:14 1.012  WFC  259.9  180  r                                
 493469 56P r             7:27:39.99 +29:02:04.9 2000.00  21:19 1.010  WFC  260.0  180  r                                
 493470 120P r            8:42:31.99 +27:07:31.1 2000.00  21:28 1.085  WFC  115.0  180  r                                
 493471 120P r            8:42:31.98 +27:07:30.9 2000.00  21:30 1.081  WFC  114.5  180  r                                
 493472 120P r            8:42:31.99 +27:07:31.0 2000.00  21:33 1.076  WFC  115.0  180  r                                
 493473 120P r            8:42:31.99 +27:07:30.9 2000.00  21:36 1.071  WFC  115.0  180  r                                
 493474 120P r            8:42:31.98 +27:07:31.0 2000.00  21:39 1.067  WFC  115.1  180  r                                
 493475 56P r             7:27:49.15 +29:02:04.9 2000.00  21:43 1.001  WFC  260.0  180  r                                
 493476 36P r            10:42:09.01 +03:16:26.0 2000.00  21:54 1.667  WFC   75.1  180  r                                
 493477 36P r            10:42:09.01 +03:16:26.0 2000.00  21:56 1.652  WFC   75.0  180  r                                
 493478 36P r            10:42:09.01 +03:16:26.0 2000.00  21:58 1.638  WFC   75.0  180  r                                
 493479 36P r            10:42:09.00 +03:16:26.0 2000.00  21:59 1.624  WFC   75.0  180  r                                
 493480 36P r            10:42:09.01 +03:16:25.9 2000.00  22:01 1.610  WFC   75.0  180  r                                
 493481 78P r            10:55:58.00 +00:14:03.0 2000.00  22:09 1.723  WFC   60.0  180  r                                
 493482 78P r            10:55:57.99 +00:14:03.0 2000.00  22:11 1.709  WFC   60.1  180  r                                
 493483 78P r            10:55:57.99 +00:14:03.0 2000.00  22:13 1.696  WFC   60.0  180  r                                
 493484 160P r            6:59:37.94 +36:36:55.9 2000.00  22:21 1.029  WFC  140.0  180  r                                
 493485 160P r            6:59:37.94 +36:36:55.9 2000.00  22:24 1.031  WFC  140.0  180  r                                
 493486 160P r            6:59:37.95 +36:36:55.9 2000.00  22:27 1.034  WFC  140.0  180  r                                
 493487 56P r             7:27:49.15 +29:02:04.9 2000.00  22:32 1.010  WFC  259.9  180  r                                
 493488 56P r             7:27:49.14 +29:02:04.9 2000.00  22:38 1.014  WFC  259.9  180  r                                
 493489 56P V             7:27:49.15 +29:02:04.7 2000.00  22:43 1.017  WFC  259.4  180  V                                
 493490 56P i             7:27:49.14 +29:02:04.9 2000.00  22:49 1.022  WFC  259.9  180  i                                
 493491 36P r            10:42:09.01 +03:17:25.9 2000.00  22:59 1.310  WFC   75.1  180  r                                
 493492 36P r            10:42:09.01 +03:17:26.0 2000.00  23:01 1.303  WFC   75.0  180  r                                
 493493 36P r            10:42:09.01 +03:17:26.0 2000.00  23:03 1.297  WFC   75.1  180  r                                
 493494 36P r            10:42:09.01 +03:17:26.0 2000.00  23:05 1.290  WFC   75.0  180  r                                
 493495 36P r            10:42:09.01 +03:17:26.0 2000.00  23:07 1.284  WFC   74.6  180  r                                
 493496 131P r            8:21:17.12 +09:42:33.1 2000.00  23:12 1.063  WFC  105.0  180  r                                
 493497 131P r            8:21:17.12 +09:42:32.8 2000.00  23:14 1.064  WFC  105.0  180  r                                
 493498 131P              8:21:17.12 +09:42:33.0 2000.00  23:17 1.065  WFC  105.0  180  r                                
 493499 131P V            8:21:17.12 +09:42:32.9 2000.00  23:22 1.068  WFC  105.0  180  V                                
 493500 131P V            8:21:17.12 +09:42:32.9 2000.00  23:25 1.069  WFC  105.0  180  V                                
 493501 131P V            8:21:17.12 +09:42:33.0 2000.00  23:27 1.071  WFC  105.0  180  V                                
 493502 36P r            10:42:13.01 +03:17:25.9 2000.00  23:32 1.215  WFC   75.0  180  r                                
 493503 36P r            10:42:13.01 +03:17:25.9 2000.00  23:34 1.210  WFC   75.1  180  r                                
 493504 36P r            10:42:13.02 +03:17:25.9 2000.00  23:36 1.206  WFC   75.0  180  r                                
 493505 36P r            10:42:13.02 +03:17:26.0 2000.00  23:38 1.202  WFC   75.0  180  r                                
 493506 36P r            10:42:13.01 +03:17:25.9 2000.00  23:39 1.198  WFC   75.1  180  r                                
 493507 135P r            9:02:33.22 +08:51:22.4 2000.00  23:44 1.065  WFC   79.5  180  r                                
 493508 135P r            9:02:33.22 +08:51:22.5 2000.00  23:46 1.066  WFC   80.0  180  r                                
 493509 135P r            9:02:33.22 +08:51:22.5 2000.00  23:48 1.066  WFC   80.0  180  r                                
 493510 135P r            9:02:33.22 +08:51:22.5 2000.00  23:52 1.068  WFC   80.0  180  r                                
 493511 135P r            9:02:33.22 +08:51:22.6 2000.00  23:54 1.069  WFC   80.0  180  r                                
 493512 36P r            10:42:11.01 +03:17:26.0 2000.00  00:00 1.160  WFC   75.0  180  r                                
 493513 36P r            10:42:11.01 +03:17:26.0 2000.00  00:02 1.157  WFC   75.0  180  r                                
 493514 36P r            10:42:11.01 +03:17:26.0 2000.00  00:04 1.154  WFC   74.5  180  r                                
 493515 36P r            10:42:11.01 +03:17:26.0 2000.00  00:06 1.151  WFC   75.0  180  r                                
 493516 36P r            10:42:11.01 +03:17:25.9 2000.00  00:08 1.149  WFC   75.0  180  r                                
 493517 36P i            10:42:11.01 +03:17:26.0 2000.00  00:10 1.145  WFC   75.0  180  i                                
 493518 36P i            10:42:11.01 +03:17:26.0 2000.00  00:12 1.143  WFC   75.1  180  i                                
 493519 36P i            10:42:11.01 +03:17:25.9 2000.00  00:14 1.141  WFC   74.5  180  i                                
 493520 36P i            10:42:11.01 +03:17:26.0 2000.00  00:16 1.139  WFC   75.0  180  i                                
 493521 36P i            10:42:11.01 +03:17:26.0 2000.00  00:18 1.136  WFC   75.1  180  i                                
 493522 36P r            10:42:11.01 +03:17:16.0 2000.00  00:22 1.133  WFC   74.5  180  r                                
 493523 36P r            10:42:11.01 +03:17:16.0 2000.00  00:23 1.131  WFC   75.0  180  r                                
 493524 36P r            10:42:11.02 +03:17:16.0 2000.00  00:25 1.129  WFC   75.0  180  r                                
 493525 36P r            10:42:11.01 +03:17:15.9 2000.00  00:27 1.127  WFC   75.0  180  r                                
