INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 03 31 07:13

TELESCOPE             INT
DATE                  20060330
OBSERVER/S            Sanchez+Aguerri
PROGRAMME             Intra-group light in Hickson compact groups
PROPOSAL REF          C5
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           19:35
EVENING TWILIGHT (UT) 20:48
MORNING TWILIGHT (UT) 05:44
SUNRISE (UT)          06:56
%ILLUM. LUNAR DISK    4
DARK TIME (HRS)       08:56
TWILIGHT TIME (HRS)   02:25
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          21:03

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  12.2   10    24.3  34.1  181   773.0   12.2  14.7    14.3   10     7 
21:00  12.3    9    20.7  26.8  199   773.4   12.3  13.6    14.2    9     3 
22:00  11.8    9    19.5  25.8  144   774.2   11.8  13.1    14.0    9     5 
23:00  12.3    8    25.0  29.9  217   774.5   12.3  13.1    13.8    8     4 
00:00  12.1    9    29.6  34.9  189   774.9   12.1  13.2    13.7    9     6 
01:00  11.4   11    21.0  28.6  199   774.8   11.4  12.8    13.6   11     6 
02:00  11.2   13    31.7  36.6  207   774.5   11.2  12.4    13.6   13     8 
03:00  11.4   13    39.3  45.2  190   774.3   11.4  12.6    13.6   13     9 
04:00  11.3   14    23.5  28.8  199   774.1   11.3  12.5    13.5   14     9 
05:00  11.4   13    35.9  39.9  133   773.8   11.4  12.5    13.4   13     9 
06:00  11.2   14    35.6  39.6  174   773.7   11.2  12.5    13.4   14     9 

TIME LOST weather           02:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clouds at the begining of the night

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 496244 Bias             24:00:00.00 +20:00:00.0 2006.242 12:56 1.014  WFC    0.0  180  I                                
 496245 Bias              7:06:59.99 +01:19:59.9 2000.00  19:41 1.127  WFC    0.0  180  r                                
 496246 Bias              7:07:00.00 +01:20:00.1 2000.00  19:42 1.127  WFC    0.0  180  r                                
 496247 Bias              7:06:59.99 +01:20:00.0 2000.00  19:42 1.127  WFC    0.0  180  r                                
 496248 Bias              7:06:59.99 +01:20:00.0 2000.00  19:43 1.127  WFC    0.0  180  r                                
 496249 Bias              7:06:59.99 +01:20:00.0 2000.00  19:44 1.127  WFC    0.0  180  r                                
 496250 Bias              7:07:00.00 +01:20:00.0 2000.00  19:44 1.126  WFC    0.0  180  r                                
 496251 Bias              7:07:00.00 +01:19:59.9 2000.00  19:45 1.126  WFC    0.0  180  r                                
 496252 Bias              7:06:59.99 +01:20:00.0 2000.00  19:46 1.126  WFC    0.0  180  r                                
 496253 Bias              7:07:00.00 +01:19:59.9 2000.00  19:46 1.126  WFC    0.0  180  r                                
 496254 Bias              7:07:00.00 +01:20:00.0 2000.00  19:47 1.126  WFC    0.0  180  r                                
 496255 SFF r 3s          7:07:00.00 +01:19:59.8 2000.00  19:48 1.126  WFC    3.1  180  r                                
 496256 SFF r 3s          7:07:01.33 +01:20:00.1 2000.00  19:49 1.127  WFC    3.1  180  r                                
 496257 SFF r 3s          7:07:01.32 +01:20:19.7 2000.00  19:51 1.127  WFC    2.6  180  r                                
 496258 SFF r 4s          7:06:58.66 +01:19:59.9 2000.00  19:52 1.127  WFC    4.1  180  r                                
 496259 SFF r 6s          7:06:58.66 +01:20:10.1 2000.00  19:53 1.127  WFC    5.6  180  r                                
 496260 SFF r 10s         7:06:59.33 +01:19:49.9 2000.00  19:54 1.127  WFC    9.6  180  r                                
 496261 SFF r 14s         7:06:59.33 +01:19:29.8 2000.00  19:55 1.127  WFC   14.1  180  r                                
 496262 SFF r 20s         7:06:59.99 +01:20:30.0 2000.00  19:57 1.128  WFC   20.1  180  r                                
 496263 SFF r 30s         7:07:01.33 +01:20:30.0 2000.00  19:58 1.128  WFC   30.1  180  r                                
 496264 Focus run         7:06:59.99 +01:20:00.1 2000.00  20:04 1.129  WFC   10.1  180  r                                
 496265 Focus run         7:07:00.00 +01:19:59.9 2000.00  20:27 1.143  WFC   10.1  180  r                                
 496266 Focus run         8:01:00.00 +49:59:59.9 2000.00  20:38 1.073  WFC   10.1  180  r                                
 496267 Sky Flat r 240s   8:01:00.00 +50:00:00.0 2000.00  20:43 1.073  WFC  240.0  180  r                                
 496268 Sky Flat r 240s   8:01:01.03 +50:00:00.0 2000.00  20:47 1.073  WFC  240.0  180  r                                
 496269 Sky Flat r 240s   8:01:01.03 +50:00:10.0 2000.00  20:52 1.074  WFC  239.9  180  r                                
 496270 Sky Flat r 240s   8:01:01.04 +49:59:49.9 2000.00  20:57 1.075  WFC  240.0  180  r                                
 496271 Sky Flat r 240s   8:01:00.00 +50:00:20.0 2000.00  21:02 1.076  WFC  240.0  180  r                                
 496272 Sky Flat r 480s   8:00:59.99 +49:59:59.9 2000.00  21:07 1.079  WFC  479.3  180  r                                
 496273 Sky Flat r 480s   8:01:01.03 +50:00:00.0 2000.00  21:16 1.082  WFC  479.3  180  r                                
 496274 Sky Flat r 480s   8:01:01.03 +50:00:10.0 2000.00  21:25 1.087  WFC  479.8  180  r                                
 496275 Sky Flat r 480s   8:01:01.03 +49:59:49.9 2000.00  21:34 1.093  WFC  479.9  180  r                                
 496276 Sky Flat r 480s   8:00:59.99 +50:00:20.0 2000.00  21:43 1.101  WFC  479.8  180  r                                
 496277 Focus run        11:29:15.49 +20:35:05.9 2000.00  22:00 1.161  WFC   10.1  180  r                                
 496278 test H54         11:29:15.50 +20:35:05.9 2000.00  22:03 1.146  WFC   60.0  180  r                                
 496279 H54_1 480s       11:29:15.50 +20:35:06.1 2000.00  22:15 1.113  WFC  479.9  180  r                                
 496280 test H57         11:37:50.50 +21:59:06.0 2000.00  22:26 1.109  WFC   60.1  180  r                                
 496281 H57_18 600s      11:37:50.50 +21:59:06.1 2000.00  22:34 1.086  WFC  599.2  180  r                                
 496282 H57_19 600s      11:38:05.50 +21:59:05.9 2000.00  22:46 1.067  WFC  599.6  180  r                                
 496283 H57_20 600s      11:38:15.49 +21:59:05.9 2000.00  22:59 1.050  WFC  599.8  180  r                                
 496284 H57_21 600s      11:38:05.49 +21:58:55.7 2000.00  23:11 1.037  WFC  599.8  180  r                                
 496285 H57_22 600s      11:38:15.50 +21:58:45.9 2000.00  23:23 1.026  WFC  599.8  180  r                                
 496286 H57_23 600s      11:37:50.50 +21:58:55.7 2000.00  23:36 1.017  WFC  599.7  180  r                                
 496287 H57_24 600s      11:37:50.50 +21:58:45.9 2000.00  23:48 1.011  WFC  599.7  180  r                                
