INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 05 09 07:29

TELESCOPE             INT
DATE                  20060508
OBSERVER/S            D. Faria
PROGRAMME             Disentagling the outer part of the Draco dSph 
PROPOSAL REF          P5                 
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Richard Parker

TEL STATION / FOCUS   Prime  / 43.58
INSTRUMENT/S          WFC

SUNSET (UT)           19:58
EVENING TWILIGHT (UT) 21:18
MORNING TWILIGHT (UT) 04:57
SUNRISE (UT)          06:17
%ILLUM. LUNAR DISK    83
DARK TIME (HRS)       07:39
TWILIGHT TIME (HRS)   02:40
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          04:16

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  11.3   22     8.9  10.1  185   767.3   11.3  14.8    13.1   22    23 
21:00  11.3   22     4.4   4.7  163   767.5   11.3  12.9    13.1   22    16 
22:00  11.1   18     2.0   2.3  146   768.0   11.1  12.5    13.0   18    14 
23:00  11.3   14     0.7   0.8  176   768.3   11.3  12.7    12.8   14    10 
00:00  11.5   15     7.4   7.8  134   768.7   11.5  12.5    12.8   15     9 
01:00  11.1   14    11.6  12.0  171   768.7   11.1  12.2    12.8   14     9 
02:00  10.8   14    13.1  13.7  169   768.2   10.8  11.9    12.7   14     9 
03:00  10.7   14    16.9  17.8  174   767.8   10.7  11.9    12.5   14     9 
04:00  10.0   17    15.8  16.2  170   767.3   10.0  11.2    12.4   17    11 
05:00  10.0   11    10.5  10.9  178   767.0   10.0  11.0    12.2   11     7 
06:00  10.6   13    11.6  12.2  169   767.1   10.6  11.5    12.2   13     9 

TIME LOST weather           1:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
High clouds early evening and late morning, seeing less than one.

COMMENTS (causes of time lost, setup information eg CCD windows):
Lost one hour due to thin high cloud cover.



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 501352 Bias              3:59:59.99 +12:00:00.0 2006.349 12:43 1.109  WFC    0.0  180  stromgren b                      
 501353 Bias              0:00:00.00 +00:00:00.0 2006.349 14:41 1.000  WFC    0.0  180  R                                
 501354 Bias              0:00:00.00 +00:00:00.0 2006.350 19:28 1.000  WFC    0.0  180  R                                
 501355 Bias              0:00:00.00 +00:00:00.0 2006.350 19:29 1.000  WFC    0.0  180  R                                
 501356 Bias              0:00:00.00 +00:00:00.0 2006.350 19:30 1.000  WFC    0.0  180  R                                
 501357 Bias              0:00:00.00 +00:00:00.0 2006.350 19:30 1.000  WFC    0.0  180  R                                
 501358 Bias              0:00:00.00 +00:00:00.0 2006.350 19:31 1.000  WFC    0.0  180  R                                
 501359 Bias              0:00:00.00 +00:00:00.0 2006.350 19:31 1.000  WFC    0.0  180  R                                
 501360 Bias              0:00:00.00 +00:00:00.0 2006.350 19:32 1.000  WFC    0.0  180  R                                
 501361 Bias              0:00:00.00 +00:00:00.0 2006.350 19:33 1.000  WFC    0.0  180  R                                
 501362 Bias              0:00:00.00 +00:00:00.0 2006.350 19:33 1.000  WFC    0.0  180  R                                
 501363 Bias              0:00:00.00 +00:00:00.0 2006.350 19:34 1.000  WFC    0.0  180  R                                
 501364 Flat field        9:12:00.00 -07:50:46.9 2000.00  20:00 1.269  WFC    1.7  180  stromgren u                      
 501365 Flat field        9:12:00.33 -07:50:41.7 2000.00  20:02 1.272  WFC    4.1  180  stromgren u                      
 501366 Flat field        9:12:00.67 -07:50:36.8 2000.00  20:03 1.273  WFC    5.1  180  stromgren u                      
 501367 Flat field        9:12:01.00 -07:50:32.0 2000.00  20:04 1.274  WFC    5.5  180  stromgren u                      
 501368 Flat field        9:12:01.34 -07:50:26.8 2000.00  20:06 1.276  WFC    6.5  180  stromgren u                      
 501369 Flat field        9:12:01.68 -07:50:21.9 2000.00  20:07 1.278  WFC    9.1  180  stromgren u                      
 501370 Flat field        9:12:01.68 -07:50:21.9 2000.00  20:08 1.279  WFC    5.0  180  stromgren y                      
 501371 Flat field        9:12:00.33 -07:50:42.1 2000.00  20:09 1.281  WFC    7.1  180  stromgren y                      
 501372 Flat field        9:12:00.67 -07:50:37.0 2000.00  20:10 1.283  WFC    9.1  180  stromgren y                      
 501373 Flat field        9:12:01.01 -07:50:32.0 2000.00  20:12 1.285  WFC   11.1  180  stromgren y                      
 501374 Flat field        9:12:01.00 -07:50:32.0 2000.00  20:13 1.286  WFC   15.1  180  stromgren v                      
 501375 Flat field        9:12:00.33 -07:50:42.0 2000.00  20:14 1.289  WFC   19.1  180  stromgren v                      
 501376 Flat field        9:12:00.66 -07:50:37.0 2000.00  20:16 1.291  WFC   25.1  180  stromgren v                      
 501377 Flat field        9:12:00.67 -07:50:37.0 2000.00  20:17 1.293  WFC   20.1  180  stromgren b                      
 501378 Flat field        9:12:00.33 -07:50:42.0 2000.00  20:19 1.296  WFC   24.5  180  stromgren b                      
 501379 Flat field        9:12:00.67 -07:50:36.9 2000.00  20:20 1.298  WFC   35.1  180  stromgren b                      
 501380 Flat field        9:12:01.00 -07:50:32.0 2000.00  20:22 1.301  WFC   50.1  180  stromgren b                      
 501381 Focus run         8:53:18.40 -00:41:11.0 2000.00  20:34 1.252  WFC   10.1  180  stromgren b                      
 501382 G166-045         14:49:01.99 +25:42:08.9 2000.00  20:41 1.770  WFC    4.1  180  stromgren y                      
 501383 G166-045         14:49:01.99 +25:42:09.0 2000.00  20:43 1.749  WFC    4.1  180  stromgren b                      
 501384 G166-045         14:49:01.99 +25:42:09.0 2000.00  20:45 1.735  WFC   10.1  180  stromgren v                      
 501385 G166-045         14:49:01.99 +25:42:08.9 2000.00  20:46 1.721  WFC   20.1  180  stromgren u                      
 501386 G166-045         14:49:02.00 +25:42:09.0 2000.00  20:48 1.705  WFC   30.1  180  stromgren u                      
 501387 HD081408          9:25:05.39 -12:58:00.5 2000.00  20:51 1.440  WFC    3.1  180  stromgren y                      
 501388 HD081408          9:25:05.39 -12:58:00.6 2000.00  20:52 1.444  WFC    2.5  180  stromgren b                      
 501389 HD081408          9:25:05.39 -12:58:00.5 2000.00  20:55 1.450  WFC    6.1  180  stromgren v                      
 501390 HD081408          9:25:05.38 -12:58:00.6 2000.00  20:56 1.456  WFC   15.1  180  stromgren v                      
 501391 HD081408          9:25:05.38 -12:58:00.5 2000.00  20:59 1.462  WFC    2.5  180  stromgren y                      
 501392 HD081408          9:25:05.39 -12:58:00.6 2000.00  21:00 1.467  WFC    9.5  180  stromgren u                      
 501393 HD081408          9:25:05.39 -12:58:00.5 2000.00  21:02 1.474  WFC   30.1  180  stromgren u                      
 501394 HD081408          9:25:05.39 -12:58:00.5 2000.00  21:04 1.482  WFC   80.0  180  stromgren u                      
 501395 HD081408          9:25:05.38 -12:58:00.6 2000.00  21:07 1.492  WFC  150.0  180  stromgren u                      
 501396 HD081408          9:25:05.38 -12:58:00.5 2000.00  21:11 1.502  WFC   15.1  180  stromgren v                      
 501397 G166-045         14:49:01.99 +25:42:09.0 2000.00  21:14 1.510  WFC    3.1  180  stromgren y                      
 501398 G166-045         14:49:02.00 +25:42:08.9 2000.00  21:15 1.502  WFC    2.1  180  stromgren b                      
 501399 G166-045         14:49:01.99 +25:42:08.9 2000.00  21:17 1.489  WFC    8.1  180  stromgren v                      
 501400 G166-045         14:49:02.00 +25:42:08.9 2000.00  21:19 1.479  WFC   17.6  180  stromgren u                      
 501401 DM-93102         10:34:43.33 -10:06:34.5 2000.00  21:22 1.309  WFC    8.1  180  stromgren y                      
 501402 DM-93102         10:34:43.33 -10:06:34.5 2000.00  21:24 1.311  WFC   10.1  180  stromgren b                      
 501403 DM-93102         10:34:43.33 -10:06:34.4 2000.00  21:25 1.312  WFC    6.0  180  stromgren b                      
 501404 DM-93102         10:34:43.33 -10:06:34.4 2000.00  21:27 1.315  WFC    9.1  180  stromgren v                      
 501405 DM-93102         10:34:43.32 -10:06:34.5 2000.00  21:28 1.317  WFC   15.1  180  stromgren v                      
 501406 DM-93102         10:34:43.32 -10:06:34.3 2000.00  21:30 1.319  WFC   50.1  180  stromgren u                      
 501407 DM-93102         10:34:43.32 -10:06:34.4 2000.00  21:32 1.323  WFC   80.0  180  stromgren u                      
 501408 DM-93102         10:34:43.33 -10:06:34.5 2000.00  21:35 1.328  WFC  100.0  180  stromgren u                      
 501409 G166-045         14:49:01.99 +25:42:08.9 2000.00  21:41 1.358  WFC    3.1  180  stromgren y                      
 501410 G166-045         14:49:01.99 +25:42:08.9 2000.00  21:43 1.352  WFC    3.1  180  stromgren b                      
 501411 G166-045         14:49:01.99 +25:42:08.9 2000.00  21:44 1.345  WFC    6.1  180  stromgren v                      
 501412 G166-045         14:49:02.00 +25:42:09.0 2000.00  21:45 1.339  WFC   20.1  180  stromgren u                      
 501413 DM-53063         10:26:41.27 -06:31:34.8 2000.00  21:49 1.302  WFC    2.1  180  stromgren y                      
 501414 DM-53063         10:26:41.27 -06:31:34.9 2000.00  21:50 1.306  WFC    6.1  180  stromgren b                      
 501415 DM-53063         10:26:41.27 -06:31:34.9 2000.00  21:52 1.309  WFC   20.0  180  stromgren v                      
 501416 DM-53063         10:26:41.28 -06:31:34.8 2000.00  21:53 1.313  WFC   40.1  180  stromgren v                      
 501417 DM-53063         10:26:41.28 -06:31:34.9 2000.00  21:55 1.319  WFC  120.0  180  stromgren u                      
 501418 DM-12457         10:52:36.27 -02:06:39.7 2000.00  22:00 1.211  WFC    3.5  180  stromgren y                      
 501419 DM-12457         10:52:36.28 -02:06:39.8 2000.00  22:02 1.213  WFC    2.1  180  stromgren y                      
 501420 DM-12457         10:52:36.27 -02:06:39.8 2000.00  22:03 1.215  WFC    2.5  180  stromgren b                      
 501421 DM-12457         10:52:36.28 -02:06:39.8 2000.00  22:05 1.218  WFC    7.1  180  stromgren v                      
 501422 DM-12457         10:52:36.27 -02:06:39.7 2000.00  22:06 1.220  WFC   10.1  180  stromgren v                      
 501423 DM-12457         10:52:36.28 -02:06:39.8 2000.00  22:08 1.223  WFC   25.1  180  stromgren u                      
 501424 DM-12457         10:52:36.27 -02:06:39.8 2000.00  22:09 1.227  WFC   60.1  180  stromgren u                      
 501425 HD107853         12:23:29.82 +26:33:57.0 2000.00  22:13 1.003  WFC    2.1  180  stromgren y                      
 501426 HD107853         12:23:29.82 +26:33:56.7 2000.00  22:15 1.002  WFC    1.5  180  stromgren b                      
 501427 HD107853         12:23:29.82 +26:33:56.6 2000.00  22:16 1.002  WFC    5.1  180  stromgren v                      
 501428 HD107853         12:23:29.83 +26:33:56.6 2000.00  22:18 1.002  WFC   12.1  180  stromgren u                      
 501429 HD107853         12:23:29.82 +26:33:56.7 2000.00  22:19 1.001  WFC   20.1  180  stromgren u                      
 501430 HD158226         17:26:43.20 +31:04:38.0 2000.00  22:23 2.404  WFC    2.1  180  stromgren y                      
 501431 G014-045         13:18:56.72 -03:04:18.1 2000.00  22:27 1.216  WFC    4.1  180  stromgren y                      
 501432 G014-045         13:18:56.72 -03:04:18.1 2000.00  22:29 1.212  WFC   16.1  180  stromgren y                      
 501433 G014-045         13:18:56.71 -03:04:18.0 2000.00  22:31 1.210  WFC   25.1  180  stromgren y                      
 501434 HD100363         11:32:51.57 -12:02:06.4 2000.00  22:42 1.382  WFC    3.1  180  stromgren y                      
 501435 HD100363         11:32:51.57 -12:02:06.4 2000.00  22:44 1.385  WFC    1.0  180  stromgren y                      
 501436 HD100363         11:32:51.56 -12:02:06.4 2000.00  22:45 1.388  WFC    1.6  180  stromgren b                      
 501437 HD100363         11:32:51.57 -12:02:06.4 2000.00  22:47 1.391  WFC    5.1  180  stromgren v                      
 501438 HD100363         11:32:51.56 -12:02:06.3 2000.00  22:48 1.395  WFC   20.1  180  stromgren u                      
 501439 M51              13:29:55.70 +47:13:53.4 2000.00  23:10 1.058  WFC   10.1  180  stromgren y                      
 501440 M51              13:29:55.70 +47:13:53.3 2000.00  23:12 1.057  WFC  200.1  180  stromgren y                      
 501441 M51              13:29:55.69 +47:13:53.3 2000.00  23:16 1.056  WFC  200.0  180  stromgren b                      
 501442 HD158226         17:26:43.19 +31:04:38.0 2000.00  23:22 1.673  WFC    2.1  180  stromgren y                      
 501443 HD158226         17:26:43.20 +31:04:37.8 2000.00  23:23 1.661  WFC    1.0  180  stromgren y                      
 501444 HD158226         17:26:43.20 +31:04:37.9 2000.00  23:25 1.649  WFC    1.6  180  stromgren b                      
 501445 HD158226         17:26:43.19 +31:04:37.9 2000.00  23:26 1.638  WFC    2.1  180  stromgren v                      
 501446 HD158226         17:26:43.20 +31:04:37.8 2000.00  23:28 1.627  WFC    8.1  180  stromgren u                      
 501447 HD158226         17:26:43.20 +31:04:37.8 2000.00  23:29 1.618  WFC   12.1  180  stromgren u                      
 501448 DRACOA1          17:25:39.99 +58:09:59.9 2000.00  23:33 1.510  WFC 1198.9  180  stromgren b                      
 501449 HD120467         13:49:44.80 -22:06:39.7 2000.00  23:57 1.584  WFC    2.1  180  stromgren y                      
 501450 HD120467         13:49:44.81 -22:06:39.9 2000.00  23:58 1.584  WFC    2.1  180  stromgren b                      
 501451 HD120467         13:49:44.81 -22:06:39.9 2000.00  00:00 1.584  WFC    3.1  180  stromgren v                      
 501452 HD120467         13:49:44.81 -22:06:39.9 2000.00  00:02 1.584  WFC   12.1  180  stromgren v                      
 501453 HD120467          0:00:00.00 +00:00:00.0 2000.00  00:05 1.586  WFC    1.1  180  stromgren y                      
 501454 HD120467          0:00:00.00 +00:00:00.0 2000.00  00:07 1.587  WFC    1.0  180  stromgren y                      
 501455 HD120467         13:49:44.81 -22:06:39.7 2000.00  00:08 1.587  WFC    1.0  180  stromgren y                      
 501456 HD120467         13:49:44.81 -22:06:39.9 2000.00  00:10 1.588  WFC    1.0  180  stromgren b                      
 501457 HD120467         13:49:44.81 -22:06:39.8 2000.00  00:11 1.589  WFC    4.5  180  stromgren v                      
 501458 HD120467         13:49:44.81 -22:06:39.8 2000.00  00:12 1.590  WFC   10.1  180  stromgren v                      
 501459 HD120467         13:49:44.81 -22:06:39.8 2000.00  00:14 1.591  WFC   25.1  180  stromgren u                      
 501460 HD120467         13:49:44.80 -22:06:39.9 2000.00  00:16 1.593  WFC   60.1  180  stromgren u                      
 501461 G166-045         14:49:01.99 +25:42:08.9 2000.00  00:19 1.010  WFC    1.5  180  stromgren y                      
 501462 G166-045         14:49:02.00 +25:42:09.0 2000.00  00:21 1.009  WFC    1.5  180  stromgren y                      
 501463 G166-045         14:49:02.00 +25:42:08.9 2000.00  00:23 1.008  WFC    3.1  180  stromgren y                      
 501464 G166-045         14:49:02.00 +25:42:09.0 2000.00  00:25 1.008  WFC    3.1  180  stromgren b                      
 501465 G166-045         14:49:01.99 +25:42:09.0 2000.00  00:26 1.007  WFC    6.1  180  stromgren v                      
 501466 G166-045         14:49:01.99 +25:42:09.0 2000.00  00:27 1.007  WFC   15.1  180  stromgren u                      
 501467 DRACOA1          17:25:40.00 +58:09:59.7 2000.00  00:31 1.331  WFC 1199.4  180  stromgren y                      
 501468 DM-33746         15:13:59.64 -03:47:52.8 2000.00  00:54 1.194  WFC    4.1  180  stromgren y                      
 501469 DM-33746         15:13:59.64 -03:47:52.7 2000.00  00:55 1.193  WFC    2.1  180  stromgren y                      
 501470 DM-33746         15:13:59.63 -03:47:52.7 2000.00  00:56 1.192  WFC    2.1  180  stromgren b                      
 501471 DM-33746         15:13:59.64 -03:47:52.8 2000.00  00:57 1.192  WFC    4.1  180  stromgren v                      
 501472 DM-33746         15:13:59.63 -03:47:52.8 2000.00  00:59 1.191  WFC   12.1  180  stromgren v                      
 501473 DM-33746         15:13:59.64 -03:47:52.7 2000.00  01:00 1.190  WFC   18.1  180  stromgren v                      
 501474 DM-33746         15:13:59.63 -03:47:52.8 2000.00  01:02 1.189  WFC   90.0  180  stromgren u                      
 501475 DM-133834        14:10:27.07 -13:56:04.3 2000.00  01:06 1.400  WFC    4.5  180  stromgren y                      
 501476 DM-133834        14:10:27.07 -13:56:04.3 2000.00  01:07 1.402  WFC    4.6  180  stromgren b                      
 501477 DM-133834        14:10:27.08 -13:56:04.3 2000.00  01:09 1.405  WFC   12.1  180  stromgren v                      
 501478 DM-133834        14:10:27.07 -13:56:04.3 2000.00  01:10 1.407  WFC   18.1  180  stromgren v                      
 501479 DM-133834        14:10:27.08 -13:56:04.3 2000.00  01:12 1.411  WFC   60.1  180  stromgren u                      
 501480 HD149996         16:38:17.39 -02:26:31.8 2000.00  01:16 1.261  WFC    1.1  180  stromgren y                      
 501481 DRACOA1          17:25:40.00 +58:10:00.0 2000.00  01:20 1.234  WFC 1199.3  180  stromgren y                      
 501482 HD107853         12:23:29.83 +26:33:56.7 2000.00  01:44 1.369  WFC    2.1  180  stromgren y                      
 501483 HD107853         12:23:29.83 +26:33:56.6 2000.00  01:46 1.380  WFC    1.0  180  stromgren y                      
 501484 HD107853         12:23:29.82 +26:33:56.6 2000.00  01:47 1.387  WFC    1.6  180  stromgren b                      
 501485 HD107853         12:23:29.82 +26:33:56.7 2000.00  01:49 1.393  WFC    5.0  180  stromgren v                      
 501486 HD107853         12:23:29.82 +26:33:56.7 2000.00  01:50 1.401  WFC   25.1  180  stromgren u                      
 501487 DRACOA1          17:25:39.99 +58:09:59.8 2000.00  01:53 1.192  WFC 1199.3  180  stromgren v                      
 501488 DRACOA1          17:25:39.99 +58:10:00.1 2000.00  02:15 1.172  WFC 1199.3  180  stromgren u                      
 501489 HD175179         18:54:23.20 -04:36:18.5 2000.00  02:40 1.470  WFC    3.1  180  stromgren y                      
 501490 HD175179         18:54:23.19 -04:36:18.6 2000.00  02:41 1.465  WFC    1.6  180  stromgren y                      
 501491 HD175179         18:54:23.19 -04:36:18.5 2000.00  02:42 1.459  WFC    1.6  180  stromgren b                      
 501492 HD175179         18:54:23.19 -04:36:18.5 2000.00  02:44 1.452  WFC    3.1  180  stromgren v                      
 501493 HD175179         18:54:23.20 -04:36:18.6 2000.00  02:46 1.442  WFC   20.1  180  stromgren u                      
 501494 DRACOA1          17:25:39.99 +58:09:59.9 2000.00  02:51 1.152  WFC 1199.2  180  stromgren u                      
 501495 DRACOA1          17:25:39.99 +58:09:59.9 2000.00  03:13 1.148  WFC 1199.4  180  stromgren y                      
 501496 G166-045         14:49:02.00 +25:42:09.0 2000.00  03:35 1.236  WFC    2.1  180  stromgren y                      
 501497 G166-045         14:49:01.99 +25:42:09.0 2000.00  03:37 1.241  WFC    2.1  180  stromgren b                      
 501498 G166-045         14:49:01.99 +25:42:09.0 2000.00  03:38 1.245  WFC    6.1  180  stromgren v                      
 501499 G166-045         14:49:01.99 +25:42:08.9 2000.00  03:39 1.250  WFC   15.0  180  stromgren u                      
 501500 G166-045         14:49:01.99 +25:42:08.9 2000.00  03:41 1.255  WFC   24.6  180  stromgren u                      
 501501 DM-44454         19:20:29.00 -04:30:35.9 2000.00  03:44 1.325  WFC    5.1  180  stromgren y                      
 501502 DM-44454         19:20:29.00 -04:30:35.9 2000.00  03:46 1.321  WFC    5.1  180  stromgren b                      
 501503 DM-44454         19:20:29.00 -04:30:35.9 2000.00  03:47 1.318  WFC   12.1  180  stromgren v                      
 501504 DM-44454         19:20:28.99 -04:30:36.0 2000.00  03:48 1.314  WFC   25.1  180  stromgren v                      
 501505 DM-44454         19:20:28.99 -04:30:36.0 2000.00  03:50 1.309  WFC   60.0  180  stromgren u                      
 501506 DM-44454         19:20:28.99 -04:30:35.9 2000.00  03:52 1.302  WFC  120.0  180  stromgren u                      
 501507 DRACOA1          17:25:40.00 +58:09:59.7 2000.00  03:58 1.156  WFC 1199.5  180  stromgren b                      
 501508 DRACO0           17:20:11.99 +57:54:54.9 2000.00  04:22 1.172  WFC 1199.3  180  stromgren u                      
 501509 DM+04470         20:17:35.00 +00:57:29.9 2000.00  04:47 1.231  WFC    5.1  180  stromgren y                      
 501510 DM+04470         20:17:35.00 +00:57:29.9 2000.00  04:52 1.220  WFC   10.1  180  stromgren y                      
 501511 G166-045         14:49:02.00 +25:42:08.9 2000.00  04:56 1.683  WFC    4.1  180  stromgren y                      
 501512 G166-045         14:49:02.00 +25:42:09.0 2000.00  05:02 1.730  WFC    5.1  180  stromgren y                      
 501513 G166-045         14:49:02.00 +25:42:08.9 2000.00  05:05 1.766  WFC    5.1  180  stromgren y                      
 501514 G166-045         14:49:01.99 +25:42:08.9 2000.00  05:07 1.778  WFC    5.1  180  stromgren b                      
 501515 G166-045         14:49:01.99 +25:42:08.9 2000.00  05:08 1.790  WFC   15.1  180  stromgren v                      
 501516 G166-045         14:49:01.99 +25:42:09.0 2000.00  05:09 1.807  WFC   90.0  180  stromgren u                      
 501517 HD158226         17:26:43.20 +31:04:37.7 2000.00  05:12 1.079  WFC    3.1  180  stromgren y                      
 501518 HD158226         17:26:43.19 +31:04:37.9 2000.00  05:13 1.081  WFC    1.6  180  stromgren y                      
 501519 HD158226         17:26:43.19 +31:04:37.9 2000.00  05:17 1.088  WFC    1.6  180  stromgren b                      
 501520 HD158226         17:26:43.20 +31:04:37.9 2000.00  05:18 1.089  WFC    4.1  180  stromgren v                      
 501521 HD158226         17:26:43.20 +31:04:37.8 2000.00  05:19 1.091  WFC   20.1  180  stromgren u                      
 501522 Flat field       19:21:28.99 +12:27:48.9 2000.00  05:51 1.048  WFC  100.0  180  stromgren b                      
 501523 Flat field       19:21:29.34 +12:27:54.0 2000.00  05:54 1.049  WFC   65.1  180  stromgren b                      
 501524 Flat field       19:21:29.68 +12:27:59.0 2000.00  05:56 1.050  WFC   40.1  180  stromgren b                      
 501525 Flat field       19:21:30.02 +12:28:03.9 2000.00  05:57 1.051  WFC   20.1  180  stromgren b                      
 501526 Flat field       19:21:30.02 +12:28:04.0 2000.00  05:59 1.052  WFC   30.1  180  stromgren v                      
 501527 Flat field       19:21:29.34 +12:27:53.9 2000.00  06:00 1.053  WFC   20.1  180  stromgren v                      
 501528 Flat field       19:21:30.02 +12:28:03.9 2000.00  06:02 1.054  WFC   15.1  180  stromgren v                      
 501529 Flat field       19:21:30.02 +12:28:03.9 2000.00  06:03 1.055  WFC   10.1  180  stromgren y                      
