INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 06 06 06:58

TELESCOPE             INT
DATE                  20060605
OBSERVER/S            Gyula Jozsa
PROGRAMME             warps in low surface-brightness galaxies
PROPOSAL REF          N4
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.65
INSTRUMENT/S          WFC

SUNSET (UT)           20:15
EVENING TWILIGHT (UT) 21:40
MORNING TWILIGHT (UT) 04:40
SUNRISE (UT)          06:05
%ILLUM. LUNAR DISK    69
DARK TIME (HRS)       07:00
TWILIGHT TIME (HRS)   02:50
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          02:43

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00   8.6   48    36.1  40.0  267   767.8    8.6  13.3    15.0   48    35 
22:00   8.5   43    33.0  35.7  261   768.2    8.5  11.6    13.6   43    32 
23:00   9.4   17    31.5  35.8  232   768.5    9.4  11.0    14.1   17    13 
00:00   9.1   27    23.3  27.4  265   768.7    9.1  10.8    13.6   27    20 
01:00   8.7   26    24.9  27.5  261   768.7    8.7  10.3    13.2   26    19 
02:00   9.6   15    25.0  28.0  265   768.3    9.6  10.8    12.9   15     7 
03:00   9.8   16    22.4  24.5  272   767.7    9.8  11.2    12.8   16     9 
04:00   9.0   17    23.9  26.8  277   767.2    9.0  10.7    12.6   17    11 
05:00   8.4   27    21.2  24.2  280   766.9    8.4  10.0    12.6   27    23 
06:00   7.2   24    24.2  25.9  267   766.6    7.2   9.4    12.4   24    17 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
largely fine

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 505482 Bias              0:00:00.00 +00:00:00.0 2006.426 13:32 1.019  WFC    0.0  180  i                                
 505483 Dark frame        0:00:00.00 +00:00:00.0 2006.426 16:27 4.748  WFC 3600.0  180  U                                
 505484 Dark frame        0:00:00.00 +00:00:00.0 2006.426 17:28 4.748  WFC 3600.0  180  U                                
 505485 Bias              0:00:00.00 +00:00:00.0 2006.426 19:29 1.000  WFC    0.0  180  U                                
 505486 Bias              0:00:00.00 +00:00:00.0 2006.426 19:30 1.000  WFC    0.0  180  U                                
 505487 Bias              0:00:00.00 +00:00:00.0 2006.426 19:31 1.000  WFC    0.0  180  U                                
 505488 Bias              0:00:00.00 +00:00:00.0 2006.426 19:31 1.000  WFC    0.0  180  U                                
 505489 Bias              0:00:00.00 +00:00:00.0 2006.426 19:32 1.000  WFC    0.0  180  U                                
 505490 Bias              0:00:00.00 +00:00:00.0 2006.426 19:32 1.000  WFC    0.0  180  U                                
 505491 Bias              0:00:00.00 +00:00:00.0 2006.426 19:33 1.000  WFC    0.0  180  U                                
 505492 Bias              0:00:00.00 +00:00:00.0 2006.426 19:34 1.000  WFC    0.0  180  U                                
 505493 Bias              0:00:00.00 +00:00:00.0 2006.426 19:34 1.000  WFC    0.0  180  U                                
 505494 Bias              0:00:00.00 +00:00:00.0 2006.426 19:35 1.000  WFC    0.0  180  U                                
 505495 Flat field       12:28:42.99 -06:55:03.9 2000.00  20:31 1.233  WFC    3.3  180  r                                
 505496 Flat field       12:28:44.34 -06:54:44.4 2000.00  20:32 1.232  WFC    3.8  180  r                                
 505497 Flat field       12:28:44.34 -06:55:23.9 2000.00  20:34 1.232  WFC    4.2  180  r                                
 505498 Flat field       12:28:41.65 -06:54:44.0 2000.00  20:35 1.232  WFC    5.5  180  r                                
 505499 Flat field       12:28:41.65 -06:55:23.9 2000.00  20:36 1.232  WFC    6.0  180  r                                
 505500 Flat field       12:28:43.66 -06:54:34.3 2000.00  20:37 1.231  WFC    8.1  180  r                                
 505501 Flat field       12:28:42.99 -06:55:04.1 2000.00  20:38 1.231  WFC    9.1  180  i                                
 505502 Flat field       12:28:44.34 -06:54:43.9 2000.00  20:40 1.231  WFC   12.1  180  i                                
 505503 Flat field       12:28:44.33 -06:55:24.0 2000.00  20:41 1.231  WFC   16.1  180  i                                
 505504 Flat field       12:28:41.65 -06:54:44.0 2000.00  20:42 1.231  WFC   20.5  180  i                                
 505505 Flat field       12:28:41.66 -06:54:44.4 2000.00  20:44 1.231  WFC   29.9  180  i                                
 505506 Focus run        12:42:53.59 -00:32:02.0 2000.00  21:02 1.146  WFC   10.1  180  r                                
 505507 calib R 20       16:35:33.30 +09:46:21.1 2000.00  21:07 1.759  WFC   20.1  180  r                                
 505508 calib R 5        16:35:33.29 +09:46:21.0 2000.00  21:08 1.751  WFC    5.1  180  r                                
 505509 calib R 3        16:35:33.30 +09:46:21.0 2000.00  21:09 1.743  WFC    3.1  180  r                                
 505510 calib I 3        16:35:33.29 +09:46:21.0 2000.00  21:10 1.736  WFC    3.1  180  i                                
 505511 calib I 5        16:35:33.30 +09:46:20.9 2000.00  21:10 1.729  WFC    5.1  180  i                                
 505512 calib I 20       16:35:33.30 +09:46:20.9 2000.00  21:11 1.721  WFC   20.1  180  i                                
 505513 calib2 I 20       9:57:31.20 -00:21:51.7 2000.00  21:14 1.631  WFC   20.1  180  i                                dome was not in position in time
 505514 calib2 I 5        9:57:31.20 -00:21:51.8 2000.00  21:15 1.637  WFC    5.1  180  i                                
 505515 calib2 I 3        9:57:31.20 -00:21:52.0 2000.00  21:15 1.643  WFC    3.1  180  i                                
 505516 calib2 R 3        9:57:31.20 -00:21:51.7 2000.00  21:16 1.648  WFC    2.6  180  r                                
 505517 calib2 R 5        9:57:31.20 -00:21:51.9 2000.00  21:17 1.654  WFC    5.1  180  r                                
 505518 calib2 R 20       9:57:31.20 -00:21:52.0 2000.00  21:18 1.661  WFC   20.1  180  r                                
 505519 calib2 I 20       9:57:31.19 -00:21:52.0 2000.00  21:19 1.669  WFC   20.1  180  i                                
 505520 calib3 I 20      10:50:02.89 -00:00:38.0 2000.00  21:20 1.374  WFC   20.1  180  i                                
 505521 calib3 I 5       10:50:02.89 -00:00:38.1 2000.00  21:21 1.378  WFC    5.1  180  i                                
 505522 calib3 I 3       10:50:02.89 -00:00:38.1 2000.00  21:22 1.381  WFC    3.1  180  i                                
 505523 calib3 R 3       10:50:02.89 -00:00:38.2 2000.00  21:23 1.384  WFC    3.1  180  r                                
 505524 calib3 R 5       10:50:02.89 -00:00:38.5 2000.00  21:24 1.387  WFC    5.1  180  r                                
 505525 calib3 R 20      10:50:02.89 -00:00:38.2 2000.00  21:24 1.391  WFC   20.1  180  r                                
