INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 06 07 07:14

TELESCOPE             INT
DATE                  20060606
OBSERVER/S            A. Rosenberg, G. Gomez
PROGRAMME             CAT Service Night
PROPOSAL REF          CAT S
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Laurence Sabin

TEL STATION / FOCUS   Prime  / 43.65
INSTRUMENT/S          WFC

SUNSET (UT)           20:15
EVENING TWILIGHT (UT) 21:41
MORNING TWILIGHT (UT) 04:39
SUNRISE (UT)          06:05
%ILLUM. LUNAR DISK    77
DARK TIME (HRS)       06:58
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          03:10

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00   7.3   82    37.6  43.9  256   767.9    7.3  12.3    13.6   82    60 
22:00   6.2   86    36.1  38.6  253   768.2    6.2   9.8    12.0   86    72 
23:00   6.5   83    34.3  37.8  257   768.5    6.5   8.2    11.9   83    77 
00:00   8.4   40    33.6  36.2  253   768.9    8.4   9.4    11.1   40    48 
01:00   8.8   31    27.5  30.3  247   769.2    8.8   9.7    12.0   31    31 
02:00   9.8   25    33.7  36.6  236   769.0    9.8  10.5    12.1   25    22 
03:00   9.8   20    33.1  39.0  249   768.3    9.8  10.5    11.9   20    20 
04:00  10.8   12    34.4  38.7  213   767.9   10.8  11.8    12.3   12     7 
05:00   9.8   15    31.8  38.8  213   768.0    9.8  11.1    12.0   15     9 
06:00   9.2   18    32.2  37.3  224   767.9    9.2  10.8    11.9   18    12 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
High variation of humidity during the night, seeing=1.3-1.4

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 505694 Bias              4:42:36.00 -00:00:00.0 2006.429 14:00 1.189  WFC    0.0  180  B                                
 505695 Flat field       12:28:43.00 -06:55:03.9 2000.00  20:13 1.240  WFC    5.8  180  [OIII]5007                       
 505696 Flat field       12:28:43.00 -06:55:03.9 2000.00  20:14 1.239  WFC    5.1  180  [OIII]5007                       
 505697 Flat field       12:28:42.99 -06:55:03.9 2000.00  20:23 1.234  WFC    2.5  180  [OIII]5007                       
 505698 Flat field       12:28:43.00 -06:55:04.0 2000.00  20:24 1.234  WFC    4.0  180  [OIII]5007                       
 505699 Flat field       12:28:42.99 -06:55:03.9 2000.00  20:26 1.233  WFC    5.1  180  [OIII]5007                       
 505700 Flat field       12:28:43.00 -06:55:04.0 2000.00  20:27 1.233  WFC    4.0  180  Halpha                           
 505701 Flat field       12:28:43.00 -06:55:03.9 2000.00  20:28 1.233  WFC    8.5  180  Halpha                           
 505702 Flat field       12:28:43.67 -06:54:53.9 2000.00  20:30 1.232  WFC   14.1  180  Halpha                           
 505703 Flat field       12:28:42.32 -06:55:14.0 2000.00  20:31 1.232  WFC   20.1  180  Halpha                           
 505704 Flat field       12:28:43.00 -06:55:04.0 2000.00  20:32 1.232  WFC   25.1  180  Ha 6657                          
 505705 Flat field       12:28:43.67 -06:54:54.2 2000.00  20:34 1.231  WFC   40.1  180  Ha 6657                          
 505707 Flat field       12:28:42.33 -06:55:14.0 2000.00  20:37 1.231  WFC   75.0  180  Ha 6657                          
 505708 Flat field       12:28:42.99 -06:55:03.9 2000.00  20:40 1.231  WFC   19.5  180  B                                
 505709 Flat field       12:28:43.67 -06:54:53.9 2000.00  20:42 1.231  WFC   25.1  180  B                                
 505710 Flat field       12:28:42.32 -06:55:13.5 2000.00  20:43 1.231  WFC   35.1  180  B                                
 505711 Flat field       12:28:43.00 -06:55:03.2 2000.00  20:45 1.231  WFC   40.1  180  r                                
 505712 Flat field       12:28:43.67 -06:54:54.4 2000.00  20:47 1.232  WFC   60.1  180  r                                
 505713 Flat field       12:28:42.32 -06:55:14.3 2000.00  20:49 1.232  WFC   90.0  180  r                                
 505714 Focus run        12:43:06.09 -00:32:18.0 2000.00  21:07 1.148  WFC   10.1  180  r                                
 505717 NGC4258b Ha on   12:18:53.67 +47:17:13.8 2000.00  21:25 1.075  WFC  120.0  180  Halpha                           
 505718 NGC4258b Ha on   12:18:53.67 +47:17:14.1 2000.00  21:28 1.089  WFC 1799.0  180  Halpha                           
 505719 NGC4258b r       12:18:53.66 +47:17:13.9 2000.00  21:59 1.107  WFC  100.0  180  r                                
 505720 NGC4258b r       12:18:53.67 +47:17:13.8 2000.00  22:02 1.111  WFC   99.5  180  r                                
 505721 NGC4258b Ha666 o 12:18:53.66 +47:17:13.8 2000.00  22:05 1.115  WFC  120.0  180  Ha 6657                          
 505722 NGC4258b Ha666 o 12:18:53.67 +47:17:13.9 2000.00  22:07 1.140  WFC 1799.0  180  Ha 6657                          
 505723 NGC5457-2 Ha on  14:02:32.51 +54:29:52.9 2000.00  22:41 1.115  WFC  120.1  180  Halpha                           
 505724 NGC5457-2 Ha on  14:02:32.52 +54:29:53.0 2000.00  22:44 1.123  WFC 1799.0  180  Halpha                           
 505725 NGC5457-2 r      14:02:32.51 +54:29:53.0 2000.00  23:15 1.133  WFC  100.0  180  r                                
 505726 NGC5457-2 r      14:02:32.51 +54:29:52.9 2000.00  23:17 1.135  WFC   99.5  180  r                                
 505727 NGC5457-2 Ha666  14:02:32.51 +54:29:53.0 2000.00  23:20 1.138  WFC  120.0  180  Ha 6657                          
 505728 NGC5457-2 Ha666  14:02:32.52 +54:29:52.9 2000.00  23:23 1.155  WFC 1799.1  180  Ha 6657                          
 505729 Stream B         14:39:59.99 +28:59:59.9 2000.00  00:02 1.045  WFC  599.8  180  B                                
 505730 Stream r         14:39:59.99 +29:00:00.0 2000.00  00:13 1.055  WFC  300.0  180  r                                
 505731 Stream r         14:39:59.99 +28:59:59.9 2000.00  00:19 1.063  WFC  299.9  180  r                                
 505732 Stream B         14:40:00.00 +28:59:59.9 2000.00  00:24 1.076  WFC  599.2  180  B                                
 505733 Stream r         14:40:00.00 +29:00:00.0 2000.00  00:35 1.090  WFC  299.4  180  r                                
 505734 Stream r         14:40:00.00 +29:00:00.0 2000.00  00:41 1.101  WFC  300.0  180  r                                
 505735 Stream B         14:39:59.99 +28:59:59.9 2000.00  00:47 1.117  WFC  599.7  180  B                                
 505736 Stream r         14:40:00.00 +28:59:59.9 2000.00  00:57 1.136  WFC  299.4  180  r                                
 505737 Stream r         14:40:00.00 +29:00:00.0 2000.00  01:03 1.149  WFC  299.9  180  r                                
 505738 Stream B         14:40:00.00 +29:00:00.0 2000.00  01:09 1.171  WFC  599.8  180  B                                
 505739 Stream r         14:40:00.00 +28:59:59.9 2000.00  01:20 1.194  WFC  300.0  180  r                                
 505740 Stream r         14:40:00.00 +29:00:00.0 2000.00  01:25 1.211  WFC  299.9  180  r                                
 505741 Stream B         14:39:59.99 +28:59:59.9 2000.00  01:31 1.238  WFC  599.8  180  B                                
 505742 Stream r         14:40:00.00 +29:00:00.0 2000.00  01:42 1.267  WFC  299.4  180  r                                
 505743 Stream r         14:40:00.00 +28:59:59.9 2000.00  01:47 1.289  WFC  299.9  180  r                                
 505744 Stream B         14:40:00.00 +29:00:00.1 2000.00  01:53 1.323  WFC  599.2  180  B                                
 505745 Stream r         14:40:00.00 +28:59:59.9 2000.00  02:04 1.360  WFC  299.9  180  r                                
 505746 Stream r         14:40:00.00 +29:00:00.0 2000.00  02:10 1.387  WFC  299.9  180  r                                
 505747 Stream B         14:40:00.00 +29:00:00.0 2000.00  02:18 1.446  WFC  599.8  180  B                                
 505748 Stream r         14:40:00.00 +29:00:00.0 2000.00  02:29 1.495  WFC  299.3  180  r                                
 505749 Stream r         14:39:59.99 +29:00:00.0 2000.00  02:35 1.531  WFC  299.9  180  r                                
 505750 Stream B         14:40:00.00 +29:00:00.0 2000.00  02:41 1.588  WFC  599.6  180  B                                
 505751 Stream r         14:40:00.00 +28:59:59.9 2000.00  02:51 1.650  WFC  299.9  180  r                                
 505752 Stream r         14:40:00.00 +28:59:59.8 2000.00  02:57 1.697  WFC  299.9  180  r                                
 505753 Stream B         14:39:59.99 +28:59:59.9 2000.00  03:03 1.772  WFC  599.7  180  B                                
 505754 Stream r         14:40:00.00 +29:00:00.0 2000.00  03:14 1.854  WFC  300.0  180  r                                
 505755 Stream r         14:39:59.99 +29:00:00.0 2000.00  03:19 1.916  WFC  299.9  180  r                                
 505756 Flat field       20:33:48.99 +45:37:59.9 2000.00  03:36 1.074  WFC   60.0  180  [SII]6725                        
 505757 SP1550+330       15:50:02.90 +33:05:48.0 1950.00  03:46 1.490  WFC   39.5  180  Halpha                           
 505758 SP1550+330       15:50:02.89 +33:05:48.0 1950.00  03:48 1.499  WFC   60.0  180  [SII]6725                        
 505759 SP1550+330       15:50:02.90 +33:05:47.9 1950.00  03:50 1.509  WFC   40.1  180  [OIII]5007                       
 505760 SP1550+330       15:50:02.90 +33:05:48.0 1950.00  03:51 1.516  WFC    3.0  180  r                                
 505761 S112             20:33:48.99 +45:38:00.0 2000.00  03:54 1.060  WFC   60.1  180  [SII]6725                        
 505762 S112             20:33:48.99 +45:37:59.8 2000.00  03:56 1.059  WFC   90.0  180  [OIII]5007                       
 505763 S112             20:33:48.99 +45:37:59.9 2000.00  03:59 1.058  WFC   60.1  180  Halpha                           
 505764 S112             20:33:49.00 +45:38:00.1 2000.00  04:01 1.057  WFC    5.5  180  r                                
 505765 S112             20:33:48.99 +45:38:00.1 2000.00  04:02 1.056  WFC    1.5  180  r                                
 505766 S112             20:33:48.99 +45:38:00.0 2000.00  04:03 1.055  WFC    2.1  180  r                                
 505767 S112             20:33:49.00 +45:38:00.0 2000.00  04:04 1.055  WFC   10.1  180  [SII]6725                        
 505768 S112             20:33:49.00 +45:38:00.0 2000.00  04:05 1.054  WFC   10.1  180  [OIII]5007                       
 505769 S112             20:33:48.99 +45:37:59.9 2000.00  04:06 1.054  WFC   10.1  180  Halpha                           
 505770 S112             20:33:51.86 +45:38:29.9 2000.00  04:11 1.052  WFC   60.0  180  [SII]6725                        
