INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 06 27 07:08

TELESCOPE             INT
DATE                  20060626
OBSERVER/S            Morales-Rueda
PROGRAMME             UVEX
PROPOSAL REF          N1        
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.55
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:48
MORNING TWILIGHT (UT) 04:41
SUNRISE (UT)          06:07
%ILLUM. LUNAR DISK    2
DARK TIME (HRS)       06:53
TWILIGHT TIME (HRS)   02:53
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          21:30

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  10.1   13    20.5  23.7   21   771.9   10.1  15.4    15.4   13     9 
22:00   9.7   11    23.8  25.1    0   772.1    9.7  12.1    15.1   11     6 
23:00   9.0   12    27.6  30.9    8   772.6    9.0  11.3    14.5   12     6 
00:00   9.7   10    28.4  29.0  356   772.9    9.7  10.7    14.5   10     6 
01:00   9.3   10    27.8  30.2  353   773.0    9.3  10.4    14.4   10     6 
02:00   9.4   10    28.9  31.6    0   772.9    9.4  10.6    14.2   10     5 
03:00   9.1   18    25.9  26.5    2   772.5    9.1  10.2    13.9   18     8 
04:00   9.0    7    24.1  25.8    7   772.2    9.0  10.0    13.6    7     4 
05:00   8.6   29    20.5  21.6   23   772.1    8.6  10.2    13.3   29    21 
06:00   7.9   44    21.7  24.7   17   771.9    7.9   9.1    12.9   44    39 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
seeing 1.2-1.8

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 509645 Bias              4:24:37.99 +59:41:45.9 2006.483 13:07 1.237  WFC    0.0  180  U                                
 509646 Bias              6:49:37.00 -00:47:00.0 2006.483 13:33 1.150  WFC    0.0  180  U                                
 509647 Bias              7:24:37.99 +59:41:46.0 2006.483 13:35 1.176  WFC    0.0  180  U                                
 509648 Bias              0:00:00.00 +00:00:00.0 2006.484 19:14 4.752  WFC    0.0  180  HeI 5870                         
 509649 Bias              0:00:00.00 +00:00:00.0 2006.484 19:15 4.752  WFC    0.0  180  HeI 5870                         
 509650 Bias              0:00:00.00 +00:00:00.0 2006.484 19:16 4.752  WFC    0.0  180  HeI 5870                         
 509651 Bias              0:00:00.00 +00:00:00.0 2006.484 19:16 4.752  WFC    0.0  180  HeI 5870                         
 509652 Bias              0:00:00.00 +00:00:00.0 2006.484 19:17 4.752  WFC    0.0  180  HeI 5870                         
 509653 Bias              0:00:00.00 +00:00:00.0 2006.484 19:17 4.752  WFC    0.0  180  HeI 5870                         
 509654 Bias              0:00:00.00 +00:00:00.0 2006.484 19:18 4.752  WFC    0.0  180  HeI 5870                         
 509655 Bias              0:00:00.00 +00:00:00.0 2006.484 19:19 4.752  WFC    0.0  180  HeI 5870                         
 509656 Bias              0:00:00.00 +00:00:00.0 2006.484 19:19 4.752  WFC    0.0  180  HeI 5870                         
 509657 flat HeI         15:01:59.99 +29:54:59.9 2000.00  20:03 1.096  WFC    0.5  180  HeI 5870                         
 509658 flat HeI         15:02:00.76 +29:55:00.0 2000.00  20:04 1.094  WFC    0.5  180  HeI 5870                         
 509659 flat HeI         15:02:00.00 +29:55:09.9 2000.00  20:05 1.092  WFC    0.5  180  HeI 5870                         
 509660 flat HeI         15:02:00.77 +29:55:10.0 2000.00  20:07 1.090  WFC    0.5  180  HeI 5870                         
 509661 flat HeI         15:02:00.76 +29:55:20.0 2000.00  20:08 1.087  WFC    0.5  180  HeI 5870                         
 509662 flat Ha          15:02:00.77 +29:55:20.0 2000.00  20:13 1.079  WFC    0.5  180  Halpha                           
 509663 flat Ha          15:02:00.76 +29:55:09.9 2000.00  20:14 1.077  WFC    0.5  180  Halpha                           
 509664 flat Ha          15:02:00.76 +29:55:00.0 2000.00  20:15 1.075  WFC    0.5  180  Halpha                           
 509665 flat Ha          15:02:00.00 +29:54:59.9 2000.00  20:16 1.073  WFC    0.5  180  Halpha                           
 509666 flat Ha          15:02:00.00 +29:55:10.4 2000.00  20:17 1.072  WFC    0.5  180  Halpha                           
 509667 flat U           15:01:59.99 +29:55:10.0 2000.00  20:19 1.069  WFC    0.5  180  U                                
 509668 flat U           15:02:00.76 +29:54:59.9 2000.00  20:20 1.067  WFC    0.5  180  U                                
 509669 flat U           15:02:00.77 +29:55:10.0 2000.00  20:21 1.065  WFC    0.5  180  U                                
 509670 flat U           15:01:59.99 +29:55:00.0 2000.00  20:22 1.064  WFC    0.5  180  U                                
 509671 flat U           15:01:59.99 +29:55:20.0 2000.00  20:23 1.063  WFC    0.5  180  U                                
 509672 flat g           15:01:59.99 +29:55:19.9 2000.00  20:31 1.052  WFC    0.5  180  g                                
 509673 flat g           15:02:00.77 +29:54:59.9 2000.00  20:32 1.051  WFC    0.5  180  g                                
 509674 flat g           15:02:00.76 +29:55:10.0 2000.00  20:33 1.049  WFC    0.5  180  g                                
 509675 flat g           15:02:00.77 +29:55:00.0 2000.00  20:34 1.048  WFC    0.5  180  g                                
 509676 flat r           15:02:00.76 +29:55:00.0 2000.00  20:35 1.047  WFC    0.5  180  r                                
 509677 flat r           15:01:59.99 +29:55:10.0 2000.00  20:36 1.046  WFC    1.0  180  r                                
 509678 flat r           15:02:00.00 +29:55:00.0 2000.00  20:37 1.044  WFC    2.1  180  r                                
 509679 flat r           15:02:00.77 +29:55:09.9 2000.00  20:38 1.043  WFC    4.1  180  r                                
 509680 flat r           15:02:00.77 +29:55:19.9 2000.00  20:39 1.042  WFC    4.1  180  r                                
 509681 flat i           15:02:00.76 +29:55:19.9 2000.00  20:40 1.041  WFC    4.1  180  i                                
 509682 flat i           15:02:00.77 +29:55:09.9 2000.00  20:41 1.039  WFC    4.0  180  i                                
 509683 flat i           15:02:00.76 +29:55:00.0 2000.00  20:42 1.038  WFC    7.1  180  i                                
 509684 flat i           15:02:00.00 +29:55:10.0 2000.00  20:44 1.037  WFC    9.1  180  i                                
 509685 flat i           15:02:00.00 +29:55:00.0 2000.00  20:45 1.035  WFC   12.1  180  i                                
 509686 Focus run        13:23:35.52 +36:07:59.9 2000.00  21:06 1.024  WFC   10.1  180  r                                
 509687 Focus run        13:23:35.51 +36:07:59.8 2000.00  21:13 1.030  WFC   10.1  180  r                                
