INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 06 30 11:39

TELESCOPE             INT
DATE                  20060629
OBSERVER/S            Simon Hodgkin
PROGRAMME             Kinematics of cool white dwarfs towards the Serpens Dark Cloud
PROPOSAL REF          P13
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 43.64
INSTRUMENT/S          WFC

SUNSET (UT)           20:22
EVENING TWILIGHT (UT) 21:48
MORNING TWILIGHT (UT) 04:42
SUNRISE (UT)          06:08
%ILLUM. LUNAR DISK    18
DARK TIME (HRS)       06:54
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          23:22

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  13.7   10    20.3  22.1  286   773.2   13.7  16.5    15.1   10     5 
22:00  13.0    7    20.6  21.7  250   773.4   13.0  14.5    15.3    7     3 
23:00  13.4    5    22.9  26.1  237   773.7   13.4  14.4    15.0    5     2 
00:00  13.7    5    25.1  26.5  247   774.0   13.7  14.6    15.1    5     1 
01:00  13.7    7    19.8  23.0  212   773.8   13.7  14.6    15.0    7     2 
02:00  12.8    7    18.4  22.2  203   773.7   12.8  14.2    15.1    7     3 
03:00  13.4    7    18.8  23.5  211   773.4   13.4  14.5    15.1    7     2 
04:00  13.8    8    28.3  34.1  235   772.9   13.8  14.8    15.1    8     4 
05:00  12.8    8    19.2  23.6  179   772.7   12.8  14.4    15.0    8     4 
06:00  13.4   15    34.0  44.3  226   772.6   13.4  14.5    15.0   15     9 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
thin cirrus around. seeing 0.8-1.3 arcsecs

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 510132 test              0:00:00.00 +00:00:00.0 2006.492 14:54 1.138  WFC    1.8  180  g                                
 510133 Bias              0:00:00.00 +00:00:00.0 2006.492 14:55 1.138  WFC    0.0  180  g                                
 510134 Bias              0:00:00.00 +00:00:00.0 2006.492 17:00 1.138  WFC    0.0  180  g                                
 510135 Bias              0:00:00.00 +00:00:00.0 2006.492 17:00 1.138  WFC    0.0  180  g                                
 510136 Bias              0:00:00.00 +00:00:00.0 2006.492 17:01 1.138  WFC    0.0  180  g                                
 510137 Bias              0:00:00.00 +00:00:00.0 2006.492 17:02 1.138  WFC    0.0  180  g                                
 510138 Bias              0:00:00.00 +00:00:00.0 2006.492 17:02 1.138  WFC    0.0  180  g                                
 510139 Flat field       15:02:00.00 +29:55:00.1 2000.00  20:39 1.030  WFC    2.0  180  g                                
 510140 Flat field       15:02:01.00 +29:55:13.2 2000.00  20:41 1.028  WFC    3.1  180  g                                
 510141 Flat field       15:02:00.99 +29:54:46.9 2000.00  20:42 1.027  WFC    4.6  180  g                                
 510142 Flat field       15:01:59.99 +29:55:00.0 2000.00  20:45 1.024  WFC   23.1  180  r                                
 510143 Flat field       15:02:00.00 +29:55:10.9 2000.00  20:47 1.022  WFC   41.1  180  r                                
 510144 Flat field       15:01:59.15 +29:54:49.0 2000.00  20:49 1.021  WFC   68.0  180  r                                
 510145 Flat field       15:02:00.00 +29:55:00.0 2000.00  20:51 1.019  WFC  129.5  180  i                                
 510146 Flat field       15:01:59.99 +29:55:12.9 2000.00  20:54 1.016  WFC  200.0  180  i                                
 510147 Focus run        15:39:19.00 -00:15:29.0 2000.00  21:08 1.204  WFC   20.1  180  r                                
 510148 4164             14:01:43.38 -00:14:37.3 2000.00  21:28 1.167  WFC   20.1  180  r                                
 510149 4764             14:01:43.37 -00:14:37.3 2000.00  21:32 1.171  WFC   10.1  180  r                                
 510150 3964             14:01:43.38 -00:14:37.3 2000.00  21:36 1.176  WFC   10.1  180  r                                
 510153 dot10-1          14:20:53.00 +28:56:24.1 2000.00  21:52 1.023  WFC  599.7  180  i                                
 510154 dot10-2          14:20:53.00 +28:56:23.9 2000.00  22:03 1.034  WFC  599.8  180  i                                
 510155 dot10-3          14:20:53.00 +28:56:23.9 2000.00  22:15 1.047  WFC  599.7  180  i                                
 510156 dot10-1          14:20:53.00 +28:56:23.8 2000.00  22:32 1.072  WFC  599.8  180  g                                
 510157 dot10-2          14:20:52.99 +28:56:24.0 2000.00  22:44 1.092  WFC  599.7  180  g                                
 510158 dot10-3          14:20:52.99 +28:56:24.0 2000.00  22:56 1.114  WFC  599.3  180  g                                
 510159 sa107-602 g      15:39:19.00 -00:15:29.0 2000.00  23:08 1.171  WFC   10.1  180  g                                
 510160 sa107-602 r      15:39:18.99 -00:15:29.0 2000.00  23:09 1.172  WFC   10.1  180  r                                
 510161 sa107-602 i      15:39:18.99 -00:15:29.0 2000.00  23:10 1.173  WFC   10.1  180  i                                
 510162 sa110-361 g      18:42:44.99 +00:08:04.0 2000.00  23:14 1.344  WFC   10.1  180  g                                
 510163 sa110-361 r      18:42:44.99 +00:08:04.0 2000.00  23:15 1.341  WFC    9.5  180  r                                
 510164 sa110-361 i      18:42:44.99 +00:08:03.9 2000.00  23:16 1.338  WFC   10.1  180  i                                
 510165 serpens2-1       18:30:45.00 -02:14:59.8 2000.00  23:19 1.306  WFC  719.7  180  r                                
 510166 serpens2-2       18:30:44.99 -02:15:00.0 2000.00  23:32 1.270  WFC  719.7  180  r                                
 510167 serpens2-3       18:30:45.00 -02:15:00.1 2000.00  23:46 1.240  WFC  719.7  180  r                                
 510168 serpens2-4       18:30:44.99 -02:15:00.1 2000.00  23:59 1.216  WFC  719.6  180  r                                
 510169 serpens2-5       18:30:44.99 -02:14:59.9 2000.00  00:13 1.197  WFC  719.8  180  r                                
 510170 serpens3-1       18:32:45.00 -02:30:00.0 2000.00  00:30 1.186  WFC  599.8  180  r                                
 510171 serpens3-2       18:32:45.00 -02:30:00.0 2000.00  00:41 1.177  WFC  599.7  180  r                                
 510172 serpens3-3       18:32:44.99 -02:30:00.0 2000.00  00:53 1.172  WFC  599.3  180  r                                
 510173 serpens3-4       18:32:45.00 -02:29:59.9 2000.00  01:05 1.170  WFC  599.7  180  r                                
 510174 serpens3-5       18:32:45.00 -02:30:00.0 2000.00  01:16 1.170  WFC  599.8  180  r                                
 510175 sa110-361 g      18:42:44.99 +00:08:03.9 2000.00  01:28 1.139  WFC    9.6  180  g                                
 510176 sa110-361 r      18:42:45.00 +00:08:03.9 2000.00  01:29 1.139  WFC   10.1  180  r                                
 510177 sa110-361 i      18:42:45.00 +00:08:04.2 2000.00  01:30 1.140  WFC   10.1  180  i                                
 510178 serpens4-1       18:26:59.99 -03:49:59.8 2000.00  01:37 1.202  WFC  719.7  180  r                                
 510180 serpens4-1       18:26:59.99 -03:49:59.8 2000.00  01:54 1.220  WFC  599.8  180  r                                
 510181 serpens4-2       18:27:00.00 -03:49:59.9 2000.00  02:06 1.237  WFC  599.7  180  r                                
 510182 serpens4-3       18:27:00.00 -03:50:00.0 2000.00  02:17 1.257  WFC  599.1  180  r                                
 510183 serpens4-4       18:27:00.00 -03:50:00.0 2000.00  02:29 1.282  WFC  599.7  180  r                                
 510184 serpens4-5       18:26:59.99 -03:49:59.8 2000.00  02:40 1.311  WFC  599.7  180  r                                
 510185 sa110-361 g      18:42:44.99 +00:08:04.0 2000.00  02:52 1.233  WFC   10.1  180  g                                
 510186 sa110-361 r      18:42:45.00 +00:08:04.0 2000.00  02:53 1.234  WFC   10.1  180  r                                
 510187 sa110-361 i      18:42:44.99 +00:08:04.0 2000.00  02:54 1.236  WFC    9.6  180  i                                
 510188 serpens5-1       18:30:30.00 -02:55:00.1 2000.00  02:57 1.346  WFC  899.5  180  r                                
 510189 serpens5-2       18:30:30.00 -02:55:00.0 2000.00  03:14 1.407  WFC  899.6  180  r                                
 510190 serpens5-3       18:30:30.00 -02:54:59.9 2000.00  03:31 1.483  WFC  899.5  180  r                                
 510191 serpens5-4       18:30:30.00 -02:54:59.9 2000.00  03:47 1.577  WFC  899.5  180  r                                
 510192 serpens5-5       18:30:30.00 -02:55:00.1 2000.00  04:04 1.693  WFC  899.6  180  r                                
 510193 sa110-361 g      18:42:45.00 +00:08:03.9 2000.00  04:21 1.602  WFC   10.1  180  g                                
 510194 sa110-361 r      18:42:45.00 +00:08:03.9 2000.00  04:22 1.608  WFC   10.1  180  r                                
 510195 sa110-361 i      18:42:45.00 +00:08:03.9 2000.00  04:23 1.615  WFC   10.1  180  i                                
 510196 sa113-163 g      21:42:35.00 +00:16:45.8 2000.00  04:27 1.137  WFC   10.1  180  g                                
 510197 sa113-163 r      21:42:35.00 +00:16:46.0 2000.00  04:28 1.137  WFC    9.6  180  r                                
 510198 sa113-163 i      21:42:35.00 +00:16:45.9 2000.00  04:29 1.138  WFC   10.1  180  i                                
 510199 sa113-163 g      21:42:35.00 +00:16:45.9 2000.00  04:31 1.138  WFC   10.1  180  g                                
 510200 sa113-163 r      21:42:35.00 +00:16:46.0 2000.00  04:32 1.138  WFC   10.1  180  r                                
 510201 sa113-163 i      21:42:34.99 +00:16:45.9 2000.00  04:33 1.139  WFC   10.1  180  i                                
