INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 09 06:46

TELESCOPE             INT
DATE                  20060708
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:47
MORNING TWILIGHT (UT) 04:47
SUNRISE (UT)          06:12
%ILLUM. LUNAR DISK    94
DARK TIME (HRS)       07:00
TWILIGHT TIME (HRS)   02:51
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          04:23

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for second half of night


TIME LOST weather           0`:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
poor seeing gave way to thin cloud gave way to thick cloud

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.60



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 512301 Bias frame        0:00:00.00 +00:00:00.0 2006.516 11:13 1.000  WFC    0.0  180  stromgren u                      
 512302 Bias              5:59:59.99 -00:00:00.0 2000.00  11:18 1.166  WFC    0.0  180  stromgren u                      
 512303 Bias frame        6:00:00.00 -00:00:00.0 2000.00  11:19 1.165  WFC    0.0  180  stromgren u                      
 512304 Bias frame        0:00:00.00 +00:00:00.0 2000.00  12:45 4.618  WFC    0.0  180  g                                
 512305 Bias              0:00:00.00 +00:00:00.0 2000.00  12:46 4.618  WFC    0.0  180  g                                
 512306 Bias              0:00:00.00 +00:00:00.0 2000.00  20:07 1.000  WFC    0.0  180  g                                
 512307 Bias              0:00:00.00 +00:00:00.0 2000.00  20:08 1.000  WFC    0.0  180  g                                
 512308 Bias              0:00:00.00 +00:00:00.0 2000.00  20:09 1.000  WFC    0.0  180  g                                
 512309 Bias              0:00:00.00 +00:00:00.0 2000.00  20:09 1.000  WFC    0.0  180  stromgren u                      
 512310 Bias              0:00:00.00 +00:00:00.0 2000.00  20:10 1.029  WFC    0.0  180  stromgren u                      
 512311 Bias              0:00:00.00 +00:00:00.0 2000.00  20:10 1.203  WFC    0.0  180  stromgren u                      
 512312 Bias             15:15:48.00 -00:42:50.0 2000.00  20:11 1.204  WFC    0.0  180  stromgren u                      
 512313 Bias             15:15:47.99 -00:42:50.0 2000.00  20:11 1.203  WFC    0.0  180  stromgren u                      
 512314 Bias             15:15:48.00 -00:42:50.0 2000.00  20:12 1.202  WFC    0.0  180  stromgren u                      
 512315 Bias             15:15:47.99 -00:42:50.0 2000.00  20:13 1.201  WFC    0.0  180  stromgren u                      
 512316 skyflat u        15:15:48.00 -00:42:50.0 2000.00  20:23 1.185  WFC    3.1  180  stromgren u                      
 512317 skyflat u        15:15:49.99 -00:42:40.1 2000.00  20:24 1.184  WFC    3.1  180  stromgren u                      
 512318 skyflat u        15:15:49.00 -00:42:34.9 2000.00  20:26 1.182  WFC    6.1  180  stromgren u                      
 512319 skyflat v        15:15:48.99 -00:42:35.0 2000.00  20:28 1.180  WFC    3.1  180  stromgren v                      
 512320 skyflat v        15:15:47.66 -00:42:09.9 2000.00  20:29 1.178  WFC    4.1  180  stromgren v                      
 512321 skyflat v        15:15:48.27 -00:43:02.0 2000.00  20:30 1.177  WFC    4.1  180  stromgren v                      
 512322 skyflat b        15:15:48.27 -00:43:02.0 2000.00  20:31 1.176  WFC    3.1  180  stromgren b                      
