INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 12 07:20

TELESCOPE             INT
DATE                  20060711
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:46
MORNING TWILIGHT (UT) 04:49
SUNRISE (UT)          06:14
%ILLUM. LUNAR DISK    99
DARK TIME (HRS)       07:03
TWILIGHT TIME (HRS)   02:50
MOONRISE (UT)         20:52
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:10
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
slightly hazy but otherwise good

COMMENTS (causes of time lost, setup information eg CCD windows):
The autoguider doesn't go long without glitching - it seems better to rely on the telescope tracking



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 513538                   0:00:00.00 +00:00:00.0 2006.524 13:31 1.521  WFC   15.1  180  g                                
 513539 Bias frame        0:00:00.00 +00:00:00.0 2000.00  13:34 1.007  WFC    0.0  180  g                                
 513540 Bias frame        6:00:00.00 +06:00:00.0 2000.00  13:35 1.191  WFC    0.0  180  g                                
 513541 Bias              0:00:00.00 +00:00:00.0 2000.00  19:56 4.545  WFC    0.0  180  g                                
 513542 Bias              0:00:00.00 +00:00:00.0 2000.00  19:56 4.545  WFC    0.0  180  g                                
 513543 Bias              0:00:00.00 +00:00:00.0 2000.00  19:57 2.117  WFC    0.0  180  g                                
 513544 Bias              0:00:00.00 +00:00:00.0 2000.00  19:57 1.091  WFC    0.0  180  g                                
 513545 Bias              0:00:00.00 +00:00:00.0 2000.00  19:58 1.000  WFC    0.0  180  g                                
 513546 Bias              0:00:00.00 +00:00:00.0 2000.00  19:59 1.000  WFC    0.0  180  g                                
 513547 Bias              0:00:00.00 +00:00:00.0 2000.00  19:59 1.000  WFC    0.0  180  g                                
 513548 Bias              0:00:00.00 +00:00:00.0 2000.00  20:00 1.000  WFC    0.0  180  g                                
 513549 Bias              0:00:00.00 +00:00:00.0 2000.00  20:00 1.000  WFC    0.0  180  g                                
 513550 Bias              0:00:00.00 +00:00:00.0 2000.00  20:01 1.000  WFC    0.0  180  g                                
 513551 skyflat u        16:24:33.00 +55:43:58.9 2000.00  20:22 1.204  WFC    3.1  180  stromgren u                      
 513552 skyflat u        16:24:33.58 +55:44:03.3 2000.00  20:24 1.201  WFC    3.1  180  stromgren u                      
 513553 skyflat u        16:24:34.18 +55:44:10.9 2000.00  20:26 1.199  WFC    5.1  180  stromgren u                      
 513554 skyflat v        16:24:34.18 +55:44:11.0 2000.00  20:26 1.198  WFC    3.1  180  stromgren v                      
 513555 skyflat v        16:24:33.59 +55:43:54.9 2000.00  20:27 1.196  WFC    3.1  180  stromgren v                      
 513556 skyflat v        16:24:33.59 +55:44:03.0 2000.00  20:29 1.194  WFC    2.5  180  stromgren v                      
 513557 skyflat b        16:24:33.58 +55:44:02.9 2000.00  20:30 1.192  WFC    3.1  180  stromgren b                      
 513558 skyflat b        16:24:32.28 +55:44:07.9 2000.00  20:31 1.191  WFC    3.1  180  stromgren b                      
