INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 13 07:21

TELESCOPE             INT
DATE                  20060712
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:45
MORNING TWILIGHT (UT) 04:50
SUNRISE (UT)          06:14
%ILLUM. LUNAR DISK    95
DARK TIME (HRS)       07:05
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         21:39
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:10
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
40 km/h winds all night but otherwise good

COMMENTS (causes of time lost, setup information eg CCD windows):
slight problems early on due  possibly to power supply (generator rather than mains) affecting tracking and pointing



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 513948 Bias frame        0:00:00.00 +00:00:00.0 2006.527 14:20 1.088  WFC    0.0  180  stromgren u                      
 513949 Bias              0:00:00.00 +00:00:00.0 2006.527 14:22 1.523  WFC    0.0  180  stromgren u                      
 513950 Bias             10:45:00.00 -00:00:00.1 2000.00  14:36 1.312  WFC    0.0  180  stromgren u                      
 513951 Bias              0:00:00.00 +00:00:00.0 2000.00  19:56 1.000  WFC    0.0  180  stromgren u                      
 513952 Bias              0:00:00.00 +00:00:00.0 2000.00  19:57 1.000  WFC    0.0  180  stromgren u                      
 513953 Bias              0:00:00.00 +00:00:00.0 2000.00  19:58 1.000  WFC    0.0  180  stromgren u                      
 513954 Bias              0:00:00.00 +00:00:00.0 2000.00  19:58 1.000  WFC    0.0  180  stromgren u                      
 513955 Bias              0:00:00.00 +00:00:00.0 2000.00  19:59 1.000  WFC    0.0  180  stromgren u                      
 513956 Bias              0:00:00.00 +00:00:00.0 2000.00  19:59 1.000  WFC    0.0  180  stromgren u                      
 513957 Bias              0:00:00.00 +00:00:00.0 2000.00  20:00 1.000  WFC    0.0  180  stromgren u                      
 513958 Bias             13:06:55.99 +29:34:47.6 2000.00  20:00 1.031  WFC    0.0  180  stromgren u                      
 513959 Bias              0:00:00.00 +00:00:00.0 2000.00  20:01 1.035  WFC    0.0  180  stromgren u                      
 513960 Bias              0:00:00.00 +00:00:00.0 2000.00  20:02 1.837  WFC    0.0  180  stromgren u                      
 513961 skyflat u        16:24:32.99 +55:43:59.0 2000.00  20:22 1.198  WFC    3.1  180  stromgren u                      
 513962 skyflat u        16:24:33.59 +55:44:04.0 2000.00  20:24 1.196  WFC    4.1  180  stromgren u                      
 513963 skyflat u        16:24:33.83 +55:44:11.1 2000.00  20:25 1.194  WFC    6.5  180  stromgren u                      
 513964 skyflat v        16:24:33.82 +55:44:11.0 2000.00  20:27 1.191  WFC    7.1  180  stromgren v                      
 513965 skyflat v        16:24:34.41 +55:44:12.9 2000.00  20:28 1.190  WFC   10.0  180  stromgren v                      
 513966 skyflat v        16:24:34.42 +55:44:12.9 2000.00  20:29 1.188  WFC    5.1  180  stromgren v                      
 513967 skyflat v        16:24:33.00 +55:43:58.8 2000.00  20:31 1.186  WFC    7.1  180  stromgren v                      
 513968 skyflat v        16:24:33.59 +55:44:04.9 2000.00  20:32 1.185  WFC    9.1  180  stromgren v                      
 513969 skyflat b        16:24:33.59 +55:44:05.0 2000.00  20:33 1.183  WFC    3.1  180  stromgren b                      
 513970 skyflat b        16:24:33.83 +55:44:06.9 2000.00  20:34 1.182  WFC    5.1  180  stromgren b                      
 513971 skyflat b         0:00:00.00 +00:00:00.0 2000.00  20:35 1.180  WFC    7.1  180  stromgren b                      
 513972 skyflat y        16:24:32.29 +55:43:50.1 2000.00  20:37 1.179  WFC   14.0  180  stromgren y                      
 513973 skyflat y        16:24:32.99 +55:43:59.1 2000.00  20:38 1.177  WFC   22.1  180  stromgren y                      
 513974 skyflat y        16:24:32.99 +55:43:58.9 2000.00  20:39 1.175  WFC   30.1  180  stromgren y                      
 513975 skyflat g        16:24:32.99 +55:43:59.0 2000.00  20:41 1.173  WFC    6.1  180  g                                
 513976 skyflat g        16:24:32.99 +55:43:58.9 2000.00  20:42 1.172  WFC    7.1  180  g                                
 513977 skyflat g        16:24:31.93 +55:43:39.9 2000.00  20:43 1.171  WFC    9.1  180  g                                
 513978 skyflat r        16:24:31.93 +55:43:40.0 2000.00  20:45 1.169  WFC   11.1  180  r                                
 513979 skyflat r        16:24:32.05 +55:43:46.9 2000.00  20:46 1.168  WFC   22.1  180  r                                
 513980 skyflat r        16:24:32.99 +55:43:58.9 2000.00  20:47 1.166  WFC   30.1  180  r                                
 513981 Focus run        15:30:49.89 +06:00:56.9 2000.00  21:01 1.088  WFC   15.1  180  r                                
