INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 14 07:19

TELESCOPE             INT
DATE                  20060713
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:20
EVENING TWILIGHT (UT) 21:45
MORNING TWILIGHT (UT) 04:50
SUNRISE (UT)          06:15
%ILLUM. LUNAR DISK    89
DARK TIME (HRS)       07:05
TWILIGHT TIME (HRS)   02:50
MOONRISE (UT)         22:19
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         02:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
slightly windy but otherwise good

COMMENTS (causes of time lost, setup information eg CCD windows):
Telescope spontaneously defocussed twice during the night for reasons known only to itself.
Substantial manual intervention made continued observations possible, but this fault needs fixing.


 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 514385 Bias frame        0:00:00.00 +00:00:00.0 2006.530 13:01 4.692  WFC    0.0  180  stromgren b                      
 514386 Bias             13:06:55.99 +29:34:47.9 2000.00  20:12 1.049  WFC    0.0  180  stromgren y                      
 514387 Bias             13:06:56.00 +29:34:47.9 2000.00  20:13 1.049  WFC    0.0  180  stromgren y                      
 514388 Bias             13:06:55.99 +29:34:48.0 2000.00  20:13 1.050  WFC    0.0  180  stromgren y                      
 514389 Bias             13:06:56.00 +29:34:48.0 2000.00  20:14 1.051  WFC    0.0  180  stromgren y                      
 514390 Bias             13:06:56.00 +29:34:47.9 2000.00  20:15 1.052  WFC    0.0  180  stromgren y                      
 514391 Bias             13:06:55.99 +29:34:47.9 2000.00  20:15 1.052  WFC    0.0  180  stromgren y                      
 514392 Bias             13:06:55.99 +29:34:47.9 2000.00  20:16 1.053  WFC    0.0  180  stromgren y                      
 514393 Bias             13:06:56.00 +29:34:47.9 2000.00  20:16 1.054  WFC    0.0  180  stromgren y                      
 514394 Bias             13:06:56.00 +29:34:47.9 2000.00  20:17 1.055  WFC    0.0  180  stromgren y                      
 514395 Bias             13:06:55.99 +29:34:47.9 2000.00  20:18 1.055  WFC    0.0  180  stromgren y                      
 514396 skyflat u        13:06:56.00 +29:34:48.0 2000.00  20:23 1.063  WFC    2.6  180  stromgren u                      
 514397 skyflat u        13:06:56.38 +29:34:54.0 2000.00  20:24 1.065  WFC    5.1  180  stromgren u                      
 514398 skyflat u        13:06:56.53 +29:35:06.8 2000.00  20:26 1.067  WFC    8.1  180  stromgren u                      
 514399 skyflat u        13:06:56.53 +29:35:17.1 2000.00  20:27 1.069  WFC    8.1  180  stromgren u                      
 514400 skyflat v        13:06:56.53 +29:35:17.0 2000.00  20:28 1.070  WFC    3.1  180  stromgren v                      
 514401 skyflat v        13:06:56.53 +29:35:06.9 2000.00  20:29 1.072  WFC    4.1  180  stromgren v                      
 514402 skyflat v3       13:06:56.54 +29:35:07.0 2000.00  20:30 1.073  WFC    4.1  180  stromgren v                      
 514403 skyflat v3       13:06:56.53 +29:34:30.2 2000.00  20:31 1.075  WFC    5.1  180  stromgren v                      
 514404 skyflat b        13:06:56.53 +29:34:29.9 2000.00  20:32 1.076  WFC    3.1  180  stromgren b                      
 514405 skyflat b        13:06:55.38 +29:34:39.9 2000.00  20:33 1.079  WFC    4.1  180  stromgren b                      
