INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 26 07:01

TELESCOPE             INT
DATE                  20060725
OBSERVER/S            P. Groot
PROGRAMME             UVEX: The UV Excess survey of the Galactic Plane
PROPOSAL REF          N01
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.57
INSTRUMENT/S          WFC

SUNSET (UT)           20:15
EVENING TWILIGHT (UT) 21:37
MORNING TWILIGHT (UT) 04:59
SUNRISE (UT)          06:21
%ILLUM. LUNAR DISK    1
DARK TIME (HRS)       07:22
TWILIGHT TIME (HRS)   02:44
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          20:49

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  18.1   15    18.9  20.7  271   775.8   18.1  20.4    21.6   15    10 
22:00  17.5   13    27.3  28.7  296   775.8   17.5  19.1    21.3   13     8 
23:00  17.5   14    27.4  28.5  306   776.2   17.5  18.9    20.7   14     9 
00:00  17.5   12    25.8  26.8  319   776.4   17.5  18.8    20.4   12     9 
01:00  17.4   13    21.5  22.3  301   776.3   17.4  18.6    20.6   13     9 
02:00  17.3   13    24.4  26.3  304   775.9   17.3  18.2    20.4   13     9 
03:00  17.0   17    20.1  21.2  292   775.5   17.0  17.9    20.4   17    12 
04:00  16.7   16    19.3  20.5  292   775.1   16.7  18.1    20.4   16    11 
05:00  16.6   16    19.0  19.9  282   774.8   16.6  18.0    20.3   16    10 
06:00  16.5   17    21.5  22.9  290   774.5   16.5  17.9    20.0   17    11 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
good seeing, subarcsecond all night. Calima is clearing. 

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 517786 Bias frame        0:00:00.00 +00:00:00.0 2006.563 12:54 4.543  WFC    0.0  180  U                                
 517787 Bias              0:00:00.00 +00:00:00.0 2000.00  16:16 4.537  WFC    0.0  180  U                                
 517788 Bias              0:00:00.00 +00:00:00.0 2000.00  16:17 4.537  WFC    0.0  180  U                                
 517789 Bias              0:00:00.00 +00:00:00.0 2000.00  16:18 4.537  WFC    0.0  180  U                                
 517790 Bias              0:00:00.00 +00:00:00.0 2000.00  16:18 4.537  WFC    0.0  180  U                                
 517791 Bias              0:00:00.00 +00:00:00.0 2000.00  16:19 4.537  WFC    0.0  180  U                                
 517792 Bias              0:00:00.00 +00:00:00.0 2000.00  16:19 4.537  WFC    0.0  180  U                                
 517793 Bias              0:00:00.00 +00:00:00.0 2000.00  16:20 4.537  WFC    0.0  180  U                                
 517794 Bias              0:00:00.00 +00:00:00.0 2000.00  16:21 4.537  WFC    0.0  180  U                                
 517795 Bias              0:00:00.00 +00:00:00.0 2000.00  16:21 4.537  WFC    0.0  180  U                                
 517796 Bias              0:00:00.00 +00:00:00.0 2000.00  16:22 4.537  WFC    0.0  180  U                                
 517797 Bias              0:00:00.00 +00:00:00.0 2000.00  16:22 4.537  WFC    0.0  180  U                                
 517798 Bias              0:00:00.00 +00:00:00.0 2000.00  16:23 4.537  WFC    0.0  180  U                                
 517799 Bias              0:00:00.00 +00:00:00.0 2000.00  16:23 4.537  WFC    0.0  180  U                                
 517800 Bias              0:00:00.00 +00:00:00.0 2000.00  16:24 4.537  WFC    0.0  180  U                                
 517801 Bias              0:00:00.00 +00:00:00.0 2000.00  16:25 4.537  WFC    0.0  180  U                                
 517802 skyflat He1 2s   15:01:59.99 +29:55:00.0 2000.00  20:15 1.002  WFC    2.1  180  HeI 5870                         
 517803 skyflat He1 2s   15:02:00.00 +29:55:00.0 2000.00  20:17 1.002  WFC    2.1  180  HeI 5870                         
 517804 skyflat He1 3s   15:02:00.77 +29:55:10.1 2000.00  20:18 1.003  WFC    3.1  180  HeI 5870                         
 517805 skyflat He1 3s   15:02:01.54 +29:55:09.9 2000.00  20:19 1.003  WFC    3.1  180  HeI 5870                         
 517806 skyflat He1 3s   15:02:02.30 +29:55:09.9 2000.00  20:20 1.003  WFC    2.5  180  HeI 5870                         
 517807 skyflat He1 4s   15:02:03.07 +29:55:10.0 2000.00  20:20 1.003  WFC    4.1  180  HeI 5870                         
 517808 skyflat U 2s     15:02:03.08 +29:55:10.0 2000.00  20:21 1.004  WFC    2.1  180  U                                
 517809 skyflat U 2s     15:02:02.30 +29:55:09.9 2000.00  20:22 1.004  WFC    2.1  180  U                                
 517810 skyflat U 2s     15:02:01.53 +29:55:09.9 2000.00  20:23 1.004  WFC    2.1  180  U                                
 517811 skyflat U 2s     15:02:00.77 +29:55:09.9 2000.00  20:24 1.004  WFC    2.1  180  U                                
 517812 skyflat U 3s     15:02:00.00 +29:55:10.0 2000.00  20:25 1.005  WFC    3.1  180  U                                
 517813 skyflat U 3s     15:01:59.23 +29:55:09.9 2000.00  20:26 1.005  WFC    3.1  180  U                                
 517814 skyflat U 3s     15:01:58.46 +29:55:09.9 2000.00  20:27 1.005  WFC    3.1  180  U                                
