INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 27 06:30

TELESCOPE             INT
DATE                  20060726
OBSERVER/S            P. Groot
PROGRAMME             UVEX: The UV Excess survey of the Galactic Plane
PROPOSAL REF          N01
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.56
INSTRUMENT/S          WFC

SUNSET (UT)           20:15
EVENING TWILIGHT (UT) 21:37
MORNING TWILIGHT (UT) 05:00
SUNRISE (UT)          06:22
%ILLUM. LUNAR DISK    3
DARK TIME (HRS)       07:23
TWILIGHT TIME (HRS)   02:44
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          21:22

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  16.2    5    18.7  19.8  276   774.2   16.2  19.3    20.6    5     2 
22:00  15.7    5    22.6  24.3  278   774.3   15.7  17.5    20.2    5     0 
23:00  16.0    4    26.4  28.2  289   774.5   16.0  17.3    19.9    4     1 
00:00  15.9    5    19.2  21.2  285   774.7   15.9  17.2    19.7    5     3 
01:00  16.5    4    10.2  10.7  305   774.5   16.5  16.9    19.5    4     3 
02:00  15.7    9     8.4   8.6  348   774.4   15.7  16.8    19.6    9     5 
03:00  16.4    7     4.9   5.3  180   774.1   16.4  16.5    19.5    7     6 
04:00  16.5   15     8.2   8.9  232   773.7   16.5  16.6    18.9   15     9 
05:00  16.6   19     9.5   9.8  260   773.3   16.6  16.5    18.5   19    14 
06:00  16.4   21    11.5  12.1  258   773.3   16.4  15.8    17.9   21    20 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Good

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 518104 Bias frame        6:00:00.00 +60:00:00.3 2006.565 12:56 1.257  WFC    0.0  180  U                                
 518105 Bias              0:00:00.00 +00:00:00.0 2000.00  19:45 1.001  WFC    0.0  180  U                                
 518106 Bias             15:02:00.00 +29:54:59.9 2000.00  19:46 1.001  WFC    0.0  180  U                                
 518107 Bias             15:01:59.99 +29:54:59.9 2000.00  19:46 1.001  WFC    0.0  180  U                                
 518108 Bias             15:01:59.99 +29:55:00.0 2000.00  19:47 1.001  WFC    0.0  180  U                                
 518109 Bias             15:01:59.99 +29:54:59.9 2000.00  19:47 1.001  WFC    0.0  180  U                                
 518110 Bias             15:02:00.00 +29:54:59.9 2000.00  19:48 1.001  WFC    0.0  180  U                                
 518111 Bias             15:02:00.00 +29:55:00.0 2000.00  19:48 1.001  WFC    0.0  180  U                                
 518112 Bias             15:02:00.00 +29:55:00.0 2000.00  19:49 1.001  WFC    0.0  180  U                                
 518113 Bias             15:02:00.00 +29:54:59.9 2000.00  19:50 1.000  WFC    0.0  180  U                                
 518114 skyflat He 2s    15:01:59.99 +29:55:00.0 2000.00  20:15 1.003  WFC    1.5  180  HeI 5870                         
 518115 skyflat He 2s    15:02:00.76 +29:55:10.2 2000.00  20:16 1.003  WFC    2.1  180  HeI 5870                         
 518116 skyflat He 2s    15:02:01.54 +29:55:10.0 2000.00  20:17 1.003  WFC    2.1  180  HeI 5870                         
 518117 skyflat He 3s    15:02:02.30 +29:55:09.9 2000.00  20:18 1.004  WFC    3.1  180  HeI 5870                         
 518118 skyflat He 3s    15:02:03.07 +29:55:10.0 2000.00  20:19 1.004  WFC    2.5  180  HeI 5870                         
 518119 skyflat He 3s    15:02:03.84 +29:55:10.0 2000.00  20:20 1.004  WFC    3.1  180  HeI 5870                         
 518120 skyflat U 2s     15:02:04.61 +29:55:10.0 2000.00  20:21 1.005  WFC    1.5  180  U                                
 518121 skyflat U 2s     15:02:03.84 +29:55:10.0 2000.00  20:22 1.005  WFC    2.1  180  U                                
 518122 skyflat U 2s     15:02:03.07 +29:55:10.0 2000.00  20:23 1.006  WFC    2.1  180  U                                
 518123 skyflat U 3s     15:02:02.31 +29:55:10.0 2000.00  20:25 1.006  WFC    3.1  180  U                                
 518124 skyflat U 4s     15:02:01.53 +29:55:10.0 2000.00  20:26 1.007  WFC    4.1  180  U                                
 518125 skyflat U 5s     15:02:00.76 +29:55:09.9 2000.00  20:27 1.007  WFC    4.5  180  U                                
 518126 skyflat r 2s     15:02:00.77 +29:55:09.9 2000.00  20:28 1.008  WFC    2.1  180  r                                
 518127 skyflat r 2s     15:02:01.53 +29:55:09.9 2000.00  20:29 1.008  WFC    2.1  180  r                                
 518128 skyflat r 2s     15:02:02.30 +29:55:09.9 2000.00  20:29 1.008  WFC    2.1  180  r                                
 518129 skyflat r 2s     15:02:03.07 +29:55:10.0 2000.00  20:30 1.009  WFC    2.1  180  r                                
 518130 skyflat r 3s     15:02:03.84 +29:55:10.0 2000.00  20:31 1.009  WFC    3.1  180  r                                
 518131 skyflat r 4s     15:02:04.61 +29:55:10.0 2000.00  20:32 1.010  WFC    4.1  180  r                                
 518132 skyflat r 5s     15:02:05.38 +29:55:10.0 2000.00  20:33 1.010  WFC    4.5  180  r                                
 518133 skyflat g 2s     15:02:05.38 +29:55:09.9 2000.00  20:35 1.011  WFC    2.1  180  g                                
 518134 skyflat g 4s     15:02:04.61 +29:55:10.0 2000.00  20:36 1.012  WFC    4.1  180  g                                
 518135 skyflat g 7s     15:02:03.84 +29:55:10.0 2000.00  20:36 1.012  WFC    7.1  180  g                                
 518136 skyflat g 15s    15:02:03.08 +29:55:10.0 2000.00  20:37 1.013  WFC   15.1  180  g                                
 518137 skyflat g 25s    15:02:02.30 +29:55:09.9 2000.00  20:38 1.014  WFC   25.1  180  g                                
 518138 skyflat g 25s    15:02:01.54 +29:55:09.9 2000.00  20:39 1.014  WFC   25.1  180  g                                
 518139 skyflat g 35s    15:02:00.76 +29:55:09.9 2000.00  20:42 1.016  WFC   35.1  180  g                                
 518140 sdss1208+35 30s  12:08:39.50 +35:50:35.5 2000.00  20:45 1.466  WFC   30.1  180  g                                
 518141 sdss1208+35 30s  12:08:39.49 +35:50:35.6 2000.00  20:48 1.479  WFC   29.5  180  g                                
 518142 sdss1208+35 30s  12:08:39.50 +35:50:35.5 2000.00  20:49 1.486  WFC   30.1  180  g                                
 518143 sdss1208+35 60s  12:08:39.50 +35:50:35.4 2000.00  20:50 1.495  WFC   60.1  180  g                                
 518144 sdss1208+35 60s  12:08:39.50 +35:50:35.6 2000.00  20:52 1.505  WFC   60.0  180  g                                
 518145 sdss1208+35 60s  12:08:39.50 +35:50:35.4 2000.00  20:53 1.514  WFC   60.1  180  g                                
 518146 sdss1208+35 60s  12:08:39.50 +35:50:35.4 2000.00  20:55 1.524  WFC   60.1  180  g                                
 518147 sdss1208+35 60s  12:08:39.48 +35:50:35.6 2000.00  20:57 1.534  WFC   60.1  180  g                                
 518148 sdss1208+35 60s  12:08:39.50 +35:50:35.4 2000.00  20:58 1.544  WFC   60.1  180  g                                
 518149 sdss1208+35 60s  12:08:39.50 +35:50:35.3 2000.00  21:00 1.555  WFC   60.0  180  g                                
 518150 sdss1208+35 60s  12:08:39.49 +35:50:35.3 2000.00  21:01 1.565  WFC   60.0  180  g                                
 518151 sdss1208+35 60s  12:08:39.50 +35:50:35.5 2000.00  21:03 1.576  WFC   60.1  180  g                                
 518152 sdss1208+35 60s  12:08:39.50 +35:50:35.4 2000.00  21:05 1.587  WFC   60.0  180  g                                
 518153 sdss1208+35 60s  12:08:39.50 +35:50:35.5 2000.00  21:06 1.598  WFC   60.1  180  g                                
 518154 sdss1208+35 60s  12:08:39.50 +35:50:35.4 2000.00  21:08 1.611  WFC   60.0  180  g                                
 518155 sdss1208+35 60s  12:08:39.49 +35:50:35.5 2000.00  21:10 1.622  WFC   60.0  180  g                                
 518156 sdss1208+35 60s  12:08:39.50 +35:50:35.5 2000.00  21:11 1.634  WFC   60.1  180  g                                
 518157 sdss1208+35 60s  12:08:39.49 +35:50:35.5 2000.00  21:13 1.646  WFC   60.0  180  g                                
 518158 sdss1208+35 60s  12:08:39.50 +35:50:35.5 2000.00  21:15 1.658  WFC   60.0  180  g                                
 518159 sdss1208+35 60s  12:08:39.49 +35:50:35.4 2000.00  21:16 1.670  WFC   60.1  180  g                                
 518160 sdss1208+35 60s  12:08:39.49 +35:50:35.5 2000.00  21:18 1.683  WFC   60.1  180  g                                
 518161 sdss1208+35 60s  12:08:39.49 +35:50:35.4 2000.00  21:19 1.696  WFC   60.1  180  g                                
 518162 sdss1208+35 60s  12:08:39.50 +35:50:35.4 2000.00  21:21 1.709  WFC   60.0  180  g                                
