INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 09 16 08:19

TELESCOPE             INT
DATE                  20060915
OBSERVER/S            Yogesh Joshi, Ian Skillen,Mark Crockett, Marie Hrudkova
PROGRAMME             Eclipsing Binary in nearby galaxies
PROPOSAL REF          P3
TELESCOPE OPERATOR    Yogesh Joshi
SUPPORT ASTRONOMER    Ian Skillen

TEL STATION / FOCUS   Prime  / 43.58
INSTRUMENT/S          WFC

SUNSET (UT)           19:25
EVENING TWILIGHT (UT) 20:37
MORNING TWILIGHT (UT) 05:37
SUNRISE (UT)          06:50
%ILLUM. LUNAR DISK    34
DARK TIME (HRS)       09:00
TWILIGHT TIME (HRS)   02:25
MOONRISE (UT)         01:10
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  12.8    2    14.3  14.5  356   772.4   12.8  15.7    16.1    2    11 
21:00  13.1    3    14.7  14.1  356   772.4   13.1  13.6    15.9    3     3 
22:00  12.6    3    13.7  14.3  353   772.8   12.6  13.4    15.6    3     4 
23:00  12.5    5    16.5  16.6  356   773.1   12.5  13.4    15.1    5     8 
00:00  12.9    1    10.6  10.2  329   773.1   12.9  12.8    15.0    1     3 
01:00  12.5    4    13.6  14.8  332   772.9   12.5  12.7    15.1    4     5 
02:00  12.1    7    16.0  17.2  350   772.2   12.1  12.5    15.1    7     8 
03:00  12.8    4    11.9  11.7  332   771.6   12.8  12.8    14.7    4     8 
04:00  11.5    4    19.3  20.3  356   771.4   11.5  12.3    14.8    4     6 
05:00  12.1    8    14.5  15.6  354   771.3   12.1  12.0    14.4    8     7 
06:00  11.7    2    10.9  12.3  357   771.1   11.7  11.8    14.2    2     4 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clear sky, seeing 1.0"

COMMENTS (causes of time lost, setup information eg CCD windows):
no time lost during the observations



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 526170 Bias             10:15:00.00 +25:59:59.9 2000.00  12:51 1.031  WFC    0.0  180  Ha 6657                          
 526171 Bias              0:00:00.00 +00:00:00.0 2000.00  15:41 4.482  WFC    0.0  180  V                                Test Bias
 526172 Flat field       19:58:59.99 +02:20:00.0 2000.00  19:39 1.263  WFC    4.0  180  B                                
 526173 Flat field       19:58:59.99 +02:19:59.9 2000.00  19:40 1.259  WFC    4.1  180  B                                
 526174 Flat field       19:58:59.99 +02:20:00.0 2000.00  19:41 1.256  WFC    4.1  180  B                                
 526175 Flat field       19:59:00.00 +02:20:00.0 2000.00  19:42 1.253  WFC    6.1  180  B                                
 526176 Flat field       19:58:59.99 +02:20:00.0 2000.00  19:43 1.250  WFC    8.1  180  B                                
 526177 Flat field       19:58:59.99 +02:19:59.9 2000.00  19:44 1.247  WFC   11.1  180  B                                
 526178 Flat field       19:58:59.99 +02:20:00.0 2000.00  19:46 1.244  WFC   15.1  180  B                                
 526179 Flat field       19:59:00.00 +02:20:00.0 2000.00  19:47 1.241  WFC   20.1  180  B                                
 526180 Flat field       19:58:59.99 +02:19:59.9 2000.00  19:48 1.237  WFC   39.5  180  B                                
 526181 Bias             19:59:00.00 +02:19:59.9 2000.00  19:50 1.233  WFC    0.0  180  B                                
 526182 Bias             19:59:00.00 +02:19:59.9 2000.00  19:51 1.231  WFC    0.0  180  B                                
 526183 Bias             19:59:00.00 +02:19:59.9 2000.00  19:52 1.229  WFC    0.0  180  B                                
 526184 Bias             19:58:59.99 +02:20:00.0 2000.00  19:52 1.228  WFC    0.0  180  B                                
 526185 Bias             19:58:59.99 +02:20:00.0 2000.00  19:53 1.226  WFC    0.0  180  B                                
 526186 Bias             19:58:59.99 +02:19:59.9 2000.00  19:53 1.225  WFC    0.0  180  B                                
 526187 Bias             19:59:00.00 +02:19:59.9 2000.00  19:54 1.224  WFC    0.0  180  B                                
 526188 Bias             19:59:00.00 +02:20:00.0 2000.00  19:54 1.222  WFC    0.0  180  B                                
 526189 Bias             19:58:59.99 +02:19:59.9 2000.00  19:55 1.221  WFC    0.0  180  B                                
 526190 Bias             19:58:59.99 +02:19:59.9 2000.00  19:56 1.220  WFC    0.0  180  B                                
 526191 Bias             19:59:00.00 +02:19:59.9 2000.00  19:56 1.218  WFC    0.0  180  B                                
 526192 Focus run        18:41:28.40 +00:15:24.0 2000.00  20:30 1.140  WFC   10.1  180  B                                
 526193 NGC6822          19:44:56.74 -14:48:24.5 2000.00  20:55 1.385  WFC  300.0  180  B                                
 526194 NGC6822          19:44:56.75 -14:48:24.5 2000.00  21:04 1.380  WFC  499.3  180  B                                
 526195 NGC6822          19:44:56.75 -14:48:24.5 2000.00  21:13 1.379  WFC  499.8  180  B                                
 526196 NGC6822          19:44:56.74 -14:48:24.5 2000.00  21:22 1.380  WFC  499.8  180  B                                
 526197 NGC6822          19:44:56.75 -14:48:24.6 2000.00  21:33 1.385  WFC  499.3  180  B                                
 526198 NGC6822          19:44:56.74 -14:48:24.5 2000.00  21:42 1.392  WFC  499.7  180  B                                
 526199 NGC6822          19:44:56.74 -14:48:24.5 2000.00  21:51 1.401  WFC  499.7  180  B                                
 526200 NGC6822          19:44:56.75 -14:48:24.7 2000.00  22:00 1.413  WFC  499.7  180  B                                
 526201 NGC6822          19:44:56.74 -14:48:24.5 2000.00  22:09 1.428  WFC  499.3  180  B                                
 526202 NGC6822          19:44:56.74 -14:48:24.5 2000.00  22:18 1.446  WFC  499.8  180  B                                
 526203 NGC6822          19:44:56.74 -14:48:24.5 2000.00  22:33 1.483  WFC  499.7  180  B                                
 526204 NGC6822          19:44:56.75 -14:48:24.5 2000.00  22:42 1.510  WFC  499.3  180  B                                
 526205 NGC6822          19:44:56.75 -14:48:24.5 2000.00  22:51 1.540  WFC  499.7  180  B                                
 526206 IC1613            1:04:54.20 +02:07:59.9 2000.00  23:28 1.601  WFC  499.3  180  B                                
 526207 IC1613            1:04:54.19 +02:08:00.0 2000.00  23:41 1.513  WFC  499.8  180  B                                
 526208 IC1613            1:04:54.20 +02:08:00.0 2000.00  23:50 1.462  WFC  499.7  180  B                                
 526209 IC1613            1:04:54.20 +02:08:00.0 2000.00  23:59 1.417  WFC  499.8  180  B                                
 526210 IC1613            1:04:54.20 +02:07:59.9 2000.00  00:08 1.377  WFC  499.8  180  B                                
 526211 IC1613            1:04:54.20 +02:08:00.0 2000.00  00:17 1.341  WFC  499.8  180  B                                
 526212 IC1613            1:04:54.20 +02:07:59.9 2000.00  00:27 1.305  WFC  499.8  180  B                                
 526213 IC1613            1:04:54.20 +02:08:00.0 2000.00  00:36 1.276  WFC  499.8  180  B                                
 526214 IC1613            1:04:54.20 +02:07:59.9 2000.00  00:45 1.251  WFC  499.8  180  B                                
 526215 IC1613            1:04:54.20 +02:08:00.0 2000.00  00:54 1.228  WFC  499.8  180  B                                
 526216 IC1613            1:04:54.20 +02:08:00.0 2000.00  01:03 1.207  WFC  499.7  180  B                                
 526217 IC1613            1:04:54.19 +02:07:59.9 2000.00  01:36 1.152  WFC  499.8  180  B                                
 526218 IC1613            1:04:54.20 +02:08:00.0 2000.00  01:45 1.142  WFC  499.8  180  B                                
 526219 IC1613            1:04:54.20 +02:07:59.9 2000.00  01:54 1.134  WFC  499.8  180  B                                
 526220 IC1613            1:04:54.20 +02:07:59.9 2000.00  02:03 1.127  WFC  499.8  180  B                                
 526221 IC1613            1:04:54.20 +02:08:00.0 2000.00  02:12 1.122  WFC  499.8  180  B                                
 526222 IC1613            1:04:54.19 +02:07:59.9 2000.00  02:22 1.119  WFC  499.7  180  B                                
 526223 IC1613            1:04:54.19 +02:08:00.0 2000.00  02:31 1.118  WFC  499.8  180  B                                
 526224 IC1613            1:04:54.19 +02:08:00.0 2000.00  02:40 1.119  WFC  499.3  180  B                                
 526225 IC1613            1:04:54.20 +02:08:00.0 2000.00  02:49 1.121  WFC  499.8  180  B                                
 526226 IC1613            1:04:54.19 +02:08:00.2 2000.00  02:58 1.125  WFC  499.8  180  B                                
 526227 IC1613            1:04:54.19 +02:08:00.0 2000.00  03:07 1.131  WFC  499.8  180  B                                
 526228 IC1613            1:04:54.19 +02:07:59.9 2000.00  03:16 1.139  WFC  499.8  180  B                                
 526229 IC1613            1:04:54.20 +02:08:00.0 2000.00  03:25 1.148  WFC  499.2  180  B                                
 526230 IC1613            1:04:54.20 +02:08:00.0 2000.00  03:34 1.159  WFC  499.7  180  B                                
 526231 IC1613            1:04:54.20 +02:07:59.9 2000.00  03:43 1.173  WFC  499.8  180  B                                
 526232 IC1613            1:04:54.19 +02:07:59.9 2000.00  03:52 1.188  WFC  499.8  180  B                                
 526233 IC1613            1:04:54.20 +02:08:00.0 2000.00  04:01 1.206  WFC  499.8  180  B                                
 526234 IC1613            1:04:54.19 +02:07:59.9 2000.00  04:10 1.226  WFC  499.8  180  B                                
 526235 IC1613            1:04:54.19 +02:07:59.9 2000.00  04:19 1.249  WFC  499.8  180  B                                
 526236 IC1613            1:04:54.19 +02:07:59.9 2000.00  04:28 1.274  WFC  499.3  180  B                                
 526237 IC1613            1:04:54.19 +02:07:59.9 2000.00  04:38 1.306  WFC  499.8  180  B                                
 526238 IC1613            1:04:54.19 +02:07:59.9 2000.00  04:47 1.339  WFC  499.8  180  B                                
 526239 IC1613            1:04:54.20 +02:08:00.0 2000.00  04:56 1.375  WFC  499.8  180  B                                
 526240 IC1613            1:04:54.20 +02:08:00.0 2000.00  05:05 1.415  WFC  499.8  180  B                                
 526241 IC1613            1:04:54.19 +02:07:59.9 2000.00  05:14 1.460  WFC  499.3  180  B                                
 526242 IC1613            1:04:54.20 +02:07:59.9 2000.00  05:24 1.517  WFC  499.8  180  B                                
 526243 IC1613            1:04:54.20 +02:07:59.9 2000.00  05:33 1.574  WFC  499.8  180  B                                
 526244 IC1613            1:04:54.20 +02:08:00.0 2000.00  05:42 1.638  WFC  499.8  180  B                                
 526245 Flat field        5:56:00.00 +04:09:00.0 2000.00  06:21 1.144  WFC   60.0  180  B                                
