INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 09 17 08:11

TELESCOPE             INT
DATE                  20060916
OBSERVER/S            Yogesh Joshi, Ian Skillen,Mark Crockett, Marie Hrudkova
PROGRAMME             Eclipsing Binary in nearby galaxies
PROPOSAL REF          P3
TELESCOPE OPERATOR    Yogesh Joshi
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.58
INSTRUMENT/S          WFC

SUNSET (UT)           19:24
EVENING TWILIGHT (UT) 20:36
MORNING TWILIGHT (UT) 05:38
SUNRISE (UT)          06:50
%ILLUM. LUNAR DISK    25
DARK TIME (HRS)       09:02
TWILIGHT TIME (HRS)   02:24
MOONRISE (UT)         02:10
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  13.4    1    14.4  14.8  356   770.7   13.4  15.2    16.1    1     2 
21:00  13.7    1     7.2   8.2  356   771.2   13.7  14.5    15.9    1     3 
22:00  13.9    5     5.5   5.8  317   771.7   13.9  14.6    15.8    5     3 
23:00  13.6    2     9.4   9.8  174   772.0   13.6  14.3    15.8    2     2 
00:00  13.7    2     6.3   7.0  176   772.2   13.7  14.3    15.7    2     2 
01:00  13.1    2    10.3  11.8  186   772.0   13.1  14.0    15.5    2     2 
02:00  14.5    2    10.5  11.9  247   771.7   14.5  13.9    15.5    2     3 
03:00  14.2    1    11.4  13.7  243   771.5   14.2  14.4    15.5    1     2 
04:00  13.9    0    14.3  16.5  215   771.3   13.9  14.3    15.6    0     2 
05:00  13.9    3    17.7  19.0  249   771.2   13.9  14.4    15.6    3     2 
06:00  13.3    5    17.8  18.8  257   771.3   13.3  14.0    15.6    5     3 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
night was clear till 5 AM. Partial clouds appear after 5 a.m., seeing varied between 0.9" to 1.4"

COMMENTS (causes of time lost, setup information eg CCD windows):
no time lost but observations taken after 5 am were not in partial/moving cloud condition.



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 526253 Bias              0:00:00.00 +00:00:00.0 2006.708 12:14 1.497  WFC    0.0  180  V                                
 526254 Bias             12:48:59.99 +39:59:59.9 2000.00  12:22 1.117  WFC    0.0  180  V                                
 526255 BIGDON           12:49:00.00 +40:00:00.0 2000.00  12:24 1.112  WFC   15.1  180  V                                
 526256 Flat field       15:15:48.00 -00:42:50.0 2000.00  19:13 1.442  WFC    0.5  180  B                                
 526257 Flat field       15:15:48.00 -00:42:49.9 2000.00  19:39 1.587  WFC    3.6  180  B                                
 526258 Flat field       15:15:48.66 -00:42:49.9 2000.00  19:40 1.596  WFC   10.1  180  B                                
 526259 Flat field       15:15:48.00 -00:42:39.9 2000.00  19:41 1.604  WFC    4.1  180  B                                
 526260 Flat field       15:15:48.66 -00:42:40.0 2000.00  19:43 1.616  WFC    4.1  180  B                                
 526261 Flat field       15:15:48.66 -00:42:30.2 2000.00  19:44 1.623  WFC    6.1  180  B                                
 526262 Flat field       15:15:49.33 -00:42:30.0 2000.00  19:45 1.632  WFC    8.1  180  B                                
 526263 Flat field       15:15:48.00 -00:42:29.9 2000.00  19:46 1.641  WFC   15.1  180  B                                
 526264 Flat field       15:15:49.33 -00:42:50.0 2000.00  19:48 1.650  WFC   15.1  180  B                                
 526265 Flat field       15:15:46.66 -00:42:50.0 2000.00  19:49 1.661  WFC   18.1  180  B                                
 526266 Flat field       15:15:47.99 -00:43:09.9 2000.00  19:50 1.671  WFC   25.1  180  B                                
 526267 Flat field       15:15:47.99 -00:43:00.1 2000.00  19:52 1.683  WFC   33.1  180  B                                
 526268 Flat field       15:15:47.33 -00:42:50.1 2000.00  19:53 1.695  WFC   45.1  180  B                                
 526269 Bias             15:15:47.33 -00:42:50.0 2000.00  19:57 1.721  WFC    0.0  180  B                                
 526270 Bias             15:15:47.33 -00:42:49.9 2000.00  19:59 1.741  WFC    0.0  180  B                                
 526271 Bias             15:15:47.33 -00:42:50.0 2000.00  20:00 1.746  WFC    0.0  180  B                                
 526272 Bias             15:15:47.33 -00:42:49.9 2000.00  20:00 1.751  WFC    0.0  180  B                                
 526273 Bias             15:15:47.33 -00:42:49.9 2000.00  20:01 1.757  WFC    0.0  180  B                                
 526274 Bias             15:15:47.33 -00:42:49.9 2000.00  20:01 1.762  WFC    0.0  180  B                                
 526275 Bias             15:15:47.33 -00:42:50.0 2000.00  20:02 1.767  WFC    0.0  180  B                                
 526276 Bias             15:15:47.33 -00:42:50.0 2000.00  20:03 1.772  WFC    0.0  180  B                                
