INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 09 24 07:42

TELESCOPE             INT
DATE                  20060923
OBSERVER/S            Yogesh Joshi
PROGRAMME             Eclipsing binaries in nearby galaxies
PROPOSAL REF          P3
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.57
INSTRUMENT/S          WFC

SUNSET (UT)           19:15
EVENING TWILIGHT (UT) 20:27
MORNING TWILIGHT (UT) 05:42
SUNRISE (UT)          06:54
%ILLUM. LUNAR DISK    2
DARK TIME (HRS)       09:15
TWILIGHT TIME (HRS)   02:24
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          19:44

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   7.6   99    22.3  29.8  314   768.7    7.6  11.4    13.7   99    83 
21:00   7.8   99    29.5  31.3  301   768.9    7.8  11.5    13.9   99    83 
22:00   7.0   98    26.3  32.4  314   769.1    7.0  10.7    14.0   98    79 
23:00   7.8   57    25.9  30.2  318   769.5    7.8     #       #   57     # 
00:00   8.7   45    32.0  41.4  328   769.7    8.7     #       #   45     # 
01:00   9.7   13    29.1  31.6  334   769.4    9.7     #       #   13     # 
02:00   9.3    5    20.6  24.5  330   769.0    9.3     #       #    5     # 
03:00   8.6    7    30.2  30.2  327   768.6    8.6     #       #    7     # 
04:00   8.4    4    44.8  46.0  342   768.1    8.4     #       #    4     # 
05:00   9.3    6    43.9  45.8  354   768.0    9.3     #       #    6     # 
06:00   9.6   10    33.6  36.8  352   768.2    9.6     #       #   10     # 

TIME LOST weather           03:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
overcast and humid untill midnight. typical seeing was more than 1.3 arcsec which increases up to 2 arcsec in the morning.

COMMENTS (causes of time lost, setup information eg CCD windows):
three hour observations lost due to bad weather



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 526749 Bias frame        0:00:00.00 +00:00:00.0 2006.727 12:03 1.000  WFC    0.0  180  V                                test bias
 526750 Focus run        22:40:36.99 +00:51:49.0 2000.00  23:33 1.132  WFC   10.1  180  B                                
 526751 Focus run        22:40:37.00 +00:51:49.0 2000.00  23:40 1.131  WFC    9.5  180  B                                
 526752 IC1613            1:04:54.20 +02:07:59.9 2000.00  23:47 1.337  WFC  499.8  180  B                                
 526753 IC1613            1:04:54.20 +02:08:00.0 2000.00  23:57 1.301  WFC  499.8  180  B                                
 526754 IC1613            1:04:54.19 +02:07:59.9 2000.00  00:06 1.273  WFC  499.8  180  B                                
 526755 IC1613            1:04:54.20 +02:08:00.0 2000.00  00:15 1.248  WFC  499.7  180  B                                
 526756 IC1613            1:04:54.19 +02:07:59.9 2000.00  00:24 1.225  WFC  499.8  180  B                                
 526757 IC1613            1:04:54.20 +02:07:59.9 2000.00  00:33 1.205  WFC  499.8  180  B                                
 526758 IC1613            1:04:54.20 +02:07:59.9 2000.00  00:42 1.187  WFC  499.7  180  B                                
 526759 IC1613            1:04:54.20 +02:08:00.0 2000.00  00:50 1.172  WFC  499.8  180  B                                
 526760 IC1613            1:04:54.20 +02:08:00.0 2000.00  00:59 1.159  WFC  499.8  180  B                                
 526761 IC1613            1:04:54.20 +02:08:00.0 2000.00  01:08 1.148  WFC  499.8  180  B                                
 526762 IC1613            1:04:54.19 +02:07:59.9 2000.00  01:17 1.138  WFC  499.8  180  B                                
 526763 IC1613            1:04:54.19 +02:07:59.9 2000.00  01:26 1.131  WFC  499.8  180  B                                
 526764 IC1613            1:04:54.20 +02:08:00.0 2000.00  01:35 1.125  WFC  499.2  180  B                                
 526765 IC1613            1:04:54.20 +02:07:59.9 2000.00  01:44 1.121  WFC  499.3  180  B                                
 526766 IC1613            1:04:54.20 +02:07:59.9 2000.00  01:53 1.119  WFC  499.7  180  B                                
 526767 IC1613            1:04:54.19 +02:07:59.9 2000.00  02:02 1.118  WFC  499.8  180  B                                
 526768 IC1613            1:04:54.19 +02:07:59.9 2000.00  02:11 1.119  WFC  499.8  180  B                                
 526769 IC1613            1:04:54.19 +02:07:59.9 2000.00  02:20 1.122  WFC  499.8  180  B                                
 526770 IC1613            1:04:54.20 +02:08:00.0 2000.00  02:29 1.126  WFC  499.8  180  B                                
