INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 11 09 04:54

TELESCOPE             INT
DATE                  20061108
OBSERVER/S            Quentin Parker
PROGRAMME             IPHAS
PROPOSAL REF          IPHAS              
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Miguel Santander

TEL STATION / FOCUS   Prime  / 43.68
INSTRUMENT/S          WFC

SUNSET (UT)           18:29
EVENING TWILIGHT (UT) 19:43
MORNING TWILIGHT (UT) 06:08
SUNRISE (UT)          07:22
%ILLUM. LUNAR DISK    85
DARK TIME (HRS)       10:25
TWILIGHT TIME (HRS)   02:28
MOONRISE (UT)         20:46
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   9.0    6    24.6  24.8  313   770.5    9.0  12.5    14.0    6    10 
20:00   9.2    3    19.8  22.9  302   770.8    9.2  10.5    13.8    3     7 
21:00   9.9    4    20.1  24.8  308   771.1    9.9  11.7    14.0    4    11 
22:00   9.6    8    20.4  23.8  302   771.3    9.6  11.7    14.2    8    12 
23:00   9.1   11    17.9  20.5  325   771.3    9.1  11.6    14.1   11    15 
00:00   9.6   10    19.7  21.9  341   771.2    9.6  11.5    14.2   10    17 
01:00  10.0    7    21.3  24.6  323   770.8   10.0  11.4    14.1    7    15 
02:00  10.9    2    17.1  19.1  326   770.9   10.9  11.5    13.9    2     4 
03:00  10.9    2    19.9  18.6  300   770.7   10.9  11.4    13.9    2     2 
04:00  10.9    1    24.4  25.6  304   770.5   10.9  11.2    13.8    1     3 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Cloudy for most of night. 0.8arcsec seeing in clear patches, intermittent thin cloud later

COMMENTS (causes of time lost, setup information eg CCD windows):
Used time to practice use of system - there *may* be some useful data amongst the modest trawl obtained.



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 534098 Bias             15:13:59.99 +20:00:00.0 2006.853 14:18 1.045  WFC    0.0  180  [OIII]5007                       
 534099 AGB              15:13:59.99 +20:00:00.0 2006.853 14:21 1.049  WFC   10.1  180  r                                
 534100 Bias             15:14:00.00 +20:00:00.0 2006.853 14:28 1.057  WFC    0.0  180  r                                
 534101 Bias             19:21:28.99 +12:27:48.9 2000.00  19:30 1.205  WFC    0.0  180  r                                
 534102 Bias             19:21:28.99 +12:27:48.9 2000.00  19:30 1.207  WFC    0.0  180  r                                
 534103 Bias             19:21:28.99 +12:27:48.9 2000.00  19:31 1.209  WFC    0.0  180  r                                
 534104 Bias             19:21:28.99 +12:27:48.9 2000.00  19:32 1.211  WFC    0.0  180  r                                
 534105 Bias             19:21:28.99 +12:27:49.0 2000.00  19:32 1.212  WFC    0.0  180  r                                
 534106 Bias             19:21:28.99 +12:27:48.9 2000.00  19:33 1.214  WFC    0.0  180  r                                
 534107 Bias             19:21:29.00 +12:27:48.9 2000.00  19:33 1.216  WFC    0.0  180  r                                
 534108 Bias             19:21:28.99 +12:27:49.0 2000.00  19:34 1.218  WFC    0.0  180  r                                
 534109 Bias             19:21:29.00 +12:27:49.0 2000.00  19:34 1.220  WFC    0.0  180  r                                
 534110 Bias             19:21:28.99 +12:27:48.9 2000.00  19:35 1.221  WFC    0.0  180  r                                
 534111 Focus run         3:56:13.30 +00:08:46.0 2000.00  02:06 1.139  WFC   10.1  180  r                                
 534113 intphas_2633o Ha  5:40:04.22 +32:39:59.8 2000.00  02:56 1.015  WFC  120.0  180  Halpha                           
 534114 intphas_2633o r   5:40:04.21 +32:39:59.7 2000.00  02:58 1.014  WFC   30.1  180  r                                
 534115 intphas_2633o i   5:40:04.22 +32:39:59.6 2000.00  03:00 1.013  WFC   10.1  180  i                                
 534116 intphas_2634 Ha   5:39:45.06 +28:11:00.0 2000.00  03:00 1.010  WFC  120.0  180  Halpha                           
 534117 intphas_2634 r    5:39:45.07 +28:10:59.8 2000.00  03:03 1.009  WFC   30.1  180  r                                
 534118 intphas_2634 i    5:39:45.06 +28:10:59.7 2000.00  03:04 1.009  WFC   10.1  180  i                                
 534119 intphas_2634o Ha  5:40:07.77 +28:15:59.8 2000.00  03:05 1.008  WFC  120.0  180  Halpha                           
 534120 intphas_2634o r   5:40:07.78 +28:15:59.7 2000.00  03:08 1.007  WFC   30.1  180  r                                
 534121 intphas_2634o i   5:40:07.77 +28:15:59.8 2000.00  03:09 1.007  WFC   10.1  180  i                                
 534122 intphas_2636 Ha   5:39:51.30 +26:42:59.8 2000.00  03:10 1.006  WFC  120.0  180  Halpha                           
 534123 intphas_2636 r    5:39:51.30 +26:42:59.7 2000.00  03:13 1.006  WFC   30.1  180  r                                
