INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 11 17 07:54

TELESCOPE             INT
DATE                  20061116
OBSERVER/S            Laurence Sabin
PROGRAMME             Distance determination to M31 from Eclipsing binaries
PROPOSAL REF          C12
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Marie Hudrova, Ian Skillen

TEL STATION / FOCUS   Prime  / 
INSTRUMENT/S          WFC

SUNSET (UT)           18:25
EVENING TWILIGHT (UT) 19:39
MORNING TWILIGHT (UT) 06:14
SUNRISE (UT)          07:28
%ILLUM. LUNAR DISK    14
DARK TIME (HRS)       10:35
TWILIGHT TIME (HRS)   02:28
MOONRISE (UT)         04:19
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   1.1   99    27.1  30.0  338   768.8    1.1   9.7    12.7   99    73 
20:00   3.1   40    29.6  29.9  319   769.3    3.1   6.0    11.9   40    36 
21:00   3.4   26    32.0  30.9  337   769.7    3.4   4.9    11.8   26    29 
22:00   5.6   11    20.7  26.9  315   770.3    5.6   6.8    11.2   11    12 
23:00   5.4   15    17.4  21.7  340   770.2    5.4   6.6    10.9   15    15 
00:00   5.3   21    25.2  28.6  342   770.3    5.3   6.5    10.6   21    19 
01:00   5.3   13    28.2  34.9  348   769.9    5.3   6.2    10.2   13    16 
02:00   5.6   15    22.1  25.1  324   769.9    5.6   6.6     9.6   15    15 
03:00   5.2   14    25.0  28.5  349   769.8    5.2   5.7    10.1   14    16 
04:00   5.3   18    15.7  18.0  357   769.9    5.3   5.9    10.2   18    18 
05:00   5.8   17     9.8   9.6  357   770.1    5.8   6.7    10.1   17    18 
06:00   6.2   17     9.8  10.2  337   770.2    6.2   6.3     9.6   17    19 
07:00   5.9   18    13.0  14.2  356   770.6    5.9   6.3     9.2   18    21 

TIME LOST weather           01:40
TIME LOST Technical         00:40
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Extremelly wet at the beginning of the night and extremelly dry afterwards

COMMENTS (causes of time lost, setup information eg CCD windows):
High humidity at the beginning of the night caused some time to be lost
Some patterns in CCD2 of WFC made that some images were lost


 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 535196 Bias frame       17:22:00.00 +64:59:59.9 2000.00  14:02 1.252  WFC    0.0  180  [OIII]5007                       
 535197 Bias              0:00:00.00 +00:00:00.0 2000.00  16:04 1.087  WFC    0.0  180  i                                
 535198 Bias              0:00:00.00 +00:00:00.0 2000.00  16:05 1.087  WFC    0.0  180  V                                
 535199 Bias              0:00:00.00 +00:00:00.0 2000.00  16:09 1.087  WFC    0.0  180  V                                
 535200 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:10 1.087  WFC    3.1  180  V                                
 535201 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:14 1.087  WFC    2.1  180  V                                
 535202 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:16 1.087  WFC    1.0  180  V                                
 535203 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:17 1.087  WFC    2.1  180  V                                
 535204 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:20 1.087  WFC    2.1  180  V                                
 535205 Bias              0:00:00.00 +00:00:00.0 2000.00  18:26 4.258  WFC    0.0  180  V                                
 535206 Focus run        21:43:40.90 +00:17:22.0 2000.00  20:09 1.171  WFC   10.1  180  B                                
 535207 M31 B             0:44:46.00 +41:38:20.1 2000.00  20:24 1.096  WFC  899.5  180  B                                Seeing molt dolent (incalculable)
 535208 M31 B             0:44:46.00 +41:38:20.0 2000.00  20:42 1.074  WFC  899.6  180  B                                Seeing molt dolent (superior a 3")
 535209 M31 V             0:44:45.99 +41:38:20.0 2000.00  20:58 1.057  WFC  899.5  180  V                                
 535210 M31 B             0:44:45.99 +41:38:20.1 2000.00  21:13 1.044  WFC  899.1  180  B                                
 535211 M31 V             0:44:45.99 +41:38:20.0 2000.00  21:29 1.035  WFC  899.5  180  V                                
 535212 M31 B             0:44:46.00 +41:38:20.0 2000.00  21:50 1.028  WFC  899.5  180  B                                
 535213 M31 V             0:44:45.99 +41:38:19.8 2000.00  22:06 1.026  WFC  899.5  180  V                                Error de lectura al xip 2
 535214 M31 B             0:44:45.99 +41:38:20.1 2000.00  22:22 1.028  WFC  899.6  180  B                                
 535215 M31 V             0:44:45.99 +41:38:19.9 2000.00  22:38 1.033  WFC  899.5  180  V                                
 535216 M31 B             0:44:45.99 +41:38:20.1 2000.00  22:54 1.042  WFC  899.0  180  B                                Error de lectura al xip 2
 535217 M31 V             0:44:45.99 +41:38:20.0 2000.00  23:10 1.054  WFC  899.5  180  V                                
 535218 M31 B             0:44:45.99 +41:38:20.1 2000.00  23:26 1.070  WFC  899.6  180  B                                
 535221 M31V              0:44:46.00 +41:38:19.8 2000.00  23:49 1.101  WFC  899.5  180  V                                
