INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 11 24 07:35

TELESCOPE             INT
DATE                  20061123
OBSERVER/S            Niall Deacon
PROGRAMME             UVEX
PROPOSAL REF          N2
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    MH

TEL STATION / FOCUS   Prime  / 43.66
INSTRUMENT/S          WFC

SUNSET (UT)           18:23
EVENING TWILIGHT (UT) 19:38
MORNING TWILIGHT (UT) 06:19
SUNRISE (UT)          07:33
%ILLUM. LUNAR DISK    10
DARK TIME (HRS)       10:41
TWILIGHT TIME (HRS)   02:29
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          20:28

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   5.6   45    38.4  40.1  356   770.7    5.6   7.5    11.2   45    41 
20:00   5.5   45    30.2  32.5  356   770.9    5.5   6.8    10.4   45    43 
21:00   5.9   44    28.8  30.2  353   771.5    5.9   7.1    10.3   44    42 
22:00   5.8   44    24.9  26.0  353   771.7    5.8   6.7    10.2   44    42 
23:00   5.8   44    20.2  21.7  256   771.5    5.8   6.7    10.2   44    43 
00:00   6.0   47    22.4  23.0  356   771.3    6.0   6.7     9.9   47    45 
01:00   6.3   40    19.7  20.6  355   770.7    6.3   6.8     9.9   40    40 
02:00   6.3   45    16.7  17.4  340   770.3    6.3   7.0     9.7   45    45 
03:00   6.4   45    11.9  12.7  321   770.0    6.4   7.3     9.9   45    45 
04:00   6.6   44     6.9   7.2  288   769.7    6.6   7.2     9.5   44    45 
05:00   6.5   45    12.7  13.2  295   769.4    6.5   7.2     9.3   45    45 
06:00   6.7   41     9.9  10.0  275   769.2    6.7   7.2     9.6   41    43 
07:00   6.0   47    15.5  16.1  273   769.4    6.0   7.1     8.9   47    45 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Excellent, Seeing around one arcsecond

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 536069 Bias frame        0:00:00.00 +00:00:00.0 2006.894 14:23 1.000  WFC    0.0  180  Halpha                           
 536070 Bias             16:29:59.99 +20:00:00.0 2000.00  14:26 1.036  WFC    0.0  180  Halpha                           
 536071 Bias             16:29:59.99 +19:59:59.9 2000.00  14:27 1.037  WFC    0.0  180  Halpha                           
 536072 DCI1             16:29:59.99 +19:59:59.9 2000.00  14:32 1.042  WFC    1.7  180  Halpha                           
 536073 DCI1             16:30:00.00 +20:00:00.1 2000.00  14:34 1.044  WFC    3.1  180  i                                
 536074 Bias              0:00:00.00 +00:00:00.0 2000.00  16:41 1.000  WFC    0.0  180  i                                
 536075 Flat field       23:54:08.90 +59:28:17.9 1950.00  18:22 1.316  WFC   30.1  180  HeI 5870                         
 536076 Flat field       23:54:09.55 +59:28:22.9 1950.00  18:24 1.313  WFC    5.0  180  HeI 5870                         
 536077 Flat field       23:54:09.55 +59:28:23.0 1950.00  18:25 1.310  WFC    2.1  180  HeI 5870                         
 536078 Flat field       23:54:09.56 +59:28:22.9 1950.00  18:29 1.302  WFC    2.1  180  HeI 5870                         
 536079 Flat field       23:54:09.55 +59:28:23.0 1950.00  18:31 1.299  WFC    5.1  180  HeI 5870                         
 536080 Flat field       23:54:09.55 +59:28:13.0 1950.00  18:32 1.297  WFC    5.1  180  HeI 5870                         
 536081 Flat field       23:54:09.56 +59:28:13.0 1950.00  18:33 1.295  WFC    9.5  180  HeI 5870                         
 536082 Flat field       23:54:08.24 +59:28:13.0 1950.00  18:34 1.293  WFC   10.1  180  HeI 5870                         
 536083 Flat field       23:54:08.90 +59:28:18.2 1950.00  18:35 1.291  WFC   10.1  180  U                                
 536084 Flat field       23:54:09.55 +59:28:23.0 1950.00  18:36 1.288  WFC   15.1  180  U                                
 536085 Flat field       23:54:09.55 +59:28:23.0 1950.00  18:37 1.286  WFC   30.0  180  U                                
 536086 Flat field       23:54:09.55 +59:28:22.9 1950.00  18:39 1.284  WFC   30.1  180  U                                
 536087 Flat field       23:54:08.90 +59:28:17.7 1950.00  18:40 1.281  WFC   30.1  180  g                                
 536088 Flat field       23:54:08.90 +59:28:18.0 1950.00  18:42 1.278  WFC   10.1  180  U                                
 536089 Flat field       23:54:08.90 +59:28:17.9 1950.00  18:44 1.274  WFC    2.1  180  U                                
 536090 Flat field       23:54:09.55 +59:28:23.2 1950.00  18:45 1.273  WFC    5.1  180  U                                
 536091 Flat field       23:54:09.55 +59:28:22.9 1950.00  18:47 1.270  WFC    5.1  180  U                                
 536092 Flat field       23:54:09.55 +59:28:23.0 1950.00  18:48 1.268  WFC    5.1  180  U                                
 536093 Flat field       23:54:08.89 +59:28:18.0 1950.00  18:49 1.266  WFC    5.1  180  HeI 5870                         
 536094 Flat field       23:54:09.55 +59:28:22.9 1950.00  18:51 1.263  WFC   30.1  180  g                                
 536095 Flat field       23:54:08.90 +59:28:18.0 1950.00  18:53 1.260  WFC   40.0  180  g                                
 536096 Flat field       23:54:10.21 +59:28:28.0 1950.00  18:55 1.256  WFC   60.0  180  g                                
 536097 Flat field       23:54:08.90 +59:28:18.0 1950.00  18:57 1.253  WFC   59.5  180  r                                
 536098 Flat field       23:54:10.21 +59:28:27.8 1950.00  18:59 1.250  WFC   60.1  180  r                                
 536099 Flat field       23:54:10.21 +59:28:28.0 1950.00  19:01 1.246  WFC  120.0  180  r                                
 536100 Focus run        21:43:30.49 +00:18:04.0 2000.00  19:17 1.147  WFC   10.1  180  r                                
 536101 BD+174708        22:11:31.43 +18:05:34.0 2000.00  19:26 1.019  WFC   10.1  180  r                                
 536102 BD+174708        22:11:31.44 +18:05:34.2 2000.00  19:27 1.019  WFC  100.1  180  HeI 5870                         
 536103 BD+174708        22:11:31.43 +18:05:34.1 2000.00  19:30 1.020  WFC   10.1  180  g                                
 536104 BD+174708        22:11:31.44 +18:05:34.1 2000.00  19:31 1.021  WFC  100.0  180  U                                
 536105 ST_PG2213        22:16:24.72 -00:21:58.9 2000.00  19:37 1.148  WFC   10.1  180  g                                
 536106 ST_PG2213        22:16:24.72 -00:21:58.8 2000.00  19:38 1.149  WFC  100.0  180  U                                
 536107 ST_PG2213        22:16:24.72 -00:21:58.8 2000.00  19:40 1.150  WFC   10.1  180  r                                
 536109 ST_PG2213        22:16:24.72 -00:21:58.9 2000.00  19:44 1.153  WFC  100.0  180  HeI 5870                         
 536110 SA114-548        22:41:36.72 +00:59:05.6 2000.00  19:50 1.130  WFC   10.1  180  r                                
 536111 SA114-548        22:41:36.72 +00:59:05.6 2000.00  19:51 1.131  WFC  100.0  180  HeI 5870                         
 536112 SA114-548        22:41:36.71 +00:59:05.6 2000.00  19:54 1.131  WFC   10.1  180  g                                
 536113 SA114-548        22:41:36.72 +00:59:05.6 2000.00  19:55 1.131  WFC  100.0  180  U                                
 536114 uvex_6965 He1    22:12:13.95 +61:32:59.7 2000.00  19:59 1.202  WFC  120.0  180  HeI 5870                         
 536115 uvex_6965 r      22:12:13.95 +61:32:59.5 2000.00  20:02 1.203  WFC   30.1  180  r                                
 536116 uvex_6965 U      22:12:13.95 +61:32:59.4 2000.00  20:03 1.204  WFC  120.0  180  U                                
 536117 uvex_6965 g      22:12:13.95 +61:32:59.6 2000.00  20:06 1.206  WFC   30.1  180  g                                
 536118 uvex_6965o He1   22:12:56.04 +61:37:59.5 2000.00  20:07 1.207  WFC  120.0  180  HeI 5870                         
 536119 uvex_6965o r     22:12:56.04 +61:37:59.5 2000.00  20:10 1.209  WFC   29.6  180  r                                
 536120 uvex_6965o U     22:12:56.04 +61:37:59.5 2000.00  20:11 1.210  WFC  120.0  180  U                                
 536121 uvex_6965o g     22:12:56.04 +61:37:59.4 2000.00  20:14 1.211  WFC   30.1  180  g                                
 536122 uvex_6974 He1    22:13:14.60 +62:05:59.3 2000.00  20:15 1.219  WFC  120.0  180  HeI 5870                         
 536123 uvex_6974 r      22:13:14.60 +62:05:59.6 2000.00  20:18 1.220  WFC   30.1  180  r                                
 536124 uvex_6974 U      22:13:14.60 +62:05:59.6 2000.00  20:19 1.222  WFC  120.0  180  U                                
 536125 uvex_6974 g      22:13:14.59 +62:05:59.5 2000.00  20:22 1.223  WFC   30.1  180  g                                
 536126 uvex_6974o He1   22:13:57.46 +62:10:59.4 2000.00  20:23 1.225  WFC  120.0  180  HeI 5870                         
 536127 uvex_6974o r     22:13:57.46 +62:10:59.5 2000.00  20:26 1.227  WFC   30.1  180  r                                
 536128 uvex_6974o U     22:13:57.46 +62:10:59.7 2000.00  20:27 1.229  WFC  120.0  180  U                                
 536129 uvex_6974o g     22:13:57.45 +62:10:59.6 2000.00  20:30 1.230  WFC   30.1  180  g                                
 536130 uvex_6985 He1    22:14:55.50 +61:10:59.5 2000.00  20:31 1.218  WFC  120.0  180  HeI 5870                         
 536131 uvex_6985 r      22:14:55.50 +61:10:59.5 2000.00  20:33 1.220  WFC   30.1  180  r                                
 536132 uvex_6985 U      22:14:55.50 +61:10:59.5 2000.00  20:35 1.222  WFC  120.0  180  U                                
 536133 uvex_6985 g      22:14:55.50 +61:10:59.4 2000.00  20:37 1.224  WFC   30.1  180  g                                
