INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 01 05 09:13

TELESCOPE             INT
DATE                  20061203
OBSERVER/S            SImon Hodgkin
PROGRAMME             Monitor: ONC
PROPOSAL REF          P17
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.70
INSTRUMENT/S          WFC

SUNSET (UT)           18:22
EVENING TWILIGHT (UT) 19:37
MORNING TWILIGHT (UT) 06:25
SUNRISE (UT)          07:41
%ILLUM. LUNAR DISK    98
DARK TIME (HRS)       10:48
TWILIGHT TIME (HRS)   02:31
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          07:24

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   7.4   13    27.7  29.0  349   775.7    7.4   8.3    11.5   13    13 
20:00   7.9   11    34.8  35.5  349   775.9    7.9   8.9    11.6   11    11 
21:00   7.7   12    35.3  38.1  349   776.2    7.7   8.8    11.4   12    12 
22:00   7.8   12    37.1  41.0  349   776.4    7.8   9.1    11.2   12    12 
23:00   8.0   12    29.6  33.3  349   776.5    8.0   9.1    11.3   12    12 
00:00   8.6   11    23.8  25.1  349   776.2    8.6   9.4    11.1   11    11 
01:00   9.0    9    18.8  20.5  349   775.7    9.0   9.3    11.0    9    10 
02:00   8.3   11     6.9   6.1  115   775.5    8.3   9.0    11.0   11    11 
03:00   8.5   10    15.0  14.3  356   775.1    8.5   9.3    11.0   10    11 
04:00   8.7    9    18.6  19.8  356   774.7    8.7   9.4    10.9    9    11 
05:00   8.4   10    20.5  20.6  356   774.5    8.4   9.3    11.1   10    12 
06:00   7.9   10     8.2  11.6  141   774.6    7.9   9.9    11.1   10    16 
07:00   8.7    8     7.5   8.5  120   774.9    8.7   9.9    11.4    8    18 

TIME LOST weather           05:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):


COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 539517 Bias             18:29:59.99 +20:00:00.0 2006.922 15:58 1.048  WFC    0.0  180  Halpha                           
 539518 Flat field        0:00:00.00 +00:00:00.0 2006.922 16:10 4.754  WFC    6.1  180  Halpha                           
 539519 Flat field       22:57:59.99 +00:04:59.9 2000.00  18:29 1.168  WFC    5.7  180  V                                
 539520 Flat field       22:57:59.99 +00:05:00.1 2000.00  18:37 1.159  WFC    3.1  180  V                                
 539521 Flat field       22:58:01.33 +00:05:19.8 2000.00  18:38 1.158  WFC    4.4  180  V                                
 539522 Flat field       22:58:01.33 +00:04:40.2 2000.00  18:40 1.156  WFC    6.0  180  V                                
 539523 Flat field       22:58:00.00 +00:04:59.5 2000.00  18:42 1.155  WFC    5.9  180  i                                
 539524 Flat field       22:58:01.33 +00:05:19.9 2000.00  18:43 1.154  WFC    6.0  180  i                                
 539525 Flat field       22:58:01.33 +00:05:19.9 2000.00  18:44 1.153  WFC    8.5  180  i                                
 539526 Flat field       22:58:01.33 +00:04:40.0 2000.00  18:45 1.152  WFC   16.6  180  i                                
 539527 Flat field       22:57:58.66 +00:04:39.9 2000.00  18:47 1.150  WFC   46.8  180  i                                
 539528 Flat field       22:58:00.00 +00:04:40.4 2000.00  18:50 1.148  WFC   84.7  180  i                                
 539529 Focus run        21:42:34.99 +00:16:46.0 2000.00  19:07 1.179  WFC   15.1  180  i                                
 539530 SA113-163        21:42:35.00 +00:16:45.9 2000.00  19:20 1.201  WFC    9.6  180  i                                
 539531 SA113-163        21:42:35.00 +00:16:45.9 2000.00  19:21 1.203  WFC   10.1  180  V                                
 539532 SA113-163        21:42:34.99 +00:16:46.0 2000.00  19:23 1.208  WFC   10.1  180  g                                
 539533 hper              2:18:56.39 +57:08:24.9 2000.00  19:34 1.367  WFC   60.1  180  i                                
 539534 chiper            2:22:04.29 +57:08:35.0 2000.00  19:37 1.367  WFC   60.1  180  i                                
 539535 hper              2:18:56.39 +57:08:24.9 2000.00  19:40 1.350  WFC   60.0  180  i                                
 539536 chiper            2:22:04.29 +57:08:35.0 2000.00  19:43 1.351  WFC   60.1  180  i                                
 539537 hper              2:18:56.40 +57:08:24.9 2000.00  19:46 1.335  WFC   60.1  180  i                                
 539538 chiper            2:22:04.29 +57:08:35.0 2000.00  19:49 1.335  WFC   60.0  180  i                                
 539539 hper              2:18:56.39 +57:08:24.9 2000.00  19:52 1.320  WFC   60.1  180  i                                
 539540 chiper            2:22:04.29 +57:08:34.9 2000.00  19:55 1.321  WFC   60.0  180  i                                
 539541 hper              2:18:56.39 +57:08:25.1 2000.00  19:57 1.306  WFC   60.0  180  i                                
