INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 12 08 07:18

TELESCOPE             INT
DATE                  20061207
OBSERVER/S            Aigrain
PROGRAMME             Monitor: ONC
PROPOSAL REF          P17
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           18:22
EVENING TWILIGHT (UT) 19:38
MORNING TWILIGHT (UT) 06:28
SUNRISE (UT)          07:44
%ILLUM. LUNAR DISK    89
DARK TIME (HRS)       10:50
TWILIGHT TIME (HRS)   02:32
MOONRISE (UT)         20:34
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00  10.1   25    30.8  37.9  121   775.9   10.1  11.2    12.3   25    23 
20:00   9.3   28    41.9  43.8  121   776.2    9.3  10.4    12.0   28    25 
21:00   9.5   16    41.0  43.6  121   776.5    9.5  10.3    11.7   16    19 
22:00   9.1   18    38.3  42.9  121   776.4    9.1  10.2    11.7   18    18 
23:00   8.5   13    37.5  39.7   60   776.5    8.5   9.3    11.6   13    13 
00:00   7.6   11    30.2  35.8   60   776.7    7.6   9.1    11.1   11    11 
01:00   8.9   10    26.1  31.6   60   776.5    8.9   9.0    11.0   10    11 
02:00   8.3   10    26.1  30.6   60   776.1    8.3   9.1    11.3   10    10 
03:00   6.9   26    37.2  40.6   41   775.6    6.9   7.9    10.9   26    24 
04:00   6.4   31    36.3  38.1   41   775.3    6.4   7.9    10.9   31    28 
05:00   6.7   29    37.9  40.7   41   775.0    6.7   7.7    10.7   29    27 
06:00   7.4   25    30.5  32.8   41   774.9    7.4   8.5    10.5   25    23 
07:00   6.3   25    27.6  27.8   41   775.1    6.3   7.5     9.6   25    23 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
some high cirrus in middle of night, variable seeing, wind moderate

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 540510 Flat field       17:00:00.00 +19:59:59.9 2006.933 14:12 1.047  WFC    5.1  180  r                                
 540511 Bias             17:00:00.00 +20:00:00.0 2006.933 14:17 1.054  WFC    0.0  180  r                                
 540512 Bias              0:00:00.00 +00:00:00.0 2006.933 18:20 4.425  WFC    0.0  180  r                                
 540513 Flat field       22:58:00.00 +00:04:59.9 2000.00  18:38 1.146  WFC    3.4  180  V                                
 540514 Flat field       22:58:01.33 +00:05:19.9 2000.00  18:39 1.145  WFC    4.0  180  V                                
 540515 Flat field       22:58:01.33 +00:04:40.1 2000.00  18:41 1.145  WFC   11.9  180  V                                too many counts
 540516 Flat field       22:57:58.66 +00:04:39.9 2000.00  18:42 1.144  WFC    6.5  180  V                                
 540517 Flat field       22:57:58.66 +00:05:20.1 2000.00  18:43 1.144  WFC   11.1  180  V                                
 540518 Flat field       22:57:59.99 +00:05:00.4 2000.00  18:44 1.143  WFC    8.2  180  i                                
 540519 Flat field       22:58:01.33 +00:05:20.1 2000.00  18:45 1.143  WFC   13.1  180  i                                
 540520 Flat field       22:58:01.33 +00:04:40.1 2000.00  18:47 1.142  WFC   20.1  180  i                                
 540521 Flat field       22:57:58.67 +00:04:40.0 2000.00  18:48 1.142  WFC   32.1  180  i                                
 540522 Flat field       22:57:58.66 +00:05:20.0 2000.00  18:50 1.141  WFC   40.1  180  i                                
 540523 Focus run        21:42:35.00 +00:16:46.0 2000.00  19:02 1.195  WFC   15.1  180  i                                
 540524 SA113-163        21:42:35.00 +00:16:46.0 2000.00  19:08 1.209  WFC   10.1  180  g                                
 540525 SA113-163        21:42:35.00 +00:16:46.0 2000.00  19:09 1.212  WFC   10.1  180  V                                
 540526 SA113-163        21:42:35.00 +00:16:46.0 2000.00  19:10 1.214  WFC   10.1  180  r                                
 540527 SA113-163        21:42:34.99 +00:16:46.0 2000.00  19:11 1.216  WFC   10.1  180  i                                
 540528 SA113-163        21:42:35.00 +00:16:46.0 2000.00  19:12 1.218  WFC   10.1  180  i                                
 540529 SA113-163        21:42:35.00 +00:16:46.0 2000.00  19:13 1.220  WFC   10.1  180  r                                
 540530 SA113-163        21:42:35.00 +00:16:46.1 2000.00  19:14 1.221  WFC   10.1  180  V                                
 540531 SA113-163        21:42:34.99 +00:16:45.9 2000.00  19:15 1.224  WFC   10.1  180  g                                
 540532 hper              2:18:56.40 +57:08:24.9 2000.00  19:23 1.354  WFC   60.1  180  i                                
 540533 chiper            2:22:04.29 +57:08:34.8 2000.00  19:26 1.354  WFC   60.1  180  i                                
 540534 hper              2:18:56.40 +57:08:24.8 2000.00  19:29 1.337  WFC   60.1  180  i                                
 540535 chiper            2:22:04.30 +57:08:34.8 2000.00  19:32 1.337  WFC   60.1  180  i                                
 540536 hper              2:18:56.40 +57:08:25.0 2000.00  19:35 1.322  WFC   60.1  180  i                                
