INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 12 25 08:40

TELESCOPE             INT
DATE                  20061224
OBSERVER/S            Bergond
PROGRAMME             Globular clusters around isolated nearby galaxies
PROPOSAL REF          CAT
TELESCOPE OPERATOR    (at WHT)
SUPPORT ASTRONOMER    Ian Hunter

TEL STATION / FOCUS    / 43.7
INSTRUMENT/S          WFC

SUNSET (UT)           18:28
EVENING TWILIGHT (UT) 19:44
MORNING TWILIGHT (UT) 06:38
SUNRISE (UT)          07:54
%ILLUM. LUNAR DISK    22
DARK TIME (HRS)       10:54
TWILIGHT TIME (HRS)   02:32
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          22:37

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   4.7    6    14.6  15.7  167   769.5    4.7   6.3    10.1    6     2 
20:00   4.2    5     8.9  11.1  164   769.9    4.2   6.1     9.0    5     4 
21:00   4.1    4    14.3  15.1  174   770.0    4.1   5.2     9.0    4     3 
22:00   3.4    6    18.9  20.2  168   770.1    3.4   5.0     8.3    6     5 
23:00   3.6    6     7.8   7.6  163   770.2    3.6   4.9     8.5    6     4 
00:00   3.3    6    18.2  19.0  173   769.7    3.3   4.7     8.2    6     6 
01:00   2.9    8    26.8  28.3  165   769.0    2.9   4.5     7.5    8     6 
02:00   2.2    9    36.1  38.6  169   768.4    2.2   3.7     7.4    9     8 
03:00   2.3    9    35.1  39.4  159   768.1    2.3   3.7     6.5    9     8 
04:00   2.3    8    31.6  36.7  169   768.1    2.3   3.7     6.4    8     7 
05:00   2.3    9    30.8  32.6  168   768.0    2.3   3.6     6.5    9     8 
06:00   1.8    9    38.1  40.0  167   767.6    1.8   2.9     7.1    9     8 
07:00   1.3    6    40.3  42.2  165   767.5    1.3   2.6     6.6    6     4 

TIME LOST weather           00:00
TIME LOST Technical         00:30
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Very good, likely photometri and fair DIMM seeing except during 3 hrs, due to strong south wind (S doors closed at 6h50 cause >40 km/s)

COMMENTS (causes of time lost, setup information eg CCD windows):
The guider is slooooow and it is many times difficult to find/follow guide * when dithering. Unguided 300s in the end are fine.



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 543361 Bias              0:00:00.00 +00:00:00.0 2006.979 13:44 1.000  WFC    0.0  180  i                                
 543362 Bias             17:42:59.99 -00:00:00.0 2000.00  13:46 1.186  WFC    0.0  180  [SII]6725                        
 543363 Bias             17:42:59.99 +00:00:00.0 2000.00  13:48 1.189  WFC    0.0  180  [SII]6725                        
 543364 Flat field       17:42:59.99 -00:00:00.0 2000.00  13:55 1.200  WFC   15.1  180  [SII]6725                        
 543365 Flat field       17:43:00.00 -00:00:00.0 2000.00  14:02 1.212  WFC   15.1  180  [SII]6725                        
 543366 Bias              0:00:00.00 +00:00:00.0 2000.00  14:41 4.196  WFC    0.0  180  [SII]6725                        
 543367 Bias              0:00:00.00 +00:00:00.0 2000.00  15:27 4.196  WFC    0.0  180  i                                
 543368 Bias              0:00:00.00 +00:00:00.0 2000.00  15:27 4.196  WFC    0.0  180  i                                
 543369 Bias              0:00:00.00 +00:00:00.0 2000.00  15:28 4.196  WFC    0.0  180  i                                
 543370 Flat field        0:00:00.00 +00:00:00.0 2000.00  15:39 4.496  WFC    6.1  180  Halpha                           
 543371 Flat field        0:00:00.00 +00:00:00.0 2000.00  15:50 4.496  WFC    6.1  180  Halpha                           
 543372 Bias              0:00:00.00 +00:00:00.0 2000.00  16:30 4.496  WFC    0.0  180  Ha 6657                          
 543373 Bias              0:00:00.00 +00:00:00.0 2000.00  16:31 4.496  WFC    0.0  180  Ha 6657                          
 543374 Bias              0:00:00.00 +00:00:00.0 2000.00  16:31 4.496  WFC    0.0  180  Ha 6657                          
 543375 Bias              0:00:00.00 +00:00:00.0 2000.00  16:32 4.496  WFC    0.0  180  Ha 6657                          
 543376 Bias              0:00:00.00 +00:00:00.0 2000.00  16:32 4.496  WFC    0.0  180  Ha 6657                          
 543377 Bias              0:00:00.00 +00:00:00.0 2000.00  16:33 4.496  WFC    0.0  180  Ha 6657                          
 543378 Bias              0:00:00.00 +00:00:00.0 2000.00  16:34 4.496  WFC    0.0  180  Ha 6657                          
 543379 Bias              0:00:00.00 +00:00:00.0 2000.00  16:34 4.496  WFC    0.0  180  Ha 6657                          
 543380 Bias              0:00:00.00 +00:00:00.0 2000.00  16:35 4.496  WFC    0.0  180  Ha 6657                          
 543381 Bias              0:00:00.00 +00:00:00.0 2000.00  16:35 4.496  WFC    0.0  180  Ha 6657                          
 543382 Flat field        2:14:59.99 -10:00:00.1 2000.00  18:53 1.601  WFC   16.4  180  B                                
 543383 Flat field        2:15:00.67 -09:59:49.9 2000.00  18:55 1.593  WFC   50.2  180  B                                
 543384 Flat field        2:15:00.68 -09:59:49.9 2000.00  18:57 1.583  WFC   40.0  180  V                                
 543385 Flat field        2:15:00.68 -09:59:50.0 2000.00  18:58 1.573  WFC   57.3  180  V                                
 543386 Flat field        2:15:00.68 -09:59:50.0 2000.00  19:01 1.557  WFC   85.9  180  r                                
 543387 Focus run         0:53:59.99 +00:40:00.0 2000.00  19:19 1.147  WFC   20.1  180  r                                
 543388 sa92r             0:53:59.99 +00:39:59.9 2000.00  19:25 1.141  WFC   20.1  180  r                                
 543389 sa92r             0:54:00.00 +00:39:59.9 2000.00  19:27 1.140  WFC   20.1  180  r                                
 543390 sa92V             0:54:00.00 +00:40:00.0 2000.00  19:30 1.138  WFC   29.6  180  V                                
 543391 sa92V             0:53:59.99 +00:40:00.0 2000.00  19:31 1.138  WFC   40.1  180  V                                
 543392 sa92B             0:53:59.99 +00:40:00.0 2000.00  19:33 1.137  WFC   50.1  180  B                                
 543393 sa92B             0:54:00.00 +00:39:59.9 2000.00  19:35 1.136  WFC   60.1  180  B                                
 543394 n784tst           2:01:16.89 +28:50:13.9 2000.00  19:42 1.046  WFC   60.0  180  V                                
 543395 n784v             2:01:16.89 +28:50:14.0 2000.00  19:45 1.042  WFC   68.4  180  V                                strt guider aft, bad? so aborted
 543396 n784v             2:01:16.89 +28:50:14.0 2000.00  19:47 1.037  WFC  299.9  180  V                                
 543397 n784v             2:01:19.18 +28:50:44.0 2000.00  19:57 1.027  WFC  299.9  180  V                                
 543398 n784v             2:01:21.46 +28:51:14.0 2000.00  20:04 1.021  WFC  299.9  180  V                                
 543399 n784v             2:01:14.62 +28:49:43.9 2000.00  20:12 1.015  WFC  299.9  180  V                                
 543400 mkn996            1:27:35.50 -06:19:36.0 2000.00  20:21 1.221  WFC   30.0  180  V                                
 543401 mkn996v           1:27:35.50 -06:19:35.6 2000.00  20:29 1.221  WFC  299.9  180  V                                
 543402 mkn996v           1:27:35.49 -06:19:36.0 2000.00  20:35 1.223  WFC  299.9  180  V                                
 543403 mkn996b           1:27:35.50 -06:19:36.0 2000.00  20:44 1.226  WFC  299.9  180  B                                
 543404 mkn996b           1:27:35.50 -06:19:35.9 2000.00  20:50 1.230  WFC  300.0  180  B                                
 543405 mkn996b           1:27:35.49 -06:19:35.9 2000.00  20:56 1.234  WFC  299.9  180  B                                
 543406 mkn996v           1:27:35.49 -06:19:35.9 2000.00  21:02 1.240  WFC  299.9  180  V                                
 543407 mkn996r           1:27:35.49 -06:19:35.9 2000.00  21:08 1.246  WFC  299.9  180  r                                
 543408 mkn996r           1:27:35.50 -06:19:36.0 2000.00  21:14 1.253  WFC  299.9  180  r                                
 543409 mkn996r           1:27:35.50 -06:19:36.0 2000.00  21:19 1.261  WFC  300.0  180  r                                
 543410 mkn996v           1:27:35.50 -06:19:35.9 2000.00  21:26 1.270  WFC  299.9  180  V                                
 543411 n1023v            2:40:24.00 +39:03:48.0 2000.00  21:37 1.016  WFC  299.4  180  V                                
 543412 n1023v            2:40:21.42 +39:03:17.7 2000.00  21:44 1.017  WFC  299.9  180  V                                
 543413 n1023v            2:40:26.58 +39:04:17.9 2000.00  21:50 1.018  WFC  300.0  180  V                                
 543414 n1023v            2:40:21.42 +39:03:17.9 2000.00  21:58 1.020  WFC  300.0  180  V                                
 543415 n1023v            2:40:18.85 +39:02:48.0 2000.00  22:05 1.022  WFC  299.9  180  V                                
 543416 c139v             4:04:27.19 -02:11:18.9 2000.00  22:14 1.190  WFC  299.8  180  V                                
 543417 c139v             4:04:25.19 -02:11:49.0 2000.00  22:21 1.183  WFC  299.9  180  V                                
 543418 c139v             4:04:29.19 -02:10:49.0 2000.00  22:30 1.176  WFC  299.9  180  V                                
 543419 c139b             4:04:29.20 -02:10:48.9 2000.00  22:36 1.171  WFC  599.8  180  B                                
 543420 c139b             4:04:29.20 -02:10:48.9 2000.00  22:48 1.166  WFC  599.8  180  B                                
 543421 c139b             4:04:25.19 -02:11:48.9 2000.00  23:00 1.166  WFC  599.8  180  B                                
 543422 c139r             4:04:25.20 -02:11:49.0 2000.00  23:11 1.167  WFC  299.9  180  r                                
 543423 c139r             4:04:29.19 -02:10:48.9 2000.00  23:18 1.168  WFC   64.5  180  r                                
