INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 01 30 17:17

TELESCOPE             INT
DATE                  20070125
OBSERVER/S            PFLM/DW
PROGRAMME             Testing models for the progenitors of Type Ia SNe
PROPOSAL REF          P28
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    MH

TEL STATION / FOCUS    / 14
INSTRUMENT/S          IDS

SUNSET (UT)           18:52
EVENING TWILIGHT (UT) 20:06
MORNING TWILIGHT (UT) 06:41
SUNRISE (UT)          07:55
%ILLUM. LUNAR DISK    50
DARK TIME (HRS)       10:35
TWILIGHT TIME (HRS)   02:28
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          01:53

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00  -0.2   97    15.5  14.9  324   763.1   -0.2   6.2     9.8   97    67 
20:00  -0.8   95    15.7  17.8  307   763.5   -0.8   5.9     9.8   95    65 
21:00  -0.6   97    17.1  18.3  325   763.7   -0.6   5.7     9.8   97    67 
22:00  -0.5   97    12.3  15.8  316   763.7   -0.5   5.5     9.7   97    68 
23:00  -0.9   93    18.4  21.2  334   763.7   -0.9   5.1     9.7   93    66 
00:00  -0.6   83    14.6  18.2  322   763.6   -0.6   5.1     9.7   83    61 
01:00  -0.2   74    19.5  22.0  291   763.4   -0.2   3.1     8.5   74    67 
02:00  -0.9   93    12.9  14.1  278   763.2   -0.9   3.8     8.7   93    71 
03:00  -0.7   84    13.2  14.8  259   763.2   -0.7   4.1     8.6   84    67 
04:00  -0.4   76    15.6  17.8  272   762.9   -0.4   4.4     8.5   76    62 
05:00  -1.0   81    37.3  41.2  298   762.1   -1.0   4.2     8.4   81    65 
06:00  -0.1   75    29.9  31.4  295   762.1   -0.1   3.7     8.3   75    68 
07:00  -1.3   89    19.9  22.1  287   762.4   -1.3   4.0     8.2   89    67 

TIME LOST weather           10:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Cloud

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 547718 CuNeAr            0:00:00.00 +00:00:00.0 2007.067 13:06 1.000  IDS    4.0    0  Clear+Clear   2.0  65.9 5001.6   bin 3 3
 547719 CuNeAr            0:00:00.00 +00:00:00.0 2007.067 13:08 1.000  IDS    2.0    0  Clear+Clear   2.0  65.9 5001.6   bin 3 3
 547720 Bias             20:00:00.00 +19:59:59.9 2000.00  14:04 1.053  IDS    0.0    0  Clear+Clear   2.0  65.9 5001.6   
 547721 Bias             19:59:59.99 +19:59:59.9 2000.00  14:12 1.064  IDS    0.0    0  Clear+Clear   2.0  65.9 5001.6   
 547722 Arc              20:00:00.00 +20:00:00.0 2000.00  14:20 1.075  IDS   10.0    0  Clear+Clear   1.0  64.7 5992.1   
 547723 Arc              19:59:59.99 +20:00:00.0 2000.00  14:23 1.080  IDS   10.0    0  Clear+Clear   2.0  65.9 5009.8   
 547724 CuNeAr            0:00:00.00 +00:00:00.0 2000.00  14:42 1.000  IDS    4.0    0  Clear+Clear   2.0  65.9 5009.8   
 547725 CuNeAr            0:00:00.00 +00:00:00.0 2000.00  14:43 1.000  IDS    4.0    0  Clear+Clear   2.0  65.9 5001.6   
 547726 Hart L            0:00:00.00 +00:00:00.0 2000.00  14:57 1.000  IDS   80.0    0  Clear+Clear   2.0  65.9 5001.6   
 547727 Hart R            0:00:00.00 +00:00:00.0 2000.00  14:59 1.000  IDS   80.0    0  Clear+Clear   2.0  65.9 5001.6   
 547728 Hartman L         0:00:00.00 +00:00:00.0 2000.00  15:01 1.000  IDS    4.0    0  Clear+Clear   2.0  65.9 5001.6   
 547729 Hartman R         0:00:00.00 +00:00:00.0 2000.00  15:02 1.000  IDS    4.0    0  Clear+Clear   2.0  65.9 5001.6   
 547730 Hartnam R         0:00:00.00 +00:00:00.0 2000.00  15:14 1.000  IDS    4.0    0  Clear+Clear   2.0  65.9 5001.6   
 547731 Hartnam L         0:00:00.00 +00:00:00.0 2000.00  15:14 1.000  IDS    4.0    0  Clear+Clear   2.0  65.9 5001.6   
 547732 Hartman L         0:00:00.00 +00:00:00.0 2000.00  15:18 1.000  IDS    4.0    0  Clear+Clear   1.2  65.9 5001.6   
 547733 Hartman R         0:00:00.00 +00:00:00.0 2000.00  15:19 1.000  IDS    4.0    0  Clear+Clear   1.2  65.9 5001.6   
 547734 flat              0:00:00.00 +00:00:00.0 2000.00  15:23 1.000  IDS    4.0    0  Clear+Clear   1.2  65.9 5001.6   
 547735 flat              0:00:00.00 +00:00:00.0 2000.00  15:24 1.000  IDS    1.0    0  Clear+Clear   1.2  65.9 5001.6   
 547736 Flat field        0:00:00.00 +00:00:00.0 2000.00  15:52 1.000  IDS    1.0    0  Clear+Clear   1.2  65.9 5001.6   
 547737 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:19 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547738 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:19 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547739 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:19 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547740 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:20 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547741 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:20 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547742 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:21 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547743 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:21 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547744 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:21 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547745 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:22 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547746 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:22 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547747 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:23 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547748 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:23 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547749 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:23 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547750 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:24 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547751 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:24 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547752 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:25 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547753 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:25 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547754 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:25 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547755 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:26 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547756 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:26 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547757 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:34 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547758 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:34 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547759 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:35 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547760 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:35 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547761 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:35 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547762 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:36 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547763 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:36 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547764 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:37 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547765 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:37 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547766 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:37 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547767 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:38 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547768 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:38 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547769 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:39 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547770 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:39 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547771 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:39 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547772 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:40 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547773 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:40 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547774 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:41 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547775 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:41 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547776 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:41 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547777 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:49 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547778 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:49 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547779 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:50 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547780 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:50 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547781 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:50 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547782 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:51 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547783 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:51 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547784 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:52 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547785 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:52 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547786 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:52 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547787 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:53 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547788 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:53 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547789 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:54 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547790 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:54 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547791 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:54 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547792 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:55 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
