INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 02 24 07:11

TELESCOPE             INT
DATE                  20070223
OBSERVER/S            Jose A. Caballero
PROGRAMME             Young stars
PROPOSAL REF          INT15
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Miguel Santander

TEL STATION / FOCUS   Cassegrain  / 14.75
INSTRUMENT/S          IDS

SUNSET (UT)           19:14
EVENING TWILIGHT (UT) 20:25
MORNING TWILIGHT (UT) 06:24
SUNRISE (UT)          07:35
%ILLUM. LUNAR DISK    46
DARK TIME (HRS)       09:59
TWILIGHT TIME (HRS)   02:22
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          02:00

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   4.7   17    35.4  38.6  347   773.7    4.7   8.0    10.8   17    17 
21:00   4.7   23    43.7  45.8  348   773.9    4.7   7.4    10.7   23    22 
22:00   4.3   10    43.6  45.8  353   774.0    4.3   7.1    10.0   10    14 
23:00   3.1    7    42.0  44.8  355   773.9    3.1   4.9     9.7    7    12 
00:00   3.9    9    35.6  38.6  357   774.1    3.9   5.6     8.9    9    10 
01:00   3.8    9    33.6  35.8  347   773.9    3.8   6.4     9.1    9    11 
02:00   4.1   16    31.6  32.5  345   773.6    4.1   5.4     9.0   16    16 
03:00   3.1    5    35.2  38.7  354   773.0    3.1   5.4     9.3    5     9 
04:00   2.7    4    35.5  39.4  351   772.6    2.7   5.1     9.0    4     9 
05:00   2.5    3    33.2  34.4  255   772.4    2.5   5.7     9.2    3     9 
06:00   3.4    6    34.1  34.9  347   772.4    3.4   5.5     9.0    6    10 
07:00   1.8   64    35.5  37.0  356   772.7    1.8   5.4     9.1   64    46 

TIME LOST weather           00:00
TIME LOST Technical         00:50
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Wind ~40 km/h, very low humidity until after the twilight before sunrise. 0% cloud cover. No dust. Seeing: poor (~1.5 arcsec)

COMMENTS (causes of time lost, setup information eg CCD windows):
Problem the SDSU Autoguider on AG0 (see Fault Report)



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 550250 Bias              0:00:00.00 +00:00:00.0 2007.146 14:12 1.013  IDS    0.0  285  Clear+Clear   1.5  48.6 6297.9   
 550251 Bias             22:59:59.99 +20:00:00.0 2007.146 14:14 1.014  IDS    0.0  285  Clear+Clear   1.5  48.6 6297.9   
 550252 Arc              21:59:59.99 +19:59:59.9 2007.146 14:21 1.068  IDS   10.0  285  Clear+Clear   1.5  48.6 6297.9   
 550253 40EriB 10 focus1  4:12:54.63 -07:47:16.9 1950.00  19:35 1.248  IDS   10.0   10  Clear+Clear   1.5  48.6 6297.9   
 550254 40EriB 10 focus1  4:12:54.66 -07:47:16.6 1950.00  19:37 1.249  IDS   10.0   10  Clear+Clear   1.5  48.6 6297.9   
 550255 40EriB 10 focus1  4:12:54.68 -07:47:16.4 1950.00  19:39 1.250  IDS   10.0   10  Clear+Clear   1.5  48.6 6297.9   
 550256 40EriB 10 focus1  4:12:54.69 -07:47:16.4 1950.00  19:42 1.252  IDS   10.0   10  Clear+Clear   1.5  48.6 6297.9   
 550257 40EriB 10 focus1  4:12:54.68 -07:47:16.4 1950.00  19:44 1.254  IDS   10.0   10  Clear+Clear   1.5  48.6 6297.9   
 550258 40EriB CuAr+CuNe  4:12:54.68 -07:47:16.4 1950.00  19:46 1.256  IDS    2.0   15  Clear+Clear   1.5  48.6 6297.9   
 550259 40EriB 240s       4:12:54.64 -07:47:16.6 1950.00  19:52 1.263  IDS  240.0   15  Clear+Clear   1.5  48.6 6297.9   Very bad seeing
 550260 1650224 CuAr+CuN  5:37:28.66 -02:55:52.9 2000.00  20:00 1.189  IDS    2.0  350  Clear+Clear   1.5  48.6 6297.9   
 550261 1650224 180s      5:37:28.61 -02:55:52.6 2000.00  20:02 1.187  IDS  180.0  350  Clear+Clear   1.5  48.6 6297.9   
 550262 1275190 CuAr+CuN  5:38:29.70 -02:56:51.4 2000.00  20:08 1.184  IDS    2.0  350  Clear+Clear   1.5  48.6 6297.9   
 550263 1275190 180s      5:38:29.67 -02:56:52.7 2000.00  20:09 1.183  IDS  180.0  350  Clear+Clear   1.5  48.6 6297.9   
 550264 958292 CuAr+CuNe  5:37:45.60 -02:29:58.9 2000.00  20:17 1.173  IDS    2.0  355  Clear+Clear   1.5  48.6 6297.9   
 550265 958292 180s       5:37:45.68 -02:29:56.6 2000.00  20:19 1.172  IDS  180.0  355  Clear+Clear   1.5  48.6 6297.9   
 550266 945030 CuAr+CuNe  5:39:16.31 -02:22:20.4 2000.00  20:24 1.170  IDS    2.0  355  Clear+Clear   1.5  48.6 6297.9   
 550267 945030 240s       5:39:16.15 -02:22:21.5 2000.00  20:26 1.169  IDS  240.0  355  Clear+Clear   1.5  48.6 6297.9   
 550268 1107114 CuAr+CuN  5:39:52.50 -02:43:22.0 2000.00  20:34 1.172  IDS    2.0  359  Clear+Clear   1.5  48.6 6297.9   
 550269 1107114 240s      5:39:52.08 -02:43:20.9 2000.00  20:36 1.172  IDS  240.0  359  Clear+Clear   1.5  48.6 6297.9   Very close to 1110113
 550270 1110113 300s      5:39:52.74 -02:43:07.7 2000.00  20:42 1.173  IDS  300.0  359  Clear+Clear   1.5  48.6 6297.9   
 550271 931117 CuAr+CuNe  5:39:39.46 -02:43:09.2 2000.00  20:50 1.174  IDS    2.0    7  Clear+Clear   1.5  48.6 6297.9   
 550272 931117 240s       5:39:39.42 -02:43:08.6 2000.00  20:51 1.175  IDS  240.0    7  Clear+Clear   1.5  48.6 6297.9   
 550273 615296 CuAr+CuNe  5:38:07.89 -02:31:31.2 2000.00  20:58 1.175  IDS    2.0   10  Clear+Clear   1.5  48.6 6297.9   
 550274 615296 240s       5:38:07.89 -02:31:31.2 2000.00  20:59 1.177  IDS  240.0   10  Clear+Clear   1.5  48.6 6297.9   
 550275 521199 CuAr+CuNe  5:38:33.70 -02:44:14.0 2000.00  21:05 1.182  IDS    2.0   15  Clear+Clear   1.5  48.6 6297.9   
 550276 521199 240s       5:38:33.77 -02:44:14.3 2000.00  21:07 1.184  IDS  240.0   15  Clear+Clear   1.5  48.6 6297.9   
