INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 03 04 07:26

TELESCOPE             INT
DATE                  20070303
OBSERVER/S            Alan Fitzsimmons
PROGRAMME             NEO lightcurves
PROPOSAL REF          I/2007A/4
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.63
INSTRUMENT/S          WFC

SUNSET (UT)           19:19
EVENING TWILIGHT (UT) 20:30
MORNING TWILIGHT (UT) 06:16
SUNRISE (UT)          07:27
%ILLUM. LUNAR DISK      1
DARK TIME (HRS)       09:46
TWILIGHT TIME (HRS)   02:22
MOONRISE (UT)         Moon up all night
MOONSET (UT)          Moon up all night

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   5.2   29     9.8  10.3  161   772.8    5.2   6.6    11.8   29    33 
21:00   5.7   21     8.4   9.0  154   773.2    5.7   7.3    11.6   21    26 
22:00   7.3   12    13.2  13.6  158   773.6    7.3   7.9    11.4   12    17 
23:00   6.9   14     6.9   8.7  159   773.7    6.9   7.7    11.3   14    19 
00:00   6.5   17    19.9  21.5  171   773.3    6.5   7.8    10.7   17    20 
01:00   7.0    8    14.3  15.3  177   773.1    7.0   8.0    10.5    8    12 
02:00   6.6   10    11.8  13.5  176   772.7    6.6   7.8    10.6   10    14 
03:00   6.5   10     6.2   6.5  187   772.5    6.5   7.7    10.4   10    14 
04:00   5.8   11     8.8   9.0  179   772.1    5.8   7.2    10.4   11    15 
05:00   5.6   13    11.9  11.4  177   772.0    5.6   7.0     9.7   13    16 
06:00   5.6   11     9.1  10.0  201   772.5    5.6   6.8     9.5   11    15 
07:00   6.0   11     8.9   8.3  172   772.8    6.0   7.3    10.2   11    13 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Photometric most of night (small amount of occasional cirrus in morning), seeing 0.9-1.2 arcsec, lunar eclipse was lovely!

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 551894 Bias             19:00:00.00 +19:59:59.9 2007.168 11:00 1.085  WFC    0.0  180  z                                
 551895 Bias             18:59:59.99 +20:00:00.0 2007.168 11:21 1.124  WFC    0.0  180  z                                
 551896 Bias             19:00:00.00 +20:00:00.0 2007.168 11:25 1.132  WFC    0.0  180  z                                
 551897 Bias              0:00:00.00 +00:00:00.0 2007.168 11:27 1.138  WFC    0.0  180  z                                
 551898 Bias              0:00:00.00 +00:00:00.0 2007.168 11:29 1.138  WFC    0.0  180  z                                
 551899 Bias              0:00:00.00 +00:00:00.0 2007.168 11:35 4.329  WFC    0.0  180  z                                
 551900 Bias              0:00:00.00 +00:00:00.0 2007.168 11:36 4.329  WFC    0.0  180  z                                
 551901 Bias              0:00:00.00 +00:00:00.0 2007.169 18:55 4.329  WFC    0.0  180  z                                
 551902 Bias              0:00:00.00 +00:00:00.0 2007.169 19:12 1.000  WFC    0.0  180  z                                
 551903 Bias              0:00:00.00 +00:00:00.0 2007.169 19:12 1.000  WFC    0.0  180  z                                
 551904 Bias              0:00:00.00 +00:00:00.0 2007.169 19:13 1.000  WFC    0.0  180  z                                
 551905 Bias              0:00:00.00 +00:00:00.0 2007.169 19:13 1.000  WFC    0.0  180  z                                
 551906 Bias              0:00:00.00 +00:00:00.0 2007.169 19:14 1.000  WFC    0.0  180  z                                
 551907 Bias              0:00:00.00 +00:00:00.0 2007.169 19:14 1.000  WFC    0.0  180  z                                
 551908 Bias              0:00:00.00 +00:00:00.0 2007.169 19:15 1.000  WFC    0.0  180  z                                
 551909 Bias              0:00:00.00 +00:00:00.0 2007.169 19:15 1.000  WFC    0.0  180  z                                
 551910 Bias              0:00:00.00 +00:00:00.0 2007.169 19:15 1.000  WFC    0.0  180  z                                
 551911 Bias              0:00:00.00 +00:00:00.0 2007.169 19:16 1.000  WFC    0.0  180  z                                
 551912 Flat field        5:55:59.99 +04:08:59.9 2000.00  19:28 1.130  WFC    3.0  180  z                                
 551913 Flat field        5:55:59.99 +04:09:00.0 2000.00  19:29 1.129  WFC    5.0  180  z                                
 551914 Flat field        5:56:01.34 +04:09:19.9 2000.00  19:30 1.128  WFC    4.6  180  z                                
 551915 Flat field        5:56:01.33 +04:08:40.0 2000.00  19:31 1.127  WFC    4.8  180  z                                
 551916 Flat field        5:55:58.65 +04:08:39.9 2000.00  19:33 1.125  WFC   10.1  180  z                                
 551917 Flat field        5:55:58.66 +04:08:39.9 2000.00  19:34 1.124  WFC    3.6  180  r                                
 551918 Flat field        5:56:01.34 +04:08:39.9 2000.00  19:35 1.123  WFC    4.9  180  r                                
 551919 Flat field        5:56:01.34 +04:09:20.0 2000.00  19:36 1.122  WFC    4.8  180  r                                
 551920 Flat field        5:56:00.00 +04:09:00.0 2000.00  19:37 1.121  WFC    6.1  180  r                                
 551922 Flat field        5:55:59.99 +04:09:00.0 2000.00  19:39 1.119  WFC   10.1  180  i                                
 551923 Flat field        5:56:01.33 +04:09:20.0 2000.00  19:40 1.118  WFC   12.1  180  i                                
 551924 Flat field        5:56:01.33 +04:08:39.9 2000.00  19:41 1.117  WFC   16.3  180  i                                
 551925 Flat field        5:55:58.66 +04:08:39.9 2000.00  19:42 1.116  WFC   20.4  180  i                                
 551926 Flat field        5:55:58.66 +04:08:19.9 2000.00  19:43 1.115  WFC   27.1  180  i                                
 551927 Focus run         6:51:52.99 -00:20:24.0 2000.00  19:56 1.226  WFC    9.6  180  r                                
 551928 sa98562           6:51:53.00 -00:20:24.0 2000.00  20:03 1.209  WFC   10.1  180  r                                
 551929 sa98562           6:51:53.00 -00:20:24.0 2000.00  20:04 1.207  WFC    9.5  180  i                                
 551930 sa98562           6:51:53.00 -00:20:24.0 2000.00  20:06 1.204  WFC   20.1  180  V                                
 551931 sa98562           6:51:52.99 -00:20:24.0 2000.00  20:13 1.193  WFC   30.1  180  z                                
 551932 sa95107           3:53:24.99 +00:01:40.0 2000.00  20:16 1.305  WFC   19.6  180  r                                
 551933 sa95107           3:53:25.00 +00:01:39.9 2000.00  20:18 1.311  WFC   20.1  180  i                                
 551934 sa95107           3:53:25.00 +00:01:40.0 2000.00  20:19 1.315  WFC   30.1  180  V                                
 551936 2000ee104         9:27:32.34 +33:47:56.9 2000.00  20:27 1.388  WFC   27.1  180  r                                
 551937 2000ee104         9:27:32.34 +33:47:56.9 2000.00  20:28 1.383  WFC   27.1  180  r                                
 551938 2000ee104         9:27:32.33 +33:47:57.0 2000.00  20:29 1.379  WFC   27.1  180  r                                
 551939 2000ee104         9:27:32.34 +33:47:56.9 2000.00  20:30 1.374  WFC   27.1  180  r                                
 551940 2000ee104         9:27:32.34 +33:47:57.0 2000.00  20:33 1.362  WFC   27.1  180  r                                
 551941 2000ee104         9:27:32.34 +33:47:56.9 2000.00  20:34 1.357  WFC   27.1  180  r                                
 551942 2000ee104         9:27:32.33 +33:47:57.1 2000.00  20:35 1.353  WFC   27.1  180  r                                
 551943 2000ee104         9:27:32.34 +33:47:57.0 2000.00  20:36 1.349  WFC   27.1  180  r                                
 551944 2007da            9:47:14.26 +23:41:43.0 2000.00  20:39 1.491  WFC   32.1  180  r                                
 551945 2007da            9:47:14.25 +23:41:43.0 2000.00  20:40 1.485  WFC   32.1  180  r                                
 551946 2007da            9:47:14.26 +23:41:43.0 2000.00  20:41 1.479  WFC   32.1  180  r                                
 551947 2007da            9:47:14.26 +23:41:42.9 2000.00  20:42 1.472  WFC   32.1  180  r                                
 551948 2000ee104         9:27:32.34 +33:47:56.8 2000.00  20:46 1.307  WFC   27.1  180  r                                
 551949 2000ee104         9:27:32.33 +33:47:57.0 2000.00  20:47 1.303  WFC   27.1  180  r                                
 551950 2000ee104         9:27:32.33 +33:47:57.0 2000.00  20:48 1.299  WFC   26.6  180  r                                
 551951 2000ee104         9:27:32.34 +33:47:57.0 2000.00  20:49 1.296  WFC   27.1  180  r                                
 551952 2000ee104         9:27:32.34 +33:47:57.0 2000.00  20:50 1.290  WFC   27.1  180  i                                
