INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 03 07 07:11

TELESCOPE             INT
DATE                  20070306
OBSERVER/S            Alan Fitzsimmons
PROGRAMME             NEO lightcurves
PROPOSAL REF          I/2007A/4
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Ian Hunter

TEL STATION / FOCUS   Prime  / 43.55
INSTRUMENT/S          WFC

SUNSET (UT)           19:21
EVENING TWILIGHT (UT) 20:32
MORNING TWILIGHT (UT) 06:13
SUNRISE (UT)          07:24
%ILLUM. LUNAR DISK    92
DARK TIME (HRS)       09:41
TWILIGHT TIME (HRS)   02:22
MOONRISE (UT)         21:29
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  10.5   28    43.2  48.1    0   777.5   10.5  11.9    13.2   28    32 
21:00  10.8   23    42.7  57.3    0   777.8   10.8  11.9    13.3   23    28 
22:00  10.9   22    47.9  61.9  100   778.2   10.9  11.9    13.3   22    25 
23:00  10.3   19    44.9  55.9  102   778.3   10.3  11.3    13.1   19    23 
00:00  10.2   21    44.7  52.8  100   778.1   10.2  11.5    12.9   21    25 
01:00  10.1   27    39.0  47.8  108   778.1   10.1  11.1    12.8   27    32 
02:00  10.0   30    46.0  51.2  106   777.8   10.0  10.9    12.7   30    35 
03:00   9.8   31    30.0  40.1  117   777.4    9.8  10.7    12.5   31    36 
04:00  10.9   17    41.4  52.6  126   777.0   10.9  11.1    12.5   17    26 
06:00  10.7    5    39.0  46.6  110   777.4   10.7  11.3    12.6    5    11 
07:00  10.9    4    33.4  38.5  122   778.0   10.9  11.3    12.5    4     7 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Cirrus at start, 40-50km/h winds for most of night, seeing highly variable 0.7-1.2 arcsec on short timescales.

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 553310 Bias frame        0:00:00.00 +00:00:00.0 2007.177 14:44 1.000  WFC    0.0  180  g                                
 553311 Flat field        0:00:00.00 +00:00:00.0 2007.177 14:49 1.000  WFC    4.1  180  g                                
 553312 Flat field        0:00:00.00 +00:00:00.0 2007.177 14:55 1.000  WFC    1.5  180  g                                
 553313 Bias              0:00:00.00 +00:00:00.0 2007.177 18:52 1.000  WFC    0.0  180  r                                
 553314 Bias              0:00:00.00 +00:00:00.0 2007.177 18:54 1.000  WFC    0.0  180  r                                
 553315 Bias              0:00:00.00 +00:00:00.0 2007.177 18:55 1.000  WFC    0.0  180  r                                
 553316 Bias              0:00:00.00 +00:00:00.0 2007.177 18:55 1.000  WFC    0.0  180  r                                
 553317 Bias              0:00:00.00 +00:00:00.0 2007.177 18:56 1.000  WFC    0.0  180  r                                
 553318 Bias              0:00:00.00 +00:00:00.0 2007.177 18:56 1.000  WFC    0.0  180  r                                
 553319 Bias              0:00:00.00 +00:00:00.0 2007.177 18:57 1.000  WFC    0.0  180  r                                
 553320 Bias              0:00:00.00 +00:00:00.0 2007.177 18:57 1.000  WFC    0.0  180  r                                
 553321 Bias              0:00:00.00 +00:00:00.0 2007.177 18:58 1.000  WFC    0.0  180  r                                
 553322 Bias              0:00:00.00 +00:00:00.0 2007.177 18:58 1.000  WFC    0.0  180  r                                
 553323 Bias              0:00:00.00 +00:00:00.0 2007.177 18:59 1.000  WFC    0.0  180  r                                
 553324 Flat field        7:06:59.99 +01:20:00.0 2000.00  19:35 1.257  WFC    2.9  180  V                                
 553325 Flat field        7:07:00.00 +01:19:59.9 2000.00  19:37 1.254  WFC    3.4  180  V                                
 553326 Flat field        7:07:01.33 +01:19:59.9 2000.00  19:38 1.251  WFC    4.3  180  V                                
 553327 Flat field        7:07:01.33 +01:20:20.0 2000.00  19:39 1.249  WFC    4.8  180  V                                
 553328 Flat field        0:00:00.00 +00:00:00.0 2000.00  19:40 1.246  WFC    7.2  180  V                                
 553329 Flat field        7:06:59.99 +01:20:19.9 2000.00  19:41 1.242  WFC    8.1  180  r                                
 553330 Flat field        7:06:59.99 +01:19:59.9 2000.00  19:42 1.239  WFC   11.5  180  r                                
 553331 Flat field        7:07:01.33 +01:20:19.8 2000.00  19:44 1.236  WFC   16.0  180  r                                
 553332 Flat field        7:06:58.68 +01:19:40.0 2000.00  19:45 1.233  WFC   21.5  180  r                                
 553333 Flat field        7:06:58.66 +01:20:20.0 2000.00  19:47 1.229  WFC   32.4  180  r                                
 553334 Focus run         6:51:53.00 -00:20:23.9 2000.00  20:02 1.193  WFC    4.5  180  r                                
 553335 Focus run         6:51:52.99 -00:20:24.1 2000.00  20:08 1.184  WFC    5.1  180  r                                
 553336 2000ee104         9:15:37.37 +33:50:58.8 2000.00  20:13 1.346  WFC   28.1  180  r                                
 553337 2000ee104         9:15:37.37 +33:50:58.7 2000.00  20:14 1.341  WFC   28.1  180  r                                
 553338 2000ee104         9:15:37.37 +33:50:58.7 2000.00  20:15 1.337  WFC   28.0  180  r                                
 553339 2000ee104         9:15:37.38 +33:50:58.9 2000.00  20:16 1.333  WFC   28.1  180  r                                
 553340 2000ee104         9:15:37.38 +33:50:58.8 2000.00  20:17 1.328  WFC   28.1  180  r                                
 553341 2000ee104         9:15:37.38 +33:50:58.8 2000.00  20:18 1.324  WFC   27.5  180  r                                
 553342 2000ee104         9:15:37.38 +33:50:58.9 2000.00  20:19 1.320  WFC   28.1  180  r                                
 553343 2000ee104         9:15:37.37 +33:50:58.6 2000.00  20:20 1.316  WFC   28.1  180  r                                
 553344 2007da            9:39:11.39 +23:35:25.2 2000.00  20:24 1.465  WFC   40.6  180  r                                
 553345 2007da            9:39:11.39 +23:35:25.3 2000.00  20:25 1.458  WFC   41.1  180  r                                
 553346 2007da            9:39:11.38 +23:35:25.2 2000.00  20:26 1.451  WFC   41.0  180  r                                
 553347 2007da            9:39:11.39 +23:35:25.3 2000.00  20:27 1.445  WFC   41.1  180  r                                
 553348 2007da            9:39:11.38 +23:35:25.2 2000.00  20:28 1.438  WFC   40.5  180  r                                
 553349 2007da            9:39:11.39 +23:35:25.3 2000.00  20:29 1.431  WFC   41.0  180  r                                
 553350 2007da            9:39:11.38 +23:35:25.3 2000.00  20:31 1.425  WFC   40.5  180  r                                
 553351 2007da            9:39:11.40 +23:35:25.2 2000.00  20:32 1.418  WFC   41.1  180  r                                
 553352 2000ee104         9:15:37.38 +33:50:59.0 2000.00  20:34 1.261  WFC   28.1  180  r                                
 553353 2000ee104         9:15:37.38 +33:50:58.9 2000.00  20:35 1.258  WFC   27.6  180  r                                
 553354 2000ee104         9:15:37.37 +33:50:58.9 2000.00  20:36 1.254  WFC   28.1  180  r                                
 553355 2000ee104         9:15:37.37 +33:50:58.8 2000.00  20:37 1.251  WFC   28.1  180  r                                
 553356 2007da            9:39:11.39 +23:35:25.4 2000.00  20:39 1.380  WFC   40.5  180  r                                
 553357 2007da            9:39:11.39 +23:35:25.2 2000.00  20:40 1.374  WFC   41.1  180  r                                
