INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 03 11 07:19

TELESCOPE             INT
DATE                  20070310
OBSERVER/S            Ignasi, Maceroni, Rosenberg
PROGRAMME             C85 / CAT Service
PROPOSAL REF          CAT S
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Santander

TEL STATION / FOCUS   Prime  / 43.57
INSTRUMENT/S          WFC

SUNSET (UT)           19:23
EVENING TWILIGHT (UT) 20:35
MORNING TWILIGHT (UT) 06:08
SUNRISE (UT)          07:20
%ILLUM. LUNAR DISK    62
DARK TIME (HRS)       09:33
TWILIGHT TIME (HRS)   02:24
MOONRISE (UT)         01:12
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  11.7    7     5.7   5.9  119   774.9   11.7  13.4    15.7    7    11 
21:00  11.7    5     4.9   5.5  104   775.3   11.7  12.7    15.2    5    10 
22:00  11.7    5     3.0   4.2  128   775.6   11.7  12.6    15.3    5     9 
23:00  11.7    5     5.9   6.2  196   775.8   11.7  12.1    14.3    5    13 
00:00   9.5   18     9.4   9.9  307   775.4    9.5  10.9    14.3   18    22 
01:00   9.9   11     7.5   7.9  326   774.9    9.9  10.8    13.6   11    16 
02:00   9.5    8    12.9  13.0  334   774.6    9.5  10.4    13.4    8    19 
03:00   9.8    4    16.2  16.9  343   774.1    9.8  10.6    13.6    4     9 
04:00   9.6    3    16.4  16.8  354   773.8    9.6   9.9    12.7    3     8 
05:00   9.7    2    15.9  16.6    0   773.4    9.7   9.9    12.8    2     6 
06:00   9.9    2    16.6  17.8  356   773.4    9.9   9.9    12.8    2     7 
07:00   9.6    6    16.1  16.6  351   773.6    9.6  10.0    13.5    6     9 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Dusty at the begining of the night. Good seeing in general: 1.0-1.3". Photometric.

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 554183 Bias              1:59:59.99 +20:00:00.0 2007.188 16:45 1.029  WFC    0.0  180  stromgren v                      
 554184 Arc               0:00:00.00 +00:00:00.0 2007.188 16:53 2.471  WFC    6.1  180  r                                
 554185 Arc               0:00:00.00 +00:00:00.0 2007.188 16:57 4.066  WFC    2.1  180  r                                
 554186 Arc               0:00:00.00 +00:00:00.0 2007.188 16:59 4.066  WFC    2.1  180  stromgren y                      
 554187 Bias              0:00:00.00 +00:00:00.0 2007.188 18:00 4.066  WFC    0.0  180  r                                
 554188 Bias              0:00:00.00 +00:00:00.0 2007.188 18:01 4.066  WFC    0.0  180  r                                
 554189 Bias              0:00:00.00 +00:00:00.0 2007.188 18:01 4.066  WFC    0.0  180  r                                
 554190 Bias              0:00:00.00 +00:00:00.0 2007.188 18:02 4.066  WFC    0.0  180  r                                
 554191 Bias              0:00:00.00 +00:00:00.0 2007.188 18:02 4.066  WFC    0.0  180  r                                
 554192 Bias              0:00:00.00 +00:00:00.0 2007.188 18:03 4.066  WFC    0.0  180  r                                
 554193 Bias              0:00:00.00 +00:00:00.0 2007.188 18:03 4.066  WFC    0.0  180  r                                
 554194 Bias              0:00:00.00 +00:00:00.0 2007.188 18:04 4.066  WFC    0.0  180  r                                
 554195 Bias              0:00:00.00 +00:00:00.0 2007.188 18:04 4.066  WFC    0.0  180  r                                
 554196 Bias              0:00:00.00 +00:00:00.0 2007.188 18:05 4.066  WFC    0.0  180  r                                
 554197 Bias              0:00:00.00 +00:00:00.0 2007.188 18:05 4.066  WFC    0.0  180  r                                
 554198 Bias              0:00:00.00 +00:00:00.0 2007.188 18:06 4.066  WFC    0.0  180  r                                
 554199 Bias              0:00:00.00 +00:00:00.0 2007.188 18:06 4.066  WFC    0.0  180  r                                
 554200 Bias              0:00:00.00 +00:00:00.0 2007.188 18:07 4.066  WFC    0.0  180  r                                
 554201 Bias              0:00:00.00 +00:00:00.0 2007.188 18:07 4.066  WFC    0.0  180  r                                
 554202 Bias              0:00:00.00 +00:00:00.0 2007.188 18:08 4.066  WFC    0.0  180  r                                
 554203 Bias              0:00:00.00 +00:00:00.0 2007.188 18:08 4.066  WFC    0.0  180  r                                
 554204 Bias              0:00:00.00 +00:00:00.0 2007.188 18:09 4.066  WFC    0.0  180  r                                
 554205 Bias              0:00:00.00 +00:00:00.0 2007.188 18:09 4.066  WFC    0.0  180  r                                
 554206 Bias              0:00:00.00 +00:00:00.0 2007.188 18:10 4.066  WFC    0.0  180  r                                
 554207 Flat u            9:13:49.00 +46:13:58.0 2000.00  19:28 1.461  WFC    3.6  180  stromgren u                      
 554208 Flat u            9:13:49.00 +46:13:57.9 2000.00  19:29 1.456  WFC    4.1  180  stromgren u                      
 554209 Flat u            9:13:48.99 +46:13:57.9 2000.00  19:30 1.450  WFC    4.2  180  stromgren u                      
 554210 Flat v            9:13:49.00 +46:13:58.0 2000.00  19:32 1.443  WFC    3.6  180  stromgren v                      
 554211 Flat v            9:13:50.93 +46:14:17.9 2000.00  19:33 1.436  WFC    3.2  180  stromgren v                      
 554212 Flat v            9:13:50.92 +46:13:38.0 2000.00  19:34 1.430  WFC    5.1  180  stromgren v                      
 554213 Flat b            9:13:48.99 +46:13:58.0 2000.00  19:36 1.424  WFC    4.1  180  stromgren b                      
 554214 Flat b            9:13:50.92 +46:14:17.9 2000.00  19:37 1.418  WFC    5.1  180  stromgren b                      
 554215 Flat b            9:13:50.92 +46:13:38.0 2000.00  19:38 1.413  WFC    5.6  180  stromgren b                      
 554216 Flat y            9:13:49.00 +46:13:57.9 2000.00  19:40 1.407  WFC   15.1  180  stromgren y                      
 554217 Flat y            9:13:50.92 +46:14:17.9 2000.00  19:41 1.400  WFC   23.1  180  stromgren y                      
 554218 Flat y            9:13:50.92 +46:13:37.9 2000.00  19:43 1.392  WFC   40.1  180  stromgren y                      
 554219 Flat r            9:13:48.99 +46:13:57.9 2000.00  19:45 1.386  WFC    7.9  180  r                                
 554220 Flat r            9:13:50.93 +46:14:17.9 2000.00  19:46 1.382  WFC   11.1  180  r                                
 554221 Flat r            9:13:50.93 +46:13:38.0 2000.00  19:47 1.376  WFC   16.1  180  r                                
 554223 Flat i            9:13:48.99 +46:13:58.0 2000.00  19:49 1.368  WFC   19.1  180  i                                
 554224 Flat i            9:13:50.92 +46:14:17.9 2000.00  19:51 1.363  WFC   25.1  180  i                                
 554225 Flat i            9:13:50.92 +46:13:37.9 2000.00  19:53 1.355  WFC   40.0  180  i                                
 554226 Focus run         5:57:37.30 +00:13:44.0 2000.00  20:09 1.139  WFC   20.1  180  i                                
 554227 FieldS12 y        6:46:19.19 -03:03:16.3 2000.00  20:26 1.181  WFC   12.1  180  stromgren y                      
 554228 FieldS12 b        6:46:19.21 -03:03:16.3 2000.00  20:26 1.180  WFC   25.1  180  stromgren b                      
 554229 FieldS12 v        6:46:19.20 -03:03:16.2 2000.00  20:28 1.180  WFC   25.1  180  stromgren v                      
 554230 FieldS12 u        6:46:19.19 -03:03:16.2 2000.00  20:29 1.179  WFC  120.1  180  stromgren u                      
 554231 FieldS9 y         6:46:12.39 -02:42:38.3 2000.00  20:33 1.174  WFC   12.0  180  stromgren y                      
 554232 FieldS9 b         6:46:12.39 -02:42:38.2 2000.00  20:34 1.174  WFC   17.5  180  stromgren b                      
 554233 FieldS9 v         6:46:12.40 -02:42:38.2 2000.00  20:35 1.173  WFC   25.1  180  stromgren v                      
 554234 FieldS9 u         6:46:12.39 -02:42:38.2 2000.00  20:36 1.173  WFC  120.0  180  stromgren u                      
 554235 FieldS6 y         6:46:03.70 -02:22:54.5 2000.00  20:40 1.168  WFC   12.1  180  stromgren y                      
 554236 FieldS6 b         6:46:03.70 -02:22:54.6 2000.00  20:40 1.168  WFC   18.1  180  stromgren b                      
 554237 FieldS6 v         6:46:03.70 -02:22:54.5 2000.00  20:41 1.168  WFC   25.1  180  stromgren v                      
 554238 FieldS6 u         6:46:03.69 -02:22:54.5 2000.00  20:43 1.168  WFC  120.0  180  stromgren u                      
 554239 FieldS3 y         6:45:41.09 -02:02:29.2 2000.00  20:46 1.164  WFC   12.0  180  stromgren y                      
 554240 FieldS3 b         6:45:41.10 -02:02:29.2 2000.00  20:47 1.164  WFC   18.1  180  stromgren b                      
 554241 FieldS3 v         6:45:41.10 -02:02:29.2 2000.00  20:48 1.164  WFC   25.0  180  stromgren v                      
 554242 FieldS3 u         6:45:41.09 -02:02:29.2 2000.00  20:49 1.164  WFC  119.5  180  stromgren u                      
 554243 FieldS11 y        6:47:51.70 -02:59:32.4 2000.00  20:52 1.176  WFC   12.1  180  stromgren y                      
 554244 FieldS11 b        6:47:51.70 -02:59:32.4 2000.00  20:53 1.176  WFC   18.1  180  stromgren b                      
 554245 FieldS11 v        6:47:51.70 -02:59:32.3 2000.00  20:55 1.176  WFC   24.5  180  stromgren v                      
 554246 FieldS11 u        6:47:51.70 -02:59:32.4 2000.00  20:56 1.177  WFC  120.1  180  stromgren u                      
 554247 FieldS8 y         6:47:44.40 -02:39:21.3 2000.00  20:59 1.173  WFC   12.1  180  stromgren y                      
 554248 FieldS8 b         6:47:44.40 -02:39:21.4 2000.00  21:00 1.174  WFC   17.5  180  stromgren b                      
 554249 FieldS8 v         6:47:44.39 -02:39:21.3 2000.00  21:01 1.174  WFC   25.1  180  stromgren v                      
 554250 FieldS8 u         6:47:44.40 -02:39:21.4 2000.00  21:02 1.175  WFC  120.0  180  stromgren u                      
 554251 FieldS5 y         6:47:35.40 -02:19:10.4 2000.00  21:05 1.171  WFC   11.6  180  stromgren y                      
 554252 FieldS5 b         6:47:35.39 -02:19:10.3 2000.00  21:06 1.172  WFC   17.5  180  stromgren b                      
 554253 FieldS5 v         6:47:35.39 -02:19:10.3 2000.00  21:07 1.172  WFC   25.1  180  stromgren v                      
 554254 FieldS5 u         6:47:35.39 -02:19:10.2 2000.00  21:08 1.173  WFC  120.0  180  stromgren u                      
