INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 06 06 15:25

TELESCOPE             INT
DATE                  20070518
OBSERVER/S            R. Barrena
PROGRAMME             Galaxy Clusters
PROPOSAL REF          C87
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:04
EVENING TWILIGHT (UT) 21:26
MORNING TWILIGHT (UT) 04:49
SUNRISE (UT)          06:11
%ILLUM. LUNAR DISK    7
DARK TIME (HRS)       07:23
TWILIGHT TIME (HRS)   02:44
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          22:26

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  11.8   30    22.5  23.6   36   776.0   11.8  14.5    14.5   30    23 
22:00  11.2   32    21.0  24.9   35   776.3   11.2  13.1    14.3   32    27 
23:00  11.5   31    33.3  35.6   41   776.5   11.5  13.0    14.1   31    26 
00:00  11.6   28    29.6  30.6   48   777.0   11.6  13.0    14.0   28    26 
01:00  11.5   34    25.9  27.1   32   777.1   11.5  12.8    13.8   34    28 
02:00  11.5   36    28.3  29.8   44   776.8   11.5  12.5    13.9   36    32 
03:00  13.0   31    19.0  24.7   51   776.4   13.0  12.8    13.8   31    30 
04:00  12.0   35    19.9  25.2   41   775.9   12.0  12.7    13.7   35    30 
05:00  12.2   38    20.3  21.9   39   775.6   12.2  12.7    13.6   38    33 
06:00  11.3   42    22.2  25.2   34   775.3   11.3  12.7    13.6   42    36 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):


COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 561386 Bias              0:00:00.00 +00:00:00.0 2007.376 13:04 1.397  WFC    0.0  180  Halpha                           
 561387 Flat field        0:00:00.00 +00:00:00.0 2007.376 13:08 4.525  WFC   15.1  180  Halpha                           
 561388 Flat field        0:00:00.00 +00:00:00.0 2007.376 13:09 4.525  WFC    6.1  180  Halpha                           
 561389 Bias              0:00:00.00 +00:00:00.0 2007.377 19:42 1.000  WFC    0.0  180  Halpha                           bad bias (readout speed fast)
 561390 Bias              0:00:00.00 +00:00:00.0 2007.377 19:42 1.000  WFC    0.0  180  Halpha                           bad bias
 561391 Bias              0:00:00.00 +00:00:00.0 2007.377 19:43 1.000  WFC    0.0  180  Halpha                           bad bias
 561392 Bias              0:00:00.00 +00:00:00.0 2007.377 19:43 1.000  WFC    0.0  180  Halpha                           bad bias
 561393 Bias              0:00:00.00 +00:00:00.0 2007.377 19:44 1.000  WFC    0.0  180  Halpha                           bad bias
 561394 Bias              0:00:00.00 +00:00:00.0 2007.377 19:44 1.000  WFC    0.0  180  Halpha                           bad bias
 561395 Bias              0:00:00.00 +00:00:00.0 2007.377 19:44 1.000  WFC    0.0  180  Halpha                           bad bias
 561396 Bias              0:00:00.00 +00:00:00.0 2007.377 19:45 1.000  WFC    0.0  180  Halpha                           bad bias
 561397 Bias              0:00:00.00 +00:00:00.0 2007.377 19:45 1.000  WFC    0.0  180  Halpha                           bad bias
 561398 Bias              0:00:00.00 +00:00:00.0 2007.377 19:46 1.000  WFC    0.0  180  Halpha                           bad bias
 561399 FlatV             9:13:49.00 +46:13:58.0 2000.00  20:17 1.109  WFC    2.1  180  V                                
 561400 FlatV             9:13:49.96 +46:14:08.0 2000.00  20:19 1.112  WFC    3.1  180  V                                
 561401 FlatV             9:13:50.93 +46:14:18.0 2000.00  20:20 1.114  WFC    4.6  180  V                                
 561402 FlatV             9:13:48.03 +46:14:18.0 2000.00  20:22 1.116  WFC    6.1  180  V                                
 561403 FlatV             9:13:48.03 +46:13:38.0 2000.00  20:23 1.118  WFC    8.1  180  V                                
 561404 FlatI             9:13:49.00 +46:13:57.9 2000.00  20:25 1.120  WFC   10.1  180  i                                
 561405 FlatI             9:13:49.96 +46:14:08.0 2000.00  20:26 1.122  WFC   13.1  180  i                                
 561406 FlatI             9:13:48.03 +46:13:48.1 2000.00  20:28 1.125  WFC   16.1  180  i                                
 561407 FlatI             9:13:50.92 +46:13:48.0 2000.00  20:29 1.127  WFC   20.1  180  i                                
 561408 FlatI             9:13:47.06 +46:14:07.9 2000.00  20:32 1.132  WFC   38.1  180  i                                
 561409 FlatR             9:13:47.07 +46:14:07.9 2000.00  20:34 1.136  WFC   70.0  180  R                                
 561410 FlatR             9:13:49.00 +46:13:57.9 2000.00  20:37 1.140  WFC  100.0  180  R                                
 561411 FlatR             9:13:50.92 +46:14:17.9 2000.00  20:39 1.146  WFC  200.0  180  R                                
 561412 EM0922 B 30 30    9:22:07.72 +75:00:29.9 2000.00  21:01 1.524  WFC   96.3  180  B                                bad guide
 561413 EM0922 B 30 30    9:22:07.72 +75:00:30.0 2000.00  21:07 1.538  WFC  599.7  180  B                                
 561414 EM0922 R 30 30    9:22:07.72 +75:00:29.9 2000.00  21:19 1.552  WFC  299.9  180  R                                
 561415 EM0922 R 0 0      9:21:59.99 +74:59:59.9 2000.00  21:27 1.564  WFC  300.0  180  R                                
 561416 EM0922 R 0 30     9:21:59.99 +75:00:30.0 2000.00  21:34 1.576  WFC  299.9  180  R                                
 561417 A2163 V 0 20     16:15:34.10 -06:07:20.0 2000.00  21:57 2.296  WFC   37.0  180  V                                bad guide
 561418 A2163 V 0 20     16:15:34.10 -06:07:00.0 2000.00  22:01 2.187  WFC  361.6  180  V                                low shutter
 561419 PG1525 B         15:28:13.00 -07:15:59.0 2000.00  22:18 1.626  WFC   30.1  180  B                                
 561420 PG1525 B         15:28:12.99 -07:15:59.0 2000.00  22:20 1.618  WFC   30.1  180  B                                
 561421 PG1525 V         15:28:13.00 -07:15:59.0 2000.00  22:22 1.605  WFC   30.1  180  V                                high readout noise
 561422 PG1525 V         15:28:13.00 -07:15:58.9 2000.00  22:23 1.597  WFC   30.1  180  V                                high readout noise
 561423 PG1525 B         15:28:12.99 -07:15:58.9 2000.00  22:26 1.582  WFC   29.5  180  B                                
 561424 PG1525 V         15:28:12.99 -07:15:58.9 2000.00  22:29 1.564  WFC   30.1  180  V                                
 561425 PG1525 V         15:28:12.99 -07:15:58.9 2000.00  22:30 1.557  WFC   30.1  180  V                                
 561426 PG1525 R         15:28:13.00 -07:15:58.9 2000.00  22:32 1.545  WFC   15.1  180  R                                
 561427 PG1525 R         15:28:13.00 -07:15:59.0 2000.00  22:33 1.539  WFC   15.1  180  R                                
 561428 PG1525 I         15:28:13.00 -07:15:59.0 2000.00  22:35 1.531  WFC    9.5  180  i                                
 561429 PG1525 I         15:28:12.99 -07:15:59.0 2000.00  22:36 1.526  WFC   10.1  180  i                                
 561430 A2163 V 0 30     16:15:34.09 -06:06:59.9 2000.00  22:42 1.737  WFC  499.8  180  V                                
 561431 A2163 R 0 30     16:15:34.09 -06:06:59.9 2000.00  22:52 1.672  WFC  300.0  180  R                                
 561432 A2163 I 0 30     16:15:34.10 -06:06:59.9 2000.00  22:59 1.622  WFC  299.8  180  i                                
 561433 A2163 B 30 30    16:15:35.44 -06:07:00.0 2000.00  23:08 1.557  WFC  599.2  180  B                                
 561434 A2163 V 30 30    16:15:35.43 -06:06:59.9 2000.00  23:20 1.496  WFC  499.8  180  V                                
 561435 A2163 R 30 30    16:15:35.43 -06:06:59.9 2000.00  23:32 1.451  WFC  299.9  180  R                                
 561436 A2163 I 30 30    16:15:35.43 -06:07:00.0 2000.00  23:38 1.424  WFC  299.4  180  i                                
 561437 A2163 B 0 30     16:15:34.09 -06:07:00.0 2000.00  23:46 1.388  WFC  599.7  180  B                                
 561438 A2163 V 0 30     16:15:34.10 -06:06:59.9 2000.00  23:59 1.348  WFC  499.8  180  V                                
 561439 A2163 R 0 30     16:15:34.09 -06:06:59.9 2000.00  00:10 1.324  WFC  299.5  180  R                                
 561440 A2163 I 0 30     16:15:34.09 -06:06:59.9 2000.00  00:17 1.306  WFC  299.9  180  i                                
 561441 A2163 B -30 30   16:15:32.75 -06:06:59.9 2000.00  00:26 1.284  WFC  599.7  180  B                                
 561442 A2163 V -30 30   16:15:32.75 -06:06:59.9 2000.00  00:40 1.261  WFC  499.7  180  V                                
 561443 A2163 R -30 30   16:15:32.76 -06:07:00.0 2000.00  00:51 1.248  WFC  300.0  180  R                                
 561444 A2163 I -30 30   16:15:32.76 -06:06:59.9 2000.00  00:58 1.240  WFC  299.9  180  i                                
 561445 A2294 B 0 0      17:24:12.00 +85:53:11.0 2000.00  01:13 1.853  WFC  719.7  180  B                                
 561446 A2294 R 0 0      17:24:12.00 +85:53:11.0 2000.00  01:27 1.850  WFC  359.4  180  R                                
 561447 A2294 B 0 30     17:24:12.00 +85:53:41.0 2000.00  01:38 1.846  WFC  719.7  180  B                                
 561448 A2294 R 0 30     17:24:12.00 +85:53:41.0 2000.00  01:52 1.843  WFC  359.3  180  R                                
 561449 A2294 B 30 30    17:24:30.62 +85:53:40.9 2000.00  02:01 1.841  WFC  719.1  180  B                                
 561450 A2294 R 30 30    17:24:30.62 +85:53:41.0 2000.00  02:15 1.840  WFC  359.9  180  R                                
 561451 A2294 B 20 0     17:24:30.58 +85:53:10.9 2000.00  02:25 1.838  WFC  719.6  180  B                                
