INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 05 31 07:21

TELESCOPE             INT
DATE                  20070530
OBSERVER/S            R. Greimel
PROGRAMME             IPHAS
PROPOSAL REF          06B/N2
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Miguel Santander Garcia

TEL STATION / FOCUS   Prime  / 43.6
INSTRUMENT/S          WFC

SUNSET (UT)           20:11
EVENING TWILIGHT (UT) 21:36
MORNING TWILIGHT (UT) 04:42
SUNRISE (UT)          06:06
%ILLUM. LUNAR DISK    99
DARK TIME (HRS)       07:06
TWILIGHT TIME (HRS)   02:49
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          05:34

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00   9.5   16    15.9  24.0  121   773.0   n.a.  n.a.    n.a.  n.a.   n.a.
22:00   9.9   14    32.6  36.2   89   773.4   n.a.  n.a.    n.a.  n.a.   n.a.
23:00   9.7   15    36.9  39.3   89   773.7   n.a.  n.a.    n.a.  n.a.   n.a.
00:00   9.8   14    30.1  36.3   91   774.1   n.a.  n.a.    n.a.  n.a.   n.a.
01:00  10.4   14    27.1  32.2   89   774.1   n.a.  n.a.    n.a.  n.a.   n.a.
02:00  10.4   14    25.8  27.4   87   773.8   n.a.  n.a.    n.a.  n.a.   n.a.
03:00  11.0   13    19.7  23.8   98   773.2   n.a.  n.a.    n.a.  n.a.   n.a.
04:00  10.8   13    18.8  23.8   76   773.1   n.a.  n.a.    n.a.  n.a.   n.a.
05:00  10.5    9    21.9  22.3   80   772.9   n.a.  n.a.    n.a.  n.a.   n.a.
06:00  10.8   15    21.4  17.7   84   772.9   n.a.  n.a.    n.a.  n.a.   n.a.

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
a few clouds on the horizon, variable seeing 1-2.5 arcsec

COMMENTS (causes of time lost, setup information eg CCD windows):
some images suffer from horizontal stripes on all 4 CCDs



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 562833 Bias frame        2:59:59.99 +29:59:59.9 2007.409 11:04 1.010  WFC    0.0  180  i                                
 562834 TEST              3:00:00.00 +29:59:59.9 2007.409 11:07 1.009  WFC    2.0  180  i                                
 562835 flat Ha          15:02:00.00 +29:55:00.0 2000.00  20:13 1.416  WFC    0.5  180  Halpha                           
 562836 flat Ha          15:02:00.07 +29:55:00.9 2000.00  20:14 1.409  WFC    0.5  180  Halpha                           
 562837 flat Ha          15:02:00.15 +29:55:01.9 2000.00  20:16 1.400  WFC    1.6  180  Halpha                           
 562838 flat Ha          15:02:00.24 +29:55:02.9 2000.00  20:17 1.393  WFC    2.1  180  Halpha                           
 562839 flat Ha          15:02:00.31 +29:55:04.1 2000.00  20:18 1.387  WFC    4.1  180  Halpha                           
 562840 flat Ha          15:02:00.37 +29:55:05.1 2000.00  20:19 1.382  WFC    6.1  180  Halpha                           
 562841 flat Ha          15:01:59.93 +29:54:59.0 2000.00  20:21 1.374  WFC    8.1  180  Halpha                           
 562842 flat Ha          15:01:59.84 +29:54:58.0 2000.00  20:22 1.368  WFC   10.1  180  Halpha                           
 562843 flat g           15:01:59.84 +29:54:58.0 2000.00  20:24 1.362  WFC    1.0  180  g                                
 562844 flat g           15:02:00.07 +29:55:01.2 2000.00  20:25 1.356  WFC    1.0  180  g                                
 562845 flat g           15:02:00.15 +29:55:02.0 2000.00  20:26 1.351  WFC    1.6  180  g                                
 562846 flat r           15:02:00.00 +29:55:00.0 2000.00  20:27 1.346  WFC    1.5  180  r                                
 562847 flat r           15:02:00.07 +29:55:01.0 2000.00  20:28 1.341  WFC    4.1  180  r                                
 562848 flat r           15:02:00.14 +29:55:02.0 2000.00  20:29 1.337  WFC    6.1  180  r                                
 562849 flat r           15:02:00.23 +29:55:03.0 2000.00  20:30 1.332  WFC    8.1  180  r                                
 562850 flat r           15:02:00.32 +29:55:04.1 2000.00  20:31 1.328  WFC   10.1  180  r                                
 562851 flat i           15:02:00.00 +29:55:00.1 2000.00  20:32 1.323  WFC   10.1  180  i                                
 562852 flat i           15:02:00.08 +29:55:01.1 2000.00  20:33 1.318  WFC   13.1  180  i                                
 562853 flat i           15:02:00.16 +29:55:01.9 2000.00  20:35 1.312  WFC   18.1  180  i                                
 562854 flat i           15:02:00.22 +29:55:03.0 2000.00  20:36 1.306  WFC   25.1  180  i                                
 562855 flat i           15:02:00.30 +29:55:04.0 2000.00  20:38 1.298  WFC   37.1  180  i                                
 562857 flat i           15:02:00.38 +29:55:05.0 2000.00  20:42 1.282  WFC   50.1  180  i                                
 562858 Focus run        12:41:41.30 -00:26:27.0 2000.00  20:56 1.154  WFC   10.1  180  r                                
