INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 06 13 05:19

TELESCOPE             INT
DATE                  20070612
OBSERVER/S            G Ramsay, D Vande Putte
PROGRAMME             Determining the space density of ultra-compact binaries
PROPOSAL REF          P8
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.4
INSTRUMENT/S          WFC

SUNSET (UT)           20:18
EVENING TWILIGHT (UT) 21:44
MORNING TWILIGHT (UT) 04:39
SUNRISE (UT)          06:05
%ILLUM. LUNAR DISK    7
DARK TIME (HRS)       06:55
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         04:09
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00   9.1   38    25.1  29.6  308   770.3   n.a.  n.a.    n.a.  n.a.   n.a.
22:00   8.5   35    30.2  35.2  332   770.5   n.a.  n.a.    n.a.  n.a.   n.a.
23:00   8.3   41    29.0  32.2  344   770.9   n.a.  n.a.    n.a.  n.a.   n.a.
00:00   8.6   37    27.4  31.6  280   771.4   n.a.  n.a.    n.a.  n.a.   n.a.
01:00   8.3   36    26.5  27.9  352   771.3   n.a.  n.a.    n.a.  n.a.   n.a.
03:00   8.7   40    21.9  23.4   82   770.7   n.a.  n.a.    n.a.  n.a.   n.a.
04:00   8.7   38    24.4  25.5   10   770.3   n.a.  n.a.    n.a.  n.a.   n.a.
05:00   8.7   35    24.8  25.5   71   770.1   n.a.  n.a.    n.a.  n.a.   n.a.

TIME LOST weather           00:00
TIME LOST Technical         03:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
good. photometric. seeing reasonable.

COMMENTS (causes of time lost, setup information eg CCD windows):
lost 3 hrs of time at start. did a focus run which hung reading out. ended up with same problem as last night. das and wfc not speaking. gold medal 
for pierre who came over and found the physical location of ipss81 who then did a hard reset after getting advice. after re-starting dad and ics 
system worked. no problems since. top man! 

 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 565001 Bias              0:00:00.00 +00:00:00.0 2007.445 13:15 1.144  WFC    0.0  180  [SII]6725                        
 565002 Bias              4:00:00.00 +00:00:00.0 2000.00  14:14 1.412  WFC    0.0  180  [SII]6725                        
 565003 Flat field        0:00:00.00 +00:00:00.0 2000.00  14:20 2.844  WFC    5.6  180  U                                
 565004 Bias              0:00:00.00 +00:00:00.0 2000.00  15:16 4.534  WFC    0.0  180  g                                
 565005 bias              0:00:00.00 +00:00:00.0 2000.00  15:19 4.534  WFC    0.0  180  g                                
 565006 bias              0:00:00.00 +00:00:00.0 2000.00  15:20 4.534  WFC    0.0  180  g                                
 565007 bias              0:00:00.00 +00:00:00.0 2000.00  15:21 4.534  WFC    0.0  180  g                                
 565008 bias              0:00:00.00 +00:00:00.0 2000.00  15:22 4.534  WFC    0.0  180  g                                
 565009 bias              0:00:00.00 +00:00:00.0 2000.00  15:22 4.534  WFC    0.0  180  g                                
 565010 bias              0:00:00.00 +00:00:00.0 2000.00  15:23 4.534  WFC    0.0  180  g                                
 565011 bias              0:00:00.00 +00:00:00.0 2000.00  15:24 4.534  WFC    0.0  180  g                                
 565012 bias              0:00:00.00 +00:00:00.0 2000.00  15:25 4.534  WFC    0.0  180  g                                
 565013 bias              0:00:00.00 +00:00:00.0 2000.00  15:25 4.534  WFC    0.0  180  g                                
 565014 bias              0:00:00.00 +00:00:00.0 2000.00  15:26 4.534  WFC    0.0  180  g                                
 565015 Bias              0:00:00.00 +00:00:00.0 2000.00  19:54 4.538  WFC    0.0  180  g                                
 565016 clear            13:00:00.00 +25:00:00.0 2000.00  20:42 1.002  WFC    1.0  180  CLEAR                            
 565017 clear            13:00:00.00 +24:59:59.9 2000.00  20:43 1.002  WFC    2.5  180  CLEAR                            
 565018 clear            13:00:01.47 +25:00:20.0 2000.00  20:45 1.002  WFC    5.1  180  CLEAR                            
 565019 clear            13:00:00.00 +24:59:39.9 2000.00  20:47 1.002  WFC    5.1  180  CLEAR                            
 565020 clear            12:59:58.53 +24:59:40.0 2000.00  20:48 1.002  WFC    7.1  180  CLEAR                            
 565021 clear            13:00:00.00 +24:59:39.9 2000.00  20:50 1.002  WFC   10.1  180  CLEAR                            
 565023 Bias              0:00:00.00 +00:00:00.0 2000.00  23:52 4.533  WFC    0.0  180  [SII]6725                        
 565024 field2 g         17:59:00.00 +01:37:59.9 2000.00  00:10 1.228  WFC   30.1  180  g                                
 565025 field2 r         17:59:00.00 +01:38:00.0 2000.00  00:15 1.215  WFC  120.0  180  r                                
 565026 field2 U         17:59:00.00 +01:37:59.9 2000.00  00:19 1.206  WFC  240.0  180  U                                
 565027 field2 g         17:59:00.00 +01:37:59.9 2000.00  00:23 1.198  WFC  159.5  180  g                                
 565028 field2 clear     17:58:59.99 +01:38:00.0 2000.00  00:27 1.192  WFC   30.1  180  CLEAR                            
 565029 field2 clear     17:58:59.99 +01:37:59.9 2000.00  00:28 1.190  WFC   29.6  180  CLEAR                            
 565030 field2 clear     17:58:59.99 +01:37:59.9 2000.00  00:29 1.189  WFC   30.1  180  CLEAR                            
 565031 field2 clear     17:59:00.00 +01:37:59.9 2000.00  00:30 1.187  WFC   30.1  180  CLEAR                            
 565032 field2 clear     17:59:00.00 +01:37:59.9 2000.00  00:31 1.185  WFC   30.1  180  CLEAR                            
 565033 field2 clear     17:59:00.00 +01:37:59.9 2000.00  00:32 1.183  WFC   30.1  180  CLEAR                            
 565034 field2 clear     17:58:59.99 +01:38:00.0 2000.00  00:33 1.182  WFC   30.1  180  CLEAR                            
 565035 field2 clear     17:58:59.99 +01:37:59.9 2000.00  00:34 1.180  WFC   30.1  180  CLEAR                            
 565036 field2 clear     17:59:00.00 +01:38:00.0 2000.00  00:35 1.178  WFC   30.1  180  CLEAR                            
 565037 field2 clear     17:59:00.00 +01:38:00.0 2000.00  00:36 1.177  WFC   29.5  180  CLEAR                            
 565038 field2 clear     17:59:00.00 +01:37:59.9 2000.00  00:37 1.175  WFC   30.1  180  CLEAR                            
 565039 field2 clear     17:58:59.99 +01:38:00.0 2000.00  00:38 1.174  WFC   29.5  180  CLEAR                            
 565040 field2 clear     17:59:00.00 +01:37:59.9 2000.00  00:39 1.172  WFC   30.1  180  CLEAR                            
 565041 field2 clear     17:59:00.01 +01:38:00.0 2000.00  00:40 1.171  WFC   29.6  180  CLEAR                            
 565042 field2 clear     17:58:59.99 +01:38:00.0 2000.00  00:41 1.169  WFC   30.1  180  CLEAR                            
 565043 field2 clear     17:59:00.00 +01:38:00.0 2000.00  00:42 1.168  WFC   30.1  180  CLEAR                            
 565044 field2 clear     17:59:00.00 +01:38:00.0 2000.00  00:43 1.166  WFC   30.1  180  CLEAR                            
 565045 field2 clear     17:58:59.99 +01:38:00.0 2000.00  00:44 1.165  WFC   30.1  180  CLEAR                            
 565046 field2 clear     17:59:00.00 +01:37:59.9 2000.00  00:45 1.164  WFC   30.1  180  CLEAR                            
 565047 field2 clear     17:59:00.00 +01:38:00.0 2000.00  00:46 1.162  WFC   30.1  180  CLEAR                            
 565048 field2 clear     17:58:59.99 +01:38:00.0 2000.00  00:47 1.161  WFC   29.0  180  CLEAR                            
 565049 field2 clear     17:59:00.01 +01:37:59.9 2000.00  00:48 1.160  WFC   30.1  180  CLEAR                            
 565050 field2 clear     17:59:00.00 +01:37:59.9 2000.00  00:49 1.158  WFC   29.6  180  CLEAR                            
 565051 field2 clear     17:59:00.00 +01:37:59.9 2000.00  00:50 1.157  WFC   30.1  180  CLEAR                            
 565052 field2 clear     17:58:59.99 +01:37:59.9 2000.00  00:51 1.156  WFC   30.1  180  CLEAR                            
 565053 field2 clear     17:59:00.00 +01:38:00.0 2000.00  00:52 1.155  WFC   30.1  180  CLEAR                            
 565054 field2 clear     17:58:59.99 +01:38:00.0 2000.00  00:53 1.154  WFC   30.1  180  CLEAR                            
 565055 field2 clear     17:59:00.00 +01:38:00.0 2000.00  00:54 1.152  WFC   30.0  180  CLEAR                            
 565056 field2 clear     17:58:59.99 +01:37:59.9 2000.00  00:55 1.151  WFC   29.6  180  CLEAR                            
 565057 field2 clear     17:58:59.99 +01:37:59.9 2000.00  00:56 1.150  WFC   30.1  180  CLEAR                            
 565058 field2 clear     17:59:00.00 +01:38:00.0 2000.00  00:57 1.149  WFC   30.0  180  CLEAR                            
 565059 field2 clear     17:59:00.00 +01:38:00.0 2000.00  00:58 1.148  WFC   29.6  180  CLEAR                            
 565060 field2 clear     17:59:00.00 +01:38:00.0 2000.00  00:59 1.147  WFC   30.1  180  CLEAR                            
 565061 field2 clear     17:58:59.99 +01:38:00.0 2000.00  01:00 1.146  WFC   29.5  180  CLEAR                            
 565062 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:01 1.145  WFC   30.1  180  CLEAR                            
 565063 field2 clear     17:58:59.99 +01:37:59.9 2000.00  01:02 1.144  WFC   30.1  180  CLEAR                            
 565064 field2 clear     17:59:00.00 +01:37:59.9 2000.00  01:03 1.143  WFC   29.5  180  CLEAR                            
 565065 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:04 1.142  WFC   30.1  180  CLEAR                            
 565066 field2 clear     17:58:59.99 +01:38:00.0 2000.00  01:05 1.141  WFC   30.1  180  CLEAR                            
 565067 field2 clear     17:59:00.00 +01:37:59.9 2000.00  01:06 1.140  WFC   30.1  180  CLEAR                            
 565068 field2 clear     17:58:59.99 +01:38:00.0 2000.00  01:07 1.140  WFC   29.5  180  CLEAR                            
 565069 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:08 1.139  WFC   30.1  180  CLEAR                            
 565070 field2 clear     17:58:59.99 +01:37:59.9 2000.00  01:09 1.138  WFC   29.5  180  CLEAR                            
 565071 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:10 1.137  WFC   30.1  180  CLEAR                            
 565072 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:11 1.136  WFC   29.6  180  CLEAR                            
 565073 field2 clear     17:58:59.99 +01:38:00.0 2000.00  01:12 1.136  WFC   30.1  180  CLEAR                            
 565074 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:13 1.135  WFC   30.1  180  CLEAR                            
 565075 field2 clear     17:59:00.00 +01:37:59.9 2000.00  01:14 1.134  WFC   30.1  180  CLEAR                            
 565076 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:15 1.134  WFC   30.1  180  CLEAR                            
 565077 field2 clear     17:59:00.00 +01:37:59.9 2000.00  01:16 1.133  WFC   30.1  180  CLEAR                            
 565078 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:17 1.132  WFC   29.5  180  CLEAR                            
 565079 field2 clear     17:59:00.00 +01:37:59.9 2000.00  01:18 1.132  WFC   30.1  180  CLEAR                            
 565080 field2 clear     17:59:00.00 +01:37:59.9 2000.00  01:19 1.131  WFC   30.1  180  CLEAR                            
 565081 field2 clear     17:58:59.99 +01:38:00.0 2000.00  01:20 1.131  WFC   30.0  180  CLEAR                            
 565082 field2 clear     17:58:59.99 +01:38:00.0 2000.00  01:21 1.130  WFC   30.1  180  CLEAR                            
 565083 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:22 1.129  WFC   30.1  180  CLEAR                            
 565084 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:23 1.129  WFC   30.1  180  CLEAR                            
 565085 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:24 1.128  WFC   30.1  180  CLEAR                            
 565086 field2 clear     17:59:00.00 +01:37:59.9 2000.00  01:25 1.128  WFC   29.6  180  CLEAR                            
 565087 field2 clear     17:58:59.99 +01:37:59.9 2000.00  01:26 1.128  WFC   29.5  180  CLEAR                            
 565088 field2 clear     17:58:59.99 +01:37:59.9 2000.00  01:27 1.127  WFC   30.1  180  CLEAR                            
 565089 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:28 1.127  WFC   30.1  180  CLEAR                            
 565090 field2 clear     17:58:59.99 +01:38:00.0 2000.00  01:29 1.126  WFC   30.1  180  CLEAR                            
 565091 field2 clear     17:58:59.99 +01:38:00.0 2000.00  01:30 1.126  WFC   30.1  180  CLEAR                            
 565092 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:31 1.126  WFC   30.1  180  CLEAR                            
 565093 field2 clear     17:59:00.00 +01:37:59.9 2000.00  01:32 1.125  WFC   30.1  180  CLEAR                            
 565094 field2 clear     17:58:59.99 +01:37:59.9 2000.00  01:33 1.125  WFC   29.6  180  CLEAR                            
 565095 field2 clear     17:58:59.99 +01:38:00.0 2000.00  01:34 1.125  WFC   30.1  180  CLEAR                            
 565096 field2 clear     17:58:59.99 +01:37:59.9 2000.00  01:35 1.125  WFC   30.1  180  CLEAR                            
 565097 field2 clear     17:59:00.00 +01:37:59.9 2000.00  01:36 1.124  WFC   30.1  180  CLEAR                            
 565098 field2 clear     17:58:59.99 +01:37:59.9 2000.00  01:37 1.124  WFC   30.1  180  CLEAR                            
 565099 field2 clear     17:58:59.99 +01:38:00.0 2000.00  01:38 1.124  WFC   29.6  180  CLEAR                            
 565100 field2 clear     17:58:59.99 +01:38:00.0 2000.00  01:39 1.124  WFC   30.1  180  CLEAR                            
 565101 field2 clear     17:59:00.00 +01:37:59.9 2000.00  01:40 1.124  WFC   30.1  180  CLEAR                            
 565102 field2 clear     17:59:00.00 +01:37:59.9 2000.00  01:41 1.124  WFC   30.1  180  CLEAR                            
 565103 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:42 1.124  WFC   30.1  180  CLEAR                            
 565104 field2 clear     17:59:00.00 +01:37:59.9 2000.00  01:43 1.123  WFC   30.1  180  CLEAR                            
 565105 field2 clear     17:58:59.99 +01:37:59.8 2000.00  01:44 1.123  WFC   30.0  180  CLEAR                            
 565106 field2 clear     17:58:59.99 +01:38:00.0 2000.00  01:45 1.123  WFC   30.1  180  CLEAR                            
 565107 field2 clear     17:59:00.00 +01:37:59.9 2000.00  01:46 1.123  WFC   30.1  180  CLEAR                            
 565108 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:47 1.123  WFC   30.1  180  CLEAR                            
 565109 field2 clear     17:58:59.99 +01:38:00.0 2000.00  01:48 1.123  WFC   30.1  180  CLEAR                            
 565110 field2 clear     17:58:59.99 +01:37:59.9 2000.00  01:49 1.123  WFC   30.1  180  CLEAR                            
 565111 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:50 1.124  WFC   29.5  180  CLEAR                            
 565112 field2 clear     17:59:00.00 +01:37:59.9 2000.00  01:51 1.124  WFC   29.5  180  CLEAR                            
 565113 field2 clear     17:59:00.00 +01:37:59.9 2000.00  01:52 1.124  WFC   30.1  180  CLEAR                            
 565114 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:53 1.124  WFC   30.1  180  CLEAR                            
 565115 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:54 1.124  WFC   30.1  180  CLEAR                            
 565116 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:55 1.124  WFC   30.0  180  CLEAR                            
 565117 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:56 1.124  WFC   30.1  180  CLEAR                            
 565118 field2 clear     17:59:00.00 +01:38:00.0 2000.00  01:57 1.125  WFC   30.1  180  CLEAR                            
