INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 06 17 05:58

TELESCOPE             INT
DATE                  20070616
OBSERVER/S            G Ramsay, D Vande Putte
PROGRAMME             Determining the space density of ultra-compact binaries
PROPOSAL REF          P8
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.5
INSTRUMENT/S          WFC

SUNSET (UT)           20:19
EVENING TWILIGHT (UT) 21:45
MORNING TWILIGHT (UT) 04:39
SUNRISE (UT)          06:05
%ILLUM. LUNAR DISK    5
DARK TIME (HRS)       06:54
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          22:04

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  10.6   20    24.4  27.9  275   771.1   n.a.  n.a.    n.a.  n.a.   n.a.
22:00   9.6   26    24.2  28.7  275   771.2   n.a.  n.a.    n.a.  n.a.   n.a.
23:00   9.9   34    24.1  27.2  276   771.4   n.a.  n.a.    n.a.  n.a.   n.a.
00:00   8.7   35    27.0  29.7  290   771.2   n.a.  n.a.    n.a.  n.a.   n.a.
01:00   8.9   37    32.2  35.0  299   771.0   n.a.  n.a.    n.a.  n.a.   n.a.
02:00   9.1   32    27.9  30.2  277   770.7   n.a.  n.a.    n.a.  n.a.   n.a.
03:00   9.1   35    23.8  24.7  270   770.2   n.a.  n.a.    n.a.  n.a.   n.a.
04:00   8.3   40    24.1  27.6  269   769.6   n.a.  n.a.    n.a.  n.a.   n.a.
05:00   8.1   43    22.9  26.4  267   769.4   n.a.  n.a.    n.a.  n.a.   n.a.

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
good!

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 566647 Bias frame        3:00:00.00 +39:59:59.9 2007.456 12:49 1.153  WFC    0.0  180  r                                
 566648 Flat field        0:00:00.00 +00:00:00.0 2007.456 13:16 4.552  WFC    2.0  180  r                                
 566649 Flat field        0:00:00.00 +00:00:00.0 2007.456 13:21 4.552  WFC    5.1  180  U                                
 566650 Bias              0:00:00.00 +00:00:00.0 2007.456 15:16 4.552  WFC    0.0  180  U                                
 566651 Bias              0:00:00.00 +00:00:00.0 2007.456 15:16 4.552  WFC    0.0  180  U                                
 566652 Bias              0:00:00.00 +00:00:00.0 2007.456 15:17 4.552  WFC    0.0  180  U                                
 566653 Bias              0:00:00.00 +00:00:00.0 2007.456 15:17 4.552  WFC    0.0  180  U                                
 566654 Bias              0:00:00.00 +00:00:00.0 2007.456 15:17 4.552  WFC    0.0  180  U                                
 566655 Bias              0:00:00.00 +00:00:00.0 2007.456 15:18 4.552  WFC    0.0  180  U                                
 566656 Bias              0:00:00.00 +00:00:00.0 2007.456 15:18 4.552  WFC    0.0  180  U                                
 566657 Bias              0:00:00.00 +00:00:00.0 2007.456 15:19 4.552  WFC    0.0  180  U                                
 566658 Bias              0:00:00.00 +00:00:00.0 2007.456 15:19 4.552  WFC    0.0  180  U                                
 566659 Bias              0:00:00.00 +00:00:00.0 2007.456 15:20 4.552  WFC    0.0  180  U                                
 566660 flat u           10:59:10.00 +03:29:59.9 2000.00  20:22 1.243  WFC    2.1  180  U                                
 566661 flat u           10:59:09.99 +03:30:00.0 2000.00  20:23 1.246  WFC    4.1  180  U                                saturated
 566662 flat u           10:59:09.99 +03:29:59.9 2000.00  20:25 1.250  WFC    6.1  180  U                                saturated
 566663 flat u           10:59:09.99 +03:29:59.9 2000.00  20:32 1.270  WFC    4.1  180  U                                
 566664 flat u           10:59:11.33 +03:30:19.9 2000.00  20:33 1.274  WFC    5.1  180  U                                
 566665 flat u           10:59:11.33 +03:29:40.0 2000.00  20:34 1.279  WFC    7.1  180  U                                
 566666 flat u           10:59:11.33 +03:29:40.0 2000.00  20:35 1.282  WFC    9.5  180  U                                
 566667 flat g           10:59:11.33 +03:29:39.9 2000.00  20:36 1.285  WFC    6.1  180  g                                saturated
 566668 flat g           10:59:11.33 +03:29:39.9 2000.00  20:38 1.292  WFC    2.1  180  g                                
 566669 flat g           10:59:11.33 +03:30:20.0 2000.00  20:40 1.297  WFC    3.1  180  g                                
 566670 flat g           10:59:11.34 +03:29:40.2 2000.00  20:41 1.301  WFC    4.6  180  g                                
 566671 flat g           10:59:08.66 +03:29:39.9 2000.00  20:42 1.305  WFC    7.1  180  g                                
 566672 flat r           10:59:10.00 +03:30:00.0 2000.00  20:43 1.308  WFC    3.1  180  r                                
 566673 flat r           10:59:09.99 +03:30:00.0 2000.00  20:44 1.313  WFC   12.1  180  r                                
 566674 flat r           10:59:11.34 +03:30:19.9 2000.00  20:46 1.319  WFC   20.1  180  r                                
 566675 flat r           10:59:11.34 +03:29:39.9 2000.00  20:47 1.324  WFC   28.1  180  r                                
 566676 flat clear       10:59:10.00 +03:30:00.0 2000.00  20:49 1.329  WFC   10.1  180  CLEAR                            
 566677 flat clear       10:59:11.33 +03:30:19.8 2000.00  20:50 1.333  WFC   14.1  180  CLEAR                            
 566678 flat clear       10:59:11.33 +03:29:40.1 2000.00  20:51 1.338  WFC   18.1  180  CLEAR                            
 566679 flat clear       10:59:08.66 +03:29:40.0 2000.00  20:52 1.343  WFC   18.1  180  CLEAR                            
 566680 G12_32 r         12:33:20.00 +09:01:07.9 2000.00  21:03 1.094  WFC   10.1  180  r                                
 566681 G12_32 g         12:33:19.99 +09:01:07.9 2000.00  21:04 1.095  WFC    9.7  180  g                                
 566683 Bias             12:33:20.00 +09:01:07.9 2000.00  21:09 1.101  WFC    0.0  180  U                                
 566684 g12_32 u         12:33:20.00 +09:01:08.0 2000.00  21:10 1.102  WFC   20.1  180  U                                
 566685 Focus run        12:33:19.99 +09:01:07.9 2000.00  21:17 1.108  WFC   10.1  180  r                                
 566686 field 13 g       17:55:00.00 +02:22:00.0 2000.00  21:29 2.139  WFC   30.1  180  g                                
 566687 field 13 g       17:55:00.00 +02:22:00.0 2000.00  21:30 2.125  WFC   30.1  180  g                                
 566688 field 13 g       17:55:00.00 +02:21:59.9 2000.00  21:31 2.110  WFC   30.1  180  g                                
 566689 field 13 g       17:54:59.99 +02:21:59.9 2000.00  21:32 2.096  WFC   29.6  180  g                                
 566690 field 13 g       17:55:00.00 +02:22:00.0 2000.00  21:33 2.082  WFC   30.1  180  g                                
 566691 field 13 g       17:55:00.00 +02:22:00.0 2000.00  21:34 2.067  WFC   30.1  180  g                                
 566692 field 13 g       17:54:59.99 +02:22:00.0 2000.00  21:35 2.054  WFC   30.1  180  g                                
