INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 06 24 06:05

TELESCOPE             INT
DATE                  20070623
OBSERVER/S            Mike Irwin
PROGRAMME             IPHAS
PROPOSAL REF          P12
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    Marie

TEL STATION / FOCUS   Prime  / 43.45
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:47
MORNING TWILIGHT (UT) 04:40
SUNRISE (UT)          06:06
%ILLUM. LUNAR DISK    64
DARK TIME (HRS)       06:53
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          01:53

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  12.6    7    31.4  34.2   61   771.1   n.a.  n.a.    n.a.  n.a.   n.a.
22:00  12.8    6    33.3  39.4   78   771.5   n.a.  n.a.    n.a.  n.a.   n.a.
23:00  12.8    7    32.9  35.5   83   771.7   n.a.  n.a.    n.a.  n.a.   n.a.
00:00  12.9    6    36.5  40.3   87   771.9   n.a.  n.a.    n.a.  n.a.   n.a.
01:00  13.1    9    27.1  32.5   93   772.0   n.a.  n.a.    n.a.  n.a.   n.a.
02:00  14.5   11    13.4  12.5  108   772.1   n.a.  n.a.    n.a.  n.a.   n.a.
03:00  14.8   13     8.1  10.1  131   772.1   n.a.  n.a.    n.a.  n.a.   n.a.
04:00  14.5   14     2.9   3.1  153   772.0   n.a.  n.a.    n.a.  n.a.   n.a.
05:00  14.3   12     7.1   8.0   45   771.9   n.a.  n.a.    n.a.  n.a.   n.a.

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Good - photometric - seeing bad 1st half and then gradually improved to 1.0 arcsec

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 569274 Bias              0:00:00.00 +00:00:00.0 2007.475 10:22 1.495  WFC    0.0  180  HeI 5870                         
 569275 Bias              2:36:00.00 +40:00:00.0 2007.475 10:49 1.050  WFC    0.0  180  g                                
 569276 Bias              2:36:00.00 +40:00:00.0 2007.475 11:07 1.069  WFC    0.0  180  HeI 5870                         
 569277 Bias              0:00:00.00 +00:00:00.0 2007.475 11:09 1.000  WFC    0.0  180  HeI 5870                         
 569278 Flat field        0:00:00.00 +00:00:00.0 2007.475 11:12 1.267  WFC   15.1  180  U                                
 569279 Bias frame        0:00:00.00 +00:00:00.0 2007.476 20:07 4.528  WFC    0.0  180  U                                
 569280 Bias frame        0:00:00.00 +00:00:00.0 2007.476 20:07 4.528  WFC    0.0  180  U                                
 569281 Bias frame        0:00:00.00 +00:00:00.0 2007.476 20:08 4.528  WFC    0.0  180  U                                
 569282 Bias frame        0:00:00.00 +00:00:00.0 2007.476 20:08 4.528  WFC    0.0  180  U                                
 569283 Bias frame        0:00:00.00 +00:00:00.0 2007.476 20:09 4.528  WFC    0.0  180  U                                
 569284 Flat field       13:30:00.00 +20:00:00.0 2000.00  20:28 1.012  WFC    8.1  180  HeI 5870                         
 569285 Flat field       13:30:02.13 +20:00:29.9 2000.00  20:29 1.012  WFC   12.1  180  HeI 5870                         
 569286 Flat field       13:30:04.25 +20:00:59.9 2000.00  20:30 1.012  WFC   16.1  180  HeI 5870                         
 569287 Flat field       13:30:06.38 +20:01:30.0 2000.00  20:31 1.012  WFC   20.1  180  HeI 5870                         
 569288 Flat field       13:30:08.51 +20:01:59.9 2000.00  20:32 1.012  WFC   25.1  180  HeI 5870                         
 569289 Flat field       13:30:08.51 +20:01:59.9 2000.00  20:34 1.012  WFC    6.1  180  U                                
 569290 Flat field       13:30:06.38 +20:01:29.9 2000.00  20:35 1.012  WFC    8.1  180  U                                
 569291 Flat field       13:30:04.25 +20:00:59.9 2000.00  20:36 1.012  WFC   10.1  180  U                                
 569292 Flat field       13:30:02.13 +20:00:30.0 2000.00  20:37 1.012  WFC   12.1  180  U                                
 569293 Flat field        0:00:00.00 +00:00:00.0 2000.00  20:37 1.012  WFC   15.6  180  U                                
 569294 Flat field        0:00:00.00 +00:00:00.0 2000.00  20:39 1.012  WFC    4.1  180  i                                
 569295 Flat field       13:30:02.12 +20:00:30.0 2000.00  20:41 1.012  WFC    6.1  180  i                                
 569296 Flat field       13:30:04.25 +20:00:59.9 2000.00  20:42 1.012  WFC    7.6  180  i                                
 569297 Flat field       13:30:06.39 +20:01:29.8 2000.00  20:43 1.012  WFC   10.1  180  i                                
 569298 Flat field       13:30:08.51 +20:01:59.9 2000.00  20:43 1.012  WFC   12.1  180  i                                
 569299 Focus run        15:39:18.99 -00:15:28.9 2000.00  20:59 1.280  WFC    9.6  180  r                                
 569300 sa107-602 Ha     15:39:19.00 -00:15:29.0 2000.00  21:03 1.263  WFC   50.1  180  Halpha                           
 569301 sa107-602 r      15:39:19.00 -00:15:28.9 2000.00  21:05 1.260  WFC   10.1  180  r                                
 569302 sa107-602 i      15:39:18.99 -00:15:29.0 2000.00  21:05 1.259  WFC    9.5  180  i                                
 569303 SA107-602        15:39:19.00 -00:15:29.0 2000.00  21:06 1.257  WFC   10.1  180  g                                
 569304 st_pal4 Ha       11:29:14.88 +28:58:01.8 2000.00  21:10 1.207  WFC  120.0  180  Halpha                           
 569305 st_pal4 r        11:29:14.87 +28:58:01.9 2000.00  21:12 1.213  WFC   30.1  180  r                                
 569306 st_pal4 i        11:29:14.88 +28:58:01.9 2000.00  21:13 1.216  WFC   10.1  180  i                                
 569307 st_pal4 g        11:29:14.88 +28:58:01.9 2000.00  21:15 1.221  WFC   30.1  180  g                                
 569308 hz21 Ha          12:13:56.39 +32:56:31.0 2000.00  21:16 1.109  WFC   60.0  180  Halpha                           
 569309 hz21 r           12:13:56.39 +32:56:30.7 2000.00  21:18 1.111  WFC   15.1  180  r                                
 569310 hz21 i           12:13:56.39 +32:56:30.8 2000.00  21:19 1.113  WFC    5.1  180  i                                
 569311 hz44 Ha          13:23:35.52 +36:07:59.8 2000.00  21:20 1.027  WFC   60.1  180  Halpha                           
 569312 hz44 r           13:23:35.51 +36:07:59.9 2000.00  21:21 1.028  WFC   15.1  180  r                                
