INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 12 08 06:36

TELESCOPE             INT
DATE                  20071207
OBSERVER/S            R Morris/L Davies/ C Chavero
PROGRAMME             IPHAS
PROPOSAL REF          P5   
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.58
INSTRUMENT/S          WFC

SUNSET (UT)           18:22
EVENING TWILIGHT (UT) 19:38
MORNING TWILIGHT (UT) 06:28
SUNRISE (UT)          07:44
%ILLUM. LUNAR DISK    3
DARK TIME (HRS)       10:50
TWILIGHT TIME (HRS)   02:32
MOONRISE (UT)         06:42
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   9.1    4    20.8  20.8   84   777.1    9.1   9.5    11.2    4     8 
20:00   9.6    4    18.7  20.6   78   777.5    9.6   9.8    11.1    4     9 
21:00   9.2    5    15.6  18.8   67   777.7    9.2   9.3    10.9    5     9 
22:00   9.0    5    22.4  25.6   64   777.8    9.0   9.5    10.9    5     8 
23:00  10.4    4    21.3  22.9   73   777.9   10.4  10.1    11.1    4     8 
00:00  10.8    4    26.5  31.8  133   777.7   10.8  10.4    11.2    4     8 
01:00  10.6    5    22.7  30.9  152   777.3   10.6  10.7    11.6    5     7 
02:00   9.9    5    33.4  38.2  153   776.9    9.9  10.3    11.5    5     7 
03:00   9.8    5    19.4  24.5  181   776.6    9.8  10.2    11.5    5     8 
04:00  10.4    7    31.8  38.4  146   776.5   10.4  10.6    11.3    7    11 
05:00  10.6    6    26.6  30.9  181   776.3   10.6  10.9    11.7    6     8 
06:00  10.9    7    42.4  40.3  117   776.2   10.9  10.9    11.4    7    10 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
wind around 20km/s seeing was variable, but mostly quite good.

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 599533 Bias frame        0:00:00.00 +00:00:00.0  2000.00 14:03 4.540  WFC    0.0  180  R                                
 599534 skyflat Ha       23:15:48.00 +11:26:32.0  2000.00 18:29 1.073  WFC    3.1  180  Halpha                           
 599535 Flat field       23:15:48.68 +11:26:41.9  2000.00 18:30 1.072  WFC    3.4  180  Halpha                           
 599536 Flat field       23:15:48.67 +11:26:21.9  2000.00 18:31 1.071  WFC    3.9  180  Halpha                           
 599537 Flat field       23:15:47.32 +11:26:41.9  2000.00 18:32 1.071  WFC    4.5  180  Halpha                           
 599538 Flat field       23:15:47.31 +11:26:21.9  2000.00 18:33 1.070  WFC    9.8  180  Halpha                           
 599539 skyflat r        23:15:48.00 +11:26:31.9  2000.00 18:37 1.066  WFC    2.1  180  r                                
 599540 skyflat r        23:15:48.68 +11:26:41.9  2000.00 18:38 1.065  WFC    3.1  180  r                                
 599541 skyflat r        23:15:48.68 +11:26:21.9  2000.00 18:39 1.064  WFC    5.1  180  r                                
 599542 skyflat r        23:15:47.32 +11:26:42.0  2000.00 18:40 1.064  WFC    5.5  180  r                                
 599543 skyflat r        23:15:47.32 +11:26:22.1  2000.00 18:41 1.063  WFC    6.1  180  r                                
 599544 Flat field       23:15:47.99 +11:26:32.1  2000.00 18:42 1.062  WFC    5.7  180  i                                
