INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2008 03 18 04:46

TELESCOPE             INT
DATE                  20080317
OBSERVER/S            Rodríguez-Gil/Liimets
PROGRAMME             D
PROPOSAL REF          D
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Rodríguez-Gil/Liimets

TEL STATION / FOCUS   Cassegrain  / 14.80
INSTRUMENT/S          IDS

SUNSET (UT)           19:28
EVENING TWILIGHT (UT) 20:39
MORNING TWILIGHT (UT) 05:59
SUNRISE (UT)          07:11
%ILLUM. LUNAR DISK    85
DARK TIME (HRS)       09:20
TWILIGHT TIME (HRS)   02:23
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          05:27

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   7.9   32    28.4  37.0  213   767.2    7.9   10.     12.   32     35
21:00   8.2   25    26.8  48.4  199   767.3    8.2    9.     11.   25     29
22:00   8.5   25    25.8  33.1  230   767.8    8.5    9.     11.   25     25
23:00   9.5   12    30.4  34.8  245   767.7    9.5   10.     12.   12     15
00:00   9.7   12    37.2  30.7  229   767.5    9.7   10.     11.   12     15
01:00   9.0   12    25.6  32.4  249   767.1    9.0    9.     11.   12     15
02:00   8.8   14    22.4  25.6  269   767.0    8.8    9.     11.   14     17
03:00   8.0   18    21.7  23.4  288   766.5    8.0    9.     11.   18     21
04:00   7.2   23    19.6  21.1  300   766.2    7.2    9.     11.   23     24

TIME LOST weather           03:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Clear in the beginning but with a very bad seeing (3.6"). Seeing improved down to 2.4". We closed due to high clouds at 2:50. Called it a night at 5:00.

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 610298 Bias              0:00:00.00 +00:00:00.0  2008.21 11:35 1.178  IDS    0.0  341  Clear+Clear 165.0   0.0  165.0   
 610299 Arc               0:00:00.00 +00:00:00.0  2008.21 11:49 1.050  IDS    5.0   11  Clear+Clear   0.5  67.0 5510.8   
 610300 Arc               0:00:00.00 +00:00:00.0  2008.21 11:53 1.050  IDS    5.0   11  Clear+Clear   0.5  67.0 5510.8   
 610301 Arc               0:00:00.00 +00:00:00.0  2008.21 11:56 1.050  IDS    5.0   11  Clear+Clear   0.5  66.0 6558.6   
 610302 Bias              0:00:00.00 +00:00:00.0  2008.21 11:57 1.050  IDS    0.0   11  Clear+Clear   0.5  66.0 6558.6   
 610303 Bias              0:00:00.00 +00:00:00.0  2008.21 12:05 1.050  IDS    0.0   11  Clear+Clear   0.5  66.0 6558.6   
 610304 Bias              0:00:00.00 +00:00:00.0  2008.21 12:09 1.000  IDS    0.0   11  Clear+Clear   0.5  66.0 6558.6   
 610305 Bias              0:00:00.00 +00:00:00.0  2000.00 12:17 1.000  IDS    0.0   11  Clear+Clear   0.5  66.0 6558.6   
 610306 Bias              0:00:00.00 +00:00:00.0  2000.00 12:18 1.000  IDS    0.0   11  Clear+Clear   0.5  66.0 6558.6   
 610307 rotation test     0:00:00.00 +00:00:00.0  2000.00 15:37 1.000  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610308 rotation test     0:00:00.00 +00:00:00.0  2000.00 15:54 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610309 rotation test     0:00:00.00 +00:00:00.0  2000.00 15:58 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610310 rotation test     0:00:00.00 +00:00:00.0  2000.00 16:02 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610311 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 16:04 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610312 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 16:05 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610313 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 16:05 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610314 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 16:13 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610315 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 16:13 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610316 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 16:17 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610317 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 16:18 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610318 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 16:24 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610319 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 16:25 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610320 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 16:30 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610321 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 16:30 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610322 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 16:34 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610323 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 16:34 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610324 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 16:37 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610325 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 16:38 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610326 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 16:40 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610327 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 16:41 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610328 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 16:43 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610329 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 16:44 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610330 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 16:46 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610331 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 16:47 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610332 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 16:49 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610333 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 16:49 1.269  IDS    6.0   11  Clear+Clear   0.5  44.6 7301.2   
 610334 Bias              0:00:00.00 +00:00:00.0  2000.00 16:59 1.269  IDS    0.0   11  Clear+Clear   1.0  44.6 7301.2   First useful frame
 610335 Bias              0:00:00.00 +00:00:00.0  2000.00 16:59 1.269  IDS    0.0   11  Clear+Clear   1.0  44.6 7301.2   
 610336 Bias              0:00:00.00 +00:00:00.0  2000.00 16:59 1.269  IDS    0.0   11  Clear+Clear   1.0  44.6 7301.2   
 610337 Bias              0:00:00.00 +00:00:00.0  2000.00 17:00 1.269  IDS    0.0   11  Clear+Clear   1.0  44.6 7301.2   
