INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2008 12 05 07:37

TELESCOPE             INT
DATE                  20081204
OBSERVER/S            Sale
PROGRAMME             IPHAS
PROPOSAL REF          P3
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Rubio

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           18:22
EVENING TWILIGHT (UT) 19:38
MORNING TWILIGHT (UT) 06:26
SUNRISE (UT)          07:42
%ILLUM. LUNAR DISK    41
DARK TIME (HRS)       10:48
TWILIGHT TIME (HRS)   02:32
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          00:20

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   7.0   17    18.4  25.2  135   771.8    7.0    9.     11.   17     22
20:00   7.3   15    12.6  15.4   91   772.3    7.3    9.     11.   15     22
21:00   8.3   11    17.2  19.1   55   772.5    8.3    8.     10.   11     21
22:00   7.4   15    21.9  24.1   72   772.5    7.4    8.     10.   15     22
23:00   6.6   22    20.7  24.9   87   772.6    6.6    7.     10.   22     30
00:00   7.0   19    19.7  22.1   84   772.5    7.0    8.     10.   19     28
01:00   7.6   17    14.6  16.2   70   772.2    7.6    8.     10.   17     25
02:00   7.2   17    23.0  23.4   83   771.7    7.2    8.     10.   17     25
03:00   7.3   16    14.9  14.9   71   771.7    7.3    8.      9.   16     25
04:00   7.5   15    19.9  22.8   80   771.3    7.5    8.      9.   15     25
05:00   7.7   14    11.0  13.9  172   771.1    7.7    8.      9.   14     21
06:00   8.0   15     6.1   4.7   70   771.5    8.0    8.     10.   15     21
07:00   6.8   22    15.5  15.1  169   771.5    6.8    8.     10.   22     29

TIME LOST weather           00:30
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
High cloud all night, seeing mostly >2 arcsec

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 648814 Bias              0:00:00.00 +00:00:00.0  2000.00 11:33 4.265  WFC    0.0  180  stromgren y                      
 648815 Bias              0:00:00.00 +00:00:00.0  2000.00 11:35 4.265  WFC    0.0  180  stromgren y                      
 648816 Bias              0:00:00.00 +00:00:00.0  2000.00 11:45 4.265  WFC    0.0  180  stromgren y                      
 648817 Bias             18:00:00.00 +20:00:00.0  2000.00 14:07 1.013  WFC    0.0  180  Ha 6657                          
 648818 Flat field       18:00:00.00 +19:59:59.9  2000.00 14:10 1.012  WFC    6.1  180  Halpha                           
 648819 Flat field       23:15:48.00 +11:26:32.0  2000.00 18:35 1.076  WFC   20.1  180  Halpha                           
 648820 Flat field       23:15:47.99 +11:26:32.0  2000.00 18:36 1.075  WFC   20.1  180  Halpha                           
 648821 Flat field       23:15:47.99 +11:26:32.0  2000.00 18:40 1.071  WFC   10.1  180  r                                
 648822 Flat field       23:15:47.99 +11:26:32.0  2000.00 18:41 1.071  WFC   10.1  180  r                                
 648823 Flat field       23:15:47.99 +11:26:31.9  2000.00 18:41 1.070  WFC   10.1  180  r                                
 648824 Flat field       23:15:48.00 +11:26:31.9  2000.00 18:43 1.069  WFC   20.1  180  i                                
 648825 Flat field       23:15:48.00 +11:26:32.0  2000.00 18:43 1.068  WFC   20.1  180  i                                
 648826 Flat field       23:15:47.99 +11:26:32.0  2000.00 18:44 1.067  WFC   20.1  180  i                                
 648827 Focus run        22:40:36.80 +00:51:56.0  2000.00 19:06 1.131  WFC   20.1  180  r                                
 648828 BD+284211 Ha     21:51:11.04 +28:51:50.3  2000.00 19:17 1.038  WFC   30.0  180  Halpha                           
 648829 BD+284211 r      21:51:11.03 +28:51:50.3  2000.00 19:19 1.039  WFC    2.1  180  r                                
 648830 BD+284211 i      21:51:11.04 +28:51:50.3  2000.00 19:19 1.040  WFC    3.1  180  i                                
 648831 SA114-548 Ha     22:41:36.71 +00:59:05.7  2000.00 19:21 1.135  WFC   30.1  180  Halpha                           
 648832 SA114-548 r      22:41:36.72 +00:59:05.7  2000.00 19:22 1.136  WFC    8.1  180  r                                
 648833 SA114-548 i      22:41:36.71 +00:59:05.6  2000.00 19:23 1.136  WFC    3.1  180  i                                Some bands in ~ same position on all ccds
 648834 ST_NGC7654 Ha    23:24:33.59 +61:36:58.0  2000.00 19:44 1.191  WFC   60.0  180  Halpha                           
 648835 ST_NGC7654 r     23:24:33.59 +61:36:57.9  2000.00 19:46 1.191  WFC   15.1  180  r                                
 648836 ST_NGC7654 i     23:24:33.59 +61:36:58.0  2000.00 19:46 1.191  WFC    5.1  180  i                                
 648837 intphas_7511 Ha  23:38:07.01 +59:31:59.6  2000.00 19:49 1.164  WFC  120.1  180  Halpha                           
 648838 intphas_7511 r   23:38:07.01 +59:31:59.3  2000.00 19:52 1.164  WFC   29.6  180  r                                
 648839 intphas_7511 i   23:38:07.01 +59:31:59.5  2000.00 19:53 1.164  WFC   10.1  180  i                                
 648840 intphas_7511o Ha 23:38:46.56 +59:36:59.4  2000.00 19:53 1.165  WFC  120.0  180  Halpha                           
 648841 intphas_7511o r  23:38:46.56 +59:36:59.4  2000.00 19:56 1.165  WFC   30.1  180  r                                
 648842 intphas_7511o i  23:38:46.55 +59:36:59.4  2000.00 19:57 1.165  WFC   10.1  180  i                                
 648843 intphas_7258 Ha  22:55:07.91 +54:34:59.2  2000.00 19:58 1.126  WFC  120.0  180  Halpha                           
 648844 intphas_7258 r   22:55:07.92 +54:34:59.4  2000.00 20:01 1.127  WFC   30.1  180  r                                
 648845 intphas_7258 i   22:55:07.91 +54:34:59.3  2000.00 20:02 1.127  WFC   10.1  180  i                                
 648846 intphas_7258o Ha 22:55:42.50 +54:39:59.3  2000.00 20:03 1.129  WFC  120.0  180  Halpha                           
 648847 intphas_7258o r  22:55:42.50 +54:39:59.4  2000.00 20:06 1.130  WFC   30.1  180  r                                
 648848 intphas_7258o i  22:55:42.50 +54:39:59.4  2000.00 20:07 1.131  WFC    9.6  180  i                                
 648849 intphas_6449 Ha  21:12:02.07 +43:45:59.6  2000.00 20:08 1.227  WFC  120.0  180  Halpha                           
 648850 intphas_6449 r   21:12:02.07 +43:45:59.4  2000.00 20:11 1.232  WFC   30.1  180  r                                
 648851 intphas_6449 i   21:12:02.08 +43:45:59.4  2000.00 20:12 1.235  WFC   10.1  180  i                                
 648852 intphas_6449o Ha 21:12:29.80 +43:50:59.6  2000.00 20:13 1.239  WFC  120.0  180  Halpha                           
 648853 intphas_6449o r  21:12:29.81 +43:50:59.4  2000.00 20:15 1.244  WFC   30.1  180  r                                
 648854 intphas_6449o i  21:12:29.81 +43:50:59.4  2000.00 20:16 1.247  WFC   10.1  180  i                                
 648855 intphas_6475 Ha  21:14:29.31 +47:47:59.2  2000.00 20:18 1.261  WFC  119.6  180  Halpha                           
 648856 intphas_6475 r   21:14:29.31 +47:47:59.4  2000.00 20:20 1.266  WFC   30.1  180  r                                
 648857 intphas_6475 i   21:14:29.31 +47:47:59.5  2000.00 20:21 1.269  WFC   10.1  180  i                                
 648858 intphas_6475o Ha 21:14:59.14 +47:52:59.2  2000.00 20:22 1.273  WFC  120.0  180  Halpha                           
 648859 intphas_6475o r  21:14:59.13 +47:52:59.5  2000.00 20:25 1.278  WFC   30.1  180  r                                
 648860 intphas_6475o i  21:14:59.13 +47:52:59.4  2000.00 20:26 1.281  WFC    9.6  180  i                                
 648861 intphas_6667 Ha  21:35:14.83 +49:04:59.3  2000.00 20:27 1.238  WFC  120.0  180  Halpha                           
 648862 intphas_6667 r   21:35:14.84 +49:04:59.5  2000.00 20:30 1.243  WFC   30.1  180  r                                
 648863 intphas_6667 i   21:35:14.83 +49:04:59.4  2000.00 20:31 1.245  WFC   10.1  180  i                                
 648864 intphas_6667o Ha 21:35:45.43 +49:09:59.3  2000.00 20:31 1.248  WFC  120.1  180  Halpha                           
 648865 intphas_6667o r  21:35:45.43 +49:09:59.5  2000.00 20:34 1.253  WFC   30.0  180  r                                
 648866 intphas_6667o i  21:35:45.42 +49:09:59.4  2000.00 20:35 1.256  WFC   10.1  180  i                                
 648867 intphas_6664 Ha  21:34:49.37 +47:36:59.6  2000.00 20:36 1.256  WFC  120.0  180  Halpha                           
 648868 intphas_6664 r   21:34:49.37 +47:36:59.5  2000.00 20:39 1.261  WFC   30.1  180  r                                
 648869 intphas_6664 i   21:34:49.38 +47:36:59.5  2000.00 20:40 1.264  WFC   10.1  180  i                                
 648870 intphas_6664o Ha 21:35:19.10 +47:41:59.7  2000.00 20:41 1.267  WFC  120.0  180  Halpha                           
