INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2009 07 23 08:25

TELESCOPE             INT
DATE                  20090722
OBSERVER/S            Groot
PROGRAMME             Snellen TresES3B eclipse observations
PROPOSAL REF          N4
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Stelios Spyrzas

TEL STATION / FOCUS    / 44.95
INSTRUMENT/S          WFC

SUNSET (UT)           20:17
EVENING TWILIGHT (UT) 21:39
MORNING TWILIGHT (UT) 04:57
SUNRISE (UT)          06:20
%ILLUM. LUNAR DISK    1
DARK TIME (HRS)       07:18
TWILIGHT TIME (HRS)   02:45
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          20:44

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  19.5   26     1.7   2.1  154   775.3   19.5   20.     21.   26     32
22:00  18.5   30     2.3   2.8  163   775.6   18.5   19.     21.   30     35
23:00  18.1   31     5.0   5.2   93   775.8   18.1   18.     20.   31     36
00:00  17.7   31     4.0   4.3  126   775.4   17.7   18.     20.   31     38
01:00  17.7   31     5.6   6.0  150   775.4   17.7   17.     20.   31     39
02:00  17.3   27     4.3   4.8  163   775.1   17.3   17.     20.   27     37
03:00  17.3   31     3.5   3.8  177   775.0   17.3   17.     19.   31     39
04:00  17.3   34     6.0   6.5  173   774.3   17.3   16.     19.   34     44
05:00  17.2   36     6.1   7.1  175   774.1   17.2   17.     19.   36     44
06:00  17.2   30     2.0   2.5  177   774.0   17.2   17.     19.   30     39

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
No clouds, seeing approx 1"

COMMENTS (causes of time lost, setup information eg CCD windows):
Telescope defocussed on purpose.



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 682715 Bias frame        5:59:59.99 +19:59:59.9  2000.00 12:53 1.104  WFC    0.0  180  g                                
 682716 Bias              0:00:00.00 +00:00:00.0  2000.00 18:10 4.419  WFC    0.0  180  HeI 5870                         
 682717 Bias              0:00:00.00 +00:00:00.0  2000.00 18:11 4.419  WFC    0.0  180  HeI 5870                         
 682718 Bias              0:00:00.00 +00:00:00.0  2000.00 18:11 4.419  WFC    0.0  180  HeI 5870                         
 682719 Bias              0:00:00.00 +00:00:00.0  2000.00 18:12 4.419  WFC    0.0  180  HeI 5870                         
 682720 Bias              0:00:00.00 +00:00:00.0  2000.00 18:12 4.419  WFC    0.0  180  HeI 5870                         
 682721 Bias              0:00:00.00 +00:00:00.0  2000.00 18:13 4.419  WFC    0.0  180  HeI 5870                         
 682722 Bias              0:00:00.00 +00:00:00.0  2000.00 18:13 4.419  WFC    0.0  180  HeI 5870                         
 682723 Bias              0:00:00.00 +00:00:00.0  2000.00 18:14 4.419  WFC    0.0  180  HeI 5870                         
 682724 Bias              0:00:00.00 +00:00:00.0  2000.00 18:14 4.419  WFC    0.0  180  HeI 5870                         
 682725 Bias              0:00:00.00 +00:00:00.0  2000.00 18:15 4.419  WFC    0.0  180  HeI 5870                         
 682726 Bias              0:00:00.00 +00:00:00.0  2000.00 18:15 4.419  WFC    0.0  180  HeI 5870                         
 682727 Bias              0:00:00.00 +00:00:00.0  2000.00 18:16 4.419  WFC    0.0  180  HeI 5870                         
 682728 Bias              0:00:00.00 +00:00:00.0  2000.00 18:16 4.419  WFC    0.0  180  HeI 5870                         
 682729 Bias              0:00:00.00 +00:00:00.0  2000.00 18:17 4.419  WFC    0.0  180  HeI 5870                         
 682730 Bias              0:00:00.00 +00:00:00.0  2000.00 18:17 4.419  WFC    0.0  180  HeI 5870                         
 682731 Bias              0:00:00.00 +00:00:00.0  2000.00 18:18 4.419  WFC    0.0  180  HeI 5870                         
 682732 Bias              0:00:00.00 +00:00:00.0  2000.00 18:18 4.419  WFC    0.0  180  HeI 5870                         
 682733 Bias              0:00:00.00 +00:00:00.0  2000.00 18:19 4.419  WFC    0.0  180  HeI 5870                         
 682734 Bias              0:00:00.00 +00:00:00.0  2000.00 18:19 4.419  WFC    0.0  180  HeI 5870                         
 682735 Bias              0:00:00.00 +00:00:00.0  2000.00 18:20 4.419  WFC    0.0  180  HeI 5870                         
 682736 Bias              0:00:00.00 +00:00:00.0  2000.00 18:20 4.419  WFC    0.0  180  HeI 5870                         
 682737 Bias              0:00:00.00 +00:00:00.0  2000.00 18:21 4.419  WFC    0.0  180  HeI 5870                         
 682738 Bias              0:00:00.00 +00:00:00.0  2000.00 18:21 4.419  WFC    0.0  180  HeI 5870                         
 682739 Bias              0:00:00.00 +00:00:00.0  2000.00 18:22 4.419  WFC    0.0  180  HeI 5870                         
 682740 Bias              0:00:00.00 +00:00:00.0  2000.00 18:22 4.419  WFC    0.0  180  HeI 5870                         
 682741 Bias              0:00:00.00 +00:00:00.0  2000.00 18:23 4.419  WFC    0.0  180  HeI 5870                         
 682742 Bias              0:00:00.00 +00:00:00.0  2000.00 18:23 4.419  WFC    0.0  180  HeI 5870                         
 682743 Bias              0:00:00.00 +00:00:00.0  2000.00 18:24 4.419  WFC    0.0  180  HeI 5870                         
 682744 Bias              0:00:00.00 +00:00:00.0  2000.00 18:24 4.419  WFC    0.0  180  HeI 5870                         
 682745 Bias              0:00:00.00 +00:00:00.0  2000.00 18:25 4.419  WFC    0.0  180  HeI 5870                         
 682746 Flat field       16:24:33.00 +55:43:59.0  2000.00 20:38 1.140  WFC    5.1  180  I                                
 682747 Flat field       16:24:34.77 +55:44:14.0  2000.00 20:39 1.139  WFC    8.1  180  I                                
 682748 Flat field       16:24:34.77 +55:43:43.9  2000.00 20:40 1.138  WFC   11.5  180  I                                
 682749 Flat field       16:24:31.22 +55:43:44.0  2000.00 20:41 1.137  WFC   14.1  180  I                                
 682750 Flat field       16:24:31.22 +55:44:14.0  2000.00 20:42 1.137  WFC   16.1  180  I                                
 682751 Flat field       16:24:34.77 +55:43:58.9  2000.00 20:43 1.136  WFC   20.1  180  I                                
 682752 Flat field       16:24:31.22 +55:43:58.9  2000.00 20:45 1.135  WFC   24.1  180  I                                
 682753 Flat field       16:24:33.00 +55:44:14.0  2000.00 20:46 1.134  WFC   32.1  180  I                                
 682754 Flat field       16:24:33.00 +55:43:44.0  2000.00 20:48 1.133  WFC   38.0  180  I                                
 682755 Flat field       16:24:35.96 +55:44:24.0  2000.00 20:49 1.133  WFC   48.1  180  I                                
 682756 Flat field       16:24:30.04 +55:43:34.0  2000.00 20:51 1.131  WFC   60.1  180  I                                
 682757 Field test image 17:52:23.41 +37:32:09.8  2000.00 21:22 1.080  WFC   59.6  180  I                                check for pointing and position of the star
 682758 Defocus test ima 17:52:23.42 +37:32:10.0  2000.00 21:28 1.072  WFC   60.1  180  I                                check for sufficient defocusing
 682759 TRES3B           17:52:23.42 +37:32:10.0  2000.00 21:40 1.056  WFC   60.1  180  I                                first science image
 682760 TRES3B           17:52:23.43 +37:32:09.9  2000.00 21:42 1.055  WFC   60.0  180  I                                
