INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2009 09 10 08:10

TELESCOPE             INT
DATE                  20090909
OBSERVER/S            Montes & Klutsch
PROGRAMME             Searching for co-moving stars around post-T Tauri candidates
PROPOSAL REF          C155
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Cassegrain  / 14.65
INSTRUMENT/S          IDS

SUNSET (UT)           19:32
EVENING TWILIGHT (UT) 20:45
MORNING TWILIGHT (UT) 05:34
SUNRISE (UT)          06:47
%ILLUM. LUNAR DISK    72
DARK TIME (HRS)       08:49
TWILIGHT TIME (HRS)   02:26
MOONRISE (UT)         22:00
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  12.1   48    17.7  24.2  182   772.1   12.1   16.     18.   48     46
21:00  11.2   52    21.3  27.2  327   772.4   11.2   15.     17.   52     48
22:00  10.7   36    23.6  27.3  317   772.7   10.7   13.     16.   36     40
23:00  11.2   19    29.6  31.0  334   772.7   11.2   13.     16.   19     29
00:00  10.7   33    28.2  29.2  340   772.6   10.7   12.     16.   33     38
01:00   9.9   67    23.7  24.9  352   772.1    9.9   12.     16.   67     59
02:00  10.2   77    16.4  18.2  331   772.7   10.2   12.     15.   77     76
03:00  11.6   46    23.5  24.5  337   771.8   11.6   13.     15.   46     53
04:00  10.1   64    23.0  24.4  209   771.6   10.1   12.     15.   64     61
05:00  10.4   74    16.8  18.5   78   771.8   10.4                 74      #
06:00  10.3   68    23.1  26.0   90   771.8   10.3                 68      #

TIME LOST weather           00:00
TIME LOST Technical         02:30
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Clear sky.

COMMENTS (causes of time lost, setup information eg CCD windows):
We need restart 4 times the computer  because of the reading problem of CCD. So we loose the data during these restarts.



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 692135 Bias             10:19:59.99 +20:00:00.0  2009.69 13:14 1.039  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692136 Arc              10:19:59.99 +19:59:59.9  2009.69 13:18 1.043  IDS    5.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692137 Bias              0:00:00.00 +00:00:00.0  2009.69 13:56 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692138 Bias              0:00:00.00 +00:00:00.0  2009.69 13:56 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692139 Bias              0:00:00.00 +00:00:00.0  2009.69 13:57 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692140 Bias              0:00:00.00 +00:00:00.0  2009.69 13:57 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692141 Bias              0:00:00.00 +00:00:00.0  2009.69 13:57 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692142 Bias              0:00:00.00 +00:00:00.0  2009.69 13:59 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692143 Bias              0:00:00.00 +00:00:00.0  2009.69 13:59 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692144 Bias              0:00:00.00 +00:00:00.0  2009.69 14:00 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692145 Bias              0:00:00.00 +00:00:00.0  2009.69 14:00 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692146 Bias              0:00:00.00 +00:00:00.0  2009.69 14:01 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692147 Bias              0:00:00.00 +00:00:00.0  2009.69 14:01 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692148 Bias              0:00:00.00 +00:00:00.0  2009.69 14:01 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692149 Bias              0:00:00.00 +00:00:00.0  2009.69 14:02 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692150 Bias              0:00:00.00 +00:00:00.0  2009.69 14:02 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692151 Bias              0:00:00.00 +00:00:00.0  2009.69 14:03 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
