INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2009 12 01 06:43

TELESCOPE             INT
DATE                  20091130
OBSERVER/S            Raddi/Drew
PROGRAMME             P15
PROPOSAL REF          P15
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    P. Rodriguez

TEL STATION / FOCUS   Cassegrain  / 14.65
INSTRUMENT/S          IDS

SUNSET (UT)           18:22
EVENING TWILIGHT (UT) 19:37
MORNING TWILIGHT (UT) 06:24
SUNRISE (UT)          07:39
%ILLUM. LUNAR DISK    98
DARK TIME (HRS)       10:47
TWILIGHT TIME (HRS)   02:30
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          07:00

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   2.7   96    11.4  14.5  180   770.6    2.7    7.     10.   96     73
20:00   3.1   86    28.1  32.2   73   771.3    3.1    8.     10.   86     63
21:00   3.1   99    11.5  17.2  118   771.7    3.1    8.     10.   99     75
22:00   3.1   99    30.7  35.1   64   772.1    3.1    8.     10.   99     74
23:00   2.6   98    20.0  27.8   96   772.8    2.6    7.     10.   98     75
00:00   4.6   51       N     N   90   771.8    4.6    6.     10.   51     59
02:00   3.3   99    30.1  35.7   67   771.6    3.3    7.     10.   99     77
03:00   2.7   80    21.2  27.0   67   771.2    2.7    8.     10.   80     68
04:00   2.1   98    34.0  39.4   59   770.7    2.1    8.     10.   98     67
05:00   2.0   99    30.2  41.7   69   770.7    2.0    8.     10.   99     69
06:00   1.3   99    26.3  29.0   66   771.0    1.3    8.     10.   99     67

TIME LOST weather           10:15
TIME LOST Technical         00:00
TIME LOST Other             00:45

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Cloudy for most of the night. Humidity >90%

COMMENTS (causes of time lost, setup information eg CCD windows):
Dome was open when humidity dropped below 70%, for about a hour. Time lost, during set up operations. 
WHT telescope operator was called once, but his help wasn't necessary after a more careful reading of the observing guide.
Acquisition problems with the CCD, resolved by duty engeneer and support astronomer in the afternoon.

 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 709404 Bias             11:59:59.99 +40:00:00.0  2009.91 10:17 1.095  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709405 Arc              12:00:00.00 +40:00:00.0  2009.91 10:19 1.098  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709406 Bias              0:00:00.00 +00:00:00.0  2009.91 10:30 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709407 Bias              0:00:00.00 +00:00:00.0  2009.91 16:27 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709408 Bias              0:00:00.00 +00:00:00.0  2009.91 16:28 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709409 Bias              0:00:00.00 +00:00:00.0  2009.91 16:29 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709410 Bias              0:00:00.00 +00:00:00.0  2009.91 16:29 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   wrong window size
 709412 Bias              0:00:00.00 +00:00:00.0  2009.91 16:33 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709413 Bias              0:00:00.00 +00:00:00.0  2009.91 16:33 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709414 Bias              0:00:00.00 +00:00:00.0  2009.91 16:33 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709416 Bias              0:00:00.00 +00:00:00.0  2009.91 16:35 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709417 Bias              0:00:00.00 +00:00:00.0  2009.91 16:36 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709418 Bias              0:00:00.00 +00:00:00.0  2009.91 16:36 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709419 Bias              0:00:00.00 +00:00:00.0  2009.91 16:36 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709420 Bias              0:00:00.00 +00:00:00.0  2009.91 16:36 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709421 Bias              0:00:00.00 +00:00:00.0  2009.91 16:37 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709422 Bias              0:00:00.00 +00:00:00.0  2009.91 16:37 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709423 Bias              0:00:00.00 +00:00:00.0  2009.91 16:37 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
