INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2010 03 29 08:23

TELESCOPE             INT
DATE                  20100328
OBSERVER/S            Jorge Garcia
PROGRAMME             CAT Service time
PROPOSAL REF          CAT service
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Ellie Dyke

TEL STATION / FOCUS   Prime  / 43.79
INSTRUMENT/S          WFC

SUNSET (UT)           19:34
EVENING TWILIGHT (UT) 20:46
MORNING TWILIGHT (UT) 05:46
SUNRISE (UT)          06:58
%ILLUM. LUNAR DISK    98
DARK TIME (HRS)       09:00
TWILIGHT TIME (HRS)   02:24
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          06:27

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  12.3    4    25.3  29.1  211   770.8   12.3   11.     11.    4     14
21:00  12.3    4    24.2  34.8  238   771.8   12.3   11.     12.    4     10
22:00  12.3    4    23.8  27.3  221   771.9   12.3   12.     12.    4      9
23:00  12.4    3    18.2  25.6  205   771.9   12.4   12.     12.    3      8
00:00  12.3    3    23.1  22.5  188   772.2   12.3   12.     12.    3      8
01:00  11.8    3    18.3  21.3  194   771.7   11.8   11.     12.    3      8
02:00  12.1    2    20.5  25.7  216   771.0   12.1   11.     12.    2      8
03:00  10.8    2    31.0  38.7  241   770.6   10.8   10.     11.    2      7
04:00   8.6    8    36.2  44.1  262   770.9    8.6    9.     11.    8     13
05:00   8.4    9    34.0  39.9  254   770.2    8.4                  9      #
06:00   8.2   12    33.2  39.3  278   769.7    8.2                 12      #

TIME LOST weather           04:00
TIME LOST Technical         00:00
TIME LOST Other             00:20

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
cloudy, thick cirrus, somewhat clear to the south

COMMENTS (causes of time lost, setup information eg CCD windows):
I coudn't load the macro "ic4593_script" (./ic4593_script: syntax error at line 22: `end of file' unexpected)
I couldn't use the "guide on pixel x y" command (##GUIDE: Cannot register task 'GUIDE'. Task name already in use.
# GUIDE:ImpRegister failed
# GUIDE:Command failed: %IMP-E-DUP_TASK_NAME, Task name already in use
GUIDE:exit status:%IMP-E-DUP_TASK_NAME, Task name already in use
)
I accidentally closed the autoguider window, but recover with startobssystem command. Bad weather. Cloudy most of the night. Observing between clouds

 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 724816 Focus run         7:55:54.19 -00:16:50.0  2000.00 20:45 1.144  WFC   10.1  180  stromgren v                      
 724817 Focus run         7:55:54.20 -00:16:49.9  2000.00 20:51 1.144  WFC    9.6  180  stromgren v                      
 724818 Focus run         7:55:54.19 -00:16:49.7  2000.00 21:00 1.146  WFC   20.1  180  r                                
 724819 MKN3 r            6:15:36.30 +71:02:14.9  2000.00 21:18 1.451  WFC  599.8  180  r                                sky level at 50000 counts. saturated
 724820 MKN3 g            6:15:36.30 +71:02:14.9  2000.00 21:30 1.469  WFC  599.6  180  g                                sky level at 50000 counts. saturate
 724821 MKN3 g            6:15:36.31 +71:02:14.9  2000.00 21:45 1.490  WFC  200.0  180  g                                sky level 22000 counts
 724822 MKN3 g            6:15:36.30 +71:02:14.8  2000.00 21:56 1.510  WFC  149.5  180  g                                sky level 12000 counts
 724823 MKN3 r            6:15:36.31 +71:02:14.9  2000.00 22:04 1.529  WFC  299.9  180  r                                sky level 16000 counts
 724824 MKN3 i            6:15:36.30 +71:02:15.0  2000.00 22:16 1.559  WFC  599.7  180  i                                sky level 25000 counts
 724825 MKN3 i            6:15:36.30 +71:02:14.9  2000.00 22:27 1.581  WFC  299.9  180  i                                sky level 20000 counts
 724826 MKN3 i            6:15:36.30 +71:02:14.9  2000.00 22:36 1.599  WFC  149.9  180  i                                sky level 14000 counts
 724827 MKN3 r            6:15:36.30 +71:02:14.8  2000.00 22:41 1.612  WFC  150.0  180  r                                sky level 14000 counts
 724829 MS1229 g         12:31:41.20 +64:21:35.2  2000.00 22:57 1.342  WFC  150.0  180  g                                sky level 31000. Don't see galaxy MS1229. 
 724830 C49 r             6:08:14.40 +18:37:25.0  2000.00 23:33 2.248  WFC   15.1  180  r                                30000 cuentas en el pico
 724831 C49 i             6:08:14.39 +18:37:24.9  2000.00 23:35 2.274  WFC   15.1  180  i                                algo menos de 30000 cuentas en el pico
 724832 C49 Ha            6:08:14.39 +18:37:24.9  2000.00 23:37 2.332  WFC  120.0  180  Halpha                           muy extinguido
 724833 C49 HeI           6:08:14.40 +18:37:25.0  2000.00 23:41 2.414  WFC  180.0  180  HeI 5870                         muy extinguido
 724834 LHS2924          14:28:52.76 +33:12:38.9  2000.00 03:06 1.003  WFC  359.3  180  stromgren v                      muy extinguido
 724835 LHS2924          14:28:52.76 +33:12:39.0  2000.00 03:13 1.003  WFC  359.8  180  stromgren v                      muy extinguido
 724836 LHS2924          14:28:52.75 +33:12:38.9  2000.00 03:20 1.003  WFC  359.9  180  stromgren v                      muy extinguido
 724837 LHS2924          14:28:52.76 +33:12:39.0  2000.00 03:26 1.004  WFC  359.9  180  stromgren v                      muy extinguido
 724838 LHS2924          14:28:52.76 +33:12:39.0  2000.00 03:33 1.006  WFC  359.3  180  stromgren v                      muy extinguido
 724839 LHS2924          14:28:52.76 +33:12:38.9  2000.00 03:40 1.009  WFC  359.9  180  stromgren v                      muy extinguido
 724840 LHS2924          14:28:52.75 +33:12:39.0  2000.00 03:47 1.012  WFC  359.9  180  stromgren v                      muy extinguido
 724841 LHS2924          14:28:52.76 +33:12:38.8  2000.00 03:54 1.016  WFC  359.9  180  stromgren v                      muy extinguido
 724842 LHS2924          14:28:52.76 +33:12:38.9  2000.00 04:00 1.020  WFC  359.9  180  stromgren v                      muy extinguido
 724843 LHS2924          14:28:52.76 +33:12:38.9  2000.00 04:07 1.025  WFC  359.9  180  stromgren v                      muy extinguido
 724844 LHS2924          14:28:52.76 +33:12:38.9  2000.00 04:14 1.031  WFC  359.8  180  stromgren v                      muy extinguido
 724845 LHS2924          14:28:52.76 +33:12:38.9  2000.00 04:21 1.038  WFC  359.9  180  stromgren v                      muy extinguido
 724847 IPHAS190832      19:08:32.09 +05:12:26.5  2000.00 04:44 1.573  WFC   30.1  180  r                                OK
 724848 IPHAS190832      19:08:32.09 +05:12:26.6  2000.00 04:46 1.564  WFC   30.1  180  r                                OK
 724849 IPHAS190832      19:08:32.09 +05:12:26.6  2000.00 04:47 1.555  WFC   29.5  180  r                                OK
 724850 IPHAS190832      19:08:32.09 +05:12:26.5  2000.00 04:49 1.543  WFC   10.1  180  r                                pocas cuentas
 724851 IPHAS190832      19:08:32.10 +05:12:26.6  2000.00 04:50 1.537  WFC   10.1  180  r                                pocas cuentas
 724852 IPHAS190832      19:08:32.10 +05:12:26.5  2000.00 04:51 1.530  WFC   10.1  180  r                                pocas cuentas
 724853 IPHAS190832 i    19:08:32.10 +05:12:26.6  2000.00 04:58 1.486  WFC   10.1  180  i                                ok
 724854 IPHAS190832 i    19:08:32.09 +05:12:26.5  2000.00 04:59 1.481  WFC   10.1  180  i                                ok
 724855 IPHAS190832 i    19:08:32.09 +05:12:26.5  2000.00 05:00 1.475  WFC   10.1  180  i                                ok
 724856 W46 i            16:48:18.00 -14:11:15.9  2000.00 05:12 1.373  WFC    2.1  180  i                                low signal
 724857 W46 i            16:48:17.99 -14:11:15.9  2000.00 05:13 1.372  WFC    6.1  180  i                                still low signal
 724858 flat i p1        16:52:33.00 -15:25:57.0  2000.00 06:31 1.440  WFC   45.1  180  i                                + de 50000 cuentas. Demasiado...
 724859 flat i p2        16:52:33.00 -15:25:56.9  2000.00 06:34 1.445  WFC   30.1  180  i                                + de 50000 cuentas
 724860 flat i p3        16:52:35.07 -15:25:26.9  2000.00 06:36 1.448  WFC   15.1  180  i                                OK 40000 cuentas
 724861 flat i p4        16:52:30.92 -15:26:26.8  2000.00 06:37 1.451  WFC    7.1  180  i                                sobre 25000 cuentas
 724862 flat i p5        16:52:30.92 -15:25:57.1  2000.00 06:39 1.454  WFC    4.0  180  i                                sobre 25000 cuentas
 724863 flat i p6        16:52:35.07 -15:25:57.0  2000.00 06:40 1.457  WFC    3.1  180  i                                sobre 25000 cuentas
 724864 flat i p7        16:52:33.00 -15:25:26.8  2000.00 06:42 1.460  WFC    3.1  180  i                                sobre 34000 cuentas
 724865 flat i p8        16:52:32.99 -15:26:26.8  2000.00 06:43 1.464  WFC    3.1  180  i                                sobre 49000-5000 cuentas
